Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,58.95,59.36,58.60,59.33,1392300,59.33
2013-07-11,59.53,59.60,58.72,59.31,1190900,59.31
2013-07-10,58.11,59.16,58.11,59.00,1823100,59.00
2013-07-09,57.38,59.39,56.81,58.00,5168900,58.00
2013-07-08,61.02,61.47,60.77,61.24,657300,61.24
2013-07-05,60.35,60.83,59.93,60.80,486900,60.80
2013-07-03,60.14,60.42,59.84,60.08,565400,60.08
2013-07-02,60.39,60.68,60.07,60.45,1001700,60.45
2013-07-01,60.81,61.15,60.42,60.46,1015600,60.46
2013-06-28,61.07,61.29,60.12,60.63,1774400,60.63
2013-06-27,61.49,61.93,61.30,61.40,916500,61.10
2013-06-26,61.17,61.57,60.59,61.16,714500,60.86
2013-06-25,61.22,61.29,60.36,60.79,912100,60.49
2013-06-24,60.73,61.40,60.21,60.81,1825900,60.51
2013-06-21,61.28,62.03,60.93,61.07,1286900,60.77
2013-06-20,61.49,61.83,60.75,60.81,1056600,60.51
2013-06-19,62.46,62.67,61.86,61.89,792900,61.59
2013-06-18,62.52,62.69,62.17,62.39,1036000,62.09
2013-06-17,62.84,63.06,62.36,62.59,644500,62.28
2013-06-14,62.69,63.39,62.50,62.62,477500,62.31
2013-06-13,62.00,62.98,61.71,62.89,866200,62.58
2013-06-12,62.97,63.18,62.00,62.00,940100,61.70
2013-06-11,62.68,63.22,62.38,62.55,845400,62.24
2013-06-10,62.44,63.40,62.44,63.20,935300,62.89
2013-06-07,62.55,63.00,62.06,62.22,1278000,61.92
2013-06-06,61.60,62.09,61.27,62.08,941700,61.78
2013-06-05,62.28,62.31,61.03,61.64,1200200,61.34
2013-06-04,62.53,62.91,62.11,62.40,988400,62.10
2013-06-03,61.91,62.55,61.52,62.53,1185900,62.22
2013-05-31,62.20,62.85,61.83,61.84,1261800,61.54
2013-05-30,62.51,63.02,62.26,62.42,1051700,62.12
2013-05-29,62.69,62.85,61.86,62.55,865500,62.24
2013-05-28,63.00,63.30,62.58,62.76,1301600,62.45
2013-05-24,61.64,62.56,61.44,62.50,1383800,62.19
2013-05-23,60.70,62.07,60.69,61.97,1116800,61.67
2013-05-22,61.36,62.24,60.97,61.12,1457000,60.82
2013-05-21,60.94,61.62,60.83,61.39,1324500,61.09
2013-05-20,60.48,61.00,60.35,60.80,1078100,60.50
2013-05-17,59.86,60.79,59.79,60.69,970600,60.39
2013-05-16,59.74,60.35,59.46,59.88,1149700,59.59
2013-05-15,59.67,60.10,59.26,59.99,1685100,59.70
2013-05-14,59.45,59.88,59.22,59.87,1078000,59.58
2013-05-13,59.56,59.59,58.90,59.42,1555700,59.13
2013-05-10,59.13,59.78,59.05,59.77,1023500,59.48
2013-05-09,59.17,59.41,58.79,59.19,1457900,58.90
2013-05-08,57.68,59.07,57.68,59.06,1300900,58.77
2013-05-07,57.96,58.12,57.74,57.78,788700,57.50
2013-05-06,57.15,58.21,57.15,57.94,1275800,57.66
2013-05-03,57.54,57.75,57.18,57.21,1150000,56.93
2013-05-02,56.49,57.33,56.42,57.32,1461500,57.04
2013-05-01,56.23,57.38,56.00,56.37,1176300,56.09
2013-04-30,56.05,56.44,55.78,56.33,858200,56.05
2013-04-29,56.19,56.50,56.16,56.19,606200,55.92
2013-04-26,55.86,56.54,55.70,56.16,1222100,55.89
2013-04-25,56.28,56.52,55.65,55.85,1012500,55.58
2013-04-24,56.33,56.50,55.51,56.09,2388500,55.82
2013-04-23,56.18,57.24,56.18,56.51,2839500,56.23
2013-04-22,55.85,56.18,55.26,55.48,1843700,55.21
2013-04-19,55.95,56.71,55.56,55.92,1674100,55.65
2013-04-18,57.31,57.54,55.59,55.76,2459400,55.49
2013-04-17,58.04,59.24,56.95,57.37,4059000,57.09
2013-04-16,58.49,59.23,57.34,58.35,2329100,58.06
2013-04-15,59.06,59.55,58.37,58.37,1692200,58.08
2013-04-12,59.65,59.66,58.83,59.34,1518400,59.05
2013-04-11,58.37,60.00,58.06,59.83,3202800,59.54
2013-04-10,56.64,57.36,56.41,57.30,954400,57.02
2013-04-09,56.98,57.03,56.50,56.65,899900,56.37
2013-04-08,56.89,57.03,56.52,57.03,585200,56.75
2013-04-05,57.33,57.33,56.62,57.01,1159400,56.73
2013-04-04,57.00,57.92,56.91,57.68,914300,57.40
2013-04-03,57.00,57.51,56.72,56.83,1314100,56.55
2013-04-02,56.68,57.58,56.64,56.80,1223300,56.52
2013-04-01,56.42,56.49,56.01,56.32,695700,56.04
