Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,68.32,68.43,67.61,68.19,3039600,68.19
2013-07-11,68.58,69.00,67.80,68.35,4258000,68.35
2013-07-10,66.60,67.94,66.60,67.80,4701400,67.80
2013-07-09,65.34,66.67,65.34,66.62,4703900,66.62
2013-07-08,64.95,65.06,64.31,64.44,2789000,64.44
2013-07-05,64.17,64.62,64.02,64.60,1750500,64.60
2013-07-03,63.31,63.91,63.16,63.63,1099100,63.63
2013-07-02,64.59,64.77,63.46,63.68,3248600,63.68
2013-07-01,63.74,65.15,63.60,64.70,3759900,64.70
2013-06-28,63.43,63.72,63.03,63.30,4223500,63.30
2013-06-27,63.77,63.90,63.09,63.64,2530800,63.64
2013-06-26,62.82,63.66,62.71,63.35,3296200,63.35
2013-06-25,62.07,62.44,61.57,62.30,3110700,62.28
2013-06-24,61.64,62.29,61.23,61.66,3110600,61.64
2013-06-21,62.59,62.88,61.67,62.11,5977400,62.09
2013-06-20,62.99,63.23,62.10,62.26,3269300,62.24
2013-06-19,64.36,64.80,63.66,63.68,3497700,63.65
2013-06-18,63.32,64.60,63.08,64.36,2963600,64.33
2013-06-17,63.00,63.69,62.97,63.37,3072600,63.34
2013-06-14,62.42,62.83,62.12,62.52,2118500,62.49
2013-06-13,61.42,62.68,61.17,62.48,2247900,62.45
2013-06-12,62.43,62.43,61.36,61.40,2647600,61.38
2013-06-11,61.66,62.48,61.54,62.21,2290700,62.19
2013-06-10,62.22,62.62,61.97,62.29,2490300,62.27
2013-06-07,60.95,62.17,60.52,62.10,3385600,62.08
2013-06-06,60.50,60.60,59.65,60.43,4639600,60.41
2013-06-05,61.68,61.78,60.25,60.44,3459400,60.42
2013-06-04,62.23,62.77,61.44,61.79,2958900,61.77
2013-06-03,61.86,62.42,61.77,62.37,3148800,62.34
2013-05-31,62.21,62.74,61.82,61.82,2697500,61.80
2013-05-30,62.42,62.90,62.09,62.50,2098300,62.47
2013-05-29,62.10,62.48,61.90,62.21,2103700,62.19
2013-05-28,62.72,63.21,62.47,62.59,1980800,62.56
2013-05-24,62.00,62.39,61.71,62.10,2287500,62.08
2013-05-23,62.31,62.71,62.18,62.39,2822700,62.36
2013-05-22,63.83,64.04,62.48,62.76,2821000,62.73
2013-05-21,64.00,64.39,63.76,63.84,2351600,63.81
2013-05-20,63.18,64.09,63.10,64.07,3576800,64.04
2013-05-17,62.75,63.34,62.74,63.25,3837100,63.22
2013-05-16,61.76,62.85,61.74,62.27,4664100,62.25
2013-05-15,61.75,62.14,61.58,62.06,3952600,62.04
2013-05-14,61.69,62.08,61.62,61.85,3877800,61.83
2013-05-13,61.68,61.96,61.57,61.60,2302100,61.58
2013-05-10,61.72,61.95,61.53,61.90,1461300,61.88
2013-05-09,61.61,62.12,61.45,61.74,2008200,61.72
2013-05-08,61.50,61.72,61.35,61.64,2077700,61.62
2013-05-07,61.51,61.77,61.22,61.53,1767300,61.51
2013-05-06,60.79,61.45,60.54,61.31,2079100,61.29
2013-05-03,61.09,61.29,60.61,60.80,3772000,60.78
2013-05-02,60.33,60.65,60.10,60.46,2493400,60.44
2013-05-01,60.67,61.38,60.10,60.14,2867800,60.12
2013-04-30,60.29,61.53,60.08,60.94,5105000,60.92
2013-04-29,60.00,60.41,59.88,60.23,2103300,60.21
2013-04-26,60.38,60.75,59.93,59.94,2628700,59.92
2013-04-25,60.05,60.92,59.83,60.44,2620000,60.42
2013-04-24,59.26,60.27,59.03,59.96,3794700,59.94
2013-04-23,59.35,59.52,58.49,59.09,4403000,59.07
2013-04-22,59.12,59.42,58.50,58.99,2383800,58.97
2013-04-19,58.36,59.16,58.13,59.10,3531100,59.08
2013-04-18,57.96,58.56,57.61,58.05,9090800,58.03
2013-04-17,60.66,60.72,59.58,59.74,3411200,59.72
2013-04-16,60.24,60.98,60.07,60.96,2223400,60.94
2013-04-15,61.28,61.58,59.91,59.91,2883800,59.89
2013-04-12,61.78,61.98,61.16,61.56,1682200,61.54
2013-04-11,61.75,62.12,61.55,61.94,2368900,61.92
2013-04-10,60.74,61.84,60.47,61.78,2355400,61.76
2013-04-09,60.82,60.85,60.19,60.54,2592500,60.52
2013-04-08,60.53,60.90,60.39,60.77,1709300,60.75
2013-04-05,60.02,60.59,59.78,60.55,2697900,60.53
2013-04-04,61.17,61.47,60.62,60.75,3274700,60.73
2013-04-03,61.84,61.90,60.85,61.09,3527800,61.07
2013-04-02,62.00,62.05,61.56,61.74,2589800,61.72
2013-04-01,61.86,62.10,61.51,61.79,2188400,61.77
2013-03-28,61.84,62.23,61.59,62.15,2546500,62.13
2013-03-27,61.47,61.87,61.29,61.84,1865500,61.82
2013-03-26,61.42,61.86,61.27,61.84,1791000,61.82
2013-03-25,61.80,62.01,60.72,61.04,2857000,60.99
2013-03-22,61.28,61.78,61.11,61.67,2319100,61.62
2013-03-21,61.07,61.70,60.99,61.19,2285800,61.14
2013-03-20,61.47,61.80,61.09,61.31,2893000,61.26
2013-03-19,62.02,62.24,60.96,61.28,3478000,61.23
2013-03-18,61.97,62.20,61.67,61.81,2494100,61.76
2013-03-15,62.23,62.90,62.15,62.65,4215800,62.60
2013-03-14,62.25,62.60,62.22,62.60,1800500,62.55
2013-03-13,62.15,62.23,61.82,62.12,1973100,62.07
2013-03-12,62.30,62.47,61.86,62.16,2834400,62.11
2013-03-11,61.95,62.30,61.94,62.26,1740600,62.21
2013-03-08,61.83,62.07,61.54,61.94,2237100,61.89
2013-03-07,61.90,62.00,61.41,61.42,2049600,61.37
2013-03-06,62.32,62.46,61.67,61.77,2336000,61.72
2013-03-05,61.83,62.43,61.72,62.22,2027700,62.17
2013-03-04,61.52,61.68,60.89,61.66,2018700,61.61
2013-03-01,61.25,61.76,60.95,61.57,2345800,61.52
2013-02-28,61.40,61.99,61.13,61.60,2566400,61.55
2013-02-27,60.35,61.49,60.23,61.24,2298900,61.19
2013-02-26,60.14,60.55,60.12,60.30,2128600,60.25
2013-02-25,61.51,61.70,59.88,59.89,3214400,59.84
2013-02-22,61.11,61.46,61.01,61.46,2155700,61.41
2013-02-21,60.71,61.20,60.59,60.99,2733400,60.94
2013-02-20,61.87,62.00,60.89,60.97,3911600,60.92
2013-02-19,61.75,62.14,61.55,61.80,1996800,61.75
2013-02-15,61.18,61.90,60.84,61.68,3662500,61.63
2013-02-14,60.78,61.36,60.52,61.16,2789200,61.11
2013-02-13,61.20,61.31,60.57,61.02,2389700,60.97
2013-02-12,60.85,61.17,60.68,60.97,2290100,60.92
2013-02-11,60.78,60.83,60.33,60.68,1868000,60.63
2013-02-08,60.15,60.81,60.09,60.81,1532400,60.76
2013-02-07,60.58,60.63,59.86,60.17,2465000,60.12
2013-02-06,59.91,60.53,59.91,60.43,2281600,60.38
2013-02-05,60.34,60.82,60.24,60.68,2297900,60.63
2013-02-04,60.19,60.36,59.89,59.96,2444500,59.91
2013-02-01,60.31,60.54,60.03,60.47,3951900,60.42
2013-01-31,59.83,60.24,59.63,59.93,3450400,59.88
2013-01-30,60.83,60.90,59.85,60.00,3505400,59.95
2013-01-29,59.83,61.49,59.50,61.00,4193400,60.95
2013-01-28,60.83,61.43,60.31,60.71,3570100,60.66
2013-01-25,60.89,61.01,60.46,60.54,3255900,60.49
2013-01-24,60.51,61.14,60.41,60.50,2881200,60.45
2013-01-23,60.27,60.50,59.82,60.46,2978900,60.41
2013-01-22,60.38,60.75,60.20,60.40,4152500,60.35
2013-01-18,61.01,61.01,59.69,60.51,3732100,60.46
2013-01-17,60.39,60.99,60.02,60.71,2759500,60.66
2013-01-16,59.81,60.22,59.57,60.07,2357400,60.02
2013-01-15,59.43,60.03,59.22,59.99,2603500,59.94
2013-01-14,59.76,59.95,59.50,59.59,2426200,59.54
