Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,82.96,85.09,82.61,85.07,1312000,85.07
2013-07-11,83.99,84.59,83.68,84.49,1218200,84.49
2013-07-10,81.81,82.87,81.56,82.86,804500,82.86
2013-07-09,82.81,83.15,81.60,81.91,983500,81.91
2013-07-08,81.20,82.09,80.98,82.02,1183700,82.02
2013-07-05,81.27,81.47,80.69,81.12,1063800,81.12
2013-07-03,77.77,80.92,77.77,80.63,1241500,80.63
2013-07-02,77.62,78.71,77.37,78.51,826700,78.51
2013-07-01,77.60,78.47,77.54,77.79,710800,77.79
2013-06-28,76.18,77.89,76.02,77.24,1272800,77.24
2013-06-27,76.04,77.04,75.96,76.68,782600,76.68
2013-06-26,76.04,76.20,75.40,75.72,758200,75.72
2013-06-25,75.74,75.87,74.78,75.46,1000400,75.46
2013-06-24,74.88,75.60,74.13,75.14,1053300,75.14
2013-06-21,75.16,75.62,74.20,75.42,1910600,75.42
2013-06-20,75.63,75.81,74.09,74.57,1505500,74.57
2013-06-19,77.64,78.30,76.50,76.53,998800,76.53
2013-06-18,77.40,78.22,77.24,77.85,905500,77.85
2013-06-17,77.30,77.44,76.52,77.05,1426200,77.05
2013-06-14,75.84,76.85,75.60,76.38,2284300,76.38
2013-06-13,73.81,76.17,73.20,76.06,1660700,76.06
2013-06-12,74.25,74.32,73.09,73.57,1759300,73.57
2013-06-11,73.30,74.25,72.77,73.87,2307700,73.87
2013-06-10,76.33,76.33,74.12,74.35,1497200,74.35
2013-06-07,75.45,76.47,74.97,76.39,1357900,76.39
2013-06-06,75.67,75.88,74.15,75.02,2330000,75.02
2013-06-05,78.77,78.77,75.23,75.88,2238500,75.88
2013-06-04,79.05,79.66,78.26,78.69,1191100,78.69
2013-06-03,78.80,79.10,78.11,79.01,1483100,79.01
2013-05-31,79.44,80.05,78.76,78.87,1494100,78.87
2013-05-30,79.50,80.57,79.18,79.89,953800,79.89
2013-05-29,80.17,80.47,78.89,79.30,1129500,79.30
2013-05-28,80.04,80.97,80.02,80.80,988900,80.80
2013-05-24,79.04,79.70,78.75,79.53,769900,79.53
2013-05-23,78.61,79.89,78.05,79.78,1223400,79.78
2013-05-22,79.74,80.11,78.74,79.15,1351000,79.15
2013-05-21,78.72,80.28,78.72,80.00,1257100,80.00
2013-05-20,78.78,80.00,78.28,78.84,1968500,78.84
2013-05-17,79.17,79.30,78.25,78.85,1326400,78.85
2013-05-16,78.99,79.67,78.57,78.79,1884200,78.79
2013-05-15,78.27,79.41,78.07,79.35,1402700,79.35
2013-05-14,77.63,78.62,77.63,78.32,1279100,78.32
2013-05-13,78.51,78.51,77.33,77.58,1205700,77.58
2013-05-10,77.86,78.72,77.54,78.68,1314700,78.68
2013-05-09,77.02,77.81,76.75,77.66,1503200,77.66
2013-05-08,78.00,78.19,76.49,76.94,1777000,76.94
2013-05-07,77.30,78.39,75.67,77.87,3164600,77.87
2013-05-06,79.00,79.39,78.53,79.02,1841900,79.02
2013-05-03,80.39,80.44,79.16,79.21,1174500,79.21
2013-05-02,78.35,79.94,78.18,79.49,1445300,79.49
2013-05-01,78.70,78.93,78.08,78.14,1238200,78.14
2013-04-30,79.14,79.77,78.73,78.82,1807000,78.82
2013-04-29,79.11,79.33,78.63,78.83,1247900,78.83
2013-04-26,79.72,79.87,79.17,79.21,711800,79.21
2013-04-25,79.34,80.00,78.66,79.89,1254500,79.89
2013-04-24,79.22,79.44,78.77,79.15,1213800,79.15
2013-04-23,78.65,79.08,77.79,78.98,1400300,78.98
2013-04-22,77.98,78.48,77.35,78.22,1210700,78.22
2013-04-19,76.98,77.96,76.26,77.85,2988600,77.85
2013-04-18,78.42,78.52,76.33,76.64,1849800,76.64
2013-04-17,78.90,79.19,77.82,78.31,1714700,78.31
2013-04-16,79.36,79.63,78.90,79.39,1326900,79.39
2013-04-15,80.42,80.72,78.83,78.83,1088500,78.83
2013-04-12,80.55,81.12,80.19,81.03,750600,81.03
2013-04-11,80.56,81.43,80.39,80.71,1202300,80.71
2013-04-10,79.03,80.51,78.76,80.44,1153000,80.44
2013-04-09,78.93,79.15,78.14,78.60,1125100,78.60
2013-04-08,78.67,79.14,78.11,78.88,1198300,78.88
2013-04-05,76.72,78.70,76.39,78.56,1086600,78.56
2013-04-04,78.15,78.15,76.94,77.68,1874100,77.68
2013-04-03,78.65,78.65,77.59,78.04,1251500,78.04
2013-04-02,78.60,79.15,78.25,78.69,1242300,78.69
2013-04-01,79.07,79.44,77.80,77.98,1812400,77.98
2013-03-28,78.54,79.36,78.47,78.74,1373600,78.74
2013-03-27,78.85,79.12,77.59,78.59,1468000,78.59
2013-03-26,79.22,79.58,78.59,79.53,1660600,79.53
2013-03-25,79.57,80.34,78.54,79.07,1486000,79.07
2013-03-22,77.27,79.15,77.27,79.13,1288500,79.13
2013-03-21,78.51,78.99,77.74,78.41,1362100,78.41
2013-03-20,78.43,79.42,78.39,78.96,1628500,78.96
2013-03-19,77.73,78.09,76.85,77.78,1490200,77.78
2013-03-18,76.61,77.67,75.67,77.41,1698400,77.41
2013-03-15,78.33,78.66,77.25,77.32,3420900,77.32
2013-03-14,78.35,79.08,78.35,78.72,941700,78.72
2013-03-13,78.12,78.34,77.50,78.28,956800,78.28
2013-03-12,77.80,78.08,77.17,77.91,1093600,77.91
2013-03-11,77.86,78.09,77.52,77.80,1373000,77.80
2013-03-08,77.40,78.41,77.27,77.90,1550100,77.90
2013-03-07,75.31,77.24,75.31,77.16,3290900,77.16
2013-03-06,76.74,77.29,74.96,75.35,2547200,75.35
2013-03-05,76.04,76.62,75.78,76.60,1610000,76.60
