Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,54.51,54.96,54.51,54.93,1185800,54.93
2013-07-11,54.38,54.81,54.04,54.77,5653900,54.77
2013-07-10,53.76,53.93,53.48,53.78,1742900,53.78
2013-07-09,54.13,54.25,53.40,53.78,2289600,53.78
2013-07-08,53.08,53.85,53.08,53.63,2049500,53.63
2013-07-05,52.20,52.59,51.83,52.42,1246800,52.42
2013-07-03,51.53,51.65,51.35,51.62,619400,51.62
2013-07-02,52.15,52.28,51.59,51.93,1200300,51.93
2013-07-01,51.12,52.34,51.12,51.96,1416800,51.96
2013-06-28,51.00,51.25,50.67,50.69,3094800,50.69
2013-06-27,50.86,51.51,50.70,51.00,1397000,51.00
2013-06-26,49.52,50.74,49.10,50.60,1647800,50.60
2013-06-25,48.69,49.13,48.61,49.01,1508700,49.01
2013-06-24,49.16,49.16,47.40,48.17,2112400,48.17
2013-06-21,50.83,50.83,49.04,49.69,2965600,49.69
2013-06-20,51.38,51.46,50.05,50.25,2340100,50.25
2013-06-19,52.06,52.46,51.91,52.09,2443900,52.09
2013-06-18,51.90,52.00,51.34,51.93,2240900,51.93
2013-06-17,51.90,51.90,50.72,51.21,1861600,51.21
2013-06-14,51.05,51.28,50.83,51.22,1576200,51.22
2013-06-13,50.02,51.11,49.84,51.06,1740300,51.06
2013-06-12,50.35,50.48,49.89,50.00,1824200,50.00
2013-06-11,50.11,50.11,49.50,49.90,2337900,49.90
2013-06-10,50.84,50.86,50.26,50.66,1950200,50.66
2013-06-07,49.88,50.42,49.34,50.40,1953800,50.40
2013-06-06,48.20,49.39,47.87,49.39,2008300,49.39
2013-06-05,48.57,48.73,47.87,48.12,2216700,48.12
2013-06-04,48.82,49.25,48.36,48.76,1761000,48.76
2013-06-03,48.76,49.70,47.90,48.90,2251700,48.90
2013-05-31,49.21,49.59,48.76,48.81,2482100,48.81
2013-05-30,49.54,49.96,49.22,49.28,2527400,49.28
2013-05-29,49.31,49.86,49.15,49.55,2072200,49.55
2013-05-28,48.57,50.05,48.57,49.82,2743000,49.82
2013-05-24,47.95,48.17,47.71,48.05,1069300,48.05
2013-05-23,48.22,48.57,47.90,48.35,1531300,48.35
2013-05-22,49.15,49.63,48.46,48.77,2164300,48.77
2013-05-21,48.80,49.25,48.76,49.05,2110600,49.05
2013-05-20,48.51,48.89,48.40,48.79,2524700,48.79
2013-05-17,47.08,48.57,47.07,48.52,4484900,48.52
2013-05-16,46.44,47.40,46.40,47.00,2372800,47.00
2013-05-15,46.27,46.63,46.22,46.53,3662900,46.53
2013-05-14,45.60,46.36,45.38,46.33,2345200,46.33
2013-05-13,45.24,45.84,45.16,45.56,1828600,45.56
2013-05-10,45.39,46.09,45.24,45.40,1833300,45.23
2013-05-09,46.16,46.30,44.99,45.24,2299800,45.07
2013-05-08,46.40,46.55,46.00,46.10,2099800,45.93
2013-05-07,46.50,46.54,45.98,46.31,2179100,46.14
2013-05-06,45.77,46.38,45.77,46.27,3356300,46.10
2013-05-03,46.11,46.50,45.68,45.74,3135800,45.57
2013-05-02,45.65,46.35,45.38,45.50,1915900,45.33
2013-05-01,46.01,46.71,44.61,45.47,3172800,45.30
2013-04-30,45.47,46.21,45.16,46.21,2285000,46.04
2013-04-29,44.87,45.51,44.69,45.33,2498100,45.16
2013-04-26,44.74,45.08,44.29,44.70,2444200,44.53
2013-04-25,44.08,44.78,44.08,44.68,2351400,44.51
2013-04-24,43.04,43.87,43.03,43.79,2626600,43.63
2013-04-23,42.51,42.99,42.42,42.92,1365100,42.76
2013-04-22,42.00,42.46,41.40,42.21,560000,42.05
2013-04-19,41.24,41.93,40.99,41.84,1011600,41.68
2013-04-18,41.89,42.17,40.78,40.94,1728700,40.79
2013-04-17,43.21,43.24,41.34,41.87,1510800,41.71
2013-04-16,42.72,43.61,42.46,43.55,4587500,43.39
2013-04-15,44.53,44.56,42.32,42.32,2057300,42.16
2013-04-12,44.05,44.90,44.05,44.89,1186800,44.72
2013-04-11,43.74,44.54,43.63,44.25,1828100,44.08
2013-04-10,42.73,43.64,42.49,43.64,1749000,43.48
2013-04-09,42.59,42.93,42.04,42.50,1645700,42.34
2013-04-08,42.58,43.09,42.30,42.49,994200,42.33
2013-04-05,42.60,42.83,42.07,42.74,1285200,42.58
2013-04-04,43.28,43.51,42.78,43.26,1419900,43.10
2013-04-03,44.06,44.33,43.14,43.36,1760200,43.20
2013-04-02,44.28,44.50,43.93,44.11,1404400,43.94
2013-04-01,44.38,44.45,43.92,44.00,878600,43.84
2013-03-28,44.52,44.52,44.02,44.40,1978600,44.23
2013-03-27,44.14,44.65,44.08,44.52,1698700,44.35
2013-03-26,43.34,44.46,43.12,44.45,2104400,44.28
2013-03-25,43.36,43.56,42.79,42.92,1630100,42.76
2013-03-22,43.47,43.59,43.01,43.21,997000,43.05
2013-03-21,43.09,43.47,43.05,43.38,1375000,43.22
2013-03-20,43.43,43.49,43.02,43.34,1963300,43.18
2013-03-19,43.03,43.13,42.58,43.11,1727300,42.95
2013-03-18,42.80,43.30,42.42,42.79,1835600,42.63
2013-03-15,43.08,43.56,43.02,43.28,6132800,43.12
2013-03-14,43.30,43.30,43.05,43.25,2235300,43.09
2013-03-13,42.97,43.26,42.87,43.20,2850300,43.04
2013-03-12,43.26,43.27,42.96,43.03,2523700,42.70
2013-03-11,42.93,43.23,42.91,43.20,2516700,42.87
2013-03-08,43.04,43.18,42.79,43.00,2493100,42.67
2013-03-07,42.51,42.82,42.32,42.74,3382800,42.41
2013-03-06,42.73,42.73,41.84,42.36,3212700,42.03
2013-03-05,42.56,42.58,42.16,42.50,2371300,42.17
2013-03-04,42.20,42.40,41.97,42.27,2425300,41.95
2013-03-01,41.57,42.26,41.31,42.20,2907300,41.88
2013-02-28,41.83,42.06,41.61,41.85,3388700,41.53
2013-02-27,39.76,42.02,39.60,41.80,7984900,41.48
2013-02-26,38.53,40.11,38.28,39.73,3741600,39.42
2013-02-25,38.50,38.56,38.07,38.13,2291800,37.84
2013-02-22,38.00,38.37,37.81,38.37,2102600,38.08
2013-02-21,38.65,38.73,37.46,37.91,1939700,37.62
2013-02-20,39.67,39.75,38.77,38.79,2145200,38.49
2013-02-19,40.08,40.08,39.57,39.76,1957800,39.45
2013-02-15,40.32,40.32,39.92,39.98,2256700,39.67
2013-02-14,39.74,40.01,39.71,39.97,2137300,39.66
2013-02-13,39.81,40.05,39.74,39.95,2281400,39.64
2013-02-12,39.18,39.86,39.11,39.81,2940900,39.50
2013-02-11,38.52,39.24,38.38,39.19,1678500,38.89
2013-02-08,38.30,38.53,38.08,38.52,2216900,38.22
