Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,17.70,17.81,17.63,17.75,7792400,17.75
2013-07-11,17.76,17.94,17.54,17.70,6397200,17.70
2013-07-10,17.58,17.70,17.45,17.50,7077500,17.50
2013-07-09,17.50,17.59,17.45,17.49,5683700,17.49
2013-07-08,17.54,17.67,17.31,17.36,4998900,17.36
2013-07-05,17.39,17.64,17.19,17.50,4734000,17.50
2013-07-03,17.40,17.41,17.19,17.26,3708000,17.26
2013-07-02,17.35,17.73,17.33,17.38,6194800,17.38
2013-07-01,17.46,17.63,17.26,17.41,2820200,17.41
2013-06-28,17.21,17.44,17.12,17.32,4244200,17.32
2013-06-27,17.34,17.62,17.27,17.32,3966300,17.32
2013-06-26,17.40,17.44,17.09,17.18,3259500,17.18
2013-06-25,17.11,17.38,16.86,17.32,4779700,17.32
2013-06-24,16.84,17.26,16.56,17.01,6137500,17.01
2013-06-21,17.54,17.54,16.93,17.06,7714600,17.06
2013-06-20,17.82,17.82,17.24,17.38,4693400,17.38
2013-06-19,18.31,18.51,18.13,18.15,2860400,18.15
2013-06-18,18.20,18.40,18.14,18.31,2636000,18.31
2013-06-17,18.03,18.38,18.02,18.18,3905900,18.18
2013-06-14,18.26,18.26,17.68,17.82,4314200,17.82
2013-06-13,17.87,18.24,17.74,18.18,2693900,18.18
2013-06-12,18.29,18.29,17.82,17.90,3365900,17.90
2013-06-11,18.33,18.42,17.95,18.01,5211400,18.01
2013-06-10,18.80,18.81,18.58,18.66,3308100,18.66
2013-06-07,18.77,18.86,18.62,18.79,2115800,18.79
2013-06-06,18.25,18.55,18.14,18.54,2531200,18.54
2013-06-05,18.38,18.41,18.12,18.21,4194000,18.21
2013-06-04,18.36,18.61,18.21,18.37,3610700,18.37
2013-06-03,18.50,18.69,18.38,18.49,3241600,18.49
2013-05-31,18.73,18.83,18.35,18.35,5061900,18.35
2013-05-30,18.87,19.04,18.59,18.87,6490100,18.87
2013-05-29,19.06,19.08,18.66,18.88,5975200,18.88
2013-05-28,18.75,18.87,18.48,18.59,4069800,18.59
2013-05-24,18.52,18.63,18.29,18.46,3993400,18.46
2013-05-23,18.51,18.79,18.39,18.71,4279500,18.71
2013-05-22,19.29,19.59,18.67,18.77,5672400,18.77
2013-05-21,19.45,19.65,19.30,19.31,3554500,19.31
2013-05-20,18.92,19.57,18.85,19.48,6400000,19.48
2013-05-17,18.45,18.92,18.43,18.88,5895200,18.88
2013-05-16,18.57,18.71,18.30,18.35,5096900,18.35
2013-05-15,18.20,18.69,18.14,18.66,8527000,18.66
2013-05-14,17.82,18.39,17.80,18.33,5588500,18.33
2013-05-13,17.80,17.96,17.71,17.83,3948700,17.83
2013-05-10,17.92,17.98,17.64,17.93,3934900,17.93
2013-05-09,18.20,18.34,17.86,18.00,3488700,18.00
2013-05-08,18.20,18.43,18.11,18.28,2437600,18.28
2013-05-07,18.00,18.34,17.94,18.17,2717900,18.17
2013-05-06,17.94,18.01,17.62,17.93,4406000,17.93
2013-05-03,17.82,18.19,17.77,17.88,5594100,17.88
2013-05-02,17.60,17.72,17.23,17.63,5639100,17.63
2013-05-01,17.72,17.77,17.39,17.56,5059200,17.56
2013-04-30,17.63,17.91,17.52,17.89,4632200,17.89
2013-04-29,17.53,17.84,17.38,17.71,4244400,17.71
2013-04-26,17.42,17.49,17.06,17.38,5177100,17.38
2013-04-25,17.24,17.72,17.17,17.43,3957100,17.43
2013-04-24,17.03,17.24,16.97,17.16,7030900,17.16
2013-04-23,17.04,17.06,16.72,16.94,3656700,16.94
2013-04-22,16.76,17.04,16.50,16.98,3534100,16.98
2013-04-19,16.87,16.93,16.42,16.68,3652000,16.68
2013-04-18,16.86,17.10,16.59,16.83,4256400,16.83
2013-04-17,16.95,17.03,16.42,16.78,6310500,16.78
2013-04-16,17.18,17.35,16.90,17.21,3963800,17.21
2013-04-15,17.54,17.59,16.87,16.91,6985200,16.91
2013-04-12,18.23,18.24,17.68,17.81,9182600,17.81
2013-04-11,18.47,18.70,18.22,18.40,7047900,18.40
2013-04-10,18.39,18.50,18.12,18.42,3364700,18.42
2013-04-09,18.02,18.30,17.89,18.27,3262500,18.27
2013-04-08,17.79,18.03,17.72,18.03,4088200,18.03
2013-04-05,17.44,17.80,17.31,17.77,5479900,17.77
2013-04-04,17.57,17.88,17.38,17.78,6862000,17.78
2013-04-03,17.97,18.00,17.49,17.62,6279200,17.62
2013-04-02,18.17,18.20,17.83,17.94,3927800,17.94
2013-04-01,18.65,18.66,18.12,18.20,4158900,18.20
2013-03-28,18.95,19.01,18.55,18.65,4312000,18.65
2013-03-27,18.91,19.01,18.83,18.99,3023600,18.99
2013-03-26,18.94,19.09,18.90,19.07,2576500,19.07
2013-03-25,18.65,18.99,18.62,18.87,5739700,18.87
2013-03-22,18.39,18.67,18.39,18.58,4490500,18.58
2013-03-21,18.24,18.50,18.19,18.36,4147100,18.36
2013-03-20,18.27,18.45,18.07,18.41,3134400,18.41
2013-03-19,18.50,18.57,17.96,18.15,3531900,18.15
2013-03-18,18.31,18.63,18.22,18.44,2437100,18.44
2013-03-15,18.70,18.94,18.49,18.61,6015400,18.61
2013-03-14,18.41,18.82,18.39,18.79,3210800,18.79
2013-03-13,18.49,18.59,18.38,18.40,3897000,18.40
2013-03-12,18.41,18.52,18.31,18.50,3478200,18.50
2013-03-11,18.29,18.44,18.10,18.41,3146200,18.41
2013-03-08,18.25,18.47,18.08,18.40,2639500,18.40
2013-03-07,17.89,18.24,17.70,18.13,2731200,18.13
2013-03-06,17.82,18.00,17.68,17.84,3903200,17.84
2013-03-05,17.68,17.94,17.63,17.70,4507600,17.70
2013-03-04,17.86,17.91,17.31,17.51,4987600,17.51
2013-03-01,17.96,18.04,17.65,17.86,6061800,17.86
2013-02-28,18.00,18.28,17.95,18.12,4657900,18.12
2013-02-27,17.89,18.11,17.81,17.99,5808000,17.99
2013-02-26,17.88,18.00,17.54,17.94,5414500,17.94
2013-02-25,18.58,18.74,17.73,17.73,5250400,17.73
2013-02-22,18.20,18.55,17.94,18.51,3735500,18.51
2013-02-21,18.52,18.76,17.85,18.04,8404800,18.04
2013-02-20,18.73,18.99,18.03,18.04,6891500,18.04
2013-02-19,18.53,18.92,18.45,18.72,4661100,18.72
2013-02-15,18.87,18.87,18.40,18.44,5181100,18.44
2013-02-14,18.73,19.04,18.72,18.92,2751400,18.92
2013-02-13,18.86,19.03,18.67,18.80,4020400,18.80
2013-02-12,18.84,18.84,18.52,18.77,3041100,18.77
2013-02-11,18.87,18.88,18.68,18.75,2604700,18.75
2013-02-08,18.88,19.00,18.78,18.81,3666500,18.81
2013-02-07,19.13,19.14,18.74,18.78,3463300,18.78
2013-02-06,18.89,19.12,18.80,19.11,2874800,19.11
2013-02-05,18.76,19.05,18.75,18.99,3886900,18.99
2013-02-04,18.65,18.71,18.53,18.58,2978300,18.58
2013-02-01,18.78,18.95,18.66,18.90,3306400,18.90
2013-01-31,18.42,18.76,18.27,18.63,3309100,18.63
2013-01-30,18.75,18.89,18.46,18.53,3393600,18.53
2013-01-29,18.28,18.74,18.28,18.73,3207200,18.73
2013-01-28,18.56,18.56,18.22,18.36,2805100,18.36
2013-01-25,18.27,18.59,18.24,18.50,3870200,18.50
2013-01-24,18.23,18.46,18.10,18.21,3589100,18.21
2013-01-23,18.45,18.51,18.17,18.22,3811100,18.22
2013-01-22,18.25,18.54,18.10,18.54,3222100,18.54
2013-01-18,18.00,18.22,17.88,18.19,3750900,18.19
2013-01-17,17.89,18.14,17.87,18.00,4824000,18.00
2013-01-16,17.71,17.80,17.57,17.80,5495700,17.80
2013-01-15,17.09,17.85,16.97,17.76,16418200,17.76
2013-01-14,16.61,16.88,16.60,16.88,3689500,16.88
2013-01-11,16.87,16.96,16.59,16.62,4324800,16.62
2013-01-10,16.69,16.87,16.55,16.80,4292900,16.80
2013-01-09,16.74,16.83,16.47,16.59,4134100,16.59
2013-01-08,16.60,16.76,16.43,16.71,5034100,16.71
2013-01-07,16.70,16.79,16.59,16.66,3097400,16.66
2013-01-04,16.50,16.85,16.46,16.77,3412100,16.77
2013-01-03,16.49,16.79,16.33,16.50,3855400,16.50
2013-01-02,16.59,16.71,16.07,16.50,5673800,16.50
2012-12-31,15.54,16.23,15.50,16.20,4550800,16.20
2012-12-28,15.79,15.83,15.56,15.60,2844900,15.60
2012-12-27,16.10,16.12,15.67,15.92,3623400,15.92
2012-12-26,16.18,16.35,16.07,16.07,2526300,16.07
2012-12-24,16.18,16.26,15.99,16.06,1739200,16.06
2012-12-21,16.15,16.27,15.97,16.27,5977900,16.27
2012-12-20,16.26,16.40,16.18,16.38,2914300,16.38
2012-12-19,16.38,16.41,16.17,16.25,3498200,16.25
2012-12-18,16.07,16.45,16.01,16.39,3645000,16.39
2012-12-17,15.95,16.07,15.85,16.06,3811900,16.06
2012-12-14,15.78,15.96,15.76,15.88,3214900,15.88
2012-12-13,15.97,16.04,15.78,15.86,5060400,15.86
2012-12-12,16.05,16.29,15.95,16.00,4514100,16.00
2012-12-11,16.00,16.10,15.94,16.00,3330300,16.00
2012-12-10,15.68,15.94,15.60,15.92,5071200,15.92
2012-12-07,15.51,15.78,15.50,15.78,4118400,15.78
2012-12-06,15.47,15.66,15.32,15.47,5959600,15.47
2012-12-05,15.31,15.72,15.31,15.57,5709600,15.57
2012-12-04,15.31,15.41,15.15,15.22,4419800,15.22
2012-12-03,15.54,15.75,15.36,15.37,5064900,15.37
2012-11-30,15.37,15.47,15.25,15.43,4582000,15.43
2012-11-29,15.39,15.49,15.28,15.34,4477500,15.34
2012-11-28,14.86,15.27,14.74,15.27,4149400,15.27
2012-11-27,15.22,15.33,15.02,15.05,4306300,15.05
2012-11-26,15.59,15.62,15.16,15.34,4205900,15.34
2012-11-23,15.62,15.78,15.49,15.74,1637400,15.74
2012-11-21,15.37,15.60,15.29,15.50,3229900,15.50
2012-11-20,15.45,15.49,15.17,15.35,8652700,15.35
2012-11-19,15.07,15.52,15.02,15.50,6749000,15.50
2012-11-16,14.39,14.91,14.28,14.80,9049700,14.80
2012-11-15,14.36,14.55,14.24,14.32,12664000,14.32
2012-11-14,14.64,14.71,14.35,14.42,7844600,14.42
2012-11-13,14.55,14.80,14.36,14.55,8577800,14.55
2012-11-12,15.00,15.01,14.48,14.74,8646700,14.74
2012-11-09,14.69,15.22,14.65,14.96,5583700,14.96
2012-11-08,15.00,15.21,14.58,14.78,8751200,14.78
2012-11-07,15.03,15.22,14.80,15.00,12140400,15.00
2012-11-06,15.56,15.67,14.83,15.32,9129000,15.32
2012-11-05,15.27,15.74,15.23,15.55,7094000,15.55
2012-11-02,15.78,15.98,15.32,15.53,6051500,15.53
2012-11-01,15.37,15.78,15.35,15.67,4204100,15.67
2012-10-31,15.34,15.38,15.11,15.33,4453900,15.33
2012-10-26,15.25,15.39,15.05,15.23,3214900,15.23
2012-10-25,15.41,15.50,15.11,15.28,3307200,15.28
2012-10-24,15.52,15.62,15.15,15.23,4657700,15.23
2012-10-23,15.56,15.56,15.20,15.44,4858700,15.44
2012-10-22,16.21,16.31,15.75,15.91,6775600,15.91
