Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,81.21,81.24,80.69,81.00,764500,81.00
2013-07-11,80.95,81.39,80.70,81.33,660600,81.33
2013-07-10,79.40,79.83,79.27,79.53,761800,79.53
2013-07-09,79.15,80.33,79.07,79.53,1048100,79.53
2013-07-08,78.55,78.78,78.01,78.44,1173600,78.44
2013-07-05,77.26,78.05,77.06,78.00,765600,78.00
2013-07-03,76.31,76.74,75.96,76.58,991500,76.58
2013-07-02,77.75,78.16,76.50,76.76,1383500,76.76
2013-07-01,78.49,78.69,77.74,77.84,1214000,77.84
2013-06-28,77.90,78.54,77.61,77.66,2343200,77.66
2013-06-27,78.20,78.36,77.74,78.04,982200,78.04
2013-06-26,77.30,78.07,76.72,77.65,1319500,77.65
2013-06-25,76.66,77.18,76.40,76.70,1425400,76.70
2013-06-24,76.62,76.80,75.58,75.83,1132800,75.83
2013-06-21,77.51,77.81,76.06,77.37,1562100,77.37
2013-06-20,78.51,78.64,76.91,77.06,1271000,77.06
2013-06-19,80.68,80.73,79.39,79.39,698100,79.39
2013-06-18,79.41,80.75,79.20,80.62,909800,80.62
2013-06-17,79.37,79.58,78.78,79.14,570500,79.14
2013-06-14,78.63,79.45,78.30,78.60,654900,78.60
2013-06-13,77.26,78.91,77.09,78.61,750700,78.61
2013-06-12,78.82,78.86,77.16,77.30,708400,77.30
2013-06-11,77.93,78.94,77.66,78.25,1025900,78.25
2013-06-10,79.72,79.76,78.47,78.79,920300,78.79
2013-06-07,79.83,79.99,78.94,79.52,1187100,79.52
2013-06-06,77.65,79.04,77.00,79.04,1046500,79.04
2013-06-05,79.17,79.65,77.47,77.59,1264000,77.59
2013-06-04,78.85,79.78,78.44,79.21,1526500,79.21
2013-06-03,78.38,79.10,77.44,79.03,1404700,79.03
2013-05-31,78.19,79.91,77.96,78.25,1374600,78.25
2013-05-30,78.21,78.93,77.95,78.57,899100,78.57
2013-05-29,78.05,78.76,77.79,77.95,1479100,77.95
2013-05-28,80.21,80.45,78.95,79.19,1192100,78.84
2013-05-24,79.51,79.51,78.18,79.19,1812700,78.84
2013-05-23,78.76,80.36,78.50,79.54,3201700,79.19
2013-05-22,77.88,78.34,76.02,76.41,866000,76.07
2013-05-21,78.00,78.38,77.60,77.87,967300,77.53
2013-05-20,76.92,78.00,76.81,77.82,894500,77.48
2013-05-17,75.93,77.21,75.93,77.21,744600,76.87
2013-05-16,75.60,76.18,75.45,75.77,750400,75.44
2013-05-15,75.14,76.21,75.03,76.00,634700,75.66
2013-05-14,74.00,75.53,73.94,75.43,1085500,75.10
2013-05-13,73.75,74.41,73.42,73.99,940800,73.66
2013-05-10,73.55,74.10,73.30,74.00,625000,73.67
2013-05-09,72.95,73.62,72.81,73.24,644100,72.92
2013-05-08,72.19,73.01,71.82,73.01,693600,72.69
2013-05-07,71.97,72.45,71.67,72.20,839000,71.88
2013-05-06,71.02,72.56,70.80,71.98,1060600,71.66
2013-05-03,69.83,71.79,69.83,71.16,954800,70.85
2013-05-02,68.39,69.43,68.12,69.33,1129700,69.02
2013-05-01,68.77,68.94,67.98,68.03,1401100,67.73
2013-04-30,69.70,69.72,68.71,68.98,1643000,68.68
2013-04-29,69.45,69.91,68.72,69.70,1027800,69.39
2013-04-26,69.98,69.98,68.66,69.10,604200,68.79
2013-04-25,69.95,70.66,69.82,69.94,986900,69.63
2013-04-24,69.35,70.25,68.95,70.07,1107300,69.76
2013-04-23,68.47,69.10,68.11,69.10,1606500,68.79
2013-04-22,68.18,68.31,67.45,68.00,2121500,67.70
2013-04-19,68.58,68.97,68.04,68.15,1424000,67.85
2013-04-18,70.09,70.29,68.21,68.59,1625400,68.29
2013-04-17,71.93,72.81,69.29,69.91,2182100,69.60
2013-04-16,71.18,72.23,70.47,72.22,2150000,71.90
2013-04-15,72.92,73.07,70.43,70.47,1198500,70.16
2013-04-12,74.40,74.64,73.05,73.41,864500,73.09
2013-04-11,74.38,74.76,73.90,74.70,1359200,74.37
2013-04-10,73.12,74.41,73.05,74.41,1084100,74.08
2013-04-09,72.97,73.36,72.33,73.03,1016400,72.71
2013-04-08,72.25,73.10,72.25,72.94,1609300,72.62
2013-04-05,70.94,72.01,70.62,71.75,1086600,71.43
2013-04-04,71.15,72.11,71.09,71.92,1489700,71.60
2013-04-03,71.07,71.77,70.32,70.92,1351000,70.61
2013-04-02,72.04,72.32,70.94,71.17,703900,70.86
2013-04-01,72.76,72.97,71.52,71.77,738500,71.45
2013-03-28,72.34,72.96,72.12,72.88,1531800,72.56
2013-03-27,72.36,72.39,71.64,72.34,998900,72.02
2013-03-26,72.72,72.98,72.42,72.76,1024700,72.44
2013-03-25,73.09,73.36,71.64,72.22,1505500,71.90
2013-03-22,72.40,72.86,72.00,72.79,1500800,72.47
2013-03-21,73.74,73.86,72.14,72.35,1687800,72.03
2013-03-20,73.88,74.01,73.00,73.38,1403800,73.06
2013-03-19,73.99,74.30,73.05,73.58,861000,73.25
2013-03-18,73.31,74.45,73.21,73.89,583500,73.56
2013-03-15,74.25,74.57,73.84,74.08,1232200,73.75
2013-03-14,73.90,74.62,73.71,74.52,923600,74.19
2013-03-13,73.29,73.77,72.89,73.70,1130600,73.37
2013-03-12,73.76,73.76,72.83,73.21,671800,72.89
2013-03-11,73.71,73.99,73.43,73.89,686500,73.56
2013-03-08,73.60,73.82,73.15,73.75,717700,73.42
2013-03-07,73.39,73.68,72.96,73.10,899900,72.78
2013-03-06,73.69,73.72,73.12,73.28,678100,72.96
2013-03-05,72.76,73.80,72.76,73.47,790400,73.15
2013-03-04,72.65,72.74,71.57,72.37,1522000,72.05
2013-03-01,72.89,73.42,71.93,72.96,1340600,72.64
2013-02-28,73.57,73.99,73.17,73.35,1271800,73.03
2013-02-27,72.36,73.85,72.04,73.62,1047500,73.29
2013-02-26,71.51,72.62,71.13,72.25,1292100,71.93
2013-02-25,73.43,73.64,71.38,71.40,1842600,70.74
2013-02-22,71.93,73.45,71.90,73.12,2486100,72.44
2013-02-21,71.85,72.04,71.30,71.62,1557300,70.95
2013-02-20,72.97,73.13,72.16,72.22,1764300,71.55
2013-02-19,72.80,73.25,72.33,72.86,1081300,72.18
2013-02-15,71.91,72.82,71.87,72.56,1544800,71.89
2013-02-14,71.48,71.89,71.29,71.86,1049200,71.19
2013-02-13,71.46,71.83,71.23,71.61,946300,70.94
2013-02-12,71.16,71.70,71.04,71.46,1121900,70.80
2013-02-11,71.10,71.56,71.01,71.06,1079500,70.40
2013-02-08,70.90,71.35,70.77,71.13,921300,70.47
2013-02-07,71.54,71.77,70.57,70.90,1293600,70.24
2013-02-06,70.43,71.38,70.43,71.31,1250800,70.65
2013-02-05,70.20,70.98,70.01,70.81,1252000,70.15
2013-02-04,69.57,70.27,69.57,69.94,1567400,69.29
2013-02-01,69.62,70.53,69.11,70.34,1388000,69.69
2013-01-31,69.11,69.40,68.52,69.18,1713700,68.54
2013-01-30,69.70,69.72,68.99,69.13,1161400,68.49
2013-01-29,67.60,69.71,67.55,69.65,1616900,69.00
2013-01-28,66.98,67.71,66.86,67.54,1620700,66.91
2013-01-25,67.28,67.55,66.53,66.78,1812000,66.16
2013-01-24,68.20,68.24,65.40,67.06,2623100,66.44
2013-01-23,68.05,68.46,67.74,68.16,1096200,67.53
2013-01-22,68.08,68.40,67.66,68.24,1032100,67.61
2013-01-18,68.44,68.55,67.12,68.03,1862900,67.40
2013-01-17,67.19,68.54,67.19,68.24,1140600,67.61
2013-01-16,66.53,66.97,66.23,66.89,820500,66.27
2013-01-15,66.25,66.98,66.24,66.61,1282100,65.99
2013-01-14,66.89,67.12,66.28,66.60,1202100,65.98
2013-01-11,67.27,67.39,66.99,67.07,686800,66.45
2013-01-10,67.67,67.77,67.02,67.41,1053300,66.78
2013-01-09,66.87,67.36,66.32,67.23,1086900,66.60
2013-01-08,67.49,67.77,66.61,66.74,1368000,66.12
2013-01-07,67.00,67.26,66.68,66.86,632400,66.24
2013-01-04,67.41,67.70,67.08,67.30,752900,66.67
2013-01-03,67.27,67.92,66.92,67.13,854500,66.51
2013-01-02,66.97,67.43,66.78,67.24,1360400,66.61
2012-12-31,64.50,65.80,64.29,65.71,732100,65.10
2012-12-28,64.67,65.23,64.59,64.78,884200,64.18
2012-12-27,65.03,65.21,64.42,65.14,1044500,64.53
2012-12-26,64.87,65.25,64.58,64.99,1008100,64.39
2012-12-24,64.20,65.16,64.20,64.87,529600,64.27
2012-12-21,63.84,64.64,63.79,64.54,2057900,63.94
2012-12-20,65.00,65.09,64.42,64.70,1290400,64.10
2012-12-19,65.55,65.62,64.91,64.92,1032000,64.32
2012-12-18,64.24,65.40,63.90,65.34,1437400,64.73
2012-12-17,63.91,64.58,63.81,64.25,1726000,63.65
2012-12-14,63.99,64.37,63.78,63.85,1430800,63.26
2012-12-13,64.07,64.58,63.93,64.09,1320200,63.49
2012-12-12,64.20,64.74,63.58,64.17,1678400,63.57
2012-12-11,64.48,65.05,63.64,63.89,1592300,63.30
2012-12-10,63.67,64.32,62.98,63.79,2827000,63.20
2012-12-07,63.80,63.80,63.34,63.73,850100,63.14
2012-12-06,63.23,63.60,63.01,63.43,744400,62.84
2012-12-05,63.34,63.89,62.72,63.50,885100,62.91
2012-12-04,62.92,63.57,62.92,63.39,771700,62.80
2012-12-03,64.08,64.25,63.05,63.06,791800,62.47
2012-11-30,64.03,64.21,63.45,63.59,2192400,63.00
2012-11-29,63.50,64.13,62.95,64.01,1165500,63.41
2012-11-28,62.31,63.58,62.31,63.29,1059500,62.70
2012-11-27,63.57,63.96,62.63,62.69,1569000,61.76
2012-11-26,63.62,63.97,63.28,63.68,800200,62.74
2012-11-23,63.42,63.90,63.15,63.88,276300,62.93
2012-11-21,63.19,63.48,62.97,63.12,602800,62.18
2012-11-20,62.98,63.40,62.63,63.12,983000,62.18
2012-11-19,61.78,63.03,61.78,62.98,1635000,62.05
2012-11-16,60.85,61.69,60.28,61.57,2008100,60.66
2012-11-15,60.50,61.15,60.15,60.70,1744900,59.80
2012-11-14,61.04,61.90,60.48,60.60,3002800,59.70
2012-11-13,60.26,61.98,59.76,60.75,2312500,59.85
2012-11-12,60.34,60.70,60.05,60.43,1274100,59.53
2012-11-09,59.60,61.81,59.18,60.46,2266500,59.56
2012-11-08,60.07,60.24,59.45,59.61,1155600,58.73
2012-11-07,60.86,61.19,59.37,60.16,1724800,59.27
2012-11-06,61.51,62.23,61.17,61.65,1738500,60.74
2012-11-05,60.14,61.38,59.65,60.82,1981800,59.92
2012-11-02,60.08,60.08,58.54,58.58,1184700,57.71
2012-11-01,58.31,59.55,58.24,59.55,1052100,58.67
2012-10-31,57.89,59.09,57.84,58.22,1099400,57.36
2012-10-26,58.13,58.19,57.26,57.77,1048100,56.91
2012-10-25,57.84,58.23,57.50,58.19,1394600,57.33
2012-10-24,57.54,57.86,57.03,57.52,1883800,56.67
2012-10-23,56.71,57.36,56.34,57.16,1423400,56.31
