Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,34.19,34.22,33.86,34.12,3547200,34.12
2013-07-11,34.34,34.37,34.07,34.20,4079100,34.20
2013-07-10,33.98,34.04,33.60,33.79,4407900,33.79
2013-07-09,33.48,34.13,33.48,34.02,7000700,34.02
2013-07-08,32.90,33.24,32.73,33.09,4570600,33.09
2013-07-05,32.73,32.87,32.36,32.69,2603300,32.69
2013-07-03,32.33,32.45,32.05,32.43,2385600,32.43
2013-07-02,32.42,32.65,32.13,32.44,4651800,32.44
2013-07-01,32.41,32.79,32.30,32.50,5056400,32.50
2013-06-28,32.29,32.57,31.99,32.17,7059300,32.17
2013-06-27,32.38,32.64,32.30,32.35,4302400,32.35
2013-06-26,32.60,32.60,31.89,32.20,9132300,32.20
2013-06-25,32.68,32.71,32.13,32.50,6869800,32.18
2013-06-24,32.20,32.63,31.65,32.35,8508600,32.03
2013-06-21,33.53,33.56,32.19,32.63,13418700,32.31
2013-06-20,33.75,34.24,33.06,33.19,10475700,32.86
2013-06-19,34.56,34.73,34.10,34.10,5030100,33.76
2013-06-18,34.24,35.15,34.20,34.62,4405700,34.28
2013-06-17,34.38,34.49,33.85,34.14,4754800,33.80
2013-06-14,34.52,34.78,33.85,34.01,5481700,33.68
2013-06-13,33.69,34.78,33.54,34.65,6231900,34.31
2013-06-12,34.38,34.45,33.65,33.79,4403200,33.46
2013-06-11,33.96,34.41,33.63,34.00,5196100,33.67
2013-06-10,34.54,34.69,34.12,34.33,4337700,33.99
2013-06-07,33.96,34.56,33.82,34.35,5928100,34.01
2013-06-06,33.63,33.99,33.29,33.89,5295300,33.56
2013-06-05,34.42,34.43,33.52,33.66,5545200,33.33
2013-06-04,34.39,34.72,34.29,34.62,5604200,34.28
2013-06-03,34.37,34.45,33.92,34.34,7630700,34.00
2013-05-31,34.69,35.21,34.45,34.46,5895400,34.12
2013-05-30,35.06,35.18,34.76,34.80,4343400,34.46
2013-05-29,35.02,35.07,34.52,34.94,5734800,34.60
2013-05-28,35.46,35.65,34.90,35.04,5299900,34.69
2013-05-24,34.87,35.19,34.80,35.08,7583400,34.73
2013-05-23,34.56,35.21,34.31,35.10,7719000,34.75
2013-05-22,35.52,36.00,34.91,35.12,7324100,34.77
2013-05-21,35.72,35.93,35.52,35.78,5690100,35.43
2013-05-20,35.82,35.87,35.42,35.61,6194300,35.26
2013-05-17,35.15,35.89,35.11,35.82,7470500,35.47
2013-05-16,35.11,35.49,34.88,35.10,6756600,34.75
