Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,50.59,50.86,50.32,50.43,1523200,50.43
2013-07-11,51.37,51.50,50.30,50.55,1553300,50.55
2013-07-10,51.81,51.89,50.53,50.95,1604900,50.95
2013-07-09,52.01,52.24,51.75,51.89,825900,51.89
2013-07-08,51.10,51.90,51.10,51.72,1408800,51.72
2013-07-05,51.34,51.46,50.84,51.33,649100,50.78
2013-07-03,50.63,51.10,50.34,50.96,671800,50.41
2013-07-02,50.63,51.19,50.53,50.91,1408400,50.36
2013-07-01,50.73,51.28,50.51,50.64,1647000,50.10
2013-06-28,49.40,50.73,49.11,50.48,3477700,49.94
2013-06-27,49.93,50.29,49.32,49.41,1579400,48.88
2013-06-26,49.40,49.93,49.21,49.55,1255300,49.02
2013-06-25,49.48,49.54,48.70,49.07,3022300,48.54
2013-06-24,49.48,49.56,48.43,49.03,3396800,48.50
2013-06-21,50.94,51.00,48.78,50.12,5735000,49.58
2013-06-20,52.41,52.64,50.98,51.23,2438700,50.68
2013-06-19,53.27,53.65,52.56,52.62,1592500,52.06
2013-06-18,52.75,53.32,52.62,53.13,1574500,52.56
2013-06-17,52.94,53.15,52.47,52.77,1282800,52.20
2013-06-14,53.21,53.36,52.47,52.54,874900,51.98
2013-06-13,52.71,53.49,52.44,53.28,1284800,52.71
2013-06-12,54.27,54.29,52.08,52.67,2670900,52.11
2013-06-11,54.29,54.81,54.06,54.23,966200,53.65
2013-06-10,54.56,55.25,54.21,54.66,891300,54.07
2013-06-07,53.54,54.33,53.39,54.23,922500,53.65
2013-06-06,52.72,53.35,52.58,53.31,928900,52.74
2013-06-05,53.19,53.19,52.45,52.74,1069800,52.17
2013-06-04,52.73,53.91,52.73,53.28,1484600,52.71
2013-06-03,51.91,52.61,51.90,52.56,879300,52.00
2013-05-31,52.44,52.87,51.79,51.80,984300,51.24
2013-05-30,53.07,53.22,52.40,52.48,755000,51.92
2013-05-29,53.03,53.32,52.81,52.91,933500,52.34
2013-05-28,53.25,53.60,53.01,53.33,744700,52.76
2013-05-24,52.72,53.00,52.50,52.83,1001700,52.26
2013-05-23,52.25,53.24,52.07,53.22,710000,52.65
2013-05-22,53.57,53.77,52.49,52.62,1206400,52.06
2013-05-21,53.56,53.74,53.35,53.65,828400,53.08
2013-05-20,53.44,53.75,53.13,53.45,602000,52.88
2013-05-17,52.83,53.43,52.71,53.43,1121100,52.86
2013-05-16,53.75,53.75,52.76,52.78,1469900,52.21
2013-05-15,53.64,54.21,53.61,53.91,996400,53.33
2013-05-14,53.23,53.80,52.85,53.76,900900,53.18
2013-05-13,53.48,53.74,53.07,53.16,938600,52.59
2013-05-10,53.04,53.71,53.04,53.56,682200,52.99
2013-05-09,53.41,53.43,52.68,52.99,709300,52.42
2013-05-08,53.00,53.31,52.74,53.31,908400,52.74
2013-05-07,53.03,53.27,52.69,53.16,735100,52.59
2013-05-06,52.75,53.20,52.66,52.91,722300,52.34
2013-05-03,52.50,53.30,52.41,52.82,1616500,52.25
2013-05-02,51.69,52.49,51.47,52.33,1752200,51.77
2013-05-01,51.43,51.96,51.38,51.69,1684700,51.14
2013-04-30,51.30,51.63,51.01,51.63,1901900,51.08
2013-04-29,51.15,51.15,50.70,50.88,1020500,50.33
2013-04-26,50.82,51.34,50.73,50.99,1054700,50.44
2013-04-25,50.78,51.40,50.65,50.97,1741600,50.42
2013-04-24,50.05,50.70,49.95,50.35,2098700,49.81
2013-04-23,49.23,50.21,49.07,49.88,2050200,49.35
2013-04-22,49.00,49.18,48.48,49.06,1079700,48.53
2013-04-19,49.08,49.17,48.68,48.89,830700,48.37
2013-04-18,48.86,49.03,48.25,48.83,1300500,48.31
2013-04-17,49.10,49.24,48.37,48.77,1111200,48.25
2013-04-16,49.22,49.57,48.76,49.44,1623800,48.91
2013-04-15,50.12,50.47,48.68,48.81,1592200,48.29
2013-04-12,49.73,50.39,49.69,50.26,1465300,49.72
2013-04-11,50.09,50.55,49.63,49.83,2192500,49.30
2013-04-10,49.34,50.36,49.24,50.17,2015000,49.63
2013-04-09,49.93,50.21,48.66,49.10,3725000,48.57
2013-04-08,49.99,50.25,49.49,49.90,1408600,49.37
2013-04-05,50.57,50.70,49.93,50.54,3343300,49.50
2013-04-04,50.82,51.36,50.81,51.08,3554000,50.03
2013-04-03,51.52,52.00,50.50,50.61,1694400,49.57
2013-04-02,51.17,51.50,51.11,51.33,1670200,50.28
2013-04-01,51.74,51.74,50.84,50.90,1682600,49.86
2013-03-28,50.59,51.86,50.55,51.68,2046800,50.62
2013-03-27,50.50,50.72,50.12,50.66,870900,49.62
2013-03-26,50.46,50.69,50.01,50.69,1655400,49.65
2013-03-25,50.21,50.91,49.90,50.38,2638600,49.35
2013-03-22,48.80,49.87,48.66,49.62,2352300,48.60
2013-03-21,48.56,49.04,48.32,48.96,2046200,47.96
2013-03-20,48.77,49.17,48.45,48.74,1393800,47.74
2013-03-19,48.90,49.00,48.43,48.66,961800,47.66
2013-03-18,48.95,49.12,48.54,48.88,1206400,47.88
2013-03-15,48.64,49.53,48.63,49.37,2077700,48.36
2013-03-14,49.02,49.13,48.65,48.88,1117700,47.88
2013-03-13,47.91,49.17,47.91,49.01,2592700,48.01
2013-03-12,47.63,47.97,47.55,47.93,1454100,46.95
2013-03-11,47.18,47.67,47.06,47.59,1247800,46.61
2013-03-08,47.69,47.70,46.93,47.33,1368800,46.36
2013-03-07,47.26,47.54,46.87,47.48,1713100,46.51
2013-03-06,46.65,47.46,46.65,47.26,2039700,46.29
2013-03-05,46.50,46.76,46.34,46.62,1153900,45.66
2013-03-04,46.18,46.65,46.16,46.27,1845400,45.32
2013-03-01,45.94,46.21,45.43,46.18,3374100,45.23
2013-02-28,46.83,46.84,46.17,46.27,2116900,45.32
2013-02-27,46.21,47.12,46.08,46.83,2252300,45.87
2013-02-26,44.89,46.00,44.81,45.79,2761900,44.85
2013-02-25,46.21,46.55,45.23,45.25,3423300,44.32
2013-02-22,45.13,46.65,45.06,46.23,7661700,45.28
2013-02-21,44.83,45.30,44.11,44.74,3913600,43.82
2013-02-20,45.32,45.73,44.80,44.85,2196400,43.93
2013-02-19,45.30,45.85,45.05,45.25,2147300,44.32
2013-02-15,45.50,45.98,45.06,45.15,1963400,44.22
2013-02-14,45.78,45.91,45.37,45.52,1562800,44.59
2013-02-13,46.33,46.40,45.55,45.86,2659200,44.92
2013-02-12,47.00,47.03,46.47,46.81,1330600,45.85
2013-02-11,47.31,47.50,46.97,47.08,1365700,46.11
2013-02-08,47.41,47.41,46.98,47.36,1418000,46.39
2013-02-07,47.36,47.82,47.08,47.31,2137700,46.34
2013-02-06,46.79,47.35,46.60,47.32,2106800,46.35
2013-02-05,47.04,47.31,46.78,46.84,2194400,45.88
2013-02-04,46.75,47.40,46.51,46.93,3391500,45.97
2013-02-01,46.55,47.18,46.30,46.84,2597200,45.88
2013-01-31,46.50,46.61,46.11,46.50,1797900,45.55
2013-01-30,45.90,46.87,45.80,46.59,2156500,45.63
2013-01-29,45.90,46.12,45.64,45.99,1024300,45.05
2013-01-28,45.86,46.12,45.74,45.90,1521000,44.96
2013-01-25,46.03,46.06,45.46,45.87,1755100,44.93
2013-01-24,45.61,46.14,45.54,45.81,2145000,44.87
2013-01-23,45.78,46.09,45.50,45.50,1049500,44.57
2013-01-22,45.07,46.08,44.73,45.87,1809100,44.93
2013-01-18,45.38,45.61,45.27,45.38,1241600,44.45
2013-01-17,45.57,45.78,45.11,45.39,1363500,44.46
2013-01-16,45.27,45.41,44.81,45.36,1333300,44.43
2013-01-15,44.66,45.42,44.65,45.33,1479200,44.40
2013-01-14,44.95,45.06,44.58,44.64,1518800,43.72
2013-01-11,45.25,45.34,44.46,44.92,2058600,44.00
2013-01-10,46.00,46.00,44.95,45.24,1613900,44.31
2013-01-09,45.40,45.82,45.32,45.80,1826700,44.86
2013-01-08,45.24,45.43,44.91,45.31,1819900,44.38
2013-01-07,46.49,46.49,45.75,46.04,1814400,44.61
2013-01-04,44.98,46.58,44.98,46.46,2663700,45.01
2013-01-03,45.09,45.26,44.69,44.84,1810800,43.44
2013-01-02,45.68,45.90,44.83,45.40,1743800,43.99
2012-12-31,44.25,45.09,44.16,45.07,1686100,43.67
2012-12-28,44.27,44.70,44.20,44.44,1903200,43.06
2012-12-27,44.57,44.76,44.12,44.65,1492300,43.26
2012-12-26,44.99,44.99,44.36,44.52,1007100,43.13
2012-12-24,45.19,45.19,44.63,44.86,666200,43.46
2012-12-21,45.07,45.44,44.54,45.13,3043500,43.72
2012-12-20,46.71,46.90,45.25,45.47,3044200,44.05
2012-12-19,47.44,47.44,46.81,46.81,1475700,45.35
2012-12-18,47.04,47.48,46.77,47.23,2548300,45.76
2012-12-17,46.47,47.14,46.23,46.88,1619600,45.42
2012-12-14,45.93,46.59,45.72,46.46,2037700,45.01
2012-12-13,45.48,46.11,45.26,45.92,2682300,44.49
2012-12-12,46.59,46.59,45.41,45.80,3490900,44.37
2012-12-11,47.00,47.07,46.08,46.31,2189800,44.87
2012-12-10,46.67,47.14,46.56,46.81,1887700,45.35
2012-12-07,47.13,47.31,46.38,46.66,1734800,45.21
2012-12-06,47.00,47.35,46.74,47.04,1949800,45.58
2012-12-05,47.04,47.35,46.65,47.20,2343400,45.73
2012-12-04,48.00,48.58,46.58,47.40,10527200,45.92
2012-12-03,53.14,53.32,52.37,52.42,1129300,50.79
2012-11-30,53.27,53.32,52.68,52.88,1489900,51.23
2012-11-29,53.95,54.19,53.52,53.65,892400,51.98
2012-11-28,52.88,53.85,52.10,53.85,1199700,52.17
2012-11-27,53.27,53.48,52.80,52.95,818100,51.30
2012-11-26,53.24,53.45,52.61,53.24,911400,51.58
2012-11-23,52.76,53.62,52.76,53.53,458400,51.86
2012-11-21,52.50,52.89,52.25,52.57,730200,50.93
2012-11-20,51.91,52.73,51.84,52.49,1352300,50.86
2012-11-19,51.39,52.01,51.15,51.90,981400,50.28
2012-11-16,50.59,50.98,50.00,50.92,992400,49.33
2012-11-15,50.25,51.04,50.20,50.48,1262300,48.91
2012-11-14,51.37,51.65,50.25,50.34,806600,48.77
2012-11-13,51.13,51.80,50.85,51.25,575200,49.65
2012-11-12,51.71,51.71,51.01,51.37,814900,49.77
2012-11-09,51.29,51.79,50.95,51.61,943500,50.00
2012-11-08,52.61,52.75,51.15,51.35,1399000,49.75
2012-11-07,53.66,53.74,52.65,52.74,1694500,51.10
2012-11-06,53.24,54.21,53.05,54.07,1281500,52.39
2012-11-05,52.45,53.04,52.03,53.01,1410000,51.36
2012-11-02,53.47,53.62,52.56,52.63,1659200,50.99
2012-11-01,52.93,53.45,52.68,53.20,954000,51.54
2012-10-31,52.90,53.14,52.12,52.62,800600,50.98
2012-10-26,52.74,52.74,52.23,52.54,1136800,50.90
2012-10-25,52.56,52.96,51.94,52.66,1074200,51.02
2012-10-24,53.64,53.64,51.79,52.18,2203400,50.56
2012-10-23,52.93,53.60,52.75,53.45,987100,51.79
2012-10-22,53.82,53.87,53.13,53.66,975700,51.99
2012-10-19,54.91,54.91,53.35,53.83,1727400,52.15
2012-10-18,54.90,55.30,54.73,55.21,821000,53.49
2012-10-17,55.43,55.90,55.08,55.10,812900,53.38
