Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,64.35,65.20,64.03,64.91,2724100,64.91
2013-07-11,63.11,64.46,62.90,64.40,3501400,64.40
2013-07-10,62.49,62.71,61.97,62.23,3928600,62.23
2013-07-09,63.70,64.11,62.31,62.41,4106900,62.41
2013-07-08,64.04,64.23,63.32,63.46,3784400,63.46
2013-07-05,63.54,63.84,63.12,63.64,2422100,63.64
2013-07-03,61.64,63.11,61.60,63.08,1534700,63.08
2013-07-02,62.41,62.76,61.99,62.15,2529400,62.15
2013-07-01,62.25,62.89,62.00,62.38,4151300,62.38
2013-06-28,60.37,61.97,60.28,61.64,6951400,61.64
2013-06-27,58.57,61.19,58.46,60.73,7314800,60.73
2013-06-26,61.08,61.51,60.83,61.08,3158600,61.08
2013-06-25,61.06,61.50,60.15,60.41,3804900,60.41
2013-06-24,61.56,61.95,60.67,60.74,3886400,60.74
2013-06-21,60.43,62.11,60.33,61.73,9541000,61.73
2013-06-20,61.63,61.63,59.97,60.07,4730700,60.07
2013-06-19,63.50,63.68,62.07,62.08,3182700,62.08
2013-06-18,61.73,63.77,61.66,63.58,3671600,63.58
2013-06-17,62.52,62.73,61.32,61.87,3144600,61.87
2013-06-14,60.95,62.31,60.91,62.00,3357300,62.00
2013-06-13,59.94,61.34,59.56,61.16,3866300,61.16
2013-06-12,61.78,61.84,59.92,60.16,3315800,60.16
2013-06-11,61.62,62.22,61.20,61.39,2302600,61.39
2013-06-10,62.21,62.24,61.70,62.09,2521400,62.09
2013-06-07,62.32,62.34,61.43,62.20,2479000,62.20
2013-06-06,60.76,61.81,60.50,61.81,4686200,61.81
2013-06-05,61.49,61.64,60.86,60.89,3828300,60.89
2013-06-04,61.61,62.23,61.17,61.57,3913800,61.57
2013-06-03,61.29,61.69,60.53,61.66,3894600,61.66
2013-05-31,62.73,63.18,61.00,61.19,6260100,61.19
2013-05-30,63.59,63.98,63.10,63.10,2055800,63.10
2013-05-29,63.39,63.85,62.78,63.42,2444200,63.42
2013-05-28,64.43,64.62,63.53,63.80,3058600,63.80
2013-05-24,63.18,63.80,62.95,63.74,2637400,63.74
2013-05-23,63.78,64.23,63.27,63.92,2783300,63.92
2013-05-22,64.93,65.20,63.55,63.97,3564600,63.97
2013-05-21,64.73,65.27,64.32,65.00,3392700,65.00
2013-05-20,65.25,65.25,63.94,64.44,3856500,64.44
2013-05-17,65.17,65.43,64.88,65.21,4610600,65.21
2013-05-16,65.00,65.81,64.65,64.72,3604100,64.72
2013-05-15,64.48,65.21,64.33,65.17,3986300,65.17
