Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,69.88,70.25,69.41,70.15,2061600,70.15
2013-07-11,69.00,70.03,68.93,69.90,2544100,69.90
2013-07-10,68.05,68.82,67.81,68.59,2153400,68.59
2013-07-09,67.95,68.18,67.68,68.16,2762900,68.16
2013-07-08,67.30,67.74,67.10,67.73,3097400,67.73
2013-07-05,67.48,67.58,66.50,67.27,3014600,67.27
2013-07-03,66.96,67.40,66.74,67.39,1606500,67.39
2013-07-02,66.80,67.46,66.73,67.18,5239700,67.18
2013-07-01,67.90,68.05,66.51,66.84,2681700,66.84
2013-06-28,67.44,68.02,67.11,67.50,2761600,67.50
2013-06-27,67.89,68.19,67.38,67.52,2371800,67.52
2013-06-26,66.60,67.88,66.55,67.61,3856700,67.61
2013-06-25,65.68,66.44,65.24,66.12,2636500,66.12
2013-06-24,65.19,66.00,64.95,65.46,2935900,65.46
2013-06-21,65.49,66.19,64.62,65.58,6334900,65.58
2013-06-20,66.50,66.53,65.01,65.10,4726600,65.10
2013-06-19,68.20,68.56,66.70,66.72,3312900,66.72
2013-06-18,67.73,68.32,67.09,68.23,3188700,68.23
2013-06-17,68.18,68.96,67.43,67.65,2751000,67.65
2013-06-14,67.49,68.05,67.45,67.64,2001000,67.64
2013-06-13,66.69,67.57,66.53,67.49,3312700,67.49
2013-06-12,67.63,67.79,66.42,66.59,3053000,66.59
2013-06-11,67.53,68.12,67.10,67.21,2626500,67.21
2013-06-10,68.03,68.42,67.51,67.89,2312400,67.89
2013-06-07,67.67,68.18,67.08,67.69,2740000,67.69
2013-06-06,66.81,67.53,66.57,67.50,3626000,67.50
2013-06-05,66.96,67.17,66.56,66.81,3339000,66.81
2013-06-04,67.19,67.49,66.82,67.15,3327400,67.15
2013-06-03,66.96,67.64,66.18,67.20,3915700,67.20
2013-05-31,67.15,68.50,66.93,66.93,4277400,66.93
2013-05-30,67.52,68.46,67.30,67.31,3949000,67.31
2013-05-29,67.29,67.39,66.17,67.15,4533900,67.15
2013-05-28,69.09,69.36,67.42,67.75,6062000,67.75
2013-05-24,69.49,69.67,68.68,68.88,2802200,68.88
2013-05-23,69.75,70.11,68.46,69.76,3412400,69.76
2013-05-22,71.32,71.82,69.92,70.19,2951900,70.19
2013-05-21,71.33,71.63,70.71,71.39,2973500,71.39
2013-05-20,71.61,71.70,71.18,71.33,2136400,71.33
2013-05-17,71.41,71.68,71.00,71.62,3226900,71.62
2013-05-16,72.12,72.19,71.11,71.16,2494000,71.16
2013-05-15,71.35,72.50,71.31,72.24,3189000,72.24
2013-05-14,71.75,72.65,71.75,72.08,4030000,71.32
2013-05-13,71.93,72.06,71.38,71.77,8248300,71.01
2013-05-10,71.89,72.20,71.41,72.18,7864800,71.41
2013-05-09,73.03,73.12,71.83,72.05,7705500,71.29
2013-05-08,73.70,73.80,72.71,72.91,3328900,72.14
2013-05-07,72.91,73.74,72.75,73.70,2927500,72.92
2013-05-06,74.30,74.40,72.80,72.90,3431600,72.13
2013-05-03,75.16,75.25,74.14,74.47,3091600,73.68
2013-05-02,74.87,75.13,74.22,74.78,2473400,73.99
2013-05-01,75.00,75.46,74.77,74.89,1639500,74.10
2013-04-30,75.03,75.28,74.58,75.20,2240700,74.40
2013-04-29,75.04,75.40,74.86,75.20,1657800,74.40
2013-04-26,75.10,75.42,74.82,74.86,2431100,74.07
2013-04-25,75.01,75.36,74.70,75.14,2000400,74.34
2013-04-24,74.50,75.11,74.02,74.72,1812500,73.93
2013-04-23,74.64,74.64,73.85,74.41,1876300,73.62
2013-04-22,74.31,74.47,73.91,74.28,1454600,73.49
2013-04-19,73.44,74.38,73.24,74.34,2052200,73.55
2013-04-18,73.25,73.53,72.94,73.24,1656200,72.46
2013-04-17,73.29,73.36,72.53,73.15,2159400,72.37
2013-04-16,72.77,73.60,72.45,73.57,2576600,72.79
2013-04-15,72.81,73.59,72.29,72.29,2515900,71.52
2013-04-12,73.00,73.41,72.78,72.97,2546500,72.20
2013-04-11,72.93,73.45,72.75,73.17,2409100,72.39
2013-04-10,72.97,73.28,72.67,72.79,2130700,72.02
2013-04-09,73.09,73.09,72.53,72.62,1950100,71.85
2013-04-08,71.97,73.08,71.70,73.01,3433000,72.24
2013-04-05,71.33,72.11,71.25,72.05,3556100,71.29
2013-04-04,71.62,71.97,71.62,71.79,4730300,71.03
2013-04-03,72.31,72.66,71.57,71.71,3975000,70.95
2013-04-02,72.50,72.66,72.30,72.62,2077900,71.85
