Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,56.06,56.52,55.46,55.65,2371100,55.65
2013-07-11,55.80,56.90,55.52,55.97,3077100,55.97
2013-07-10,55.73,55.89,55.24,55.27,2696700,55.27
2013-07-09,55.04,55.71,54.90,55.61,2736600,55.61
2013-07-08,54.93,55.42,54.67,54.82,2888600,54.82
2013-07-05,53.73,54.66,53.46,54.56,2797800,54.56
2013-07-03,52.97,53.57,52.54,53.50,1802000,53.50
2013-07-02,52.33,53.10,52.29,53.05,3261400,53.05
2013-07-01,52.12,52.75,52.00,52.28,2865300,52.28
2013-06-28,52.32,52.45,51.67,51.88,3936700,51.88
2013-06-27,53.30,53.65,52.25,52.36,3876300,52.36
2013-06-26,53.49,53.50,52.60,52.99,2154100,52.99
2013-06-25,52.44,53.26,51.95,53.07,3499200,53.07
2013-06-24,52.83,52.85,51.66,52.03,4363100,52.03
2013-06-21,53.20,53.55,52.78,53.43,5514300,53.43
2013-06-20,53.71,53.79,52.53,52.71,4162300,52.71
2013-06-19,55.26,55.47,54.12,54.13,2951100,54.13
2013-06-18,54.94,55.58,54.87,55.30,2458600,55.30
2013-06-17,54.83,55.32,54.63,55.00,2571100,55.00
2013-06-14,55.01,55.23,54.17,54.32,2460600,54.32
2013-06-13,54.52,55.15,54.22,55.04,2298000,55.04
2013-06-12,55.75,55.75,54.35,54.54,2686900,54.54
2013-06-11,55.61,55.72,55.01,55.26,2663400,55.04
2013-06-10,56.79,56.85,55.89,56.22,1960300,56.00
2013-06-07,56.18,56.90,55.80,56.85,3352700,56.62
2013-06-06,57.94,58.00,54.83,55.83,7772100,55.61
2013-06-05,57.15,57.23,56.58,56.64,3001900,56.41
2013-06-04,57.40,57.73,56.91,57.25,1986400,57.02
2013-06-03,56.90,57.75,56.72,57.55,2464800,57.32
2013-05-31,58.16,58.17,56.83,56.85,3303200,56.62
2013-05-30,58.54,58.79,57.77,58.39,2155200,58.16
2013-05-29,58.02,58.85,57.81,58.66,2678800,58.43
2013-05-28,58.50,59.03,58.05,58.23,2538000,58.00
2013-05-24,57.66,58.01,57.26,57.84,2846800,57.61
2013-05-23,57.96,58.68,57.29,58.29,5021500,58.06
2013-05-22,60.36,61.10,58.76,59.15,3598800,58.91
2013-05-21,59.82,60.86,59.58,60.17,3482600,59.93
2013-05-20,58.82,59.95,58.77,59.86,2390300,59.62
2013-05-17,58.66,59.30,58.50,58.79,3107300,58.56
2013-05-16,58.65,58.87,57.91,58.23,2251100,58.00
2013-05-15,59.08,59.37,58.37,58.76,2476500,58.53
2013-05-14,59.17,59.73,59.08,59.45,1883200,59.21
2013-05-13,59.08,59.67,58.57,59.17,2579400,58.93
2013-05-10,58.05,59.21,57.91,59.18,3318800,58.94
2013-05-09,58.40,58.68,57.92,58.39,2288800,58.16
2013-05-08,58.14,58.91,58.03,58.43,2642900,58.20
2013-05-07,58.36,58.85,57.43,58.12,5309400,57.89
2013-05-06,58.15,59.49,57.99,58.40,3829600,58.17
2013-05-03,57.09,58.31,56.97,58.15,4007800,57.92
2013-05-02,55.74,56.88,55.02,56.64,4593400,56.41
2013-05-01,55.26,57.16,54.59,55.24,8214600,55.02
2013-04-30,54.75,55.15,54.46,55.06,3234900,54.84
2013-04-29,53.86,55.05,53.65,54.77,2963600,54.55
2013-04-26,53.60,53.75,52.75,53.61,2691600,53.40
2013-04-25,53.52,54.50,53.31,53.47,2708500,53.26
2013-04-24,53.14,53.72,52.97,53.43,2889900,53.22
2013-04-23,51.83,52.96,51.11,52.93,5267600,52.72
2013-04-22,51.50,51.85,50.81,51.70,4636500,51.49
2013-04-19,53.34,53.44,51.04,51.44,5515000,51.24
2013-04-18,52.92,53.50,52.09,53.10,3129400,52.89
2013-04-17,53.48,53.49,52.08,52.80,3520700,52.59
2013-04-16,53.68,54.16,53.28,54.03,3392500,53.81
2013-04-15,54.33,54.49,53.08,53.10,5542900,52.89
2013-04-12,56.25,56.51,54.92,55.05,5752900,54.83
2013-04-11,55.95,56.69,55.46,56.54,2921700,56.31
2013-04-10,55.52,56.08,55.16,55.80,2566600,55.58
2013-04-09,54.49,55.59,54.20,55.23,2264400,55.01
2013-04-08,54.06,54.72,53.79,54.44,2486400,54.22
2013-04-05,52.97,54.50,52.79,54.00,3446800,53.79
2013-04-04,53.81,54.16,53.11,53.39,3221400,53.18
2013-04-03,54.95,55.05,53.62,53.85,2912600,53.64
2013-04-02,55.69,55.70,54.70,54.95,3133700,54.73
2013-04-01,56.19,56.27,55.03,55.52,3464600,55.30
2013-03-28,57.14,57.30,56.34,56.42,3737300,56.20
2013-03-27,56.94,57.34,56.75,57.14,1787700,56.91
2013-03-26,57.23,57.45,56.81,57.21,2273600,56.98
2013-03-25,57.65,58.15,56.84,57.02,2427100,56.79
2013-03-22,57.21,57.60,56.95,57.31,2472900,57.08
2013-03-21,56.79,57.70,56.65,56.91,2928700,56.68
2013-03-20,57.70,58.00,56.70,57.11,2894200,56.88
2013-03-19,57.93,58.12,56.82,57.26,3818700,57.03
2013-03-18,57.62,58.48,57.35,57.97,3180000,57.74
2013-03-15,57.50,58.53,57.36,58.06,4884200,57.83
2013-03-14,55.76,57.79,55.70,57.68,4114900,57.45
2013-03-13,55.31,56.48,55.31,55.69,3625400,55.47
2013-03-12,56.08,56.50,55.68,55.86,3096900,55.44
2013-03-11,56.02,56.17,55.25,55.96,2598400,55.54
2013-03-08,56.00,56.31,55.78,56.24,2688600,55.82
2013-03-07,54.31,55.87,54.30,55.79,3987100,55.37
2013-03-06,54.25,54.67,53.86,54.32,2834400,53.91
2013-03-05,53.91,54.46,53.65,54.08,3159300,53.67
2013-03-04,53.69,53.79,53.18,53.53,3394500,53.13
2013-03-01,53.87,54.06,53.57,53.88,2720100,53.47
2013-02-28,54.09,54.56,53.86,54.26,4214600,53.85
2013-02-27,53.57,54.45,53.55,54.14,3139400,53.73
2013-02-26,54.34,54.42,52.69,53.73,5166500,53.32
2013-02-25,55.47,55.73,53.98,54.00,4826300,53.59
2013-02-22,55.30,55.49,54.35,54.98,4545400,54.57
