Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,24.25,24.49,23.98,24.32,2703000,24.32
2013-07-11,24.10,24.30,23.65,24.27,3735700,24.27
2013-07-10,23.51,23.91,23.34,23.90,3341700,23.90
2013-07-09,23.73,23.86,23.40,23.57,2352600,23.57
2013-07-08,23.89,23.99,23.17,23.54,3816800,23.54
2013-07-05,23.50,23.88,23.32,23.83,1894300,23.83
2013-07-03,23.28,23.56,23.19,23.31,2064700,23.31
2013-07-02,23.20,23.54,22.99,23.52,3334700,23.52
2013-07-01,22.89,23.39,22.87,23.18,3606600,23.18
2013-06-28,21.93,23.12,21.93,22.99,7366900,22.99
2013-06-27,21.96,22.59,21.94,22.21,2949100,22.21
2013-06-26,22.08,22.11,21.65,21.79,2625900,21.79
2013-06-25,21.85,22.02,21.56,21.78,2307100,21.78
2013-06-24,21.89,21.94,21.33,21.61,3102600,21.61
2013-06-21,22.15,22.66,21.75,21.98,5704300,21.98
2013-06-20,22.61,22.77,22.14,22.15,3922900,22.15
2013-06-19,22.96,23.21,22.83,22.84,3879100,22.84
2013-06-18,22.42,23.09,22.42,23.03,4485600,23.03
2013-06-17,21.84,22.75,21.84,22.43,4715600,22.43
2013-06-14,21.49,22.03,21.45,21.81,3587900,21.81
2013-06-13,21.53,21.65,20.95,21.49,7727700,21.49
2013-06-12,22.79,22.91,21.43,21.54,6643000,21.54
2013-06-11,22.74,23.31,22.54,22.60,3851900,22.60
2013-06-10,23.60,23.66,22.80,22.87,3780500,22.87
2013-06-07,23.50,23.66,23.23,23.61,3476200,23.61
2013-06-06,22.83,23.28,22.71,23.28,3556000,23.28
2013-06-05,22.76,23.00,22.57,22.88,3446800,22.88
2013-06-04,22.85,23.13,22.54,22.72,4815400,22.72
2013-06-03,23.01,23.11,22.51,22.99,3861700,22.99
2013-05-31,23.19,23.60,22.99,22.99,4526000,22.99
2013-05-30,23.04,23.54,23.03,23.35,3288300,23.35
2013-05-29,23.24,23.48,22.96,23.16,4520900,23.16
2013-05-28,22.99,23.53,22.77,23.26,6106400,23.26
2013-05-24,22.27,22.98,22.26,22.77,6061000,22.77
2013-05-23,21.59,22.70,21.50,22.65,5805900,22.65
2013-05-22,22.13,22.77,21.68,21.75,6620500,21.75
2013-05-21,21.63,22.59,21.58,21.97,6469900,21.97
2013-05-20,22.00,22.33,21.77,21.79,4693500,21.79
2013-05-17,21.75,22.35,21.50,22.21,5621100,22.21
2013-05-16,22.60,22.70,22.00,22.02,4394200,22.02
2013-05-15,22.04,22.84,22.02,22.64,4810200,22.64
2013-05-14,21.80,22.43,21.78,22.41,4407600,22.41
2013-05-13,22.27,22.48,21.45,21.74,7215100,21.74
2013-05-10,21.50,22.57,21.45,22.48,9168300,22.48
2013-05-09,21.04,21.89,20.95,21.64,11145700,21.64
2013-05-08,19.80,21.68,19.80,21.56,22314500,21.56
2013-05-07,18.85,18.85,18.05,18.41,8074800,18.41
2013-05-06,17.67,18.31,17.62,18.29,4307500,18.29
2013-05-03,17.69,18.13,17.68,17.96,6220600,17.96
2013-05-02,17.39,17.54,17.15,17.54,2373200,17.54
2013-05-01,17.59,17.65,17.16,17.30,2412100,17.30
2013-04-30,17.77,17.79,17.36,17.61,2409300,17.61
2013-04-29,17.89,18.00,17.71,17.77,2157400,17.77
2013-04-26,17.96,18.12,17.86,17.88,3222300,17.88
2013-04-25,17.86,18.06,17.79,17.94,3347300,17.94
2013-04-24,17.43,17.86,17.42,17.80,2525900,17.80
2013-04-23,17.29,17.59,17.14,17.42,2200300,17.42
2013-04-22,17.10,17.37,16.76,17.28,3144600,17.28
2013-04-19,16.88,17.15,16.65,17.09,2654300,17.09
2013-04-18,17.02,17.10,16.75,16.94,2282400,16.94
2013-04-17,17.15,17.31,16.84,17.01,4159700,17.01
2013-04-16,17.10,17.47,16.87,17.37,4366000,17.37
2013-04-15,17.50,17.60,16.90,16.91,4218000,16.91
2013-04-12,17.53,17.61,17.34,17.58,2168800,17.58
2013-04-11,17.96,17.96,17.60,17.63,3190300,17.63
2013-04-10,17.41,17.84,17.28,17.80,3976300,17.80
2013-04-09,17.36,17.51,17.24,17.45,1778500,17.45
2013-04-08,17.33,17.38,16.98,17.27,2726300,17.27
2013-04-05,17.14,17.37,17.00,17.35,2580200,17.35
2013-04-04,17.34,17.39,17.11,17.25,4305700,17.25
2013-04-03,17.55,17.59,17.19,17.24,4527900,17.24
2013-04-02,17.75,17.94,17.43,17.55,3959800,17.55
2013-04-01,17.61,18.02,17.61,17.92,4288600,17.92
2013-03-28,17.63,17.73,17.39,17.70,6487400,17.70
2013-03-27,17.76,17.83,17.47,17.79,2673600,17.79
2013-03-26,18.11,18.15,17.69,17.77,4608200,17.77
2013-03-25,18.12,18.14,17.51,17.56,4829200,17.56
2013-03-22,17.68,18.03,17.68,17.97,4712400,17.97
2013-03-21,17.58,17.99,17.54,17.70,5885400,17.70
2013-03-20,17.18,17.41,17.08,17.34,5450700,17.34
2013-03-19,18.71,18.85,16.93,17.15,20063900,17.15
2013-03-18,18.70,18.77,18.42,18.71,5077800,18.71
2013-03-15,19.33,19.34,18.87,18.88,5657900,18.88
2013-03-14,19.07,19.36,18.95,19.34,3483500,19.34
2013-03-13,19.04,19.15,18.79,18.94,5548100,18.94
2013-03-12,19.06,19.25,18.99,19.25,3948000,19.25
2013-03-11,18.58,19.51,18.58,19.13,7736200,19.13
2013-03-08,18.75,18.82,18.48,18.58,3831300,18.58
2013-03-07,18.56,18.94,18.44,18.71,4026400,18.71
2013-03-06,18.63,18.87,18.45,18.62,3182600,18.62
2013-03-05,18.34,18.90,18.30,18.51,4899100,18.51
2013-03-04,17.97,18.30,17.93,18.20,4846700,18.20
2013-03-01,17.53,18.08,17.42,18.04,5916800,18.04
2013-02-28,17.59,18.00,17.52,17.53,7160500,17.53
2013-02-27,17.65,18.20,17.41,18.12,5373400,18.12
2013-02-26,17.76,17.82,17.45,17.69,4560000,17.69
2013-02-25,17.84,18.03,17.69,17.70,5689900,17.70
2013-02-22,17.67,17.87,17.67,17.81,3526200,17.81
2013-02-21,17.65,17.92,17.16,17.64,10889900,17.64
2013-02-20,17.51,17.75,17.45,17.48,5319900,17.48
2013-02-19,17.05,17.75,17.00,17.59,4936300,17.59
2013-02-15,17.15,17.18,16.83,16.97,5481100,16.97
2013-02-14,17.13,17.36,16.98,17.15,5668200,17.15
2013-02-13,17.39,17.55,17.06,17.17,5300200,17.17
2013-02-12,17.38,17.59,17.28,17.54,4443500,17.54
2013-02-11,17.30,17.60,17.13,17.41,4414900,17.41
2013-02-08,17.05,17.51,16.86,17.37,4846300,17.37
2013-02-07,16.91,17.03,16.72,16.87,3101000,16.87
2013-02-06,17.18,17.18,16.80,16.88,5423900,16.88
2013-02-05,16.25,17.25,16.16,16.89,11244000,16.89
2013-02-04,16.01,16.19,15.94,16.00,3720200,16.00
2013-02-01,15.62,16.25,15.44,16.19,9353700,16.19
2013-01-31,14.63,16.18,14.62,15.73,12537800,15.73
2013-01-30,14.94,15.48,14.94,15.08,8508700,15.08
2013-01-29,15.18,15.18,14.82,14.95,5391600,14.95
2013-01-28,14.98,15.10,14.65,15.04,8397100,15.04
2013-01-25,14.31,14.92,14.31,14.77,3966000,14.77
2013-01-24,14.05,14.36,14.02,14.26,4638500,14.26
2013-01-23,14.52,14.61,13.99,14.05,4998500,14.05
2013-01-22,14.46,14.49,14.31,14.43,3284800,14.43
2013-01-18,14.54,14.72,14.40,14.46,3183700,14.46
2013-01-17,14.66,14.80,14.47,14.51,3157400,14.51
2013-01-16,14.59,14.77,14.41,14.60,2529900,14.60
2013-01-15,14.30,14.62,14.17,14.61,2535400,14.61
2013-01-14,14.23,14.50,14.15,14.43,4188700,14.43
2013-01-11,13.70,14.33,13.29,14.24,6496800,14.24
2013-01-10,13.80,14.01,13.75,14.00,3207900,14.00
2013-01-09,13.78,13.85,13.57,13.70,3892500,13.70
2013-01-08,14.24,14.30,13.77,13.77,5110000,13.77
2013-01-07,14.26,14.60,14.26,14.45,3863300,14.45
2013-01-04,14.76,14.95,14.70,14.88,3348500,14.88
2013-01-03,14.53,14.81,14.51,14.74,3664600,14.74
2013-01-02,14.77,14.93,14.38,14.55,6881000,14.55
2012-12-31,13.89,14.55,13.83,14.52,7190800,14.52
2012-12-28,13.88,14.04,13.79,13.92,2164300,13.92
2012-12-27,14.09,14.25,13.78,14.02,4006300,14.02
2012-12-26,14.13,14.26,14.06,14.16,3512000,14.16
2012-12-24,13.88,14.20,13.87,14.11,2928000,14.11
2012-12-21,13.74,13.97,13.41,13.89,18432600,13.89
