Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,58.76,59.28,58.36,59.20,1764200,59.20
2013-07-11,58.30,58.82,58.30,58.81,1582700,58.81
2013-07-10,57.87,58.11,57.29,57.88,1652800,57.88
2013-07-09,57.87,58.03,57.58,57.88,1632900,57.88
2013-07-08,57.42,57.74,57.16,57.73,1937800,57.73
2013-07-05,57.46,57.46,56.56,57.16,1236100,57.16
2013-07-03,57.42,57.59,57.18,57.46,725500,57.46
2013-07-02,57.43,57.97,57.32,57.56,1531700,57.56
2013-07-01,58.52,58.68,57.35,57.51,1699600,57.51
2013-06-28,57.81,58.41,57.53,58.31,5112000,58.31
2013-06-27,58.25,58.72,57.90,58.04,1796100,58.04
2013-06-26,57.47,58.21,57.40,58.11,1947900,58.11
2013-06-25,56.50,57.25,56.15,57.03,1726200,57.03
2013-06-24,55.98,56.66,55.42,56.29,2418200,56.29
2013-06-21,56.23,56.84,55.60,56.39,3246400,56.39
2013-06-20,57.00,57.17,55.70,55.78,2500300,55.78
2013-06-19,58.81,58.95,57.27,57.28,1736900,57.28
2013-06-18,58.49,58.95,58.13,58.95,1984100,58.95
2013-06-17,58.26,58.70,58.24,58.57,2537300,58.57
2013-06-14,57.85,58.12,57.55,57.82,2058600,57.82
2013-06-13,56.76,57.58,56.50,57.56,2033200,57.56
2013-06-12,57.33,57.51,56.59,56.77,1409700,56.77
2013-06-11,57.12,57.65,57.01,57.15,1255600,57.15
2013-06-10,57.50,57.70,57.13,57.40,1211300,57.40
2013-06-07,57.41,57.75,56.88,57.43,1433800,57.43
2013-06-06,56.98,57.73,56.56,57.33,2293700,57.33
2013-06-05,56.35,57.19,56.00,56.99,3124700,56.99
2013-06-04,56.95,57.05,56.23,56.49,2306200,56.49
2013-06-03,57.01,57.33,55.83,56.98,3715700,56.98
2013-05-31,57.53,58.20,57.07,57.07,2352000,57.07
2013-05-30,57.92,58.48,57.51,57.68,2489100,57.68
2013-05-29,58.28,58.38,56.85,57.74,2906100,57.74
2013-05-28,58.67,58.88,58.31,58.56,2261100,58.56
2013-05-24,58.77,58.97,58.37,58.66,1389600,58.66
2013-05-23,59.38,59.44,58.35,59.01,1982700,59.01
2013-05-22,60.78,61.16,59.48,59.61,2024400,59.61
