Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,60.99,61.20,60.72,61.09,508500,61.09
2013-07-11,60.88,61.20,60.82,61.05,481100,61.05
2013-07-10,59.81,60.46,59.81,60.40,504700,60.40
2013-07-09,59.98,60.15,59.65,59.83,728000,59.83
2013-07-08,59.92,59.93,59.35,59.66,928500,59.66
2013-07-05,59.38,59.59,59.07,59.54,381000,59.54
2013-07-03,59.01,59.37,58.74,59.03,200900,59.03
2013-07-02,59.37,59.58,58.98,59.29,443500,59.29
2013-07-01,58.95,59.85,58.95,59.41,421700,59.41
2013-06-28,59.02,59.30,58.89,58.93,773100,58.93
2013-06-27,59.01,59.31,58.92,59.20,477300,59.20
2013-06-26,58.77,59.03,58.43,58.65,593900,58.65
2013-06-25,58.43,58.85,58.25,58.59,439700,58.59
2013-06-24,57.97,58.37,57.54,58.02,467100,58.02
2013-06-21,59.90,60.07,58.34,58.45,862100,58.45
2013-06-20,59.95,60.22,59.27,59.40,686200,59.40
2013-06-19,61.37,61.50,60.54,60.55,344800,60.55
2013-06-18,60.31,61.46,59.97,61.30,543200,61.30
2013-06-17,61.28,61.54,60.19,60.31,817600,60.31
2013-06-14,60.70,60.95,60.47,60.80,536600,60.80
2013-06-13,59.70,60.81,59.39,60.74,603100,60.74
2013-06-12,60.36,60.37,59.67,59.67,347000,59.67
2013-06-11,59.94,60.19,59.31,59.98,488800,59.98
2013-06-10,60.53,60.92,60.10,60.35,622700,60.35
2013-06-07,60.12,60.79,59.88,60.35,521700,60.35
2013-06-06,59.79,59.99,59.04,59.80,480300,59.80
2013-06-05,61.16,61.18,59.73,59.79,761500,59.79
2013-06-04,61.16,61.22,60.71,60.92,673400,60.92
2013-06-03,61.00,61.33,60.50,61.29,457000,61.29
2013-05-31,61.47,61.87,60.88,60.90,477600,60.90
2013-05-30,61.50,62.06,61.36,61.66,439900,61.66
2013-05-29,61.49,61.79,60.80,61.46,983300,61.46
2013-05-28,61.63,62.09,61.32,61.66,603500,61.66
2013-05-24,60.91,61.23,60.59,61.21,412000,61.21
2013-05-23,61.03,61.62,60.63,61.19,594300,61.19
2013-05-22,62.38,62.68,61.31,61.60,672600,61.60
2013-05-21,62.44,62.96,62.34,62.67,644500,62.45
2013-05-20,62.45,62.45,61.22,62.28,729000,62.06
