Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,48.55,48.55,48.04,48.47,2057800,48.47
2013-07-11,48.19,48.52,47.89,48.50,2404000,48.50
2013-07-10,46.93,47.76,46.61,47.75,2304400,47.75
2013-07-09,47.00,47.19,46.81,47.13,2242200,47.13
2013-07-08,46.30,47.00,46.13,46.89,1770100,46.89
2013-07-05,46.69,46.69,45.62,46.06,1490200,46.06
2013-07-03,46.52,46.85,46.10,46.61,1142000,46.61
2013-07-02,47.07,47.33,46.45,46.80,1897500,46.80
2013-07-01,48.23,48.37,47.02,47.08,2714300,47.08
2013-06-28,47.41,48.40,47.22,48.16,2782500,48.16
2013-06-27,47.35,48.04,47.31,47.52,2651200,47.52
2013-06-26,46.67,47.33,46.41,47.27,1980800,47.27
2013-06-25,46.46,46.82,46.02,46.59,2582900,46.25
2013-06-24,45.64,46.59,45.39,46.18,3189800,45.84
2013-06-21,45.30,46.25,44.86,46.06,3421600,45.73
2013-06-20,46.11,46.17,44.90,45.00,3021800,44.67
2013-06-19,47.54,47.86,46.49,46.49,2860800,46.15
2013-06-18,47.56,48.00,47.22,47.71,1742900,47.36
2013-06-17,47.76,48.05,47.26,47.44,2944200,47.10
2013-06-14,47.03,47.59,46.95,47.15,2736800,46.81
2013-06-13,46.31,46.83,46.19,46.75,2866800,46.41
2013-06-12,47.10,47.18,46.26,46.32,2839000,45.98
2013-06-11,46.71,47.14,46.44,46.80,3223400,46.46
2013-06-10,47.47,47.51,46.95,47.06,4757400,46.72
2013-06-07,46.34,47.65,45.73,47.61,6358000,47.26
2013-06-06,45.75,46.36,45.74,46.36,3513400,46.02
2013-06-05,46.06,46.07,45.58,45.77,2504100,45.44
2013-06-04,45.95,46.36,45.79,46.27,3589500,45.93
2013-06-03,45.93,46.21,45.20,45.97,3383000,45.64
2013-05-31,46.10,46.81,45.94,45.94,1936900,45.61
2013-05-30,46.33,47.06,46.26,46.27,2075000,45.93
2013-05-29,47.46,47.46,45.99,46.21,2675200,45.87
2013-05-28,47.90,47.90,47.10,47.42,1636500,47.08
2013-05-24,48.10,48.17,47.65,47.71,1801000,47.36
2013-05-23,48.31,48.44,47.61,48.26,2275100,47.91
2013-05-22,48.60,49.48,48.40,48.62,4306500,48.27
2013-05-21,48.48,48.87,48.30,48.66,3321900,48.31
2013-05-20,48.84,48.91,48.39,48.47,4099700,48.12
2013-05-17,48.69,48.95,48.26,48.80,4596800,48.45
2013-05-16,49.43,49.43,48.59,48.70,3778200,48.35
2013-05-15,49.39,49.78,49.22,49.48,4718600,49.12
2013-05-14,49.75,49.78,49.27,49.39,4938900,49.03
2013-05-13,49.81,49.96,49.40,49.84,2460400,49.48
2013-05-10,50.01,50.20,49.44,50.01,4403200,49.65
2013-05-09,51.21,51.32,49.70,49.79,4043800,49.43
2013-05-08,51.88,52.05,50.99,51.15,2612700,50.78
2013-05-07,51.65,52.00,51.47,51.94,1815100,51.56
2013-05-06,52.19,52.31,51.53,51.53,1573400,51.16
2013-05-03,52.91,53.08,51.93,52.24,3526300,51.86
2013-05-02,52.43,52.63,52.07,52.53,2023900,52.15
2013-05-01,51.75,53.08,51.21,52.45,3716500,52.07
2013-04-30,54.02,54.19,53.78,53.80,2114300,53.41
2013-04-29,53.51,54.15,53.38,53.98,2285800,53.59
2013-04-26,53.08,53.55,53.06,53.35,1067100,52.96
2013-04-25,53.25,53.52,52.95,53.17,1260100,52.78
2013-04-24,52.78,53.25,52.51,53.15,1615900,52.76
2013-04-23,52.51,52.81,52.37,52.71,1486800,52.33
2013-04-22,52.44,52.68,52.04,52.36,846900,51.98
2013-04-19,51.85,52.48,51.66,52.47,2059400,52.09
2013-04-18,51.65,51.77,51.24,51.64,1794900,51.27
2013-04-17,51.64,51.76,51.27,51.61,1137300,51.24
2013-04-16,51.58,51.87,51.24,51.82,1905600,51.44
2013-04-15,51.79,52.02,51.50,51.50,3421400,51.13
2013-04-12,51.32,52.04,51.30,51.95,2386500,51.57
