Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,24.51,25.02,24.51,24.94,14355800,24.94
2013-07-11,24.69,24.78,24.42,24.58,22736000,24.58
2013-07-10,24.79,24.90,24.40,24.46,22036700,24.46
2013-07-09,24.42,24.82,24.35,24.79,19031600,24.79
2013-07-08,24.28,24.40,24.11,24.30,13537000,24.30
2013-07-05,24.21,24.29,23.90,24.13,9573600,24.13
2013-07-03,23.62,24.18,23.62,23.97,8548400,23.97
2013-07-02,23.50,23.79,23.25,23.78,18772700,23.78
2013-07-01,23.63,23.90,23.48,23.61,19923600,23.61
2013-06-28,23.49,23.80,23.08,23.62,43893500,23.62
2013-06-27,24.03,24.04,23.57,23.57,24813600,23.57
2013-06-26,23.92,24.22,23.80,23.89,20635800,23.79
2013-06-25,23.89,24.01,23.55,23.65,20782200,23.55
2013-06-24,24.07,24.13,23.46,23.72,21592300,23.62
2013-06-21,24.90,24.94,24.25,24.33,22693900,24.23
2013-06-20,24.70,25.13,24.59,24.74,23610500,24.64
2013-06-19,24.98,25.39,24.86,24.86,17732700,24.76
2013-06-18,24.85,25.19,24.85,24.99,20686500,24.89
2013-06-17,24.96,25.10,24.73,24.83,14903000,24.73
2013-06-14,24.70,25.06,24.64,24.76,17675700,24.66
2013-06-13,24.45,24.77,24.37,24.71,20218200,24.61
2013-06-12,24.90,25.00,24.25,24.33,22950500,24.23
2013-06-11,24.66,25.13,24.59,24.67,19933800,24.57
2013-06-10,24.71,24.95,24.63,24.88,17380000,24.78
2013-06-07,24.81,24.89,24.45,24.74,26161900,24.64
2013-06-06,24.35,24.79,24.24,24.76,28165200,24.66
2013-06-05,24.25,24.50,24.00,24.30,20400500,24.20
2013-06-04,24.71,24.74,24.29,24.42,21435500,24.32
2013-06-03,24.63,24.87,24.28,24.74,27733700,24.64
2013-05-31,24.94,25.07,24.76,24.76,26776600,24.66
2013-05-30,25.06,25.29,24.52,24.93,55251100,24.83
2013-05-29,23.70,23.80,23.50,23.66,14110400,23.56
2013-05-28,23.94,24.12,23.70,23.87,14059200,23.77
2013-05-24,23.54,23.84,23.35,23.65,15553900,23.55
2013-05-23,23.39,23.78,23.37,23.66,19349400,23.56
2013-05-22,24.09,24.31,23.53,23.68,21819100,23.58
2013-05-21,24.12,24.23,24.05,24.10,16536900,24.00
2013-05-20,24.14,24.20,23.98,24.16,19134300,24.06
2013-05-17,24.08,24.24,23.98,24.24,24915100,24.14
2013-05-16,23.50,24.16,23.40,24.06,48615800,23.96
2013-05-15,22.97,23.04,22.69,23.02,19356600,22.92
2013-05-14,23.11,23.18,22.93,23.00,33786900,22.90
2013-05-13,23.26,23.37,23.01,23.04,16871500,22.94
2013-05-10,22.87,23.45,22.87,23.34,22965600,23.24
2013-05-09,23.23,23.39,22.83,22.90,24920600,22.80
2013-05-08,23.14,23.47,23.02,23.45,16368700,23.35
2013-05-07,23.40,23.44,23.11,23.12,15949600,23.02
2013-05-06,23.34,23.52,23.15,23.29,17974200,23.19
2013-05-03,23.09,23.62,23.05,23.38,26646100,23.28
2013-05-02,22.42,22.93,22.39,22.88,19642200,22.78
2013-05-01,22.39,22.63,22.10,22.46,21942200,22.37
2013-04-30,22.44,22.57,22.27,22.43,25481700,22.34
2013-04-29,22.51,22.66,22.43,22.49,20207100,22.40
2013-04-26,22.61,22.70,22.25,22.39,23040200,22.30
2013-04-25,22.51,22.81,22.40,22.63,16617600,22.54
2013-04-24,22.17,22.76,21.98,22.52,28933500,22.43
2013-04-23,22.00,22.46,21.95,22.36,25431300,22.27
2013-04-22,21.56,22.00,21.51,21.85,21580800,21.76
2013-04-19,22.23,22.28,21.45,21.50,54957800,21.41
2013-04-18,22.76,22.81,22.27,22.34,22371400,22.25
2013-04-17,23.05,23.21,22.67,22.71,24486600,22.61
2013-04-16,22.92,23.10,22.71,23.08,22014800,22.98
2013-04-15,23.03,23.40,22.78,22.78,20979900,22.68
2013-04-12,22.85,23.28,22.66,23.11,26918400,23.01
2013-04-11,23.29,23.31,22.79,22.89,33335200,22.79
2013-04-10,22.90,23.37,22.63,23.23,38951100,23.13
2013-04-09,23.12,23.24,22.79,23.14,33030000,23.04
2013-04-08,23.00,23.20,22.98,23.13,10880700,23.03
2013-04-05,23.14,23.16,22.83,23.08,17801800,22.98
2013-04-04,23.63,23.68,23.35,23.45,17339600,23.35
2013-04-03,23.87,23.92,23.50,23.59,15364500,23.49
2013-04-02,23.65,23.85,23.60,23.84,13696200,23.74
2013-04-01,23.86,23.86,23.53,23.57,10281500,23.47
2013-03-28,23.80,23.95,23.68,23.89,14126700,23.79
2013-03-27,23.66,24.08,23.65,23.83,16031900,23.73
2013-03-26,23.86,23.97,23.62,23.75,14913600,23.65
2013-03-25,24.33,24.40,23.67,23.74,18404400,23.64
2013-03-22,24.48,24.52,24.05,24.15,19135200,24.05
2013-03-21,24.67,24.75,24.38,24.50,17672300,24.40
2013-03-20,24.88,24.99,24.78,24.85,14679200,24.75
2013-03-19,25.14,25.17,24.58,24.70,27542400,24.60
2013-03-18,25.05,25.39,24.95,25.05,17750600,24.95
2013-03-15,25.49,25.60,25.19,25.35,40707200,25.24
2013-03-14,25.23,25.65,25.16,25.62,31484300,25.51
2013-03-13,24.47,25.30,24.40,24.90,37316900,24.80
2013-03-12,24.52,24.55,24.16,24.47,23288200,24.37
2013-03-11,24.39,24.70,24.13,24.56,24348700,24.46
2013-03-08,24.11,24.41,23.84,24.30,24194300,24.20
2013-03-07,24.31,24.41,23.87,23.95,30287200,23.85
2013-03-06,23.93,24.32,23.77,24.30,26760000,24.20
2013-03-05,23.29,23.76,23.29,23.74,20225900,23.64
2013-03-04,23.15,23.26,23.05,23.22,14431100,23.12
2013-03-01,22.97,23.32,22.75,23.25,16505600,23.15
2013-02-28,23.21,23.46,22.99,23.01,22125200,22.91
2013-02-27,22.90,23.39,22.87,23.28,18893000,23.18
2013-02-26,22.86,23.11,22.78,22.94,18454800,22.84
2013-02-25,23.63,23.70,22.83,22.83,23787100,22.73
2013-02-22,23.56,23.63,23.31,23.44,13840600,23.34
2013-02-21,23.43,23.50,23.14,23.41,25656000,23.31
2013-02-20,23.92,24.03,23.50,23.50,23603500,23.40
2013-02-19,24.06,24.20,23.91,23.92,23502700,23.82
2013-02-15,24.05,24.10,23.93,24.00,18801400,23.90
2013-02-14,24.05,24.32,23.97,24.04,18307900,23.94
2013-02-13,24.39,24.62,24.10,24.22,20453700,24.12
2013-02-12,24.63,24.74,24.45,24.54,12538400,24.44
2013-02-11,24.81,24.86,24.57,24.63,10747900,24.53
2013-02-08,24.80,24.92,24.66,24.88,14794500,24.78
2013-02-07,24.79,24.85,24.54,24.75,18291200,24.65
2013-02-06,24.64,25.01,24.59,24.79,24334300,24.69
2013-02-05,24.75,25.02,24.71,24.88,23987200,24.78
2013-02-04,24.73,24.85,24.57,24.59,24867000,24.49
2013-02-01,24.79,24.95,24.67,24.85,21388400,24.75
2013-01-31,24.72,24.97,24.52,24.61,27305500,24.51
2013-01-30,24.47,24.85,24.38,24.60,43175300,24.50
2013-01-29,23.65,24.39,23.11,24.18,133486800,24.08
2013-01-28,25.18,25.39,24.88,25.20,21628000,25.09
2013-01-25,25.18,25.37,25.00,25.26,17049500,25.15
2013-01-24,24.57,25.27,24.57,25.04,25959300,24.94
2013-01-23,24.55,24.74,24.42,24.53,19555500,24.43
2013-01-22,24.31,24.46,24.03,24.28,23484800,24.18
2013-01-18,23.98,24.35,23.89,24.33,24181200,24.23
2013-01-17,24.29,24.29,23.87,24.03,30195300,23.93
2013-01-16,24.30,24.46,24.04,24.08,21347700,23.98
2013-01-15,24.23,24.40,23.95,24.32,19539800,24.22
2013-01-14,23.90,24.29,23.84,24.21,22767800,24.11
2013-01-11,23.94,24.22,23.73,24.15,26170900,24.05
2013-01-10,23.98,24.26,23.59,23.85,37065100,23.75
2013-01-09,23.95,24.14,23.92,24.02,19096200,23.92
2013-01-08,23.77,24.00,23.58,23.87,36368600,23.77
2013-01-07,24.31,24.40,24.10,24.13,20874200,24.03
2013-01-04,24.44,24.45,23.95,24.33,31813300,24.23
2013-01-03,24.68,24.80,24.23,24.37,38391100,24.27
2013-01-02,25.51,25.75,24.59,24.84,42571800,24.74
2012-12-31,24.80,25.45,24.74,25.30,13247700,25.19
2012-12-28,25.06,25.20,24.80,24.83,10795600,24.73
2012-12-27,25.33,25.47,24.92,25.29,13016700,25.18
2012-12-26,25.60,25.65,25.18,25.33,7983900,25.22
2012-12-24,25.51,25.67,25.38,25.62,4306600,25.51
2012-12-21,25.57,25.65,25.25,25.62,19976400,25.51
2012-12-20,26.05,26.07,25.66,25.91,18845200,25.80
2012-12-19,26.16,26.20,25.91,25.91,17026000,25.80
2012-12-18,25.28,25.92,25.28,25.86,24750100,25.75
2012-12-17,24.77,25.29,24.67,25.27,17596800,25.16
2012-12-14,24.64,24.77,24.51,24.72,12523800,24.62
2012-12-13,24.69,24.78,24.45,24.72,25500800,24.62
2012-12-12,24.94,25.17,24.63,24.67,28462100,24.57
2012-12-11,25.12,25.52,25.01,25.32,17956600,25.21
2012-12-10,24.90,25.06,24.83,25.02,16868700,24.92
2012-12-07,25.22,25.28,24.83,24.91,15219700,24.81
2012-12-06,25.02,25.25,24.93,25.18,19569800,25.07
2012-12-05,24.87,25.22,24.66,25.15,16075000,25.04
2012-12-04,24.69,25.04,24.60,24.92,15400600,24.82
2012-12-03,24.90,25.15,24.71,24.76,15701700,24.66
2012-11-30,25.02,25.13,24.55,24.82,16674400,24.72
2012-11-29,24.98,25.25,24.97,25.03,19164900,24.93
2012-11-28,24.41,24.87,24.25,24.86,15302000,24.76
2012-11-27,24.71,24.89,24.51,24.57,16843100,24.47
2012-11-26,24.74,24.74,24.47,24.67,11925100,24.57
2012-11-23,24.55,24.83,24.51,24.81,6045900,24.71
2012-11-21,24.32,24.60,24.25,24.35,11810300,24.25
2012-11-20,24.36,24.36,24.00,24.22,12372400,24.12
2012-11-19,23.98,24.38,23.95,24.34,15220100,24.24
2012-11-16,23.58,23.73,23.23,23.56,19696000,23.46
2012-11-15,23.75,23.88,23.36,23.56,23117700,23.46
2012-11-14,24.19,24.25,23.29,23.40,28135900,23.30
2012-11-13,23.99,24.24,23.88,23.91,15656000,23.81
2012-11-12,24.27,24.37,24.00,24.10,12843800,24.00
2012-11-09,24.10,24.48,24.02,24.22,17172500,24.12
2012-11-08,24.44,24.72,24.15,24.17,15186700,24.07
2012-11-07,24.91,25.17,24.38,24.54,21609000,24.44
2012-11-06,25.11,25.42,24.77,25.33,13412800,25.22
2012-11-05,24.96,25.10,24.73,24.88,12904000,24.78
2012-11-02,25.41,25.49,24.92,24.98,19815700,24.88
2012-11-01,24.50,25.28,24.28,25.21,26422300,25.10
2012-10-31,24.11,24.55,24.02,24.42,32623300,24.32
2012-10-26,24.16,24.36,23.78,23.91,22646100,23.81
2012-10-25,24.83,24.86,23.98,24.14,26693600,24.04
2012-10-24,24.14,25.51,23.76,24.46,75598400,24.36
2012-10-23,24.75,24.86,24.50,24.68,17980900,24.58
2012-10-22,24.76,25.09,24.60,25.04,21269000,24.94
2012-10-19,24.99,25.16,24.36,24.58,29702400,24.48
2012-10-18,25.61,25.69,24.98,25.00,29593900,24.90
2012-10-17,25.80,25.96,25.39,25.60,23257500,25.49
2012-10-16,25.92,26.42,25.84,26.31,14225100,26.20
2012-10-15,25.83,25.87,25.44,25.73,15266100,25.62
2012-10-12,25.73,26.00,25.46,25.64,12219100,25.53
2012-10-11,26.07,26.25,25.60,25.68,12365000,25.57
2012-10-10,26.14,26.22,25.70,25.84,14971500,25.73
2012-10-09,27.05,27.15,26.05,26.14,23887600,26.03
2012-10-08,27.13,27.44,27.03,27.13,12294100,27.02
2012-10-05,27.28,27.59,26.93,27.29,18269000,27.18
2012-10-04,27.03,27.23,26.74,27.19,20468900,27.08
2012-10-03,27.28,27.38,26.91,27.04,11164900,26.93
2012-10-02,27.40,27.43,26.97,27.24,11037300,27.13
2012-10-01,27.35,27.89,27.14,27.26,15124700,27.15
2012-09-28,27.56,27.62,27.04,27.27,15039000,27.16
2012-09-27,26.84,27.58,26.81,27.52,15283200,27.40
2012-09-26,27.14,27.17,26.57,26.75,16996000,26.64
2012-09-25,27.79,27.90,27.10,27.17,11892400,27.06
2012-09-24,27.78,27.85,27.50,27.76,11591000,27.64
2012-09-21,27.81,28.18,27.66,28.02,21178800,27.90
2012-09-20,27.56,27.76,27.33,27.52,15604300,27.40
2012-09-19,27.61,27.88,27.52,27.73,13847400,27.61
2012-09-18,27.57,27.97,27.56,27.67,23955000,27.55
2012-09-17,27.86,27.90,27.50,27.58,13905700,27.46
2012-09-14,27.49,28.07,27.49,27.86,23322400,27.74
2012-09-13,27.32,27.75,27.19,27.52,18074600,27.40
2012-09-12,27.33,27.69,27.26,27.31,13955400,27.20
2012-09-11,27.45,27.68,27.29,27.32,13872700,27.21
2012-09-10,27.61,27.93,27.37,27.38,12349400,27.27
2012-09-07,27.30,27.76,27.25,27.70,16368400,27.58
2012-09-06,26.60,27.52,26.60,27.51,22897600,27.39
2012-09-05,26.28,26.53,26.03,26.41,11518900,26.30
2012-09-04,26.27,26.53,25.97,26.35,11292900,26.24
2012-08-31,26.47,26.58,26.04,26.29,14583900,26.18
2012-08-30,26.69,26.74,26.25,26.27,16484200,26.16
2012-08-29,26.54,26.96,26.35,26.89,16451500,26.78
2012-08-28,26.35,26.63,26.12,26.43,17793000,26.32
2012-08-27,26.69,26.77,26.30,26.41,15534800,26.30
2012-08-24,25.93,26.70,25.85,26.68,18075500,26.57
2012-08-23,26.22,26.31,25.92,25.98,9660400,25.87
2012-08-22,26.16,26.44,26.00,26.35,11349300,26.24
2012-08-21,26.65,26.80,26.05,26.14,13080300,26.03
2012-08-20,26.72,26.78,26.40,26.58,11512600,26.47
2012-08-17,26.66,26.91,26.60,26.85,19582100,26.74
2012-08-16,26.16,26.38,26.00,26.26,29098900,26.15
2012-08-15,25.79,25.92,25.44,25.44,20421800,25.33
2012-08-14,26.74,26.74,25.59,25.71,24127400,25.60
2012-08-13,26.85,26.87,26.44,26.74,7765600,26.63
2012-08-10,26.87,27.01,26.72,26.99,11498500,26.88
2012-08-09,26.86,27.08,26.80,27.01,11477700,26.90
2012-08-08,26.78,26.94,26.65,26.80,9754900,26.69
2012-08-07,26.65,27.09,26.62,26.93,13391500,26.82
2012-08-06,26.75,26.88,26.61,26.62,11826700,26.51
2012-08-03,26.64,26.92,26.46,26.80,15017800,26.69
2012-08-02,26.04,26.50,25.83,26.08,11862500,25.97
2012-08-01,26.46,26.54,25.90,26.14,14126700,26.03
2012-07-31,26.14,26.49,26.14,26.21,13955200,26.10
2012-07-30,26.30,26.60,25.96,26.31,15441000,26.20
2012-07-27,25.47,26.67,25.41,26.55,20591500,26.44
2012-07-26,25.60,26.14,25.37,25.76,16218800,25.65
2012-07-25,25.19,25.47,25.00,25.16,12615900,25.05
2012-07-24,24.61,25.60,24.48,25.34,29766200,25.23
2012-07-23,24.50,24.93,24.28,24.80,16445600,24.70
2012-07-20,25.23,25.43,25.02,25.05,12375800,24.95
2012-07-19,25.33,25.69,25.09,25.46,24188200,25.35
2012-07-18,24.56,25.40,24.51,25.08,35678000,24.98
2012-07-17,23.35,23.50,22.79,22.92,28683100,22.82
2012-07-16,23.67,23.74,23.22,23.29,15091700,23.19
2012-07-13,23.35,23.74,23.25,23.65,11190900,23.55
2012-07-12,23.38,23.49,22.85,23.32,18557100,23.22
2012-07-11,23.63,23.99,23.36,23.55,21024700,23.45
2012-07-10,23.80,24.24,23.40,23.56,16438600,23.46
2012-07-09,23.98,24.04,23.59,23.69,18520700,23.59
