Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,73.89,73.97,73.24,73.96,749900,73.96
2013-07-11,74.32,74.55,73.52,73.97,1075600,73.97
2013-07-10,73.42,73.77,72.38,73.00,1125500,73.00
2013-07-09,73.04,74.10,73.04,73.43,1518600,73.43
2013-07-08,72.42,72.83,71.93,72.71,1160400,72.71
2013-07-05,71.84,72.40,71.09,72.01,722800,72.01
2013-07-03,70.53,71.19,70.16,71.03,566700,71.03
2013-07-02,71.36,72.27,69.98,70.71,1407300,70.71
2013-07-01,70.36,72.14,69.75,71.38,1627300,71.38
2013-06-28,71.81,72.33,69.96,70.01,2440200,70.01
2013-06-27,72.58,72.83,71.92,72.02,853300,72.02
2013-06-26,70.73,72.34,70.63,72.08,1515100,72.08
2013-06-25,70.82,71.18,69.81,70.33,1043000,70.33
2013-06-24,69.17,70.41,68.03,70.00,1849100,70.00
2013-06-21,71.00,71.17,69.45,70.79,1594500,70.79
2013-06-20,71.41,71.97,70.10,70.46,1541700,70.46
2013-06-19,73.15,73.48,72.31,72.33,904200,72.33
2013-06-18,72.47,73.85,72.28,73.25,1529700,73.25
2013-06-17,72.99,72.99,71.81,72.26,1543400,72.26
2013-06-14,71.01,71.63,70.86,71.02,1170100,71.02
2013-06-13,68.47,71.56,68.32,71.36,1234900,71.36
2013-06-12,69.96,69.98,68.56,68.72,948100,68.72
2013-06-11,69.43,69.92,69.13,69.40,1216000,69.10
2013-06-10,70.69,71.07,70.17,70.55,839900,70.25
2013-06-07,69.96,71.02,69.24,70.42,1171900,70.12
2013-06-06,68.63,69.64,68.11,69.63,1546500,69.33
2013-06-05,70.78,70.86,68.70,68.93,1856000,68.63
2013-06-04,72.15,73.56,70.79,71.11,1733600,70.80
2013-06-03,71.91,72.64,70.97,72.34,1086200,72.03
2013-05-31,71.72,73.47,71.44,71.72,1278400,71.41
2013-05-30,72.00,72.44,71.44,71.92,919000,71.61
2013-05-29,71.38,72.14,71.12,71.89,952600,71.58
2013-05-28,72.98,73.35,71.65,71.88,1093500,71.57
2013-05-24,71.38,72.19,70.89,71.90,824100,71.59
2013-05-23,71.56,72.81,70.70,72.11,1044800,71.80
2013-05-22,72.84,74.62,71.86,72.44,1496300,72.13
2013-05-21,73.36,73.70,73.01,73.15,1247700,72.83
2013-05-20,73.64,73.99,73.12,73.37,1645100,73.05
2013-05-17,72.05,73.96,71.81,73.95,2786100,73.63
2013-05-16,70.57,72.15,70.57,71.40,3176000,71.09
2013-05-15,67.34,70.84,67.19,70.83,3457500,70.52
2013-05-14,66.51,67.53,66.50,67.44,1151000,67.15
2013-05-13,66.92,67.33,66.10,66.56,1248200,66.27
2013-05-10,66.89,67.39,66.61,67.24,1488500,66.95
2013-05-09,68.65,68.69,66.76,66.84,2168300,66.55
2013-05-08,69.16,69.42,68.10,68.60,1174500,68.30
2013-05-07,68.97,69.53,68.42,69.24,1111600,68.94
2013-05-06,68.01,68.67,67.46,68.52,1065000,68.22
2013-05-03,67.29,68.89,67.22,67.89,1967600,67.60
2013-05-02,64.12,66.29,64.12,66.03,2723300,65.74
2013-05-01,66.22,66.26,63.48,64.06,4598100,63.78
2013-04-30,68.11,68.26,66.63,66.65,2372600,66.36
2013-04-29,68.51,68.51,66.79,68.27,2263400,67.97
2013-04-26,72.17,73.00,68.62,68.97,2655100,68.67
2013-04-25,72.60,73.65,72.25,72.65,2635000,72.34
2013-04-24,70.88,71.96,70.60,71.85,1849300,71.54
2013-04-23,69.48,70.67,69.29,70.60,1267600,70.29
2013-04-22,69.88,70.01,68.27,69.32,1571900,69.02
2013-04-19,67.36,70.85,67.36,69.80,3426600,69.50
2013-04-18,67.14,67.52,65.56,66.35,1926000,66.06
2013-04-17,66.97,67.14,66.33,66.97,1320900,66.68
2013-04-16,66.51,68.00,66.25,67.87,1541800,67.58
2013-04-15,68.00,68.15,65.44,65.59,2059500,65.31
2013-04-12,67.80,68.03,66.74,68.00,881600,67.71
2013-04-11,68.10,69.24,67.64,68.29,1031500,67.99
2013-04-10,68.67,68.75,67.39,67.90,1669600,67.61
2013-04-09,67.97,68.84,67.61,68.55,1421400,68.25
2013-04-08,68.18,68.22,67.12,67.86,1520600,67.57
2013-04-05,66.27,68.25,65.71,68.14,1905100,67.85
2013-04-04,66.64,67.85,66.56,67.52,1688600,67.23
2013-04-03,68.29,68.49,66.11,66.47,2513200,66.18
2013-04-02,69.40,69.42,68.03,68.20,1570100,67.91
2013-04-01,69.73,69.91,68.97,69.14,1164800,68.84
2013-03-28,69.23,70.48,69.12,69.87,1325100,69.57
2013-03-27,68.85,69.33,67.77,69.07,1962500,68.77
2013-03-26,69.47,69.94,68.93,69.23,1466900,68.93
2013-03-25,70.55,70.67,68.88,68.99,1423800,68.69
2013-03-22,70.91,71.15,69.60,70.11,1772000,69.81
2013-03-21,72.09,72.24,70.46,70.48,2770900,70.18
2013-03-20,73.21,73.83,72.96,73.18,661700,72.86
2013-03-19,72.96,73.56,71.80,72.77,903600,72.46
2013-03-18,71.54,73.00,71.54,72.83,1134800,72.52
2013-03-15,72.81,73.41,72.53,72.60,1230900,72.29
2013-03-14,73.22,73.58,72.92,73.25,739000,72.93
2013-03-13,73.04,73.05,72.18,72.72,804300,72.41
2013-03-12,72.59,73.42,72.35,73.16,1033900,72.55
2013-03-11,72.19,72.80,71.59,72.78,818700,72.17
2013-03-08,72.59,73.13,71.77,72.23,1240900,71.62
2013-03-07,71.87,72.26,71.30,72.02,1200100,71.41
2013-03-06,71.65,72.31,71.37,72.00,1177200,71.39
2013-03-05,70.28,71.48,70.02,71.12,1333900,70.52
2013-03-04,69.30,70.03,68.55,69.78,1537100,69.19
2013-03-01,69.09,70.02,68.29,69.71,2630000,69.12
2013-02-28,70.78,71.22,69.72,69.73,1730400,69.14
2013-02-27,68.90,71.34,68.80,70.79,2044500,70.19
2013-02-26,68.47,68.93,67.41,68.57,1954700,67.99
2013-02-25,71.78,71.78,67.94,68.00,2332400,67.43
2013-02-22,69.26,71.73,69.25,71.69,2124700,71.09
