Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,143.10,144.77,141.91,144.71,1886100,144.71
2013-07-11,144.00,146.79,142.89,143.55,2800700,143.55
2013-07-10,142.69,143.68,141.63,142.27,1767000,142.27
2013-07-09,140.95,142.47,140.39,142.22,1773700,142.22
2013-07-08,141.50,142.53,139.01,139.76,1714700,139.76
2013-07-05,139.06,140.64,138.63,140.40,1140500,140.40
2013-07-03,138.00,138.50,136.81,138.18,853700,138.18
2013-07-02,135.24,139.27,135.24,137.88,2169600,137.88
2013-07-01,133.79,136.43,133.24,135.31,1615200,135.31
2013-06-28,130.43,132.99,130.02,131.68,1712200,131.68
2013-06-27,133.16,134.08,130.72,131.01,1805400,131.01
2013-06-26,131.19,132.55,129.53,131.85,1252300,131.85
2013-06-25,129.02,131.10,128.22,130.15,1720500,130.15
2013-06-24,128.89,129.46,124.53,127.41,1981100,127.41
2013-06-21,132.24,132.40,128.57,130.40,2393300,130.40
2013-06-20,133.72,133.89,129.79,130.99,2198800,130.99
2013-06-19,134.97,137.99,134.78,135.59,1704500,135.59
2013-06-18,133.50,135.96,133.14,135.02,1400200,135.02
2013-06-17,133.20,134.34,132.16,133.33,1189700,133.33
2013-06-14,133.61,133.61,131.13,131.74,1343900,131.74
2013-06-13,129.68,133.50,129.35,133.33,1567500,133.33
2013-06-12,131.26,131.77,129.48,129.63,1354700,129.63
2013-06-11,129.29,130.32,128.24,129.11,1397300,129.11
2013-06-10,132.33,132.60,131.15,131.62,766800,131.62
2013-06-07,131.10,133.65,130.20,132.68,1117800,132.68
2013-06-06,128.91,130.65,127.52,130.64,1496300,130.64
2013-06-05,131.66,131.97,128.49,128.52,1445400,128.52
2013-06-04,131.47,132.64,130.33,132.16,1776500,132.16
2013-06-03,130.15,132.13,129.72,131.75,1452100,131.75
2013-05-31,131.73,132.60,129.09,129.10,1719100,129.10
2013-05-30,132.33,133.94,130.90,132.69,1217600,132.69
2013-05-29,130.34,133.42,130.12,132.83,1574800,132.83
2013-05-28,132.46,133.25,129.51,131.12,1752900,131.12
2013-05-24,129.73,130.95,128.63,130.83,1205500,130.83
2013-05-23,128.97,131.64,128.23,131.40,1805300,131.40
2013-05-22,134.16,135.53,129.82,130.93,2020000,130.93
2013-05-21,135.78,136.27,134.05,134.28,1245100,134.28
2013-05-20,135.37,137.15,134.87,135.61,2037200,135.61
2013-05-17,133.80,135.89,133.51,135.25,2619600,135.25
2013-05-16,134.51,134.92,132.74,133.22,1979400,133.22
2013-05-15,136.49,137.64,134.05,134.69,2108100,134.69
2013-05-14,134.00,136.97,133.82,136.67,1978900,136.67
2013-05-13,132.82,134.54,132.31,133.66,1604400,133.66
2013-05-10,135.49,135.49,131.70,133.58,2448200,133.58
2013-05-09,138.81,139.00,135.53,136.08,2805700,136.08
2013-05-08,136.04,138.78,135.92,137.90,3213100,137.90
2013-05-07,133.79,137.96,132.96,135.69,5222500,135.69
2013-05-06,124.60,126.73,123.26,126.04,2802400,126.04
2013-05-03,121.40,124.20,121.40,123.98,2169500,123.98
2013-05-02,119.25,120.26,118.00,119.67,1540200,119.67
2013-05-01,120.39,120.39,117.76,118.83,1839300,118.83
2013-04-30,121.80,122.74,120.59,121.16,1783900,121.16
2013-04-29,120.50,122.72,119.88,121.93,1163400,121.93
2013-04-26,121.70,121.91,119.00,119.12,2338100,119.12
2013-04-25,120.16,123.53,119.36,121.86,2261500,121.86
2013-04-24,117.04,120.45,117.00,119.93,1919000,119.93
2013-04-23,116.90,117.38,115.27,117.00,2217800,117.00
2013-04-22,113.95,116.82,113.51,116.40,2164500,116.40
2013-04-19,116.16,116.28,112.93,113.44,2477100,113.44
2013-04-18,115.39,115.96,112.05,115.31,3451900,115.31
2013-04-17,117.41,117.86,113.46,114.82,3065600,114.82
