Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,59.10,59.27,58.41,58.63,1287700,58.63
2013-07-11,58.55,59.28,58.46,59.08,1946200,59.08
2013-07-10,57.85,57.97,57.20,57.91,1890400,57.91
2013-07-09,57.56,58.44,57.32,57.97,1550400,57.97
2013-07-08,57.52,57.98,57.21,57.35,1447700,57.35
2013-07-05,57.52,57.77,56.13,57.36,1536800,57.36
2013-07-03,57.56,57.87,56.76,57.44,1273400,57.44
2013-07-02,57.43,58.18,57.41,57.84,2738000,57.84
2013-07-01,58.34,58.70,57.39,57.48,2431300,57.48
2013-06-28,58.28,58.73,57.95,58.06,3592400,58.06
2013-06-27,57.64,58.80,57.50,58.42,3055200,58.42
2013-06-26,56.62,57.38,56.58,57.25,2661400,57.25
2013-06-25,55.82,56.62,55.39,56.40,2971900,56.40
2013-06-24,54.02,56.62,53.47,55.59,3679900,55.59
2013-06-21,53.42,55.34,53.36,54.73,3829400,54.73
2013-06-20,54.34,54.34,52.71,52.91,2242900,52.91
2013-06-19,56.56,56.82,54.72,55.00,1871700,54.60
2013-06-18,56.46,57.04,56.10,56.61,1612200,56.20
2013-06-17,56.70,56.91,55.97,56.41,1804300,56.00
2013-06-14,56.50,57.05,55.97,56.34,1400600,55.93
2013-06-13,54.63,56.57,54.60,56.44,1692900,56.03
2013-06-12,55.42,55.42,54.60,54.75,2008900,54.35
2013-06-11,55.63,55.82,55.02,55.12,1830100,54.72
2013-06-10,56.69,56.89,55.90,56.04,2159600,55.63
2013-06-07,56.88,56.96,55.72,56.69,2320400,56.28
2013-06-06,56.60,57.04,56.00,56.67,1871100,56.26
2013-06-05,57.15,57.49,56.64,56.73,2159800,56.32
2013-06-04,57.34,57.58,56.76,57.14,3006900,56.72
2013-06-03,56.58,57.57,56.10,57.24,3625200,56.82
2013-05-31,57.22,57.93,56.42,56.55,4255000,56.14
2013-05-30,58.53,58.58,57.26,57.42,2825400,57.00
2013-05-29,59.03,59.10,57.47,58.54,4289300,58.11
