Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,82.33,82.82,81.71,82.18,1044500,82.18
2013-07-11,82.79,84.20,82.16,82.51,1406200,82.51
2013-07-10,81.74,82.17,80.85,81.80,934700,81.80
2013-07-09,81.63,82.54,81.29,81.38,1301900,81.38
2013-07-08,80.46,82.09,80.32,81.30,1389700,81.30
2013-07-05,80.51,80.51,79.35,79.94,970100,79.94
2013-07-03,79.45,79.91,78.57,79.68,642200,79.68
2013-07-02,79.75,80.69,79.37,79.69,1185000,79.69
2013-07-01,79.80,80.88,79.62,79.72,1242300,79.72
2013-06-28,80.63,80.85,79.04,79.37,3113900,79.37
2013-06-27,81.10,82.01,80.82,81.00,818200,81.00
2013-06-26,80.84,81.88,80.15,81.02,1241500,81.02
2013-06-25,81.36,81.46,80.05,80.55,1275600,80.55
2013-06-24,78.70,81.26,77.37,80.30,1451500,80.30
2013-06-21,79.76,80.20,78.66,79.66,1276800,79.66
2013-06-20,81.19,81.30,78.72,79.21,1307600,79.21
2013-06-19,83.52,84.00,82.34,82.40,852800,82.40
2013-06-18,81.71,83.73,81.22,83.66,1450800,83.66
2013-06-17,80.04,81.76,79.22,81.69,1069400,81.69
2013-06-14,80.10,80.33,79.20,79.69,717200,79.69
2013-06-13,78.63,80.12,78.55,80.03,980100,80.03
2013-06-12,81.12,81.12,78.93,78.98,1053700,78.98
2013-06-11,80.89,81.14,79.86,80.40,883100,80.40
2013-06-10,82.51,82.63,81.00,81.82,1045600,81.82
2013-06-07,78.80,81.42,78.57,81.42,1205000,81.42
2013-06-06,77.87,79.30,76.93,78.37,1928900,78.37
2013-06-05,78.93,79.36,77.44,77.50,1519800,77.50
2013-06-04,79.63,80.43,78.35,79.17,1045200,79.17
2013-06-03,79.99,81.26,79.30,79.77,1349900,79.77
2013-05-31,81.85,83.33,79.87,79.88,2359100,79.88
2013-05-30,80.68,81.81,80.24,81.40,1078800,81.40
2013-05-29,80.36,81.12,80.18,80.59,977300,80.59
2013-05-28,81.54,82.22,80.51,80.83,1001100,80.83
2013-05-24,79.38,80.78,78.89,80.58,1143000,80.58
2013-05-23,79.30,80.44,78.19,79.86,1123800,79.86
2013-05-22,80.76,81.58,79.25,79.90,1716600,79.90
2013-05-21,81.33,82.13,80.78,81.00,2114800,81.00
2013-05-20,79.21,81.57,79.19,81.43,2384400,81.43
2013-05-17,76.63,79.14,76.63,79.04,1459100,79.04
2013-05-16,76.97,77.88,76.25,76.56,1345000,76.56
2013-05-15,76.12,78.39,75.88,77.36,1533600,77.36
2013-05-14,75.16,76.59,74.93,76.53,1015100,76.50
2013-05-13,75.65,76.11,74.56,74.90,1058600,74.87
2013-05-10,75.71,75.90,74.90,75.81,942800,75.78
2013-05-09,75.77,76.34,74.94,76.18,1518500,76.15
2013-05-08,75.79,75.98,74.84,75.40,2293000,75.37
2013-05-07,75.93,76.45,74.96,75.77,1938500,75.74
2013-05-06,75.01,76.51,75.00,75.65,1291200,75.62
2013-05-03,76.05,76.60,74.73,75.13,2028700,75.10
2013-05-02,76.00,76.40,73.62,74.40,1948300,74.37
2013-05-01,74.79,76.02,74.12,75.83,2096500,75.80
2013-04-30,75.69,75.85,74.65,75.12,1642100,75.09
2013-04-29,74.41,76.91,74.41,75.75,1641300,75.72
2013-04-26,73.95,74.50,73.46,73.85,1504200,73.82
2013-04-25,71.25,75.59,71.25,73.96,3894000,73.93
2013-04-24,68.13,69.31,67.82,68.58,1841800,68.55
2013-04-23,67.10,67.83,66.52,67.79,1690500,67.76
2013-04-22,66.83,67.12,65.93,66.84,1122100,66.81
2013-04-19,67.15,67.23,66.33,66.66,1923900,66.63
2013-04-18,66.33,67.75,65.58,66.95,1634600,66.92
2013-04-17,66.39,66.62,64.71,66.08,1840600,66.05
2013-04-16,66.40,67.00,65.75,66.83,1235400,66.80
2013-04-15,68.58,68.68,65.56,65.59,2051700,65.56
2013-04-12,69.01,69.21,67.73,68.91,1227900,68.88
2013-04-11,70.09,70.47,69.41,69.53,852200,69.50
2013-04-10,69.72,70.04,69.22,69.93,1647500,69.90
2013-04-09,69.23,70.07,68.40,69.40,1539100,69.37
2013-04-08,67.28,69.27,66.88,69.26,2028100,69.23
2013-04-05,64.99,67.82,64.99,67.44,1451700,67.41
2013-04-04,65.69,66.15,65.15,65.67,989700,65.64
2013-04-03,67.13,67.20,64.95,65.33,1534600,65.30
2013-04-02,67.92,68.21,66.95,67.27,983700,67.24
2013-04-01,67.94,68.27,66.51,67.69,837500,67.66
2013-03-28,68.12,68.41,67.65,67.75,1112600,67.72
2013-03-27,67.74,68.35,67.04,68.12,1030400,68.09
2013-03-26,67.39,68.23,67.02,68.18,988200,68.15
2013-03-25,67.00,68.44,66.92,67.11,1269400,67.08
2013-03-22,67.02,67.30,66.69,66.89,1151100,66.86
2013-03-21,66.87,67.53,66.39,66.70,1074500,66.67
