Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,64.91,65.31,64.36,65.30,4183600,65.30
2013-07-11,64.83,65.02,64.60,64.76,3450100,64.76
2013-07-10,63.67,64.52,63.52,64.31,2797500,64.31
2013-07-09,63.65,64.22,63.57,63.82,4676100,63.82
2013-07-08,63.01,63.47,63.01,63.27,3275900,63.27
2013-07-05,62.67,62.95,62.30,62.95,2118100,62.95
2013-07-03,61.90,62.47,61.56,62.37,1844000,62.37
2013-07-02,61.53,62.63,61.52,62.44,3099300,62.44
2013-07-01,62.73,63.25,61.77,61.92,3607500,61.92
2013-06-28,61.73,62.23,61.60,61.74,4556500,61.74
2013-06-27,61.93,62.54,61.82,62.11,3034100,62.11
2013-06-26,61.55,61.89,61.25,61.38,3367200,61.38
2013-06-25,61.66,61.72,60.78,61.26,4162000,61.26
2013-06-24,61.61,61.85,60.89,61.40,2932300,61.40
2013-06-21,61.51,62.28,60.60,61.96,9641500,61.96
2013-06-20,61.90,62.19,61.18,61.28,5107400,61.28
2013-06-19,63.06,63.20,62.32,62.35,2767100,62.35
2013-06-18,63.14,63.34,62.67,62.94,3508800,62.94
2013-06-17,62.18,63.24,62.18,62.98,3822800,62.98
2013-06-14,61.76,62.77,61.69,61.94,3957800,61.94
2013-06-13,61.98,62.11,61.26,62.00,4292200,62.00
2013-06-12,62.64,62.91,61.84,61.89,3384600,61.89
2013-06-11,62.05,62.70,61.68,62.16,4535400,62.16
2013-06-10,62.34,63.27,62.21,62.73,3612100,62.73
2013-06-07,62.74,62.88,61.78,62.50,5436800,62.50
2013-06-06,61.60,61.89,60.94,61.61,3715100,61.61
2013-06-05,62.06,62.47,61.13,61.27,5338400,61.27
2013-06-04,62.76,63.15,62.26,62.35,4209700,62.35
2013-06-03,62.18,62.87,61.10,62.87,5764200,62.87
2013-05-31,63.18,63.45,62.12,62.12,4375300,62.12
2013-05-30,62.87,63.75,62.84,63.60,3499600,63.60
2013-05-29,63.40,63.42,62.66,63.01,4527300,63.01
2013-05-28,63.74,64.08,63.41,63.60,5354100,63.60
2013-05-24,62.34,63.20,62.00,62.68,4836900,62.68
2013-05-23,61.94,63.19,61.71,62.88,5955000,62.88
2013-05-22,61.47,63.38,61.10,62.49,8216100,62.49
2013-05-21,61.37,61.70,61.16,61.31,3970000,61.31
2013-05-20,61.59,61.67,61.20,61.33,3223000,61.33
2013-05-17,61.00,61.91,60.89,61.87,5161800,61.87
2013-05-16,61.14,61.33,60.29,60.70,5949100,60.70
2013-05-15,61.00,61.41,60.84,61.38,4460000,61.38
2013-05-14,61.77,61.92,60.86,60.93,5561600,60.93
2013-05-13,61.66,62.14,61.40,61.94,4369800,61.94
2013-05-10,61.60,61.70,61.29,61.40,4853000,61.40
2013-05-09,61.34,62.04,61.07,61.58,5360000,61.58
2013-05-08,61.14,61.68,60.88,61.32,4335000,61.32
2013-05-07,60.33,61.27,60.33,61.12,3930300,61.12
2013-05-06,61.39,61.55,60.37,60.40,4855200,60.40
2013-05-03,61.21,61.92,61.12,61.56,6064200,61.56
2013-05-02,59.98,61.10,59.54,61.00,7767300,61.00
2013-05-01,59.23,59.91,59.02,59.63,5317500,59.63
2013-04-30,60.00,60.05,58.25,59.37,11505300,59.37
2013-04-29,57.91,59.00,57.74,58.44,7691400,58.44
2013-04-26,57.97,58.06,57.45,57.91,4642200,57.91
2013-04-25,56.78,58.11,56.68,58.00,5603100,58.00
2013-04-24,56.56,56.89,56.42,56.68,3546300,56.68
2013-04-23,55.74,56.56,55.23,56.45,6275500,56.45
2013-04-22,55.49,55.89,54.99,55.43,2692800,55.43
2013-04-19,55.14,56.00,55.08,55.35,5756000,55.35
2013-04-18,55.63,55.75,54.90,55.63,4396100,55.63
2013-04-17,55.84,55.95,55.02,55.60,4432000,55.60
2013-04-16,55.40,56.25,54.57,56.19,7967800,56.19
2013-04-15,55.96,56.48,55.19,55.26,4461800,55.26
2013-04-12,57.62,57.70,56.07,56.30,8195700,56.30
2013-04-11,58.07,58.39,57.56,57.60,3637600,57.60
2013-04-10,57.63,58.48,57.42,58.11,4489700,58.11
2013-04-09,57.50,57.65,57.06,57.34,2641500,57.34
2013-04-08,56.99,57.27,56.48,57.27,3867700,57.27
2013-04-05,56.60,57.08,56.08,57.00,4642700,57.00
2013-04-04,57.64,58.27,56.72,57.44,4028500,57.44
2013-04-03,58.38,58.75,57.45,57.61,5360700,57.61
2013-04-02,58.18,58.56,57.72,58.46,5533900,58.46
2013-04-01,57.55,57.98,57.35,57.80,4238500,57.80
2013-03-28,58.00,58.15,57.55,57.62,4779600,57.62
2013-03-27,58.31,58.33,57.40,58.06,3048900,58.06
2013-03-26,57.98,58.52,57.98,58.41,3403600,58.41
2013-03-25,58.07,58.48,57.41,57.74,4037600,57.74
2013-03-22,58.54,58.89,57.76,57.93,3997200,57.93
2013-03-21,58.79,59.35,58.25,58.34,4083800,58.34
2013-03-20,59.60,59.87,59.02,59.19,4093900,59.19
2013-03-19,59.13,59.50,58.52,59.18,4538300,59.18
2013-03-18,59.31,59.76,58.96,59.19,5033000,59.19
2013-03-15,58.68,60.08,58.65,59.77,10870000,59.77
2013-03-14,59.68,59.84,58.09,58.59,10316000,58.59
2013-03-13,59.60,59.84,59.45,59.54,5496900,59.54
