Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,59.54,60.26,59.31,60.25,1210100,60.25
2013-07-11,60.14,60.14,58.88,59.61,1153700,59.61
2013-07-10,59.37,60.06,59.20,59.34,1854500,59.34
2013-07-09,58.39,59.35,58.26,59.32,1347700,59.32
2013-07-08,58.10,58.27,57.75,58.00,1918800,58.00
2013-07-05,57.32,58.17,57.09,57.83,1534000,57.83
2013-07-03,57.01,57.01,55.94,56.77,1388400,56.77
2013-07-02,58.00,58.25,56.97,57.21,2408800,57.21
2013-07-01,58.49,58.90,57.78,57.99,1452200,57.99
2013-06-28,58.09,58.57,57.79,58.12,1096300,58.12
2013-06-27,58.17,58.64,57.98,58.31,1628100,58.31
2013-06-26,57.25,57.98,56.90,57.77,1302200,57.77
2013-06-25,56.58,56.91,56.26,56.76,1704200,56.76
2013-06-24,57.01,57.01,54.99,56.08,2385700,56.08
2013-06-21,57.36,57.66,56.62,57.35,1871300,57.35
2013-06-20,57.79,57.81,56.84,57.07,1926400,57.07
2013-06-19,59.37,59.78,58.50,58.51,1058300,58.51
2013-06-18,59.20,59.68,59.03,59.48,1171400,59.48
2013-06-17,58.75,59.36,58.52,59.20,1365300,59.20
2013-06-14,59.14,59.17,58.06,58.08,1667400,58.08
2013-06-13,57.64,59.02,57.54,58.94,2319000,58.94
2013-06-12,59.38,59.48,57.26,57.52,3473000,57.52
2013-06-11,59.33,59.68,58.85,58.89,1062500,58.89
2013-06-10,60.71,60.74,59.50,60.06,1918700,60.06
2013-06-07,60.21,61.29,59.73,60.26,1319100,60.26
2013-06-06,60.07,60.67,59.25,59.88,1375900,59.88
2013-06-05,60.53,61.22,60.32,60.41,1039700,59.91
2013-06-04,60.35,61.13,60.09,60.59,1492500,60.09
2013-06-03,60.37,60.94,59.62,60.51,1155200,60.01
2013-05-31,61.54,61.84,60.17,60.17,2204200,59.67
2013-05-30,61.90,62.44,61.38,61.84,1002500,61.33
2013-05-29,62.20,62.59,61.51,62.09,1287300,61.58
2013-05-28,62.53,63.00,62.12,62.63,1614800,62.11
2013-05-24,61.80,61.80,61.18,61.64,1206200,61.13
2013-05-23,61.52,62.15,60.80,62.13,1663700,61.62
2013-05-22,63.36,64.13,62.10,62.35,1937600,61.83
2013-05-21,63.62,64.13,62.85,63.37,1864300,62.85
2013-05-20,62.43,64.14,62.36,64.02,2361100,63.49
2013-05-17,62.08,62.48,61.62,62.15,2178300,61.64
2013-05-16,61.69,62.36,61.12,61.76,2208200,61.25
2013-05-15,61.46,61.96,60.89,61.61,1650300,61.10
2013-05-14,60.88,61.97,60.65,61.45,1884300,60.94
2013-05-13,60.68,61.13,60.16,60.90,1791200,60.40
2013-05-10,61.27,61.51,60.16,60.74,2327900,60.24
2013-05-09,61.79,62.01,60.85,61.24,2805300,60.73
2013-05-08,62.09,62.77,61.69,62.06,2776000,61.55
2013-05-07,61.83,62.50,61.27,62.00,1802300,61.49
2013-05-06,60.38,61.72,60.28,61.42,2456600,60.91
2013-05-03,58.92,60.67,58.92,60.15,3580800,59.65
2013-05-02,57.79,58.80,57.12,58.29,2124700,57.81
2013-05-01,57.30,57.96,56.58,57.61,3023600,57.13
2013-04-30,56.25,57.98,55.03,57.68,3407100,57.20
2013-04-29,55.96,56.73,55.46,56.37,2065500,55.90
2013-04-26,55.40,55.86,54.86,55.41,1388300,54.95
2013-04-25,55.84,56.33,55.12,55.46,1594700,55.00
2013-04-24,54.87,56.11,54.85,55.46,1902200,55.00
2013-04-23,54.06,54.71,53.38,54.65,1786100,54.20
2013-04-22,53.43,54.29,53.10,53.99,1848000,53.54
2013-04-19,53.52,54.10,52.84,53.39,3160500,52.95
2013-04-18,52.03,54.14,51.01,53.33,3889900,52.89
2013-04-17,53.09,53.18,51.68,51.73,4900700,51.30
2013-04-16,54.39,55.11,53.11,53.75,4037000,53.31
2013-04-15,56.22,56.40,53.78,53.78,4114600,53.33
2013-04-12,57.88,58.06,56.10,56.98,2843700,56.51
2013-04-11,58.68,59.15,58.29,58.48,1769100,58.00
2013-04-10,58.82,59.47,58.64,58.77,1689300,58.28
2013-04-09,58.87,59.63,58.42,58.91,1828200,58.42
2013-04-08,57.94,58.72,57.64,58.72,1365800,58.23
2013-04-05,56.79,57.97,56.10,57.93,1779200,57.45
2013-04-04,56.94,57.85,56.60,57.79,2024100,57.31
2013-04-03,58.08,58.08,56.76,56.96,2233100,56.49
2013-04-02,58.83,59.09,57.58,57.82,2105200,57.34
2013-04-01,60.10,60.19,58.50,58.63,1622200,58.14
2013-03-28,60.10,60.31,59.76,60.00,1758500,59.50
2013-03-27,59.21,60.38,59.03,60.01,1495800,59.51
2013-03-26,58.90,59.85,58.57,59.72,1629100,59.23
2013-03-25,58.63,59.21,58.21,58.59,1809500,58.11
2013-03-22,58.50,58.75,58.17,58.52,1576400,58.04
2013-03-21,57.67,58.89,57.65,58.16,1789800,57.68
2013-03-20,57.43,58.19,57.24,58.07,1770700,57.59
2013-03-19,58.85,58.85,56.78,57.08,2420100,56.61
2013-03-18,58.51,59.38,58.17,58.67,2140400,58.18
2013-03-15,59.57,60.25,59.21,59.49,5838900,59.00
2013-03-14,59.13,60.03,59.00,60.00,3726500,59.50
2013-03-13,57.91,58.97,57.73,58.84,3173600,58.35
2013-03-12,57.91,58.09,57.30,57.77,2526500,57.29
2013-03-11,57.46,58.18,57.03,57.69,2155500,57.21
2013-03-08,57.69,57.88,57.15,57.70,3817900,57.22
2013-03-07,57.83,57.83,57.20,57.43,2947700,56.95
2013-03-06,58.65,58.89,57.35,58.00,4119500,57.02
2013-03-05,58.85,58.93,57.76,58.35,2508700,57.37
2013-03-04,59.67,59.76,58.00,58.32,2626700,57.34
2013-03-01,59.80,60.01,59.00,59.71,2029900,58.71
2013-02-28,60.21,60.86,59.80,60.14,2283700,59.13
2013-02-27,58.83,60.57,58.76,60.22,2745000,59.21
2013-02-26,58.79,59.54,57.80,59.20,4187800,58.20
2013-02-25,61.90,62.11,58.33,58.35,3516000,57.37
2013-02-22,62.46,62.64,60.76,61.49,2893500,60.46
2013-02-21,62.63,63.86,61.15,62.23,3649400,61.18
2013-02-20,65.19,65.45,63.02,63.25,3416700,62.19
2013-02-19,64.68,65.50,64.35,65.45,2200000,64.35
2013-02-15,65.07,65.16,64.08,64.35,1898700,63.27
2013-02-14,64.08,65.82,64.00,65.32,2431200,64.22
2013-02-13,63.91,64.32,63.73,64.16,1373400,63.08
2013-02-12,63.28,63.98,63.10,63.80,1410300,62.73
2013-02-11,63.00,63.27,62.58,63.08,1115400,62.02
2013-02-08,62.89,63.72,62.75,63.72,1047800,62.65
2013-02-07,62.71,63.15,62.41,62.86,1525000,61.80
2013-02-06,63.41,63.41,61.50,62.81,3076600,61.75
2013-02-05,64.21,64.24,63.50,63.84,1595200,62.77
2013-02-04,63.96,64.53,63.72,63.91,2092200,62.83
2013-02-01,63.88,64.48,63.10,64.37,2480100,63.29
2013-01-31,64.53,64.77,63.53,63.57,2824000,62.50
2013-01-30,63.90,65.19,63.82,64.50,2911800,63.41
2013-01-29,62.63,64.02,62.20,64.01,2599800,62.93
2013-01-28,62.30,62.85,61.90,62.72,1807800,61.66
2013-01-25,61.85,62.38,61.77,62.11,2270700,61.06
2013-01-24,62.52,62.83,61.43,61.57,1634900,60.53
2013-01-23,61.64,62.62,61.50,62.42,1653700,61.37
2013-01-22,61.57,61.99,61.14,61.80,1993800,60.76
2013-01-18,61.66,62.04,61.00,61.82,1834200,60.78
2013-01-17,61.02,61.63,60.18,61.32,2649000,60.29
2013-01-16,60.66,60.83,60.41,60.67,1671600,59.65
2013-01-15,60.82,61.00,60.60,60.68,1663400,59.66
2013-01-14,61.07,61.80,60.96,60.99,1917700,59.96
2013-01-11,61.56,61.61,60.79,60.88,1384400,59.86
2013-01-10,62.26,62.49,61.37,61.50,1799700,60.47
2013-01-09,61.94,62.00,61.38,61.69,1303200,60.65
2013-01-08,62.37,62.37,61.64,61.78,1566500,60.74
2013-01-07,62.18,62.62,61.95,62.50,1833000,61.45
2013-01-04,60.90,62.90,60.82,62.73,2322000,61.67
2013-01-03,61.35,62.12,60.44,60.67,1972800,59.65
2013-01-02,60.15,61.79,60.02,61.79,1992500,60.75
2012-12-31,57.66,59.30,57.48,59.28,1624000,58.28
2012-12-28,57.96,58.06,57.32,57.61,856000,56.64
2012-12-27,58.94,59.00,57.29,58.37,1706900,57.39
2012-12-26,59.60,59.85,58.77,58.91,1296800,57.92
2012-12-24,59.29,59.62,59.03,59.20,410000,58.20
2012-12-21,59.50,60.00,59.16,59.68,2195400,58.68
2012-12-20,59.41,60.36,59.34,60.33,2100100,59.31
2012-12-19,59.42,60.24,59.36,59.42,1448800,58.42
2012-12-18,57.91,59.46,57.60,59.44,2168500,58.44
2012-12-17,57.80,57.95,57.02,57.95,1120100,56.97
2012-12-14,56.95,57.53,56.22,57.38,2146200,56.41
2012-12-13,57.78,57.92,56.77,57.00,1197800,56.04
2012-12-12,58.81,58.94,57.73,57.90,1300900,56.93
2012-12-11,58.54,58.97,58.12,58.45,1143000,57.47
2012-12-10,58.01,58.45,57.98,58.18,1360200,57.20
2012-12-07,58.18,58.46,57.59,57.94,2632000,56.97
2012-12-06,58.39,59.14,57.95,58.10,1811500,57.12
2012-12-05,58.88,59.30,58.61,58.96,2081100,57.60
2012-12-04,58.19,59.21,58.10,58.54,1913700,57.19
2012-12-03,58.32,58.80,58.17,58.39,1631200,57.04
2012-11-30,57.06,58.23,56.36,58.23,9178500,56.89
2012-11-29,57.26,57.41,56.78,57.06,2436400,55.74
2012-11-28,56.63,56.95,55.78,56.93,3059000,55.62
2012-11-27,57.57,57.92,56.95,57.22,2653000,55.90
2012-11-26,56.69,57.56,56.44,57.56,1453000,56.23
2012-11-23,56.65,57.28,56.39,57.26,717200,55.94
2012-11-21,55.32,56.44,54.95,56.42,1395000,55.12
2012-11-20,55.37,55.58,54.83,55.24,1630800,53.97
2012-11-19,55.47,55.78,55.03,55.54,1904800,54.26
2012-11-16,54.69,55.09,53.78,54.67,2410500,53.41
2012-11-15,54.48,54.90,53.86,54.76,2315200,53.50
2012-11-14,55.69,55.89,53.99,54.08,2415600,52.83
2012-11-13,55.39,56.34,55.09,55.49,1818400,54.21
2012-11-12,55.93,56.30,55.27,55.87,1248500,54.58
2012-11-09,55.21,56.40,54.94,55.62,3791500,54.34
2012-11-08,57.73,57.99,54.05,55.12,7521300,53.85
2012-11-07,58.38,58.38,57.14,57.73,1532600,56.40
2012-11-06,58.91,59.41,58.62,59.12,1216900,57.76
2012-11-05,59.60,59.67,58.34,58.68,2576500,57.33
2012-11-02,60.09,60.73,59.45,59.59,3546700,58.21
2012-11-01,58.99,60.00,58.54,59.59,3212400,58.21
2012-10-31,58.75,59.22,56.88,57.82,2255200,56.49
2012-10-26,58.79,59.32,58.06,58.13,1790900,56.79
2012-10-25,58.10,58.80,57.85,58.77,1967900,57.41
2012-10-24,57.90,58.22,57.26,57.45,1405700,56.12
2012-10-23,58.08,58.19,57.33,57.59,2097400,56.26
2012-10-22,59.05,59.29,58.40,59.20,1630000,57.83
2012-10-19,59.47,60.03,58.86,59.02,3216100,57.66
2012-10-18,57.95,59.40,57.67,59.29,2425200,57.92
2012-10-17,57.60,58.37,57.20,58.14,1424300,56.80
2012-10-16,56.13,57.64,56.13,57.16,1838800,55.84
2012-10-15,55.19,55.95,54.82,55.85,1057700,54.56
2012-10-12,55.29,55.57,54.31,55.07,1049000,53.80
