Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,13.33,13.43,13.20,13.42,3358200,13.42
2013-07-11,13.68,13.70,13.21,13.36,4219900,13.36
2013-07-10,13.46,13.57,13.35,13.53,2016300,13.53
2013-07-09,13.51,13.59,13.33,13.51,2069900,13.51
2013-07-08,13.19,13.49,13.17,13.40,3161400,13.40
2013-07-05,13.01,13.17,12.97,13.16,4039700,13.16
2013-07-03,12.78,12.89,12.69,12.86,1780100,12.86
2013-07-02,12.81,13.20,12.72,12.90,5079700,12.90
2013-07-01,12.66,13.04,12.66,12.82,3653200,12.82
2013-06-28,12.53,12.73,12.33,12.66,5346600,12.66
2013-06-27,12.35,12.62,12.35,12.59,3300300,12.59
2013-06-26,12.06,12.38,11.99,12.24,3365100,12.24
2013-06-25,12.12,12.23,11.93,11.93,5215500,11.93
2013-06-24,12.06,12.15,11.61,11.89,6378000,11.89
2013-06-21,12.18,12.34,12.00,12.24,5164100,12.24
2013-06-20,11.94,12.21,11.82,12.14,5712900,12.14
2013-06-19,12.09,12.29,11.98,12.05,3661100,12.05
2013-06-18,11.94,12.18,11.87,12.09,5723500,12.09
2013-06-17,11.54,11.97,11.51,11.90,3696300,11.90
2013-06-14,11.69,11.70,11.28,11.44,2690100,11.44
2013-06-13,11.46,11.69,11.41,11.68,4617400,11.68
2013-06-12,11.64,11.73,11.45,11.50,2756600,11.50
2013-06-11,11.72,11.87,11.48,11.53,2691200,11.53
2013-06-10,11.78,11.88,11.66,11.87,2394000,11.87
2013-06-07,11.50,11.76,11.44,11.76,2985700,11.76
2013-06-06,11.14,11.39,11.10,11.39,3108800,11.39
2013-06-05,11.43,11.45,11.10,11.10,3498600,11.10
2013-06-04,11.60,11.74,11.30,11.46,3994900,11.46
2013-06-03,11.67,11.81,11.37,11.58,3461200,11.58
2013-05-31,11.75,11.93,11.62,11.62,3179000,11.62
2013-05-30,11.76,11.99,11.68,11.80,3380800,11.80
2013-05-29,11.66,11.88,11.61,11.75,4018700,11.75
2013-05-28,11.45,11.86,11.45,11.76,4390400,11.76
2013-05-24,11.37,11.47,11.25,11.31,1854600,11.31
2013-05-23,11.25,11.44,11.02,11.40,3284000,11.40
2013-05-22,11.50,11.80,11.27,11.32,5868800,11.32
2013-05-21,11.50,11.60,11.44,11.47,2283600,11.47
2013-05-20,11.47,11.68,11.44,11.52,4314800,11.52
2013-05-17,11.37,11.55,11.36,11.53,4913300,11.53
2013-05-16,11.24,11.40,11.12,11.32,4056800,11.32
2013-05-15,11.32,11.42,11.17,11.34,4779900,11.34
2013-05-14,11.23,11.56,11.14,11.52,5631700,11.52
2013-05-13,11.13,11.23,11.08,11.19,2039000,11.19
2013-05-10,10.88,11.19,10.74,11.16,5498200,11.16
2013-05-09,10.87,11.04,10.82,10.89,4620200,10.89
2013-05-08,10.89,10.96,10.82,10.89,4698700,10.89
