Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,68.24,68.40,67.83,68.34,1915200,68.34
2013-07-11,68.38,68.63,67.83,68.21,3210000,68.21
2013-07-10,68.14,68.32,67.06,67.39,2584000,67.39
2013-07-09,68.25,68.87,67.96,68.11,2503800,68.11
2013-07-08,68.11,68.30,67.76,67.96,2548800,67.96
2013-07-05,66.61,67.76,66.55,67.72,2387900,67.72
2013-07-03,65.75,66.56,65.51,66.22,1226700,66.22
2013-07-02,66.23,67.08,65.72,66.04,2697900,66.04
2013-07-01,65.76,67.17,65.55,66.48,3159200,66.48
2013-06-28,65.08,65.88,64.91,65.81,8398100,65.81
2013-06-27,64.56,65.57,64.56,65.22,2815800,65.22
2013-06-26,63.75,64.23,63.21,63.94,1976800,63.94
2013-06-25,62.78,63.35,61.97,63.15,3033200,63.15
2013-06-24,62.82,62.89,61.23,62.19,4371900,62.19
2013-06-21,64.12,64.62,63.00,63.96,3826700,63.96
2013-06-20,63.75,64.40,63.17,63.57,3599500,63.57
2013-06-19,65.82,65.94,64.70,64.70,1890100,64.70
2013-06-18,64.88,65.97,64.55,65.84,1951200,65.84
2013-06-17,65.02,65.47,64.28,64.74,2537300,64.74
2013-06-14,64.69,65.28,64.40,64.58,1792900,64.58
2013-06-13,63.39,65.20,63.12,64.83,2936400,64.83
2013-06-12,65.43,65.43,63.44,63.52,2933000,63.52
2013-06-11,65.04,65.43,64.30,64.56,3501100,64.56
2013-06-10,65.69,66.98,65.07,65.64,7466900,65.64
2013-06-07,64.87,65.75,64.78,65.62,3174400,65.62
2013-06-06,64.21,64.40,63.48,64.40,2681100,64.40
2013-06-05,65.30,65.46,64.02,64.08,3229100,64.08
2013-06-04,66.20,67.01,65.19,65.59,2929500,65.59
2013-06-03,66.40,66.81,64.97,66.22,3151900,66.22
2013-05-31,67.28,67.82,66.06,66.06,3847100,66.06
2013-05-30,67.58,67.99,67.11,67.77,1945900,67.77
2013-05-29,68.20,68.26,67.03,67.24,3386500,67.24
2013-05-28,69.20,69.92,68.50,68.67,2589300,68.67
2013-05-24,67.30,68.26,67.30,68.23,2251600,68.23
2013-05-23,67.78,68.60,67.30,68.24,3687400,68.24
2013-05-22,68.67,69.53,68.04,68.88,5064600,68.88
2013-05-21,67.99,68.82,67.96,68.69,3104400,68.69
2013-05-20,66.75,68.16,66.43,68.07,2801000,68.07
2013-05-17,66.31,67.01,65.85,66.86,3977900,66.86
2013-05-16,65.29,66.22,65.28,65.70,3091000,65.70
2013-05-15,64.59,65.71,64.51,65.68,2263300,65.68
2013-05-14,64.14,65.18,64.14,65.09,2853800,65.09
2013-05-13,64.81,65.00,64.11,64.23,2013900,64.23
2013-05-10,64.68,65.31,64.57,64.93,2155200,64.93
2013-05-09,64.30,65.32,64.20,64.74,2851400,64.74
2013-05-08,63.50,64.70,63.21,64.56,3383800,64.56
2013-05-07,62.52,63.49,62.39,63.46,2643800,63.46
2013-05-06,61.54,62.62,61.49,62.07,2562900,62.07
2013-05-03,60.25,62.18,60.25,61.65,4798200,61.65
2013-05-02,59.21,60.08,59.18,59.45,3949600,59.45
2013-05-01,61.02,61.02,59.18,59.27,4415500,58.85
2013-04-30,60.41,61.72,59.89,61.41,4319900,60.97
2013-04-29,60.41,62.03,60.04,60.28,6078800,59.85
2013-04-26,59.15,59.37,57.96,58.65,3571100,58.23
2013-04-25,58.91,59.24,58.64,58.69,2487100,58.27
2013-04-24,58.02,58.83,58.02,58.62,2911900,58.20
2013-04-23,57.01,58.60,56.98,58.16,3767000,57.75
2013-04-22,57.00,57.42,56.45,56.89,3818100,56.49
2013-04-19,55.78,57.19,55.69,56.96,4691200,56.56
2013-04-18,57.50,57.58,55.41,55.80,6419500,55.40
2013-04-17,58.54,58.55,56.72,57.35,4571300,56.94
2013-04-16,58.10,59.18,58.00,59.05,3128400,58.63
2013-04-15,59.90,60.04,57.09,57.22,4962000,56.81
2013-04-12,61.24,61.49,60.00,60.30,2648000,59.87
2013-04-11,61.17,62.88,61.10,61.69,2978800,61.25
2013-04-10,60.47,61.24,60.10,61.12,2475800,60.69
2013-04-09,60.48,60.72,59.80,60.47,3067600,60.04
2013-04-08,59.31,60.34,59.13,60.33,2720200,59.90
2013-04-05,58.63,59.40,58.27,59.32,3303000,58.90
2013-04-04,59.20,59.82,58.93,59.53,3921500,59.11
2013-04-03,61.13,61.23,58.55,59.25,5596300,58.83
2013-04-02,61.56,61.68,60.68,60.93,2706500,60.50
2013-04-01,61.25,62.15,60.81,61.18,3277100,60.75
2013-03-28,60.86,61.46,60.60,61.25,4510100,60.82
2013-03-27,60.71,61.20,60.35,60.74,5384300,60.31
2013-03-26,62.22,62.45,61.14,61.16,3364700,60.73
2013-03-25,63.18,63.66,61.92,61.98,3461700,61.54
2013-03-22,62.85,63.49,62.63,63.27,2609000,62.82
2013-03-21,62.39,63.27,62.25,62.62,3024400,62.18
2013-03-20,61.96,62.85,61.94,62.68,2487500,62.24
