Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,68.57,69.14,67.10,67.85,2240300,67.85
2013-07-11,66.19,66.46,65.34,65.79,1405900,65.79
2013-07-10,65.57,65.94,65.03,65.47,1052900,65.47
2013-07-09,67.04,67.33,65.55,65.74,1214500,65.74
2013-07-08,67.03,67.65,66.55,66.81,803900,66.81
2013-07-05,65.53,66.62,65.37,66.60,472800,66.60
2013-07-03,65.93,65.96,65.15,65.25,410100,65.25
2013-07-02,66.83,67.08,65.62,66.06,1253500,66.06
2013-07-01,67.32,67.80,66.82,67.06,791000,67.06
2013-06-28,66.80,67.84,66.73,67.20,972200,67.20
2013-06-27,66.56,67.46,66.51,66.82,481100,66.82
2013-06-26,67.71,68.09,66.20,66.23,537400,66.23
2013-06-25,66.97,67.51,66.17,67.19,757200,67.19
2013-06-24,66.32,66.76,64.36,66.35,1399600,66.35
2013-06-21,67.14,67.75,65.98,66.45,1436900,66.45
2013-06-20,68.39,68.49,66.60,66.69,798000,66.69
2013-06-19,70.27,70.56,68.81,68.82,907500,68.82
2013-06-18,70.47,70.61,69.69,70.16,790200,70.16
2013-06-17,70.38,70.68,70.08,70.48,814500,70.48
2013-06-14,70.69,71.50,69.62,70.00,1595000,70.00
2013-06-13,68.70,72.64,68.70,71.95,1995900,71.95
2013-06-12,68.74,69.30,67.47,68.27,886200,68.27
2013-06-11,68.80,69.03,68.05,68.29,1020400,68.29
2013-06-10,68.30,69.79,68.00,69.45,1582600,69.45
2013-06-07,66.85,67.24,66.35,67.20,1235800,67.20
2013-06-06,66.35,66.95,65.47,66.50,1377900,66.50
2013-06-05,65.11,66.89,65.11,66.57,1387300,66.57
2013-06-04,65.78,66.35,64.91,65.40,1149200,65.40
2013-06-03,66.62,66.70,65.55,66.24,1369200,66.24
2013-05-31,64.65,67.29,64.25,66.46,2061900,66.46
2013-05-30,64.41,65.34,64.29,64.95,1280900,64.95
2013-05-29,64.60,64.96,63.54,64.22,1063700,64.22
2013-05-28,66.22,66.62,64.78,65.19,1266700,65.19
2013-05-24,65.72,66.16,64.89,65.53,1169500,65.53
2013-05-23,63.97,66.30,63.95,65.72,1462500,65.72
2013-05-22,65.95,66.95,64.07,64.30,2092400,64.30
2013-05-21,66.24,66.32,64.89,66.00,1990700,66.00
2013-05-20,67.00,67.00,64.75,66.37,2338500,66.37
2013-05-17,68.68,69.23,66.41,67.06,2041900,67.06
2013-05-16,70.85,70.85,67.75,68.61,1995300,68.61
2013-05-15,71.57,72.40,70.68,71.14,1410100,71.14
2013-05-14,69.02,72.00,68.74,71.57,2782100,71.57
2013-05-13,67.67,68.25,67.27,67.34,1082700,67.34
2013-05-10,66.64,67.97,66.55,67.87,1224400,67.87
2013-05-09,65.43,67.46,65.11,66.73,1434000,66.73
2013-05-08,64.00,65.50,63.61,65.45,1605300,65.45
2013-05-07,63.90,64.04,63.22,63.99,1502700,63.99
2013-05-06,63.14,64.15,62.90,63.66,1084700,63.66
2013-05-03,64.51,64.51,62.95,63.21,1371700,63.21
2013-05-02,62.78,64.68,62.78,64.19,1521500,64.19
2013-05-01,63.52,63.97,62.34,62.54,1614900,62.54
2013-04-30,64.42,64.65,62.99,63.79,1902500,63.79
2013-04-29,64.48,64.74,63.88,64.28,1337000,64.28
2013-04-26,65.33,65.86,64.04,64.17,1500700,64.17
2013-04-25,65.74,66.13,65.35,65.39,4134500,65.39
2013-04-24,66.55,66.60,63.50,64.60,11493400,64.60
2013-04-23,84.02,86.11,82.17,82.81,2538000,82.81
2013-04-22,83.31,83.70,82.85,83.63,1241600,83.63
2013-04-19,83.06,83.72,82.35,83.12,845800,83.12
2013-04-18,83.97,84.42,82.43,82.75,668900,82.75
2013-04-17,84.57,84.86,82.47,83.89,986500,83.89
2013-04-16,83.95,84.99,83.59,84.93,781800,84.93
2013-04-15,84.60,85.15,83.50,83.66,950400,83.66
2013-04-12,83.79,84.84,83.79,84.80,969500,84.80
2013-04-11,83.22,84.59,83.14,83.82,775700,83.82
2013-04-10,83.66,83.95,82.52,83.08,776000,83.08
2013-04-09,81.83,83.89,81.83,83.59,878600,83.59
2013-04-08,81.29,81.77,81.06,81.62,1016500,81.62
2013-04-05,81.80,82.30,81.17,81.40,832000,81.40
2013-04-04,83.48,83.81,82.28,82.42,795500,82.42
2013-04-03,83.20,83.76,82.93,83.42,715200,83.42
2013-04-02,82.50,83.49,82.48,83.15,1013400,83.15
2013-04-01,82.21,83.14,82.05,82.29,540900,82.29
2013-03-28,81.80,82.79,81.47,82.16,879700,82.16
2013-03-27,81.53,82.39,81.21,81.69,525200,81.69
2013-03-26,81.92,82.25,81.50,81.98,429900,81.98
2013-03-25,82.37,82.53,80.91,81.71,932800,81.71
2013-03-22,81.70,82.93,81.52,82.19,1320600,82.19
2013-03-21,80.74,82.18,80.70,81.92,1121500,81.92
2013-03-20,79.00,81.18,78.92,80.93,1846100,80.93
2013-03-19,81.14,81.37,78.10,78.66,2565000,78.66
2013-03-18,81.83,82.05,81.02,81.21,615800,81.21
2013-03-15,83.95,84.92,82.04,82.19,2078800,82.19
2013-03-14,87.87,87.87,85.24,85.38,987500,85.38
2013-03-13,88.08,88.25,87.29,87.36,617500,87.36
2013-03-12,88.46,88.46,87.43,87.97,738200,87.97
2013-03-11,89.46,89.46,87.19,88.07,1737900,88.07
2013-03-08,89.28,90.31,88.84,90.30,878100,90.30
2013-03-07,88.57,89.24,88.46,88.91,760000,88.91
2013-03-06,87.74,88.97,87.57,88.90,1071500,88.90
2013-03-05,86.67,87.80,86.61,87.62,594400,87.62
2013-03-04,85.91,86.61,85.71,86.60,739700,86.60
2013-03-01,85.78,86.98,85.00,86.10,1137900,86.10
2013-02-28,86.52,87.39,85.80,85.93,957600,85.93
2013-02-27,86.58,86.98,85.24,86.43,1013300,86.43
2013-02-26,86.68,87.17,85.91,86.80,841100,86.80
2013-02-25,86.54,88.74,86.46,86.50,1215600,86.50
2013-02-22,85.80,86.45,85.28,86.37,685000,86.37
2013-02-21,86.05,86.80,85.10,85.68,1034500,85.68
2013-02-20,86.54,86.96,86.31,86.39,737900,86.39
2013-02-19,86.55,86.96,86.03,86.70,873400,86.70
2013-02-15,86.62,86.76,85.74,86.36,688900,86.36
2013-02-14,86.97,87.20,86.07,86.35,694800,86.35
2013-02-13,87.46,87.94,86.41,87.06,779900,87.06
2013-02-12,87.04,87.71,86.38,87.42,1019000,87.42
2013-02-11,87.02,87.41,85.64,87.05,1153900,87.05
2013-02-08,86.37,87.32,85.62,87.22,1758700,87.22
2013-02-07,86.80,86.91,84.47,86.00,1616400,86.00
2013-02-06,86.15,86.80,83.96,86.80,3212200,86.80
2013-02-05,89.66,90.86,86.36,86.75,4330600,86.75
2013-02-04,91.95,93.98,91.51,93.06,1278600,93.06
2013-02-01,91.70,93.54,90.37,93.41,1266300,93.41
2013-01-31,90.26,90.65,89.70,89.93,1106400,89.93
2013-01-30,90.50,90.95,89.95,90.06,1032800,90.06
2013-01-29,90.76,91.13,90.13,90.40,893800,90.40
2013-01-28,92.24,92.38,90.41,90.54,551300,90.54
2013-01-25,91.64,92.39,90.81,92.09,544100,92.09
2013-01-24,90.78,91.75,90.72,91.61,787300,91.61
2013-01-23,92.27,92.50,90.50,90.69,877900,90.69
2013-01-22,94.15,94.37,91.93,91.97,751700,91.97
2013-01-18,91.73,94.61,91.73,94.56,1077700,94.56
2013-01-17,91.61,92.06,90.82,91.51,610600,91.51
2013-01-16,89.98,91.91,89.78,91.31,911400,91.31
2013-01-15,91.19,91.65,89.62,90.07,863000,90.07
2013-01-14,91.68,91.78,90.63,91.40,430800,91.40
2013-01-11,92.34,93.00,91.59,91.79,492200,91.79
2013-01-10,93.48,93.50,91.97,92.03,683800,92.03
2013-01-09,93.21,93.46,92.06,93.20,797100,93.20
2013-01-08,94.20,94.62,92.20,92.57,1156300,92.57
