Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,39.88,40.14,39.68,40.00,1772800,40.00
2013-07-11,39.98,40.39,39.98,40.30,1222500,40.30
2013-07-10,39.47,39.75,39.40,39.60,1300100,39.60
2013-07-09,38.75,39.97,38.67,39.66,1953700,39.66
2013-07-08,38.62,38.81,38.45,38.65,849700,38.65
2013-07-05,38.13,38.52,37.90,38.52,619100,38.52
2013-07-03,38.00,38.18,37.79,37.98,416400,37.98
2013-07-02,38.57,38.78,38.05,38.18,1028100,38.18
2013-07-01,38.58,39.19,38.42,38.66,1867500,38.66
2013-06-28,37.62,38.27,37.62,38.04,2155700,38.04
2013-06-27,37.60,37.88,37.41,37.82,1222400,37.82
2013-06-26,37.50,37.72,37.28,37.32,1000100,37.32
2013-06-25,37.43,37.53,36.93,37.18,1703100,37.18
2013-06-24,36.93,37.30,36.45,36.71,1322200,36.71
2013-06-21,37.37,37.59,36.96,37.05,2145900,37.05
2013-06-20,38.06,38.06,37.28,37.29,1591300,37.29
2013-06-19,39.07,39.37,38.46,38.48,790500,38.48
2013-06-18,38.75,39.21,38.59,38.99,1000800,38.99
2013-06-17,38.65,39.26,38.32,38.65,1890700,38.65
2013-06-14,38.61,38.95,38.16,38.28,631700,38.28
2013-06-13,37.67,38.66,37.47,38.57,889800,38.57
2013-06-12,38.15,38.26,37.48,37.61,1072400,37.61
2013-06-11,38.19,38.36,37.75,37.84,912100,37.84
2013-06-10,38.63,38.77,38.36,38.48,1310900,38.48
2013-06-07,38.42,38.89,38.26,38.62,1406100,38.62
2013-06-06,37.89,38.50,37.80,38.29,1411700,38.29
2013-06-05,38.62,38.62,37.66,37.78,1253900,37.78
2013-06-04,38.97,39.18,38.31,38.49,1390000,38.49
2013-06-03,39.02,39.21,38.48,39.00,1822600,39.00
2013-05-31,38.86,39.38,38.84,39.03,1609000,39.03
2013-05-30,39.18,39.35,38.86,39.03,1130300,39.03
2013-05-29,39.25,39.64,39.10,39.36,1114500,39.06
2013-05-28,40.16,40.71,39.24,39.59,1756200,39.29
2013-05-24,39.84,39.96,39.02,39.33,1837000,39.03
2013-05-23,38.25,40.19,38.00,40.14,3499100,39.83
2013-05-22,38.67,39.20,38.07,38.30,1821300,38.01
2013-05-21,38.50,38.89,38.46,38.71,1757600,38.41
2013-05-20,38.48,38.68,38.29,38.57,1837400,38.28
2013-05-17,38.36,38.53,38.11,38.53,1649400,38.24
2013-05-16,38.48,38.81,38.08,38.20,1240200,37.91
2013-05-15,38.71,38.78,38.46,38.63,1246300,38.34
2013-05-14,38.41,38.83,38.29,38.71,1444000,38.41
2013-05-13,38.27,38.46,38.13,38.32,1538100,38.03
2013-05-10,38.50,38.88,38.28,38.43,1262200,38.14
2013-05-09,39.00,39.08,38.40,38.45,1728800,38.16
2013-05-08,38.45,39.10,38.27,39.08,1720900,38.78
2013-05-07,37.83,38.88,37.75,38.73,2269800,38.43
2013-05-06,37.24,38.17,37.01,37.90,2121700,37.61
2013-05-03,36.99,37.76,36.90,37.11,2763600,36.83
2013-05-02,37.00,38.45,36.94,37.03,5317200,36.75
2013-05-01,36.02,36.16,35.03,35.32,1716600,35.05
2013-04-30,35.56,35.94,35.44,35.93,1663600,35.66
2013-04-29,35.44,35.79,35.31,35.66,725100,35.39
2013-04-26,35.59,35.60,35.17,35.42,1358900,35.15
2013-04-25,35.66,35.71,35.38,35.44,2297100,35.17
2013-04-24,35.55,35.99,35.40,35.54,1842100,35.27
2013-04-23,35.72,35.78,35.26,35.42,1229500,35.15
2013-04-22,35.51,35.61,34.83,35.53,1457200,35.26
2013-04-19,35.07,35.67,34.95,35.34,1980500,35.07
2013-04-18,34.89,35.48,34.88,35.13,3031200,34.86
2013-04-17,35.71,35.83,35.00,35.22,2279900,34.95
2013-04-16,36.06,36.29,35.66,36.07,1876900,35.80
2013-04-15,36.62,36.81,35.72,35.86,1928000,35.59
2013-04-12,36.97,37.01,36.32,36.70,1771500,36.42
2013-04-11,37.17,37.25,36.90,37.03,1552600,36.75
2013-04-10,36.66,37.11,36.34,37.05,2730900,36.77
2013-04-09,36.57,37.04,36.46,37.01,1979900,36.73
2013-04-08,36.16,36.49,35.66,36.47,1880900,36.19
2013-04-05,35.58,36.28,35.16,36.21,2191900,35.93
2013-04-04,35.71,36.28,35.55,36.08,2610400,35.81
2013-04-03,35.21,35.87,35.21,35.62,2807600,35.35
2013-04-02,35.42,35.88,35.19,35.30,2162400,35.03
2013-04-01,35.79,36.12,35.24,35.37,1872000,35.10
2013-03-28,35.58,35.75,35.40,35.73,2269800,35.46
2013-03-27,35.63,35.85,35.33,35.73,2262900,35.46
2013-03-26,35.60,35.97,35.45,35.80,3118600,35.53
2013-03-25,36.69,36.78,35.45,35.67,3626800,35.40
2013-03-22,36.78,36.96,36.32,36.54,2491100,36.26
2013-03-21,37.05,37.14,36.46,36.59,2395500,36.31
2013-03-20,37.55,37.66,36.51,37.19,3526700,36.91
2013-03-19,38.18,38.35,37.02,37.43,2790600,37.14
2013-03-18,38.12,38.70,37.85,38.18,1756700,37.89
2013-03-15,38.27,38.50,38.20,38.44,2182900,38.15
2013-03-14,38.44,38.53,38.19,38.37,1774000,38.08
2013-03-13,38.48,38.54,38.13,38.29,2099800,38.00
2013-03-12,38.61,38.94,38.09,38.24,1746700,37.95
2013-03-11,38.76,38.87,38.56,38.64,1236900,38.35
2013-03-08,39.25,39.29,38.63,38.69,1621400,38.40
2013-03-07,39.06,39.25,38.74,38.78,1818000,38.48
2013-03-06,39.73,39.78,38.98,39.09,1807600,38.79
2013-03-05,39.02,39.76,38.99,39.55,1846200,39.25
2013-03-04,38.65,38.95,38.26,38.94,2431500,38.64
2013-03-01,38.51,38.91,38.19,38.82,2858900,38.52
2013-02-28,38.17,39.10,38.15,38.85,4339500,38.55
2013-02-27,37.19,38.52,37.15,38.22,4708400,37.93
2013-02-26,39.16,39.96,36.08,37.06,9355800,36.78
2013-02-25,41.08,41.56,39.93,39.99,2763600,39.69
2013-02-22,40.86,41.33,40.60,40.81,2289700,40.50
2013-02-21,41.67,41.67,40.66,40.75,2490100,40.44
2013-02-20,42.60,42.67,41.72,41.81,1535400,41.49
2013-02-19,42.39,42.74,42.14,42.60,1858000,42.28
2013-02-15,42.40,42.85,42.21,42.26,1628800,41.94
2013-02-14,42.56,42.78,42.23,42.40,1920600,42.08
2013-02-13,42.92,43.11,42.44,42.67,1361500,42.34
2013-02-12,42.95,43.19,42.72,42.75,1519700,42.42
2013-02-11,43.29,43.46,42.80,43.00,913300,42.67
2013-02-08,43.19,43.53,42.96,43.34,1448200,43.01
2013-02-07,43.25,43.25,42.62,43.08,1737600,42.75
2013-02-06,42.87,43.49,42.65,43.19,2003700,42.86
2013-02-05,43.00,43.61,42.73,43.43,1395600,43.10
2013-02-04,42.80,43.17,42.70,42.78,2066600,42.45
2013-02-01,43.30,43.32,42.95,43.03,1891000,42.70
2013-01-31,43.01,43.19,42.42,42.90,3358100,42.57
2013-01-30,43.51,43.54,42.97,43.12,1822000,42.79
2013-01-29,43.29,43.58,42.94,43.52,1489500,43.19
2013-01-28,43.69,43.80,43.19,43.38,1647800,43.05
2013-01-25,43.44,43.56,43.08,43.54,1504000,43.21
2013-01-24,43.11,43.74,42.97,43.19,1977700,42.86
2013-01-23,43.13,43.32,42.81,42.98,1294000,42.65
2013-01-22,42.82,43.11,42.69,43.08,1300400,42.75
2013-01-18,43.47,43.47,42.74,42.87,3014700,42.54
2013-01-17,42.78,43.04,42.69,43.03,1340500,42.70
2013-01-16,42.64,42.91,42.64,42.72,1258700,42.39
2013-01-15,42.46,42.84,42.43,42.74,1053400,42.41
2013-01-14,42.65,42.80,42.43,42.70,1139100,42.37
2013-01-11,42.40,42.92,42.40,42.70,2067900,42.37
2013-01-10,42.45,42.59,42.31,42.54,1920600,42.22
2013-01-09,41.29,42.35,41.12,42.16,2393800,41.84
2013-01-08,41.23,41.27,40.85,41.08,1473600,40.77
2013-01-07,41.53,41.69,41.22,41.37,1381700,41.05
2013-01-04,41.12,41.92,40.97,41.82,1592300,41.50
2013-01-03,40.89,41.08,40.77,41.03,2124900,40.72
2013-01-02,40.27,41.25,40.16,40.90,2293100,40.59
2012-12-31,39.08,39.56,38.83,39.55,1030900,39.25
2012-12-28,39.03,39.72,39.00,39.03,1074600,38.73
2012-12-27,39.49,39.56,38.88,39.27,926800,38.97
2012-12-26,39.76,39.97,39.45,39.49,932500,39.19
2012-12-24,39.82,39.93,39.56,39.77,505100,39.47
2012-12-21,39.46,39.81,39.00,39.73,2192300,39.43
2012-12-20,39.70,39.92,39.37,39.90,1843700,39.60
2012-12-19,39.35,39.88,39.26,39.61,2254300,39.31
2012-12-18,38.59,39.43,38.41,39.37,2152600,39.07
2012-12-17,38.37,38.61,37.98,38.60,2686300,38.31
2012-12-14,37.92,38.34,37.83,38.22,1671100,37.93
2012-12-13,37.73,38.50,37.72,38.11,1181500,37.82
2012-12-12,38.65,38.84,37.91,38.04,1581700,37.75
2012-12-11,38.29,38.84,38.10,38.63,1613100,38.34
2012-12-10,37.32,38.25,37.26,38.22,1456100,37.93
2012-12-07,37.06,37.36,36.87,37.34,1028500,37.06
2012-12-06,37.57,37.57,36.67,36.99,1764900,36.71
2012-12-05,37.07,37.74,37.05,37.64,1327200,37.35
2012-12-04,37.18,37.18,36.89,37.06,1014000,36.78
2012-12-03,37.66,37.82,36.91,37.04,1324200,36.76
2012-11-30,37.45,37.59,37.20,37.42,1809200,37.13
2012-11-29,37.50,37.96,37.18,37.35,2610300,37.07
2012-11-28,36.78,37.10,36.69,37.03,1654900,36.47
2012-11-27,37.19,37.30,36.93,36.98,1231300,36.42
2012-11-26,36.96,37.31,36.84,37.24,1206200,36.68
2012-11-23,36.93,37.20,36.73,37.18,521200,36.62
2012-11-21,36.41,36.94,36.32,36.80,1397800,36.24
2012-11-20,36.21,36.47,35.88,36.47,1242700,35.92
2012-11-19,36.14,36.38,35.85,36.20,892000,35.65
2012-11-16,36.20,36.29,35.40,35.76,1700300,35.22
2012-11-15,36.31,36.54,36.04,36.22,1182400,35.67
2012-11-14,36.95,37.03,36.30,36.37,2388400,35.82
2012-11-13,36.71,37.34,36.68,36.86,1972300,36.30
2012-11-12,36.89,37.19,36.73,36.97,1006900,36.41
2012-11-09,36.76,37.12,36.67,36.73,1526500,36.17
2012-11-08,37.12,37.31,36.74,36.74,2105500,36.18
2012-11-07,37.41,37.74,36.77,37.15,1860300,36.59
2012-11-06,37.23,38.50,36.90,37.88,2138200,37.31
2012-11-05,36.87,37.29,36.83,37.12,1179800,36.56
2012-11-02,37.38,37.40,36.82,36.91,1143300,36.35
2012-11-01,36.52,37.33,36.39,37.22,1407600,36.66
2012-10-31,36.39,36.91,36.37,36.61,1549000,36.06
2012-10-26,36.79,37.36,36.29,36.43,2864600,35.88
2012-10-25,36.00,36.15,35.49,35.78,1539300,35.24
2012-10-24,36.24,36.40,35.78,35.82,2080200,35.28
2012-10-23,34.98,36.36,34.91,36.28,2410700,35.73
2012-10-22,35.25,35.46,35.01,35.33,1269600,34.80
2012-10-19,35.62,35.75,35.14,35.32,2698100,34.79
2012-10-18,35.61,35.85,35.47,35.54,2705200,35.00
2012-10-17,35.31,35.75,35.31,35.55,3303700,35.01
2012-10-16,35.07,35.52,34.84,35.25,2119700,34.72
2012-10-15,34.92,35.18,34.55,35.00,2211600,34.47
2012-10-12,34.47,34.90,34.40,34.78,3306500,34.25
2012-10-11,34.58,34.70,34.21,34.41,3414100,33.89
2012-10-10,34.94,35.01,34.20,34.36,2443700,33.84
2012-10-09,35.22,35.28,34.68,34.80,2125400,34.27
2012-10-08,35.37,35.56,35.15,35.22,1446600,34.69
2012-10-05,35.76,36.01,35.52,35.55,1799400,35.01
2012-10-04,35.44,35.56,35.13,35.43,1725600,34.89
2012-10-03,35.33,35.65,35.02,35.16,2775500,34.63
2012-10-02,36.37,36.37,35.10,35.17,3105500,34.64
2012-10-01,36.43,36.52,35.90,36.14,1995100,35.59
2012-09-28,36.59,36.67,36.21,36.35,1484100,35.80
2012-09-27,36.25,36.87,36.04,36.81,1459500,36.25
2012-09-26,36.05,36.39,36.01,36.02,926000,35.48
2012-09-25,36.86,37.10,36.01,36.05,1575700,35.50
2012-09-24,36.73,37.19,36.57,36.86,997200,36.30
2012-09-21,37.62,37.72,36.72,36.78,1916600,36.22
2012-09-20,38.04,38.13,37.33,37.53,1574700,36.96
2012-09-19,38.38,38.55,37.85,38.26,950300,37.68
2012-09-18,38.29,38.52,38.00,38.20,1488300,37.62
2012-09-17,39.07,39.22,38.39,38.48,1331200,37.90
2012-09-14,39.08,39.35,38.88,39.16,1492500,38.57
2012-09-13,38.88,39.45,38.72,39.11,1331600,38.52
2012-09-12,38.88,39.10,38.71,39.00,776300,38.41
2012-09-11,38.26,38.91,38.20,38.81,1064800,38.22
2012-09-10,38.06,38.48,37.91,38.34,1101200,37.76
2012-09-07,37.28,37.96,37.20,37.78,1327700,37.21
2012-09-06,36.62,37.31,36.47,37.11,1104900,36.55
2012-09-05,36.29,36.57,35.90,36.23,1466900,35.68
2012-09-04,36.50,36.81,36.20,36.47,1625800,35.92
2012-08-31,36.53,36.72,36.19,36.61,1232100,36.06
2012-08-30,36.57,36.68,36.06,36.19,1206100,35.64
2012-08-29,36.84,37.07,36.71,36.80,700600,36.24
2012-08-28,36.86,37.12,36.85,36.87,1190100,36.31
2012-08-27,37.74,37.75,36.98,37.03,780200,36.47
2012-08-24,37.53,37.94,37.28,37.71,850100,37.14
2012-08-23,38.05,38.05,37.22,37.52,939100,36.95
2012-08-22,38.40,38.52,37.95,38.00,1136000,37.43
2012-08-21,38.44,38.90,38.39,38.50,1121900,37.92
2012-08-20,38.14,38.57,38.09,38.49,1622900,37.91
2012-08-17,38.45,38.45,37.90,38.29,1477700,37.71
2012-08-16,37.52,38.45,37.37,38.31,1556000,37.73
2012-08-15,36.92,37.43,36.92,37.40,957900,36.83
2012-08-14,37.01,37.14,36.90,37.03,1413700,36.47
2012-08-13,36.51,36.95,36.38,36.93,1439300,36.37
2012-08-10,36.16,36.80,35.94,36.68,1646200,36.13
2012-08-09,36.24,36.50,35.82,36.40,2696000,35.85
2012-08-08,35.40,36.64,35.30,36.42,2358400,35.87
2012-08-07,36.04,36.46,35.16,35.67,3467900,35.13
2012-08-06,36.28,36.59,35.99,36.04,1104200,35.49
2012-08-03,35.99,36.39,35.58,36.10,1491400,35.55
2012-08-02,35.05,35.26,34.83,35.19,1757500,34.66
2012-08-01,35.89,35.89,35.06,35.24,2139300,34.71
2012-07-31,35.89,36.09,35.55,35.57,2042200,35.03
2012-07-30,36.00,36.37,35.88,36.02,2211000,35.48
2012-07-27,35.98,36.38,35.98,36.06,3275500,35.51
2012-07-26,36.39,36.96,35.49,35.82,1736000,35.28
2012-07-25,36.84,36.85,35.53,35.60,2435400,35.06
2012-07-24,37.10,37.13,36.44,36.71,2663800,36.15
2012-07-23,36.35,37.37,35.97,37.29,1550200,36.73
2012-07-20,38.45,38.45,36.98,37.05,1327500,36.49
2012-07-19,38.47,38.66,38.24,38.47,1115700,37.89
2012-07-18,37.14,38.75,37.14,38.45,1531700,37.87
2012-07-17,37.24,37.50,36.43,37.33,1462100,36.77
2012-07-16,37.58,37.62,36.60,37.18,1331500,36.62
2012-07-13,36.64,37.80,36.64,37.67,955700,37.10
2012-07-12,36.41,36.95,36.17,36.68,1455100,36.13
2012-07-11,37.09,37.37,36.62,36.91,1854100,36.35
2012-07-10,38.22,38.41,36.99,37.18,1172000,36.62
2012-07-09,38.15,38.41,37.68,37.77,862600,37.20
