Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,63.24,63.94,62.97,63.75,1465300,63.75
2013-07-11,63.81,63.99,62.54,63.08,2272800,63.08
2013-07-10,62.72,63.22,62.28,63.22,1290700,63.22
2013-07-09,63.09,63.32,62.64,63.02,1951500,63.02
2013-07-08,63.02,63.47,62.00,62.40,1868400,62.40
2013-07-05,62.46,62.92,61.71,62.88,937600,62.88
2013-07-03,61.18,62.04,61.17,61.68,911300,61.68
2013-07-02,62.11,62.53,61.09,61.69,1552100,61.69
2013-07-01,60.32,62.54,60.08,62.11,2870000,62.11
2013-06-28,59.44,60.72,59.03,60.15,4310100,60.15
2013-06-27,58.22,60.09,58.22,59.92,2147600,59.92
2013-06-26,57.76,58.01,57.40,57.91,1679100,57.91
2013-06-25,57.59,58.05,56.73,57.12,1660800,57.12
2013-06-24,58.42,58.61,56.06,56.99,3027600,56.99
2013-06-21,59.99,60.24,58.53,58.83,3060400,58.83
2013-06-20,59.78,60.51,59.49,59.70,2097800,59.70
2013-06-19,61.00,61.08,59.81,60.49,2607600,60.49
2013-06-18,59.32,60.95,59.26,60.64,3047200,60.64
2013-06-17,58.34,59.19,58.08,59.13,1832200,59.13
2013-06-14,58.00,58.76,57.49,58.01,2718300,58.01
2013-06-13,56.27,58.30,56.11,58.15,2150000,58.15
2013-06-12,56.23,57.27,56.23,56.37,2479000,56.37
2013-06-11,56.04,56.84,55.72,55.84,1105100,55.84
2013-06-10,55.86,57.06,55.86,56.74,1343500,56.74
2013-06-07,55.86,56.20,55.37,55.84,1774600,55.84
2013-06-06,55.07,55.70,54.39,55.60,2059000,55.60
2013-06-05,56.01,56.18,54.78,54.96,2432700,54.96
2013-06-04,57.09,57.46,55.74,56.13,2595600,56.13
2013-06-03,57.52,58.15,56.97,57.51,2316600,57.51
2013-05-31,57.34,58.06,57.25,57.51,1968700,57.51
2013-05-30,57.43,58.50,57.36,57.49,2126600,57.49
2013-05-29,58.57,59.13,57.43,57.46,1932000,57.46
2013-05-28,59.69,60.10,58.86,58.97,2488600,58.97
2013-05-24,57.70,59.12,57.68,59.04,1719900,58.91
2013-05-23,57.13,58.56,56.91,58.21,3630600,58.08
2013-05-22,58.01,58.26,57.25,57.68,4652900,57.55
2013-05-21,57.83,58.45,57.60,58.01,2775400,57.88
2013-05-20,58.66,58.80,57.17,58.00,4061000,57.87
2013-05-17,58.49,58.93,57.36,58.10,3775600,57.97
2013-05-16,60.25,60.55,57.85,57.90,4312400,57.77
2013-05-15,60.60,61.51,60.29,60.73,3404100,60.60
2013-05-14,59.67,60.83,59.60,60.76,3780700,60.63
2013-05-13,58.48,59.57,58.21,59.43,2672400,59.30
2013-05-10,56.40,59.15,56.26,58.87,5054700,58.74
2013-05-09,57.32,57.68,55.50,55.97,4438300,55.85
2013-05-08,57.13,58.05,56.85,57.18,3387200,57.05
2013-05-07,58.48,58.66,56.95,57.07,3966700,56.94
2013-05-06,58.96,59.43,58.14,58.29,2665300,58.16
2013-05-03,57.30,59.38,57.11,59.00,3871200,58.87
2013-05-02,55.56,57.13,55.34,56.77,3943800,56.64
2013-05-01,55.97,55.97,54.65,55.10,2722900,54.98
2013-04-30,55.77,57.16,55.57,55.84,4115000,55.72
2013-04-29,58.73,58.97,55.75,56.06,6415000,55.94
2013-04-26,61.51,61.90,58.08,58.56,8904800,58.43
2013-04-25,64.67,65.22,64.40,64.97,4795700,64.83
2013-04-24,64.20,64.96,63.46,64.18,1489200,64.04
2013-04-23,63.75,64.40,63.26,64.20,2022200,64.06
2013-04-22,61.77,63.65,61.38,63.34,2598000,63.20
2013-04-19,60.46,62.34,60.16,61.67,2515500,61.53
2013-04-18,61.96,62.43,60.25,60.50,1580000,60.37
2013-04-17,62.30,62.88,61.10,61.77,2059900,61.63
2013-04-16,61.85,63.36,61.82,63.13,1634200,62.99
2013-04-15,63.89,64.31,61.30,61.46,2176500,61.32
2013-04-12,64.70,65.15,63.97,64.43,1134700,64.29
2013-04-11,64.35,65.39,64.06,65.01,2052500,64.87
2013-04-10,62.87,64.35,62.71,64.35,1476800,64.21
2013-04-09,62.27,62.68,61.48,62.43,1284000,62.29
2013-04-08,61.47,62.35,61.15,62.32,1270200,62.18
2013-04-05,60.03,61.64,59.71,61.62,1364600,61.48
2013-04-04,60.74,61.75,60.07,61.18,1263200,61.05
2013-04-03,61.82,61.87,60.68,60.80,2498600,60.67
2013-04-02,61.13,62.37,60.61,61.87,3091400,61.73
2013-04-01,60.49,60.91,59.82,60.50,3274500,60.37
2013-03-28,60.92,60.92,59.50,60.02,2732400,59.89
2013-03-27,61.47,61.68,60.76,60.90,2602500,60.77
2013-03-26,62.78,63.45,61.88,62.09,2001100,61.95
2013-03-25,63.19,63.65,61.96,62.38,1267600,62.24
2013-03-22,62.39,63.06,61.78,62.94,1945000,62.80
2013-03-21,62.79,63.61,61.63,61.93,1846000,61.79
2013-03-20,63.35,63.51,62.79,63.28,1798100,63.14
2013-03-19,64.78,64.86,61.43,62.65,2878400,62.51
2013-03-18,65.32,65.61,64.32,64.44,1494900,64.30
2013-03-15,66.09,66.83,65.65,66.22,1676500,66.07
2013-03-14,65.75,66.50,65.66,66.35,1304200,66.20
2013-03-13,65.14,66.10,64.35,65.75,1499400,65.61
2013-03-12,64.75,66.00,64.51,64.97,1752900,64.83
2013-03-11,64.42,65.05,63.93,64.98,1770300,64.84
2013-03-08,64.81,65.00,63.71,64.72,1561800,64.58
2013-03-07,64.80,65.41,64.20,64.32,1279400,64.18
2013-03-06,65.89,66.10,64.59,64.95,1731100,64.68
2013-03-05,64.99,66.22,64.82,65.91,3362900,65.63
2013-03-04,63.20,64.51,63.12,64.42,2172500,64.15
2013-03-01,63.50,64.15,62.86,63.74,1788800,63.47
2013-02-28,63.93,64.54,63.19,63.90,2806500,63.63
2013-02-27,63.41,64.92,62.11,64.18,2052100,63.91
2013-02-26,62.28,63.12,61.49,62.82,2227100,62.56
2013-02-25,64.66,64.92,62.03,62.14,2079000,61.88
2013-02-22,63.86,64.64,63.79,64.49,2044900,64.22
