Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,46.55,47.18,46.14,47.13,1742700,47.13
2013-07-11,46.13,46.75,45.48,46.56,4469800,46.56
2013-07-10,46.68,46.83,44.90,45.77,5169800,45.77
2013-07-09,46.53,47.44,46.12,47.10,1953200,47.10
2013-07-08,46.11,46.41,45.78,45.97,1509100,45.97
2013-07-05,45.88,46.04,45.17,45.81,1069000,45.81
2013-07-03,45.53,45.78,45.13,45.29,1168600,45.29
2013-07-02,46.02,46.40,45.61,45.82,1053200,45.82
2013-07-01,46.00,46.61,45.70,45.84,1741900,45.84
2013-06-28,46.49,46.72,45.56,45.79,3179600,45.79
2013-06-27,46.49,47.00,46.06,46.90,1471100,46.90
2013-06-26,46.01,46.42,45.59,46.10,1317400,46.10
2013-06-25,45.73,45.88,45.28,45.49,2013800,45.49
2013-06-24,44.90,45.72,44.39,45.18,1811900,45.18
2013-06-21,45.03,45.40,44.73,45.07,2896800,45.07
2013-06-20,45.75,46.05,44.80,44.95,2233000,44.95
2013-06-19,46.88,47.46,46.32,46.32,1616200,46.32
2013-06-18,47.27,47.39,46.75,46.90,2534800,46.90
2013-06-17,47.90,48.27,47.02,47.20,1820500,47.20
2013-06-14,48.45,48.89,47.60,47.69,1165700,47.69
2013-06-13,47.78,48.71,47.60,48.56,846100,48.56
2013-06-12,48.84,48.93,47.70,47.71,1102000,47.71
2013-06-11,47.84,48.85,47.71,48.48,1412100,48.48
2013-06-10,48.36,48.91,47.93,48.52,1582500,48.52
2013-06-07,48.21,48.68,48.00,48.41,1587400,48.41
2013-06-06,47.70,48.28,47.05,47.63,2733800,47.63
2013-06-05,50.32,50.41,47.60,47.70,3984300,47.70
2013-06-04,51.91,52.09,50.63,50.92,1537800,50.92
2013-06-03,52.46,52.48,51.11,51.98,1691800,51.98
2013-05-31,51.49,53.12,51.41,52.18,1871800,52.18
2013-05-30,52.11,52.19,51.63,51.70,967500,51.70
2013-05-29,51.85,52.13,51.22,51.91,904200,51.91
2013-05-28,52.50,52.56,51.65,52.10,1286800,52.10
2013-05-24,51.13,52.15,50.69,51.91,1580300,51.91
2013-05-23,51.00,52.34,50.56,51.87,1978500,51.87
2013-05-22,51.49,52.27,50.78,51.10,1867100,51.10
2013-05-21,50.89,51.88,50.76,51.74,1494000,51.74
2013-05-20,51.09,51.14,50.61,50.80,1213300,50.80
2013-05-17,51.02,51.33,50.61,51.11,1841200,51.11
2013-05-16,51.69,51.93,50.70,50.85,1289900,50.85
2013-05-15,51.67,52.09,51.54,52.00,1464800,52.00
2013-05-14,50.98,52.12,50.83,51.87,1949600,51.87
2013-05-13,50.55,51.67,50.55,50.94,2030600,50.94
2013-05-10,48.87,50.94,48.71,50.78,2303300,50.78
2013-05-09,48.21,49.02,48.16,48.72,1175300,48.72
2013-05-08,48.50,48.82,48.04,48.44,1336300,48.44
2013-05-07,48.09,48.98,48.04,48.64,1400800,48.64
2013-05-06,47.96,48.20,47.74,47.86,1195800,47.86
2013-05-03,48.49,48.50,47.80,47.86,1906900,47.86
2013-05-02,47.95,48.24,47.72,47.95,1865500,47.95
2013-05-01,48.94,49.17,47.72,47.91,1913100,47.91
2013-04-30,49.62,50.00,48.42,49.05,2315500,49.05
2013-04-29,49.46,50.21,49.09,49.92,1122400,49.92
2013-04-26,49.46,49.78,49.12,49.47,1204700,49.47
2013-04-25,49.60,49.88,49.23,49.34,1393600,49.34
2013-04-24,49.43,49.93,49.16,49.49,962300,49.49
2013-04-23,48.75,49.25,48.45,49.15,1137500,49.15
