Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,28.50,28.50,27.91,28.05,12043800,28.05
2013-07-11,28.46,28.66,28.17,28.53,21355500,28.53
2013-07-10,28.09,28.09,27.51,27.60,11672000,27.29
2013-07-09,27.76,27.89,27.36,27.64,11324900,27.33
2013-07-08,27.50,27.55,27.14,27.46,9132000,27.15
2013-07-05,27.63,27.70,26.95,27.34,11420500,27.03
2013-07-03,27.79,27.98,27.51,27.68,6373700,27.37
2013-07-02,28.31,28.34,27.48,27.74,15605800,27.43
2013-07-01,28.62,28.75,27.91,28.27,16032800,27.95
2013-06-28,27.18,27.79,27.02,27.61,16305500,27.30
2013-06-27,27.19,27.55,27.02,27.30,12327200,26.99
2013-06-26,27.15,27.25,26.53,26.85,16369400,26.55
2013-06-25,27.26,27.41,26.92,27.26,28282000,26.95
2013-06-24,27.74,27.74,26.37,26.82,40725200,26.52
2013-06-21,28.02,28.34,27.52,28.16,33272600,27.84
2013-06-20,28.54,28.55,27.52,27.72,30751200,27.41
2013-06-19,29.39,29.97,29.19,29.19,14907300,28.86
2013-06-18,29.64,29.66,29.33,29.52,9177800,29.19
2013-06-17,29.74,29.94,29.41,29.66,11306500,29.32
2013-06-14,29.93,30.23,29.48,29.57,12986700,29.23
2013-06-13,29.59,29.76,29.24,29.71,15225000,29.37
2013-06-12,29.75,30.12,29.56,29.59,15059400,29.25
2013-06-11,30.30,30.65,30.17,30.32,30029400,28.68
2013-06-10,30.77,31.00,30.38,30.88,25711000,29.21
2013-06-07,31.30,31.30,30.47,30.92,25197500,29.25
2013-06-06,30.47,31.07,30.25,31.03,16621600,29.35
2013-06-05,30.80,30.86,30.16,30.32,15589300,28.68
2013-06-04,31.48,31.48,30.54,30.85,18514000,29.18
2013-06-03,31.04,31.49,30.92,31.47,18676900,29.77
2013-05-31,31.62,31.73,30.95,31.05,16162200,29.37
2013-05-30,31.18,31.86,31.10,31.85,35562300,30.13
2013-05-29,31.00,31.15,30.27,31.06,13449000,29.38
2013-05-28,30.72,31.08,30.53,30.89,15759500,29.22
2013-05-24,30.62,30.95,30.14,30.40,12674600,28.75
2013-05-23,30.70,31.12,30.57,30.93,19152100,29.26
2013-05-22,32.18,32.90,31.50,31.66,21351000,29.95
2013-05-21,32.98,33.08,31.94,31.98,21243900,30.25
2013-05-20,32.73,33.00,32.17,32.88,26038500,31.10
2013-05-17,32.32,32.81,32.11,32.68,16151000,30.91
2013-05-16,31.68,32.48,31.35,32.04,18827600,30.30
2013-05-15,31.24,32.09,31.16,31.76,20995100,30.04
2013-05-14,31.59,31.86,31.31,31.57,17590400,29.86
2013-05-13,32.40,32.40,31.68,31.96,14133500,30.23
2013-05-10,32.25,32.59,32.00,32.55,15378100,30.79
2013-05-09,32.78,33.25,32.42,32.62,28125300,30.85
2013-05-08,31.96,32.64,31.84,32.39,23735900,30.64
2013-05-07,31.35,31.97,31.25,31.55,17262200,29.84
2013-05-06,31.36,31.61,30.95,31.43,13712100,29.73
2013-05-03,31.49,31.75,31.13,31.13,17575300,29.44
2013-05-02,30.66,30.66,29.90,30.34,12105600,28.70
2013-05-01,30.24,30.52,29.77,30.36,18418100,28.72
2013-04-30,29.76,30.46,29.23,30.43,12610400,28.78
2013-04-29,29.75,30.19,29.44,29.90,11437200,28.28
2013-04-26,29.83,29.83,29.06,29.42,13586000,27.83
2013-04-25,30.80,30.83,29.64,29.86,32724700,28.24
2013-04-24,28.98,29.85,28.91,29.78,17907000,28.17
2013-04-23,28.58,28.79,27.91,28.52,19281500,26.98
2013-04-22,28.34,28.61,27.60,28.56,16068000,27.01
2013-04-19,28.40,28.51,27.42,28.24,20148000,26.71
2013-04-18,27.58,28.70,27.24,28.05,26305300,26.53
2013-04-17,28.98,29.03,27.52,28.00,37983400,26.48
2013-04-16,29.73,30.09,29.16,29.25,22101300,27.67
2013-04-15,30.06,30.28,29.03,29.27,44719200,27.68
2013-04-12,32.54,32.92,31.82,31.92,19570800,30.19
2013-04-11,33.31,33.41,32.68,32.79,13453700,31.01
2013-04-10,33.94,33.97,33.32,33.69,17715500,31.57
2013-04-09,32.64,34.00,32.64,33.76,22103700,31.64
2013-04-08,32.15,32.53,31.80,32.42,26989500,30.38
2013-04-05,31.48,32.18,31.17,32.10,26990400,30.08
2013-04-04,31.57,32.18,31.25,31.70,25733400,29.70
2013-04-03,31.81,32.17,31.15,31.55,17632500,29.56
2013-04-02,32.38,32.65,31.78,31.92,15543900,29.91
2013-04-01,32.99,33.02,32.11,32.38,12127100,30.34
2013-03-28,33.24,33.33,32.90,33.10,12297900,31.02
2013-03-27,32.48,33.47,32.37,33.36,14497700,31.26
2013-03-26,32.74,32.82,32.45,32.80,9953000,30.74
2013-03-25,33.14,33.15,32.42,32.59,11551000,30.54
2013-03-22,33.14,33.30,32.86,33.00,8171500,30.92
2013-03-21,33.06,33.28,32.90,32.99,10981100,30.91
2013-03-20,33.20,33.42,33.00,33.24,10973200,31.15
2013-03-19,33.49,33.53,32.65,32.98,19428000,30.90
