Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,102.07,103.31,101.58,102.29,5071300,102.29
2013-07-11,104.00,105.98,103.91,104.40,3983100,104.40
2013-07-10,102.68,106.47,102.01,103.00,6783500,103.00
2013-07-09,99.50,106.35,99.39,103.15,15122500,103.15
2013-07-08,99.18,99.50,98.63,98.83,1913400,98.83
2013-07-05,98.59,99.20,98.18,98.96,1056300,98.96
2013-07-03,97.88,98.25,97.54,97.77,783900,97.77
2013-07-02,98.76,99.42,97.94,98.27,1740900,98.27
2013-07-01,98.72,99.73,98.55,98.89,1975900,98.89
2013-06-28,98.91,99.59,98.58,98.58,2245400,98.58
2013-06-27,99.15,99.53,98.73,99.37,1941500,99.37
2013-06-26,98.07,99.35,97.99,98.37,2777200,98.37
2013-06-25,97.05,98.31,96.68,97.19,2240600,97.19
2013-06-24,95.37,96.70,94.60,95.90,2710500,95.90
2013-06-21,96.50,97.03,94.67,96.46,3632400,96.46
2013-06-20,97.84,97.97,95.17,95.71,4945600,95.71
2013-06-19,100.96,103.47,99.26,100.54,4496600,100.54
2013-06-18,98.62,100.38,98.24,99.48,2195300,99.48
2013-06-17,100.13,100.20,97.68,98.41,2504600,98.41
2013-06-14,99.51,100.75,98.72,99.12,1534900,99.12
2013-06-13,97.41,99.85,97.10,99.58,1424300,99.58
2013-06-12,98.58,98.90,97.28,97.49,1289900,97.34
2013-06-11,97.61,98.79,97.11,98.04,1563000,97.89
2013-06-10,99.86,99.98,98.54,98.66,1842300,98.51
2013-06-07,97.74,99.84,97.48,99.78,2508400,99.63
2013-06-06,97.01,97.52,95.64,96.84,2478500,96.69
2013-06-05,98.00,98.20,96.18,97.09,2174500,96.94
2013-06-04,97.64,99.00,97.45,98.38,3045500,98.23
2013-06-03,96.51,97.71,96.02,97.70,2263600,97.55
2013-05-31,96.25,97.97,96.12,96.34,2273500,96.19
2013-05-30,96.75,97.10,95.88,96.52,2947600,96.37
2013-05-29,96.48,97.50,96.08,96.55,2446000,96.40
2013-05-28,98.82,99.10,95.97,96.53,4178600,96.38
2013-05-24,98.67,98.67,97.35,97.82,2543100,97.67
2013-05-23,98.63,99.71,98.00,99.10,1649000,98.95
2013-05-22,102.08,102.90,99.00,99.65,3251200,99.50
2013-05-21,101.39,103.05,101.25,102.17,2796900,102.01
2013-05-20,100.06,101.56,99.60,101.18,2390900,101.02
2013-05-17,99.45,100.08,98.86,100.05,2222600,99.90
2013-05-16,100.24,100.79,98.73,98.94,1776300,98.79
2013-05-15,100.53,100.87,99.79,100.28,2054200,100.13
2013-05-14,98.90,100.72,98.88,100.68,1921900,100.53
2013-05-13,99.84,99.95,98.72,98.80,2047800,98.65
2013-05-10,100.15,101.16,99.62,100.12,2278900,99.97
2013-05-09,101.57,102.10,100.23,100.43,2754200,100.28
2013-05-08,99.07,102.09,98.80,101.95,4873600,101.79
2013-05-07,96.63,99.60,96.51,99.52,4689700,99.37
2013-05-06,94.92,96.80,94.74,96.23,3045700,96.08
2013-05-03,92.98,95.14,92.98,94.52,2317300,94.37
2013-05-02,92.23,93.11,92.18,92.29,2404500,92.15
2013-05-01,93.66,94.02,91.84,92.00,2396600,91.86
2013-04-30,93.84,94.43,93.09,94.01,1981000,93.87
2013-04-29,94.45,94.58,93.50,93.75,1878900,93.61
2013-04-26,94.57,94.78,93.99,94.18,1652400,94.04
2013-04-25,94.61,94.94,93.23,94.30,2326400,94.15
2013-04-24,94.70,96.15,94.40,94.46,3056500,94.31
2013-04-23,92.94,93.19,92.03,93.17,2537900,93.03
2013-04-22,92.67,92.85,90.95,92.50,1584300,92.36
2013-04-19,92.39,92.87,91.70,92.39,1901000,92.25
