Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,37.30,37.47,36.99,37.45,1828200,37.45
2013-07-11,37.19,37.48,37.10,37.34,2406800,37.34
2013-07-10,36.73,37.08,36.52,36.81,1829300,36.81
2013-07-09,36.65,37.06,36.65,36.81,2453000,36.81
2013-07-08,36.00,36.62,35.91,36.51,2269800,36.51
2013-07-05,36.16,36.16,35.46,35.85,1517400,35.85
2013-07-03,36.05,36.22,35.87,36.16,1061200,36.16
2013-07-02,36.25,36.55,36.02,36.16,2503800,36.16
2013-07-01,37.52,37.57,36.18,36.31,4125400,36.31
2013-06-28,37.11,37.68,36.98,37.34,7370100,37.34
2013-06-27,37.23,37.67,36.93,37.10,2599600,37.10
2013-06-26,37.13,37.29,36.88,37.06,2146300,37.06
2013-06-25,36.56,37.16,36.42,36.93,2629300,36.93
2013-06-24,36.26,36.69,35.72,36.41,3509200,36.41
2013-06-21,36.56,36.93,36.09,36.51,5335200,36.51
2013-06-20,36.99,37.21,36.27,36.32,4089700,36.32
2013-06-19,38.25,38.40,37.22,37.22,2861600,37.22
2013-06-18,38.15,38.46,38.05,38.25,2808900,38.25
2013-06-17,38.41,38.57,37.98,38.15,3234900,38.15
2013-06-14,38.52,38.79,38.26,38.33,1465000,38.33
2013-06-13,37.92,38.60,37.84,38.58,2112700,38.58
2013-06-12,38.76,38.82,37.82,37.87,2049300,37.87
2013-06-11,38.65,39.00,38.52,38.57,1997900,38.57
2013-06-10,39.00,39.09,38.66,38.92,2503500,38.92
2013-06-07,39.00,39.21,38.59,38.94,1750500,38.94
2013-06-06,38.78,38.90,38.31,38.90,2505300,38.90
2013-06-05,38.95,39.00,38.57,38.68,2107600,38.68
2013-06-04,39.16,39.28,38.83,39.07,2495100,39.07
2013-06-03,39.29,39.72,38.85,39.16,6413100,39.16
2013-05-31,39.00,39.55,38.95,39.01,4018300,39.01
2013-05-30,39.61,40.22,39.08,39.09,4229200,39.09
2013-05-29,39.49,39.63,38.83,39.22,5682400,39.22
2013-05-28,40.89,40.89,39.32,39.86,12520800,39.86
2013-05-24,42.77,42.95,42.44,42.62,3105400,42.62
2013-05-23,43.08,43.21,42.25,42.99,3938800,42.99
2013-05-22,43.82,44.61,43.28,43.50,3609100,43.50
2013-05-21,43.28,43.90,43.05,43.87,3029000,43.87
2013-05-20,43.77,43.88,43.22,43.30,1794900,43.30
2013-05-17,43.20,43.83,43.19,43.78,2623800,43.78
2013-05-16,43.07,43.39,42.87,43.10,2317000,43.10
2013-05-15,42.73,43.40,42.52,43.20,2920600,43.20
2013-05-14,42.65,43.29,42.61,42.75,2352100,42.75
2013-05-13,42.78,42.90,42.33,42.66,1810500,42.66
2013-05-10,42.75,42.99,42.56,42.91,2444900,42.91
2013-05-09,43.55,43.68,42.63,42.78,5963100,42.78
2013-05-08,43.99,44.13,43.38,43.64,2275400,43.64
2013-05-07,44.36,44.65,43.85,44.10,2552800,44.10
2013-05-06,44.88,45.10,43.37,44.18,2537300,44.18
2013-05-03,45.70,45.70,44.95,44.99,3146600,44.99
2013-05-02,46.40,46.68,45.84,46.06,2340800,45.51
2013-05-01,46.53,46.70,46.18,46.28,1471700,45.73
2013-04-30,46.29,46.77,46.22,46.60,2094100,46.04
2013-04-29,46.63,46.69,45.57,46.32,8557800,45.77
2013-04-26,46.26,46.60,46.15,46.48,7550700,45.92
2013-04-25,46.19,46.33,45.62,46.30,7810300,45.75
2013-04-24,45.91,46.33,45.70,46.17,1951800,45.62
2013-04-23,46.00,46.00,45.59,45.91,1636900,45.36
2013-04-22,45.62,46.09,45.47,45.86,1878900,45.31
2013-04-19,45.74,45.92,45.02,45.65,3336200,45.10
2013-04-18,45.40,45.72,45.28,45.61,2300800,45.07
2013-04-17,45.61,45.61,45.09,45.28,2760700,44.74
2013-04-16,45.34,45.84,44.93,45.80,2000300,45.25
2013-04-15,45.56,45.83,45.05,45.05,1896200,44.51
2013-04-12,45.31,45.74,45.13,45.72,2159100,45.17
2013-04-11,45.25,45.81,45.18,45.47,2450300,44.93
2013-04-10,44.84,45.39,44.77,45.18,2680600,44.64
2013-04-09,44.39,44.96,44.17,44.71,5059800,44.18
2013-04-08,44.25,44.41,43.79,44.40,2651300,43.87
2013-04-05,42.65,44.13,42.57,44.09,4861300,43.56
2013-04-04,42.04,43.05,42.03,43.03,2908800,42.52
2013-04-03,42.07,42.15,41.76,42.01,1801500,41.51
2013-04-02,42.07,42.26,41.90,42.05,1812400,41.55
2013-04-01,42.20,42.20,41.91,42.04,1316900,41.54
2013-03-28,41.63,42.21,41.56,42.20,2533000,41.70
2013-03-27,41.06,41.70,41.00,41.65,2130200,41.15
2013-03-26,40.92,41.26,40.89,41.25,2095600,40.76
2013-03-25,40.87,41.21,40.54,40.76,2456000,40.27
2013-03-22,41.46,41.49,40.73,40.85,3187700,40.36
2013-03-21,41.84,41.94,41.48,41.48,2597300,40.98
2013-03-20,41.69,42.09,41.69,41.95,5069000,41.45
2013-03-19,41.86,42.01,41.38,41.60,2911300,41.10
2013-03-18,41.79,42.05,41.68,41.75,2160400,41.25
2013-03-15,41.33,42.12,41.31,42.10,4426000,41.60
2013-03-14,41.40,41.68,41.18,41.68,3148500,41.18
2013-03-13,41.17,41.32,40.88,41.31,2488400,40.82
2013-03-12,41.22,41.32,40.99,41.17,2131300,40.68
2013-03-11,40.81,41.17,40.78,41.17,1902500,40.68
2013-03-08,40.80,41.00,40.64,40.90,2169000,40.41
2013-03-07,40.53,40.76,40.50,40.76,3045000,40.27
2013-03-06,40.15,40.50,39.98,40.50,2312200,40.02
2013-03-05,39.91,40.15,39.84,40.06,2069700,39.58
2013-03-04,39.51,39.96,39.40,39.86,1891000,39.38
2013-03-01,39.55,39.62,39.31,39.50,2955300,39.03
2013-02-28,39.51,39.75,39.15,39.48,3360600,39.01
2013-02-27,38.98,39.51,38.98,39.45,2565900,38.98
2013-02-26,39.55,39.63,38.26,38.90,6490600,38.44
2013-02-25,40.60,40.97,39.53,39.56,5605200,39.09
2013-02-22,40.08,40.54,40.01,40.54,3855700,40.06
2013-02-21,40.55,40.62,39.88,39.90,4271200,39.42
2013-02-20,40.96,41.30,40.49,40.56,6617500,40.08
2013-02-19,40.66,41.22,40.65,41.08,4146300,40.59
2013-02-15,40.55,40.63,40.34,40.57,1900100,40.09
2013-02-14,40.58,40.86,40.34,40.49,3441400,40.01
2013-02-13,40.58,40.86,40.57,40.68,3353400,40.19
2013-02-12,40.33,40.61,40.25,40.50,3786900,40.02
2013-02-11,40.18,40.28,39.86,40.25,5045900,39.77
2013-02-08,40.13,40.22,39.82,40.22,2337700,39.74
2013-02-07,39.92,40.40,39.87,40.15,4322900,39.67
2013-02-06,39.57,40.01,39.40,39.94,4166900,39.46
2013-02-05,39.56,39.85,39.47,39.57,3322200,39.10
2013-02-04,40.35,40.35,39.75,39.97,4008300,38.95
2013-02-01,40.63,40.77,40.31,40.49,3428000,39.46
2013-01-31,40.10,40.53,40.09,40.49,2679900,39.46
2013-01-30,40.48,40.64,40.02,40.22,4022800,39.19
2013-01-29,40.10,40.63,40.09,40.60,9126900,39.56
2013-01-28,40.43,40.43,39.95,40.09,8437600,39.07
2013-01-25,39.97,40.39,39.75,40.27,9158800,39.24
2013-01-24,39.37,39.99,39.37,39.92,3550300,38.90
2013-01-23,39.76,39.76,39.18,39.30,3657600,38.30
2013-01-22,39.57,39.98,39.41,39.90,3529200,38.88
2013-01-18,39.52,39.89,39.51,39.89,2485000,38.87
2013-01-17,39.49,39.68,39.20,39.41,2006500,38.40
2013-01-16,39.75,39.85,39.33,39.37,2820600,38.36
2013-01-15,39.49,39.92,39.37,39.87,3253800,38.85
2013-01-14,39.91,39.95,39.39,39.49,3108600,38.48
2013-01-11,39.74,40.03,39.50,39.89,4951900,38.87
2013-01-10,40.27,40.45,40.00,40.12,3606400,39.10
2013-01-09,41.33,41.36,40.01,40.22,5618700,39.19
2013-01-08,41.37,41.47,41.12,41.31,2204300,40.26
2013-01-07,41.93,41.93,41.44,41.49,1886000,40.43
2013-01-04,42.12,42.15,41.82,42.01,2636000,40.94
2013-01-03,41.97,42.29,41.87,42.04,2182600,40.97
2013-01-02,42.22,42.50,41.59,41.98,3738600,40.91
2012-12-31,41.19,41.82,40.85,41.76,2115200,40.69
2012-12-28,41.44,41.70,41.17,41.18,1509300,40.13
2012-12-27,41.60,41.75,40.97,41.65,2462600,40.59
2012-12-26,41.75,41.89,41.51,41.67,2058600,40.61
2012-12-24,41.63,41.81,41.41,41.75,1348900,40.68
2012-12-21,41.43,41.88,41.40,41.61,5178000,40.55
2012-12-20,41.58,41.76,41.27,41.54,2906800,40.48
2012-12-19,41.58,41.64,41.30,41.50,3631200,40.44
2012-12-18,40.96,41.57,40.80,41.51,2619800,40.45
2012-12-17,40.78,41.24,40.78,41.23,2003200,40.18
2012-12-14,40.67,40.78,40.47,40.76,2227400,39.72
2012-12-13,41.17,41.21,40.50,40.72,2293600,39.68
2012-12-12,41.52,41.81,41.19,41.20,2728400,40.15
2012-12-11,41.58,41.87,41.27,41.50,3037100,40.44
2012-12-10,41.37,41.55,41.12,41.55,2047500,40.49
2012-12-07,41.61,41.76,41.35,41.45,2772700,40.39
2012-12-06,42.05,42.16,41.52,41.56,3247000,40.50
2012-12-05,41.82,42.40,41.52,42.02,3541100,40.95
2012-12-04,42.30,42.43,41.67,41.71,2132000,40.64
2012-12-03,42.55,42.60,41.77,42.28,2628300,41.20
2012-11-30,42.52,42.87,42.33,42.46,3018800,41.38
2012-11-29,42.61,42.75,42.40,42.48,1651200,41.40
2012-11-28,41.99,42.51,41.70,42.50,1974600,41.41
2012-11-27,41.84,42.16,41.74,41.97,1871500,40.90
2012-11-26,41.00,42.04,41.00,41.77,2208900,40.70
2012-11-23,41.30,41.36,40.84,41.07,1099700,40.02
2012-11-21,41.49,41.63,40.71,41.20,2214600,40.15
2012-11-20,41.60,41.62,41.09,41.44,1806300,40.38
2012-11-19,41.67,41.71,41.17,41.56,2232200,40.50
2012-11-16,41.21,41.57,40.90,41.37,2810100,40.31
2012-11-15,41.31,41.62,40.76,41.16,3161300,40.11
2012-11-14,42.12,42.23,41.24,41.31,2160200,40.26
2012-11-13,41.69,42.40,41.58,42.10,1610900,41.02
2012-11-12,42.43,42.47,41.74,41.88,1317000,40.81
2012-11-09,42.73,43.04,42.40,42.48,1920400,41.40
2012-11-08,42.40,43.42,42.40,42.91,3080800,41.81
2012-11-07,42.94,42.94,42.11,42.30,2492800,41.22
2012-11-06,42.60,43.31,42.55,43.20,2804800,42.10
2012-11-05,43.73,43.75,42.46,42.55,3349800,41.46
2012-11-02,45.19,45.24,44.41,44.46,2420700,42.79
2012-11-01,45.64,45.76,44.87,44.91,2638500,43.22
2012-10-31,45.73,46.37,45.62,45.72,2764200,44.00
2012-10-26,45.95,46.04,45.59,45.63,6228500,43.91
2012-10-25,45.70,45.89,45.52,45.89,6088900,44.16
2012-10-24,45.53,45.70,45.36,45.42,1671300,43.71
2012-10-23,45.53,45.72,45.40,45.53,1442900,43.82
2012-10-22,45.86,46.06,45.51,45.84,2297200,44.12
2012-10-19,46.39,46.55,45.79,45.98,2318300,44.25
2012-10-18,45.78,46.28,45.64,46.28,1366000,44.54
2012-10-17,45.50,45.93,45.29,45.78,1503100,44.06
2012-10-16,44.71,45.46,44.71,45.46,1767100,43.75
2012-10-15,44.88,45.11,44.43,45.11,1473100,43.41
2012-10-12,45.31,45.43,44.72,44.91,1114900,43.22
2012-10-11,44.83,45.56,44.48,45.20,2097800,43.50
2012-10-10,44.96,45.00,44.57,44.63,1734600,42.95
2012-10-09,44.71,45.01,44.51,44.94,1494700,43.25
2012-10-08,44.73,44.96,44.51,44.72,1548800,43.04
2012-10-05,44.96,45.00,44.73,44.82,1955800,43.14
2012-10-04,44.79,45.06,44.72,44.87,1931000,43.18
2012-10-03,44.30,44.72,44.25,44.71,1583300,43.03
2012-10-02,44.29,44.35,43.99,44.30,1446400,42.63
2012-10-01,44.27,44.41,43.96,44.06,2191400,42.40
