Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,45.33,45.43,44.78,45.06,943500,45.06
2013-07-11,45.32,45.43,45.01,45.35,1097900,45.35
2013-07-10,44.37,44.92,44.37,44.86,1220300,44.86
2013-07-09,44.81,44.93,44.28,44.43,998800,44.43
2013-07-08,44.00,44.71,43.95,44.63,1547000,44.63
2013-07-05,43.42,43.65,43.13,43.63,1156500,43.63
2013-07-03,42.72,43.31,42.61,43.05,1421000,43.05
2013-07-02,43.45,43.55,42.73,42.80,1873400,42.80
2013-07-01,43.14,43.65,43.08,43.41,1378600,43.41
2013-06-28,42.68,43.27,42.68,42.84,4006700,42.84
2013-06-27,43.11,43.15,42.89,43.01,2139400,43.01
2013-06-26,43.41,43.41,42.77,42.95,2113300,42.95
2013-06-25,42.91,43.07,42.43,43.01,1538400,43.01
2013-06-24,42.37,42.87,42.09,42.53,1949400,42.53
2013-06-21,42.87,42.90,42.16,42.64,1900500,42.64
2013-06-20,43.43,43.66,42.55,42.62,1497600,42.62
2013-06-19,44.38,44.52,43.76,43.77,919900,43.77
2013-06-18,44.11,44.33,43.95,44.33,1198700,44.33
2013-06-17,43.98,44.47,43.69,44.02,1731900,44.02
2013-06-14,44.29,44.47,43.46,43.64,1586700,43.64
2013-06-13,43.85,44.77,43.60,44.71,961400,44.71
2013-06-12,44.57,44.66,43.81,43.85,1449000,43.85
2013-06-11,44.26,44.95,44.07,44.58,1604300,44.36
2013-06-10,44.58,44.77,44.33,44.71,1323900,44.49
2013-06-07,44.36,44.71,44.24,44.53,1431900,44.31
2013-06-06,43.31,44.14,43.03,44.13,1638600,43.91
2013-06-05,44.23,44.45,43.34,43.37,1791300,43.16
2013-06-04,44.90,44.98,44.00,44.32,2073000,44.10
2013-06-03,44.89,45.23,44.41,44.91,1775900,44.69
2013-05-31,45.58,45.67,44.88,44.90,3218500,44.68
2013-05-30,45.13,45.87,45.09,45.78,1109700,45.55
2013-05-29,45.46,45.53,44.94,45.07,1565100,44.85
2013-05-28,45.45,45.95,45.37,45.80,1532800,45.57
2013-05-24,44.99,45.25,44.56,45.16,1090700,44.94
2013-05-23,44.91,45.36,44.85,45.24,1642300,45.02
2013-05-22,45.34,45.75,44.98,45.18,2104600,44.96
2013-05-21,45.29,45.82,45.20,45.29,1347000,45.07
2013-05-20,45.05,45.30,44.92,45.26,1790400,45.04
2013-05-17,44.54,45.11,44.51,45.08,1475900,44.86
2013-05-16,44.30,44.77,44.29,44.51,1586300,44.29
2013-05-15,43.91,44.36,43.90,44.32,1485000,44.10
2013-05-14,43.74,44.02,43.65,43.97,2316300,43.75
2013-05-13,43.65,43.79,43.57,43.72,1522500,43.50
2013-05-10,43.81,44.00,43.59,43.79,1146800,43.57
2013-05-09,43.43,44.00,43.37,43.79,1903800,43.57
2013-05-08,42.63,43.69,42.52,43.57,2633100,43.35
2013-05-07,42.55,42.72,42.33,42.63,1149200,42.42
2013-05-06,42.81,42.81,42.42,42.54,1011000,42.33
2013-05-03,42.50,42.95,42.43,42.72,1546500,42.51
2013-05-02,42.09,42.45,42.07,42.33,1842000,42.12
2013-05-01,41.93,42.44,41.84,42.10,2415100,41.89
2013-04-30,42.00,42.30,40.56,42.05,3956500,41.84
2013-04-29,40.84,40.89,40.47,40.67,3682700,40.47
2013-04-26,40.99,41.06,40.72,40.79,2152500,40.59
2013-04-25,41.08,41.25,40.96,41.06,1232300,40.86
2013-04-24,41.00,41.14,40.78,40.93,1398100,40.73
2013-04-23,40.78,41.07,40.55,40.96,1467600,40.76
2013-04-22,40.86,41.06,40.32,40.60,1283000,40.40
2013-04-19,40.48,40.94,40.27,40.81,1953700,40.61
2013-04-18,40.16,40.28,39.71,40.25,1558800,40.05
2013-04-17,40.43,40.43,39.67,40.11,1465200,39.91
2013-04-16,40.35,40.69,39.96,40.65,1801200,40.45
2013-04-15,40.58,40.59,40.11,40.12,2922900,39.92
2013-04-12,40.44,40.77,40.26,40.75,1944500,40.55
2013-04-11,40.12,41.02,39.94,41.00,3823600,40.80
2013-04-10,39.25,40.05,39.15,40.04,2642600,39.84
2013-04-09,39.27,39.27,38.91,39.09,1520500,38.90
2013-04-08,38.99,39.16,38.88,39.16,1155400,38.97
2013-04-05,39.34,39.43,38.85,39.05,2039800,38.86
2013-04-04,39.89,40.00,39.58,39.73,1895000,39.53
2013-04-03,40.05,40.29,39.69,39.90,4949100,39.70
2013-04-02,39.76,39.99,39.70,39.98,3014700,39.78
2013-04-01,39.71,39.88,39.49,39.70,4006800,39.50
2013-03-28,39.09,39.66,38.97,39.62,1972200,39.42
2013-03-27,38.70,39.16,38.70,39.02,1148500,38.83
2013-03-26,38.66,39.03,38.58,39.02,1882800,38.83
2013-03-25,38.75,39.14,38.38,38.49,1119800,38.30
2013-03-22,38.50,38.63,38.20,38.57,1016100,38.38
2013-03-21,38.17,38.52,38.17,38.43,1930700,38.24
2013-03-20,38.31,38.51,38.10,38.44,1556100,38.25
2013-03-19,37.85,38.10,37.61,38.00,2090000,37.81
2013-03-18,37.94,38.26,37.61,37.70,2464100,37.51
2013-03-15,38.49,38.84,38.14,38.30,10380900,38.11
2013-03-14,38.57,38.67,38.43,38.57,1724500,38.38
2013-03-13,38.35,38.58,38.16,38.51,1459400,38.32
2013-03-12,38.29,38.64,38.14,38.48,2050500,38.07
2013-03-11,37.91,38.47,37.69,38.45,3797500,38.04
2013-03-08,37.72,38.16,37.52,37.91,4262900,37.51
2013-03-07,37.50,37.93,37.05,37.53,6178400,37.13
2013-03-06,38.39,38.44,38.14,38.41,1231200,38.00
2013-03-05,37.89,38.28,37.82,38.28,2044200,37.87
2013-03-04,37.55,37.77,37.34,37.77,1044200,37.37
2013-03-01,37.46,37.73,36.87,37.66,1426400,37.26
2013-02-28,37.70,37.86,37.46,37.65,1848100,37.25
2013-02-27,37.10,37.87,36.99,37.70,2099300,37.30
2013-02-26,36.83,37.15,36.59,37.04,1937300,36.65
2013-02-25,37.07,37.35,36.72,36.72,2393800,36.33
2013-02-22,36.56,37.02,36.01,37.00,2180700,36.61
2013-02-21,37.13,37.24,36.31,36.55,2740900,36.16
2013-02-20,36.97,37.49,36.92,37.26,2389600,36.86
2013-02-19,36.50,36.99,36.36,36.99,2953600,36.60
2013-02-15,36.90,36.94,36.40,36.49,2522400,36.10
2013-02-14,37.06,37.07,36.56,36.98,2472000,36.59
2013-02-13,36.63,37.49,36.60,37.20,2232600,36.80
2013-02-12,36.04,37.10,35.21,36.50,3131100,36.11
2013-02-11,37.53,37.72,37.34,37.56,1134700,37.16
2013-02-08,37.21,37.62,37.15,37.62,1285800,37.22
2013-02-07,37.31,37.40,36.96,37.08,1560600,36.69
2013-02-06,37.16,37.51,36.97,37.40,1650800,37.00
2013-02-05,37.18,37.49,37.09,37.28,1199000,36.88
2013-02-04,37.42,37.66,36.94,36.96,1547400,36.57
2013-02-01,37.31,37.75,37.27,37.66,1512300,37.26
2013-01-31,37.22,37.35,36.79,37.11,1250600,36.72
2013-01-30,36.90,37.22,36.79,37.17,1730800,36.78
2013-01-29,36.80,36.96,36.47,36.90,1267700,36.51
2013-01-28,37.19,37.31,36.77,36.84,1368900,36.45
2013-01-25,37.28,37.39,37.09,37.20,1239300,36.80
2013-01-24,37.72,37.82,37.19,37.23,1352500,36.83
2013-01-23,37.78,37.93,37.54,37.71,3572300,37.31
2013-01-22,37.00,37.77,36.94,37.68,2578900,37.28
2013-01-18,37.18,37.24,36.82,37.06,1935800,36.67
2013-01-17,37.09,37.25,36.95,37.05,2086500,36.66
2013-01-16,36.63,37.03,36.54,37.00,2182100,36.61
2013-01-15,36.88,36.91,36.18,36.76,2906600,36.37
2013-01-14,36.88,37.29,36.78,37.19,1832100,36.79
2013-01-11,36.63,37.36,36.56,37.00,2055400,36.61
2013-01-10,36.11,36.54,35.84,36.54,2171800,36.15
2013-01-09,35.82,36.05,35.67,36.02,1275400,35.64
2013-01-08,35.68,35.77,35.51,35.68,1156100,35.30
2013-01-07,35.75,35.95,35.48,35.80,1510200,35.42
2013-01-04,35.67,36.02,35.51,35.98,1519700,35.60
2013-01-03,35.86,35.92,35.52,35.57,1634300,35.19
2013-01-02,35.17,35.84,35.13,35.82,2879900,35.44
2012-12-31,34.20,34.83,33.99,34.81,2132800,34.44
2012-12-28,34.32,34.69,34.26,34.26,1250500,33.90
2012-12-27,34.27,34.69,34.02,34.58,2009700,34.21
2012-12-26,34.93,34.98,34.31,34.35,1158600,33.99
2012-12-24,34.94,35.11,34.71,34.95,627800,34.58
2012-12-21,35.38,35.75,34.74,34.89,3078800,34.52
2012-12-20,35.00,35.71,34.74,35.46,5024400,35.08
2012-12-19,35.14,35.17,34.69,35.07,5290100,34.70
2012-12-18,34.95,35.26,34.91,35.17,6847600,34.80
2012-12-17,35.69,35.77,34.92,35.00,6765600,34.63
2012-12-14,35.60,35.70,35.40,35.48,3195900,35.10
2012-12-13,35.99,36.10,35.20,35.54,4108800,35.16
2012-12-12,36.32,36.61,36.05,36.11,3152600,35.73
2012-12-11,36.47,36.73,36.18,36.36,3098400,35.78
2012-12-10,36.16,36.65,36.06,36.44,3234700,35.85
2012-12-07,36.93,37.14,35.92,36.16,3589300,35.58
