Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,18.79,19.00,18.75,18.98,5734700,18.98
2013-07-11,19.03,19.08,18.67,18.81,10249700,18.81
2013-07-10,18.82,18.85,18.59,18.79,14880700,18.79
2013-07-09,18.76,18.81,18.55,18.80,10268400,18.80
2013-07-08,18.75,18.81,18.46,18.58,11825700,18.58
2013-07-05,18.45,18.68,18.37,18.67,11339300,18.67
2013-07-03,18.50,18.50,18.20,18.37,5584700,18.37
2013-07-02,18.29,18.58,18.23,18.48,8840400,18.48
2013-07-01,18.23,18.48,18.05,18.28,6009200,18.28
2013-06-28,18.09,18.23,17.82,18.05,11104900,18.05
2013-06-27,18.06,18.32,18.00,18.10,8335300,18.10
2013-06-26,17.98,18.04,17.79,17.93,6414700,17.93
2013-06-25,17.67,17.94,17.55,17.88,11151400,17.76
2013-06-24,17.59,17.68,17.33,17.46,14737800,17.34
2013-06-21,17.89,17.96,17.43,17.70,23647100,17.58
2013-06-20,17.90,17.96,17.67,17.78,18099400,17.66
2013-06-19,18.36,18.47,18.09,18.10,10728200,17.98
2013-06-18,18.33,18.49,18.26,18.40,6251100,18.28
2013-06-17,18.46,18.53,18.20,18.29,6971500,18.17
2013-06-14,18.47,18.49,18.20,18.31,8866600,18.19
2013-06-13,18.25,18.49,18.15,18.45,8225900,18.33
2013-06-12,18.47,18.49,18.23,18.32,9989300,18.20
2013-06-11,18.47,18.56,18.29,18.34,8191500,18.22
2013-06-10,18.42,18.70,18.42,18.60,8096900,18.48
2013-06-07,18.24,18.44,18.09,18.42,8354000,18.30
2013-06-06,17.66,18.07,17.64,18.07,9101000,17.95
2013-06-05,17.88,17.97,17.68,17.71,8452600,17.59
2013-06-04,18.17,18.31,17.88,17.92,9863900,17.80
2013-06-03,18.23,18.32,17.82,18.20,10743200,18.08
2013-05-31,18.47,18.55,18.20,18.20,9136700,18.08
2013-05-30,18.46,18.74,18.45,18.53,9266500,18.41
2013-05-29,18.28,18.55,18.26,18.47,11196400,18.35
2013-05-28,18.52,18.60,18.36,18.43,6804000,18.31
2013-05-24,18.06,18.25,18.01,18.25,5606000,18.13
2013-05-23,17.81,18.20,17.76,18.10,8075700,17.98
2013-05-22,18.37,18.49,17.99,18.00,13408800,17.88
2013-05-21,18.45,18.50,18.22,18.30,7774100,18.18
2013-05-20,18.23,18.41,18.19,18.39,6307200,18.27
2013-05-17,18.17,18.31,18.04,18.25,6115300,18.13
2013-05-16,18.01,18.20,17.97,18.02,5154600,17.90
2013-05-15,17.91,18.15,17.81,18.08,6229900,17.96
2013-05-14,17.73,17.97,17.73,17.91,7011100,17.79
2013-05-13,17.65,17.76,17.55,17.70,13724100,17.58
2013-05-10,17.60,17.73,17.58,17.71,5419300,17.59
2013-05-09,17.66,17.81,17.53,17.57,8011200,17.45
2013-05-08,17.50,17.67,17.45,17.62,7591900,17.50
2013-05-07,17.37,17.53,17.30,17.51,6898100,17.39
2013-05-06,17.08,17.31,17.02,17.30,4109300,17.18
2013-05-03,17.05,17.12,17.01,17.10,6916000,16.99
2013-05-02,16.77,16.97,16.71,16.86,4457000,16.75
2013-05-01,17.03,17.11,16.70,16.75,7515000,16.64
2013-04-30,16.84,17.04,16.68,17.03,9295500,16.92
2013-04-29,16.77,16.89,16.76,16.83,4412600,16.72
2013-04-26,16.81,16.85,16.65,16.76,3342700,16.65
2013-04-25,16.75,16.95,16.69,16.83,5791500,16.72
2013-04-24,16.48,16.72,16.45,16.72,6444900,16.61
2013-04-23,16.31,16.50,16.22,16.47,8093500,16.36
2013-04-22,16.31,16.34,16.11,16.25,6563600,16.14
2013-04-19,16.03,16.42,15.89,16.40,11483200,16.29
2013-04-18,16.25,16.25,15.62,15.92,16586100,15.81
2013-04-17,15.97,15.98,15.64,15.80,11215000,15.69
2013-04-16,16.16,16.27,16.06,16.15,9928500,16.04
2013-04-15,16.47,16.49,16.06,16.08,10054600,15.97
2013-04-12,16.69,16.74,16.35,16.49,16086400,16.38
2013-04-11,16.62,16.86,16.53,16.86,9786800,16.75
2013-04-10,16.57,16.68,16.46,16.63,9086900,16.52
2013-04-09,16.30,16.49,16.20,16.39,8064300,16.28
2013-04-08,15.99,16.26,15.89,16.22,10211700,16.11
2013-04-05,15.73,16.06,15.64,16.02,10322800,15.91
