Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,28.96,29.27,28.83,29.19,568000,29.19
2013-07-11,29.05,29.21,28.90,29.12,598200,29.12
2013-07-10,28.72,28.92,28.55,28.89,763800,28.89
2013-07-09,28.58,28.96,28.58,28.78,1434200,28.78
2013-07-08,28.16,28.49,27.98,28.48,1333000,28.48
2013-07-05,27.54,28.00,27.50,27.91,852200,27.91
2013-07-03,27.18,27.63,27.13,27.47,523600,27.47
2013-07-02,27.22,27.64,27.15,27.25,1303000,27.25
2013-07-01,27.18,27.47,27.04,27.36,1240400,27.36
2013-06-28,26.57,27.16,26.54,26.97,1819300,26.97
2013-06-27,26.71,26.88,26.48,26.79,778100,26.79
2013-06-26,25.93,26.30,25.85,26.17,1006300,26.17
2013-06-25,25.63,25.80,25.46,25.74,1577100,25.74
2013-06-24,25.68,25.68,25.39,25.46,1690600,25.46
2013-06-21,25.72,25.80,25.52,25.73,1893700,25.73
2013-06-20,26.00,26.02,25.46,25.58,1307800,25.58
2013-06-19,26.59,26.60,26.20,26.25,1479000,26.25
2013-06-18,25.69,26.74,25.69,26.49,2784600,26.49
2013-06-17,25.00,25.00,24.54,24.95,1506900,24.95
2013-06-14,24.12,24.46,24.12,24.44,1656200,24.44
2013-06-13,23.75,24.21,23.58,24.14,834300,24.14
2013-06-12,24.26,24.33,23.71,23.71,863700,23.71
2013-06-11,24.01,24.28,23.89,24.09,775600,24.09
2013-06-10,24.48,24.53,24.24,24.36,1629800,24.36
2013-06-07,24.27,24.47,24.17,24.40,2005300,24.40
2013-06-06,23.99,24.14,23.97,24.14,1351200,24.14
2013-06-05,23.99,24.14,23.93,23.96,1095500,23.96
2013-06-04,24.03,24.32,23.96,24.11,1141700,24.11
2013-06-03,24.37,25.02,23.92,24.01,1285900,24.01
2013-05-31,24.38,24.61,24.26,24.36,1072600,24.36
2013-05-30,24.46,24.70,24.39,24.51,1398100,24.51
2013-05-29,24.51,24.60,24.32,24.50,1424400,24.50
2013-05-28,24.43,24.67,24.31,24.67,1760600,24.67
2013-05-24,24.07,24.17,23.93,24.15,1605500,24.15
2013-05-23,24.13,24.31,24.02,24.24,976000,24.24
2013-05-22,24.47,24.54,24.08,24.26,2005800,24.26
2013-05-21,24.81,24.81,24.45,24.51,1247300,24.51
2013-05-20,24.82,25.06,24.70,24.76,1269600,24.76
2013-05-17,24.75,24.90,24.42,24.84,953500,24.84
2013-05-16,24.67,25.03,24.49,24.73,1233400,24.73
2013-05-15,24.71,24.85,24.60,24.79,1668700,24.70
2013-05-14,24.58,24.71,24.50,24.67,1655200,24.58
2013-05-13,24.76,24.84,24.50,24.55,665900,24.46
2013-05-10,24.74,24.86,24.62,24.84,635300,24.75
2013-05-09,24.73,24.81,24.59,24.67,976700,24.58
2013-05-08,24.62,24.74,24.56,24.71,712200,24.62
2013-05-07,24.52,24.78,24.46,24.71,740900,24.62
2013-05-06,24.47,24.69,24.40,24.47,931000,24.38
2013-05-03,24.32,24.50,24.27,24.45,1049200,24.36
2013-05-02,24.08,24.33,24.00,24.20,1304800,24.11
2013-05-01,24.27,24.30,24.09,24.10,964300,24.01
2013-04-30,24.10,24.37,23.96,24.31,1666400,24.22
2013-04-29,24.11,24.27,23.91,24.15,1854100,24.06
2013-04-26,24.05,24.43,23.00,23.75,2499600,23.66
2013-04-25,24.22,24.55,24.10,24.46,1411700,24.37
2013-04-24,24.15,24.23,23.87,24.17,1980200,24.08
2013-04-23,24.03,24.31,23.92,24.13,1533100,24.04
2013-04-22,23.67,23.98,23.55,23.96,2379100,23.87
2013-04-19,23.76,23.79,23.33,23.53,1684500,23.44
2013-04-18,24.02,24.18,23.56,23.73,996900,23.64
2013-04-17,24.43,24.52,23.93,24.04,909000,23.95
2013-04-16,24.91,24.93,24.51,24.63,1199200,24.54
2013-04-15,25.48,25.56,24.77,24.78,2115000,24.69
2013-04-12,25.96,25.97,25.46,25.62,1352700,25.53
2013-04-11,26.06,26.24,25.71,26.01,1916800,25.92
2013-04-10,25.72,26.10,25.70,26.00,1175400,25.91
2013-04-09,25.69,25.78,25.53,25.68,671400,25.59
2013-04-08,25.56,25.71,25.48,25.64,801300,25.55
2013-04-05,25.61,25.63,25.34,25.58,869400,25.49
2013-04-04,25.81,26.03,25.73,25.90,699000,25.81
2013-04-03,25.75,25.99,25.67,25.73,1025700,25.64
2013-04-02,25.93,26.05,25.69,25.74,738700,25.65
2013-04-01,26.00,26.10,25.79,25.80,918600,25.71
2013-03-28,25.79,26.10,25.66,26.01,2345800,25.92
2013-03-27,25.67,25.82,25.44,25.74,1360500,25.65
2013-03-26,25.79,25.90,25.55,25.77,1516300,25.68
2013-03-25,25.89,26.06,25.58,25.62,1259100,25.53
2013-03-22,25.98,26.14,25.64,25.81,1625300,25.72
2013-03-21,25.75,26.14,25.75,25.90,1148100,25.81
2013-03-20,26.07,26.24,25.98,26.04,1420600,25.95
2013-03-19,25.97,26.07,25.66,25.98,1190300,25.89
2013-03-18,25.86,26.13,25.60,25.90,1627400,25.81
2013-03-15,26.19,26.44,25.93,26.00,3482400,25.91
2013-03-14,26.42,26.68,26.19,26.19,1942000,26.09
2013-03-13,26.49,26.54,26.29,26.29,1356800,26.19
2013-03-12,26.41,26.57,26.31,26.44,604800,26.34
2013-03-11,26.87,26.87,26.41,26.50,951800,26.40
2013-03-08,26.80,26.94,26.49,26.92,1041600,26.82
2013-03-07,26.44,26.75,26.42,26.66,805600,26.56
2013-03-06,26.37,26.44,26.14,26.37,1218600,26.27
2013-03-05,26.17,26.47,25.93,26.33,958400,26.23
2013-03-04,26.21,26.30,25.88,26.07,654800,25.98
2013-03-01,26.23,26.39,25.89,26.21,996400,26.11
2013-02-28,26.49,26.70,26.32,26.33,708100,26.23
2013-02-27,26.16,26.55,26.04,26.45,574600,26.35
2013-02-26,26.11,26.27,25.94,26.16,1059100,26.07
2013-02-25,26.54,26.55,25.95,25.96,956000,25.87
2013-02-22,26.08,26.53,25.95,26.44,668000,26.34
2013-02-21,26.51,26.61,25.67,25.94,1916900,25.85
2013-02-20,26.95,27.07,26.61,26.66,824800,26.56
2013-02-19,26.80,27.16,26.77,26.97,1282000,26.87
2013-02-15,26.70,26.88,26.32,26.74,993300,26.64
2013-02-14,26.87,26.96,26.67,26.70,1044200,26.60
