Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,61.07,61.86,60.70,61.49,1255200,61.49
2013-07-11,60.31,61.36,60.18,61.24,2093400,61.24
2013-07-10,59.11,59.52,58.80,59.29,1091600,59.29
2013-07-09,58.33,59.54,58.23,59.01,1287400,59.01
2013-07-08,58.80,58.93,57.71,57.75,2006400,57.75
2013-07-05,58.88,58.97,57.50,58.59,1394400,58.59
2013-07-03,58.23,58.67,57.64,58.27,943500,58.27
2013-07-02,58.97,59.25,58.01,58.30,1337900,58.30
2013-07-01,59.84,59.99,58.86,59.02,1800200,59.02
2013-06-28,59.19,59.71,58.78,59.31,2050400,59.31
2013-06-27,59.35,59.90,58.97,59.73,1326600,59.73
2013-06-26,59.67,59.74,58.44,58.86,1536700,58.86
2013-06-25,59.28,59.74,58.75,59.14,1731400,59.14
2013-06-24,59.11,59.14,57.84,58.61,1760500,58.61
2013-06-21,60.43,60.73,59.30,60.17,2596800,60.17
2013-06-20,61.30,61.31,59.71,60.01,1927600,60.01
2013-06-19,63.14,63.50,62.21,62.23,1296500,62.23
2013-06-18,62.53,63.51,62.42,63.28,1347900,63.28
2013-06-17,61.50,62.92,61.45,62.31,1580100,62.31
2013-06-14,61.15,61.86,60.85,61.00,1171900,61.00
2013-06-13,60.10,61.35,60.00,61.14,1611400,61.14
2013-06-12,62.20,62.41,59.94,60.21,1646200,60.21
2013-06-11,62.14,62.32,61.01,61.57,1794000,61.57
2013-06-10,63.00,63.48,62.40,63.08,980700,63.08
2013-06-07,62.50,63.15,62.12,62.86,1015700,62.86
2013-06-06,61.36,62.24,61.08,62.20,1610900,62.20
2013-06-05,62.50,62.65,61.17,61.58,1647400,61.58
2013-06-04,62.80,63.61,61.85,62.67,1394100,62.67
2013-06-03,63.26,63.58,61.78,63.10,1702000,63.10
2013-05-31,63.50,64.43,63.21,63.21,1901200,63.21
2013-05-30,63.75,64.27,63.12,63.89,943000,63.89
2013-05-29,63.56,64.30,63.12,63.40,1239900,63.24
2013-05-28,64.83,64.87,64.05,64.26,1415200,64.10
2013-05-24,64.28,64.75,62.38,63.68,1949800,63.52
2013-05-23,63.87,65.33,63.25,64.93,1913500,64.77
2013-05-22,65.92,66.62,64.76,65.00,1656200,64.84
2013-05-21,66.08,66.66,65.40,65.99,1759100,65.82
2013-05-20,64.22,66.90,64.17,66.28,2878500,66.11
2013-05-17,62.30,64.67,62.21,64.57,2271900,64.41
2013-05-16,61.96,62.88,61.57,62.00,1597300,61.84
2013-05-15,61.50,62.64,61.27,62.29,2046800,62.13
2013-05-14,60.62,61.84,60.51,61.84,2035100,61.68
2013-05-13,61.47,61.80,60.27,60.58,1837100,60.43
2013-05-10,61.70,61.93,61.03,61.91,1535300,61.75
2013-05-09,62.10,62.37,61.43,61.67,1736500,61.51
2013-05-08,60.44,61.96,60.38,61.79,2082800,61.63
2013-05-07,60.15,60.51,59.79,60.43,1559700,60.28
2013-05-06,59.81,60.48,59.40,60.09,1629000,59.94
2013-05-03,59.73,61.75,59.08,59.80,3084100,59.65
2013-05-02,56.36,57.68,56.18,57.45,1756300,57.31
2013-05-01,56.50,56.77,55.63,56.15,2701800,56.01
2013-04-30,56.37,57.00,55.72,56.98,2148900,56.84
2013-04-29,56.52,57.00,56.05,56.45,1398100,56.31
2013-04-26,56.61,56.85,56.14,56.38,1098800,56.24
2013-04-25,56.69,57.16,56.34,56.63,1827100,56.49
2013-04-24,54.61,56.33,54.61,56.32,2283700,56.18
2013-04-23,55.50,55.61,53.75,54.38,2684500,54.24
2013-04-22,54.28,55.37,53.50,55.27,2371600,55.13
2013-04-19,54.32,54.67,53.76,54.16,2077500,54.02
2013-04-18,55.45,55.80,54.22,54.33,2462500,54.19
2013-04-17,56.08,56.08,54.42,55.27,3760000,55.13
2013-04-16,56.58,57.27,56.12,56.64,4489900,56.50
2013-04-15,59.72,59.72,54.91,55.30,15360800,55.16
2013-04-12,62.51,62.61,60.01,60.22,2519300,60.07
2013-04-11,62.64,63.19,62.02,62.92,1052600,62.76
2013-04-10,62.86,63.64,62.06,62.57,2109100,62.41
2013-04-09,62.59,63.10,61.91,62.68,1016100,62.52
2013-04-08,62.07,62.93,61.86,62.45,919200,62.29
2013-04-05,60.74,62.16,60.00,62.03,1352800,61.87
2013-04-04,62.02,62.42,61.18,61.82,1817200,61.66
2013-04-03,64.24,64.66,61.10,61.91,2844800,61.75
2013-04-02,65.56,65.98,64.14,64.28,1137200,64.12
2013-04-01,66.30,66.83,65.13,65.44,1181900,65.27
2013-03-28,65.42,66.46,65.06,66.33,1259100,66.16
2013-03-27,64.84,65.41,64.11,65.25,1036400,65.09
2013-03-26,64.68,65.51,64.61,65.49,861500,65.32
2013-03-25,65.11,65.50,63.80,64.30,1291500,64.14
2013-03-22,63.95,65.08,63.59,64.94,1344400,64.78
2013-03-21,63.58,64.32,63.26,63.63,857900,63.47
2013-03-20,63.79,64.25,63.62,64.03,772500,63.87
2013-03-19,63.84,63.99,62.76,63.50,1390000,63.34
2013-03-18,63.46,63.94,62.73,63.55,1506300,63.39
2013-03-15,64.47,65.15,64.20,64.48,1519900,64.32
2013-03-14,64.00,64.87,63.94,64.79,1005500,64.63
2013-03-13,63.80,63.99,63.37,63.78,1041300,63.62
2013-03-12,63.97,64.16,63.03,63.83,1033300,63.67
2013-03-11,64.27,64.27,63.75,63.96,1272800,63.80
2013-03-08,63.88,64.52,63.45,64.31,1092700,64.15
2013-03-07,62.92,63.62,62.72,63.41,2141500,63.25
2013-03-06,62.09,62.92,61.81,62.75,2007900,62.59
2013-03-05,60.61,61.79,60.53,61.63,1850400,61.47
2013-03-04,60.17,60.28,58.56,60.03,2848800,59.88
2013-03-01,61.29,61.30,59.49,60.51,3538700,60.36
2013-02-28,62.53,62.84,61.89,61.90,1609000,61.74
2013-02-27,61.32,62.92,61.17,62.53,1249000,62.21
2013-02-26,61.71,61.78,59.61,61.36,3035800,61.05
2013-02-25,64.48,64.56,61.45,61.45,2004100,61.14
2013-02-22,63.91,64.29,63.18,64.05,1418300,63.72
2013-02-21,63.74,64.04,61.89,63.53,3060500,63.21
2013-02-20,65.98,66.12,64.33,64.34,2010800,64.01
2013-02-19,64.47,66.28,64.28,66.28,2029100,65.94
2013-02-15,64.47,64.70,64.19,64.51,1082200,64.18
2013-02-14,63.85,64.89,63.70,64.57,1277800,64.24
2013-02-13,64.06,64.99,63.98,64.05,1434800,63.72
2013-02-12,63.60,63.70,63.19,63.57,1172700,63.25
2013-02-11,64.01,64.34,63.15,63.43,1434600,63.11
2013-02-08,64.70,64.70,63.24,63.71,1856100,63.39
2013-02-07,65.41,65.41,64.09,64.70,1045100,64.37
2013-02-06,64.93,65.39,64.62,65.25,1203700,64.92
2013-02-05,65.43,65.69,65.01,65.54,1333700,65.21
2013-02-04,65.40,65.59,64.80,65.11,951600,64.78
2013-02-01,65.67,66.23,65.43,65.83,1415200,65.50
2013-01-31,64.69,65.12,63.99,64.83,1730900,64.50
2013-01-30,66.01,66.01,64.82,65.01,1333700,64.68
2013-01-29,65.77,66.05,65.40,65.98,981900,65.65
2013-01-28,66.09,66.67,65.57,65.78,1123200,65.45
2013-01-25,64.98,66.06,64.52,66.06,1665800,65.72
2013-01-24,63.87,64.98,63.71,64.61,1012700,64.28
2013-01-23,64.13,64.36,63.46,63.69,1434200,63.37
2013-01-22,63.18,64.24,62.93,64.01,815100,63.69
2013-01-18,63.36,63.45,62.45,63.31,938000,62.99
2013-01-17,63.09,64.20,63.05,63.10,1177600,62.78
2013-01-16,62.31,62.76,62.16,62.75,1024400,62.43
2013-01-15,61.66,62.67,61.34,62.59,968400,62.27
2013-01-14,62.20,62.31,61.37,62.07,936200,61.75
2013-01-11,62.47,62.47,61.49,62.17,1366100,61.85
2013-01-10,61.43,62.77,61.13,62.63,2862400,62.31
2013-01-09,60.30,61.11,60.23,60.73,874300,60.42
2013-01-08,60.28,60.56,59.75,59.98,968800,59.68
2013-01-07,60.16,60.56,59.32,60.31,988300,60.00
2013-01-04,60.61,60.83,60.33,60.53,845600,60.22
2013-01-03,61.00,61.22,60.27,60.37,1386400,60.06
2013-01-02,60.14,61.02,59.89,61.00,2404500,60.69
2012-12-31,57.23,59.03,56.84,58.74,1610600,58.44
2012-12-28,57.67,57.84,57.19,57.23,995700,56.94
2012-12-27,58.11,58.36,57.27,58.20,919500,57.90
2012-12-26,58.48,58.95,57.98,58.01,887100,57.72
2012-12-24,58.96,59.06,58.27,58.53,504700,58.23
2012-12-21,58.70,59.20,58.43,59.15,1875900,58.85
2012-12-20,59.00,59.55,58.53,59.53,1047200,59.23
2012-12-19,59.25,59.96,58.77,58.79,1269400,58.49
2012-12-18,58.27,59.47,57.82,59.35,1972400,59.05
2012-12-17,57.49,57.87,57.22,57.84,893000,57.55
2012-12-14,56.97,57.70,56.86,57.09,1100900,56.80
2012-12-13,57.59,57.90,56.80,56.99,1682700,56.70
2012-12-12,58.67,58.83,57.39,57.52,2283500,57.23
2012-12-11,57.82,58.63,57.53,58.36,2960200,58.06
2012-12-10,56.24,57.54,56.15,57.52,1868200,57.23
2012-12-07,55.36,56.37,55.26,56.32,1936900,56.03
2012-12-06,53.49,55.32,53.49,55.17,2916200,54.89
2012-12-05,53.72,54.06,53.33,53.50,1703800,53.23
2012-12-04,53.02,53.84,52.79,53.69,1531200,53.42
2012-12-03,53.27,53.89,52.90,52.98,972400,52.71
2012-11-30,53.29,53.84,52.98,53.08,1531300,52.81
2012-11-29,53.62,53.94,53.08,53.50,1557200,53.23
2012-11-28,52.70,53.41,51.87,53.37,1400300,52.94
2012-11-27,53.45,53.71,52.98,53.07,1269500,52.64
2012-11-26,53.40,54.01,53.37,53.77,1658700,53.34
2012-11-23,53.60,53.81,53.10,53.81,636000,53.38
2012-11-21,53.15,53.47,53.00,53.27,1082900,52.84
2012-11-20,52.53,53.09,52.36,52.95,1700600,52.52
2012-11-19,51.25,52.87,51.11,52.57,2183200,52.15
2012-11-16,51.82,52.17,51.10,51.82,1604100,51.40
2012-11-15,51.45,52.07,51.09,51.91,2505200,51.49
2012-11-14,52.62,53.09,51.38,51.39,2117400,50.98
2012-11-13,51.75,52.94,51.75,52.24,1598800,51.82
2012-11-12,52.33,52.79,52.04,52.23,1384300,51.81
2012-11-09,51.52,52.85,51.52,52.16,1771700,51.74
2012-11-08,53.52,53.52,51.59,51.86,2290300,51.44
2012-11-07,54.20,54.20,52.60,53.23,2307500,52.80
2012-11-06,53.31,54.79,53.16,54.49,2854200,54.05
2012-11-05,51.65,53.12,51.45,53.01,2016700,52.58
2012-11-02,55.00,55.48,51.88,52.01,6097700,51.59
2012-11-01,56.19,58.00,55.83,57.66,2053000,57.20
2012-10-31,56.25,58.65,55.79,55.85,2203700,55.40
2012-10-26,55.28,55.94,54.55,55.31,871500,54.86
2012-10-25,55.52,55.92,54.56,55.21,802700,54.77
2012-10-24,55.75,56.12,55.06,55.28,1025500,54.83
2012-10-23,55.71,55.75,55.10,55.35,1286700,54.90
2012-10-22,57.16,57.61,56.10,56.63,927600,56.17
2012-10-19,58.72,58.72,56.98,57.16,1309700,56.70
2012-10-18,57.60,59.40,57.51,59.07,1262600,58.59
2012-10-17,58.00,58.34,57.68,57.73,924400,57.26
2012-10-16,57.66,58.02,57.01,57.95,1418000,57.48
2012-10-15,56.50,57.44,56.13,57.35,1310300,56.89
2012-10-12,56.91,57.12,56.03,56.39,1355800,55.94
2012-10-11,56.73,57.07,56.36,56.87,1500100,56.41
2012-10-10,56.19,56.64,55.55,56.11,1059900,55.66
2012-10-09,56.60,56.65,55.98,56.36,1039700,55.91
2012-10-08,56.75,57.25,56.37,56.49,626800,56.03
2012-10-05,57.88,58.29,56.89,57.20,1117400,56.74
2012-10-04,56.92,57.62,56.66,57.27,1722200,56.81
2012-10-03,56.93,57.43,56.22,56.40,1274200,55.95
2012-10-02,57.02,57.50,56.44,56.88,1173000,56.42
2012-10-01,56.56,57.77,56.56,56.73,1343600,56.27
2012-09-28,56.23,56.63,55.77,56.28,1374300,55.83
2012-09-27,56.30,57.07,56.11,56.61,1232100,56.15
2012-09-26,56.53,56.69,55.36,56.00,1506800,55.55
2012-09-25,58.85,58.85,56.66,56.69,1523500,56.23
2012-09-24,58.75,59.12,58.39,58.71,968600,58.24
2012-09-21,59.88,60.00,59.12,59.20,1543300,58.72
2012-09-20,59.31,59.35,58.45,59.34,1714700,58.86
