Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,55.94,56.08,55.22,55.51,1454300,55.51
2013-07-11,56.48,56.48,55.31,55.94,1050900,55.94
2013-07-10,55.68,55.85,55.21,55.57,783200,55.57
2013-07-09,55.58,56.07,55.47,55.75,992700,55.75
2013-07-08,55.59,55.79,54.94,55.03,1069200,55.03
2013-07-05,54.86,55.41,54.36,55.36,875100,55.36
2013-07-03,54.14,54.55,53.96,54.20,650700,54.20
2013-07-02,54.57,54.73,54.10,54.33,1009200,54.33
2013-07-01,54.35,55.12,54.15,54.60,671800,54.60
2013-06-28,54.25,54.52,53.80,54.01,1071500,54.01
2013-06-27,54.24,54.75,54.18,54.52,815800,54.38
2013-06-26,53.59,54.17,53.49,53.95,1412900,53.81
2013-06-25,53.30,53.30,52.45,52.80,1611000,52.66
2013-06-24,52.70,52.90,50.90,52.05,1532000,51.92
2013-06-21,161.63,161.98,157.19,159.31,2274600,52.97
2013-06-20,162.00,162.80,159.77,160.19,970500,53.26
2013-06-19,166.10,166.69,164.01,164.02,584700,54.53
2013-06-18,165.08,166.49,164.41,165.97,552600,55.18
2013-06-17,166.40,167.52,163.35,164.73,1174500,54.77
2013-06-14,165.78,166.87,164.14,165.65,755100,55.07
2013-06-13,164.05,166.53,162.84,165.96,714600,55.18
2013-06-12,166.92,167.22,163.64,163.95,513000,54.51
2013-06-11,165.00,167.06,163.40,165.04,912300,54.87
2013-06-10,168.62,169.37,167.37,168.43,548700,56.00
2013-06-07,166.17,168.92,165.96,168.07,959700,55.88
2013-06-06,161.85,165.00,161.85,165.00,640200,54.86
2013-06-05,166.71,166.89,162.26,162.50,1150500,54.03
2013-06-04,166.92,169.69,165.83,166.84,811200,55.47
2013-06-03,168.60,169.00,163.96,166.98,1215300,55.52
2013-05-31,168.27,171.09,167.98,168.13,1220400,55.90
2013-05-30,168.17,170.01,167.11,169.19,561600,56.25
2013-05-29,167.24,169.04,167.16,167.67,745500,55.75
2013-05-28,168.80,171.51,167.79,169.22,744900,56.26
2013-05-24,167.01,167.37,164.76,166.84,621600,55.47
2013-05-23,166.69,168.97,166.23,167.93,596100,55.83
2013-05-22,171.85,172.53,167.40,168.57,1393200,56.05
2013-05-21,171.13,173.29,170.96,171.89,1124400,57.15
2013-05-20,169.54,172.66,169.22,171.11,814200,56.89
2013-05-17,166.48,170.08,166.33,169.90,786000,56.49
2013-05-16,165.99,169.51,165.24,166.55,1161000,55.37
2013-05-15,165.00,166.28,163.25,166.27,864900,55.28
2013-05-14,162.07,165.52,162.07,164.86,991500,54.81
2013-05-13,161.88,162.31,160.73,162.12,559800,53.90
2013-05-10,161.53,162.72,160.06,162.24,827400,53.94
2013-05-09,162.73,163.66,160.83,161.19,975900,53.59
2013-05-08,161.15,163.00,160.80,162.73,676500,54.10
2013-05-07,159.30,161.57,158.61,161.45,891900,53.68
2013-05-06,158.34,159.34,158.02,158.80,820200,52.80
2013-05-03,154.30,161.19,154.30,158.67,1594500,52.75
2013-05-02,151.50,154.48,150.01,154.24,1863900,51.28
2013-05-01,156.92,156.92,151.25,151.32,1851900,50.31
2013-04-30,157.08,158.15,155.10,158.12,2532000,52.57
2013-04-29,157.72,158.59,156.92,157.80,1305300,52.46
2013-04-26,157.53,157.87,156.18,157.73,986400,52.44
2013-04-25,156.99,159.26,154.68,157.55,1964400,52.38
2013-04-24,153.42,157.00,153.42,156.24,1264500,51.95
2013-04-23,153.40,154.22,152.50,153.89,1087500,51.16
2013-04-22,152.97,153.80,151.96,153.08,1077900,50.90
2013-04-19,152.45,154.23,152.00,152.83,1066500,50.81
2013-04-18,154.78,155.53,152.11,152.25,1002300,50.62
2013-04-17,157.66,157.77,153.76,154.65,1207800,51.42
2013-04-16,157.20,159.37,157.02,159.09,846000,52.89
2013-04-15,160.24,160.69,155.10,155.35,1325700,51.65
2013-04-12,163.64,164.12,161.29,161.55,791400,53.71
2013-04-11,164.86,165.35,164.30,164.44,682200,54.67
2013-04-10,163.66,165.23,163.66,164.87,1000800,54.82
2013-04-09,161.99,163.75,161.57,163.38,991500,54.32
2013-04-08,160.12,161.90,159.43,161.49,781500,53.69
2013-04-05,160.00,161.64,158.34,160.12,1372200,53.24
2013-04-04,161.86,163.10,161.22,162.35,1333800,53.98
2013-04-03,163.24,163.24,160.65,161.85,1122300,53.81
2013-04-02,164.70,166.03,162.55,163.05,765300,54.21
2013-04-01,167.23,167.60,163.80,164.69,1037100,54.76
2013-03-28,165.37,168.05,165.04,167.71,1834200,55.76
2013-03-27,164.21,165.54,163.46,165.22,840900,54.93
2013-03-26,164.87,165.57,163.86,165.42,876000,55.00
2013-03-25,166.63,166.63,162.45,164.30,889800,54.49
2013-03-22,166.18,166.38,164.98,165.72,994800,54.96
2013-03-21,168.56,168.56,163.87,165.69,1761600,54.95
2013-03-20,167.13,169.54,167.01,169.06,1019400,56.06
2013-03-19,168.03,168.68,165.33,167.26,753300,55.47
2013-03-18,165.62,168.46,165.37,167.57,899400,55.57
2013-03-15,166.00,168.39,165.82,167.75,2586000,55.63
2013-03-14,165.15,167.21,165.15,166.89,1204500,55.35
2013-03-13,164.21,165.23,163.46,164.73,610800,54.63
2013-03-12,165.32,165.53,163.31,164.22,969600,54.46
2013-03-11,164.49,166.21,164.11,165.51,987900,54.89
2013-03-08,165.41,166.08,163.56,164.74,1160400,54.63
2013-03-07,164.95,165.73,163.65,164.13,1205100,54.43
2013-03-06,166.32,167.00,164.60,164.74,1192500,54.63
2013-03-05,161.83,165.87,161.83,165.18,1302900,54.78
2013-03-04,161.56,161.93,159.51,161.61,1135500,53.59
2013-03-01,159.25,161.81,156.92,161.55,1169100,53.57
2013-02-28,159.80,161.66,158.94,160.50,1470600,53.23
2013-02-27,155.06,159.49,154.46,158.93,1402200,52.71
2013-02-26,155.00,155.76,152.93,155.16,1721400,51.46
2013-02-25,162.31,162.50,154.21,154.42,1974900,51.21
2013-02-22,157.11,162.61,156.52,161.30,2801700,53.49
2013-02-21,157.51,157.51,155.17,155.85,1416900,51.68
2013-02-20,159.30,160.25,157.26,157.76,1494600,52.32
2013-02-19,160.27,160.45,158.79,159.72,937800,52.97
2013-02-15,160.17,160.41,159.13,159.95,896100,53.04
2013-02-14,160.21,160.60,159.17,159.97,848100,53.05
2013-02-13,159.45,160.92,159.26,160.02,1107300,53.07
2013-02-12,157.90,159.45,157.70,159.09,932400,52.76
2013-02-11,157.61,158.25,155.25,157.66,1060500,52.28
2013-02-08,155.42,157.88,155.42,157.74,1611300,52.31
2013-02-07,156.59,157.09,153.84,155.20,697200,51.47
2013-02-06,155.96,157.24,155.56,156.41,864900,51.87
2013-02-05,155.64,157.62,154.64,156.59,1442400,51.93
2013-02-04,155.09,156.14,153.79,154.57,1283700,51.26
2013-02-01,157.07,157.98,154.81,156.02,1301100,51.74
2013-01-31,156.49,157.54,156.07,156.77,942600,51.99
2013-01-30,156.87,158.63,156.14,156.94,1549200,52.05
2013-01-29,152.71,157.05,152.39,156.95,1788900,52.05
