Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,43.74,43.98,43.54,43.92,1604000,43.92
2013-07-11,43.63,43.83,43.40,43.79,1524700,43.79
2013-07-10,42.66,43.40,42.62,43.35,1429600,43.35
2013-07-09,42.81,42.97,42.38,42.60,1389500,42.60
2013-07-08,42.35,42.76,42.29,42.49,916700,42.49
2013-07-05,42.18,42.42,41.98,42.39,743900,42.39
2013-07-03,41.46,42.04,41.25,41.83,823100,41.83
2013-07-02,41.69,41.95,41.53,41.71,1342600,41.71
2013-07-01,41.05,41.80,40.98,41.72,1604400,41.72
2013-06-28,40.92,41.42,40.63,41.00,1522200,41.00
2013-06-27,40.92,41.10,40.82,40.95,1221100,40.95
2013-06-26,40.93,41.12,40.43,40.69,941900,40.69
2013-06-25,40.72,40.75,40.14,40.65,1821400,40.65
2013-06-24,40.45,40.67,40.11,40.46,2434000,40.46
2013-06-21,41.21,41.38,40.59,40.83,7654400,40.83
2013-06-20,41.41,41.47,40.07,40.19,2199100,40.19
2013-06-19,41.36,43.85,41.34,41.84,5976300,41.84
2013-06-18,41.21,41.69,41.08,41.57,1391000,41.57
2013-06-17,41.24,41.68,41.04,41.28,1781400,41.28
2013-06-14,40.56,41.09,40.28,41.08,1513000,41.08
2013-06-13,39.87,40.73,39.47,40.65,1428300,40.65
2013-06-12,40.30,40.45,39.72,39.72,1583300,39.72
2013-06-11,40.51,40.51,39.71,39.83,2634500,39.83
2013-06-10,40.35,41.10,40.30,41.03,1232500,41.03
2013-06-07,40.32,40.70,40.15,40.45,800900,40.45
2013-06-06,40.00,40.33,39.71,40.33,1101800,40.33
2013-06-05,40.09,40.33,39.89,39.95,1837800,39.95
2013-06-04,39.98,40.24,39.85,40.09,1445100,40.09
2013-06-03,39.75,40.13,39.28,40.13,1439400,40.13
2013-05-31,40.01,40.27,39.70,39.75,2968700,39.75
2013-05-30,39.86,40.25,39.73,40.21,1598800,40.21
2013-05-29,40.07,40.17,39.44,39.91,3365500,39.91
2013-05-28,39.36,40.49,39.35,40.41,2556600,40.41
2013-05-24,39.17,39.33,38.39,39.23,2409900,39.23
2013-05-23,38.01,39.68,38.01,39.53,4003200,39.53
2013-05-22,37.88,38.12,37.44,37.51,1813700,37.51
2013-05-21,37.92,38.07,37.69,37.92,665500,37.92
2013-05-20,38.53,38.55,37.92,37.98,792600,37.98
2013-05-17,38.74,38.81,38.43,38.53,990700,38.53
2013-05-16,38.89,39.01,38.65,38.70,821600,38.70
2013-05-15,38.67,39.09,38.65,39.02,897500,39.02
2013-05-14,38.18,38.80,38.13,38.69,945600,38.69
2013-05-13,38.15,38.24,37.86,38.16,957400,38.16
2013-05-10,37.74,38.28,37.54,38.26,1036500,38.26
2013-05-09,37.61,38.10,37.61,37.96,940200,37.96
2013-05-08,37.00,37.82,36.97,37.70,1283100,37.70
2013-05-07,37.20,37.34,36.89,36.97,954500,36.97
2013-05-06,37.57,37.57,37.16,37.20,767900,37.20
2013-05-03,37.35,37.60,37.13,37.57,891400,37.57
2013-05-02,37.21,37.39,37.01,37.10,1057600,37.10
2013-05-01,37.21,37.58,36.99,37.03,2317700,37.03
2013-04-30,37.17,37.54,36.90,37.41,1216500,37.41
2013-04-29,37.17,37.34,37.02,37.21,678200,37.21
2013-04-26,36.97,37.10,36.79,37.03,502700,37.03
2013-04-25,37.18,37.28,36.72,36.95,1183600,36.95
2013-04-24,36.90,37.09,36.41,36.99,1770800,36.99
2013-04-23,36.09,37.57,35.99,36.85,2464000,36.85
2013-04-22,35.92,36.16,35.50,36.14,2305600,36.14
2013-04-19,35.58,35.92,35.47,35.91,1431700,35.91
2013-04-18,35.51,35.68,35.22,35.44,1459000,35.44
2013-04-17,35.60,35.82,35.25,35.59,1919200,35.59
2013-04-16,36.26,36.44,35.38,35.68,2049200,35.68
2013-04-15,37.89,37.89,36.09,36.11,2393900,36.11
2013-04-12,38.17,38.17,37.75,37.99,557800,37.99
2013-04-11,38.01,38.45,37.99,38.31,1528400,38.31
2013-04-10,37.44,38.07,37.43,38.07,1015900,38.07
2013-04-09,37.48,37.64,37.31,37.34,928500,37.34
2013-04-08,37.43,37.49,37.03,37.49,580400,37.49
2013-04-05,37.39,37.55,37.08,37.52,978300,37.52
2013-04-04,37.48,37.81,37.31,37.66,1162400,37.66
2013-04-03,37.74,37.81,37.40,37.44,1295500,37.44
2013-04-02,37.92,37.93,37.69,37.75,1388300,37.75
2013-04-01,37.91,38.01,37.69,37.86,966300,37.86
2013-03-28,37.52,38.08,37.48,38.04,1141400,38.04
2013-03-27,37.51,37.56,37.25,37.49,1148700,37.49
2013-03-26,37.61,37.98,37.55,37.71,1190300,37.71
2013-03-25,37.71,37.80,37.15,37.44,1480300,37.44
2013-03-22,38.00,38.04,37.64,37.78,902500,37.78
2013-03-21,37.81,38.09,37.80,37.93,830100,37.93
2013-03-20,37.79,38.12,37.71,38.01,1155200,38.01
2013-03-19,37.64,37.77,37.39,37.60,984800,37.60
2013-03-18,37.64,37.83,37.44,37.61,974600,37.61
2013-03-15,37.84,38.18,37.73,38.04,2015900,38.04
2013-03-14,37.69,37.93,37.66,37.93,942000,37.93
2013-03-13,38.05,38.10,37.63,37.67,1546900,37.67
2013-03-12,38.14,38.25,37.95,38.04,1286200,38.04
2013-03-11,37.78,38.23,37.72,38.15,2445900,38.15
2013-03-08,37.50,38.00,37.14,37.90,1553700,37.90
2013-03-07,37.42,38.04,37.35,37.38,1348700,37.38
2013-03-06,37.49,37.62,37.22,37.29,1332500,37.29
2013-03-05,37.35,37.53,37.32,37.48,1102000,37.48
2013-03-04,36.61,37.21,36.58,37.21,1881000,37.21
2013-03-01,36.64,36.77,36.25,36.76,1687700,36.76
2013-02-28,37.12,37.19,36.65,36.80,2279300,36.80
2013-02-27,36.56,37.15,36.40,37.06,1385000,37.06
2013-02-26,36.52,36.85,36.33,36.57,1550200,36.57
2013-02-25,36.66,37.29,36.40,36.40,2290800,36.40
2013-02-22,36.41,36.72,36.36,36.67,1357700,36.67
2013-02-21,36.30,36.47,36.25,36.36,2103100,36.36
2013-02-20,36.25,36.63,36.25,36.41,1494600,36.41
2013-02-19,35.98,36.35,35.82,36.34,1773300,36.34
2013-02-15,35.81,36.46,35.57,36.00,4482000,36.00
2013-02-14,35.65,35.87,35.58,35.73,2801200,35.73
2013-02-13,35.81,35.99,35.70,35.80,2312300,35.80
2013-02-12,35.45,35.76,35.31,35.74,2431300,35.74
2013-02-11,35.46,35.65,35.26,35.48,1436600,35.48
2013-02-08,35.47,35.75,35.37,35.51,1106700,35.51
2013-02-07,35.66,35.92,35.30,35.48,1097700,35.48
2013-02-06,35.82,35.93,35.58,35.72,1292200,35.72
2013-02-05,36.16,36.49,35.84,35.95,1826400,35.95
2013-02-04,36.16,36.26,35.87,35.88,1923300,35.88
2013-02-01,36.40,36.53,36.18,36.48,1479100,36.48
2013-01-31,36.32,36.66,35.96,36.30,1926500,36.30
2013-01-30,36.51,36.69,36.15,36.28,1970800,36.28
2013-01-29,36.54,36.54,36.25,36.41,2590500,36.41
2013-01-28,36.97,36.97,36.47,36.50,1161300,36.50
2013-01-25,36.89,37.00,36.62,36.79,1215100,36.79
2013-01-24,36.88,37.18,36.64,36.76,1590500,36.76
2013-01-23,36.90,37.20,36.75,36.83,1376900,36.83
2013-01-22,36.80,37.04,36.60,36.96,1838900,36.96
2013-01-18,36.95,36.95,36.47,36.77,1236800,36.77
2013-01-17,36.70,37.11,36.55,37.02,1415900,37.02
2013-01-16,37.61,37.65,36.55,36.57,2150000,36.57
2013-01-15,36.32,38.03,36.20,37.85,4028100,37.85
2013-01-14,38.04,38.19,37.43,37.59,2199000,37.59
2013-01-11,37.98,38.45,37.50,38.11,3022300,38.11
2013-01-10,37.04,37.30,36.92,37.30,1200800,37.30
2013-01-09,36.77,37.08,36.67,36.92,1171900,36.92
2013-01-08,36.99,37.22,36.63,36.67,1930000,36.67
2013-01-07,36.97,37.23,36.97,37.07,1520800,37.07
2013-01-04,36.39,37.23,36.30,37.07,2248400,37.07
2013-01-03,35.73,36.30,35.14,36.28,2546400,36.28
2013-01-02,35.76,35.83,35.34,35.82,1992400,35.82
2012-12-31,34.72,35.33,34.67,35.32,1313300,35.32
2012-12-28,34.68,35.07,34.68,34.84,1228100,34.84
2012-12-27,35.08,35.24,34.51,34.82,1591200,34.82
2012-12-26,35.24,35.36,34.90,35.14,609900,35.14
2012-12-24,35.08,35.48,34.93,35.20,459400,35.20
2012-12-21,35.44,35.62,35.09,35.19,2251400,35.19
2012-12-20,35.75,35.85,35.49,35.63,1702900,35.63
2012-12-19,35.93,36.00,35.54,35.54,1020400,35.54
2012-12-18,35.85,36.11,35.65,36.00,1029000,36.00
2012-12-17,35.73,36.12,35.73,35.85,1050300,35.85
2012-12-14,35.78,35.99,35.29,35.70,1107700,35.70
2012-12-13,36.21,36.52,35.84,35.90,1022600,35.90
2012-12-12,36.85,36.94,36.24,36.31,1734800,36.31
2012-12-11,36.74,37.06,36.66,36.82,2172600,36.82
2012-12-10,35.90,36.75,35.90,36.69,2486900,36.69
2012-12-07,35.78,35.97,35.61,35.72,1328800,35.72
2012-12-06,36.09,36.09,35.56,35.74,1511400,35.74
2012-12-05,35.49,36.25,35.45,36.12,1968000,36.12
2012-12-04,35.16,35.54,35.02,35.44,2054500,35.44
2012-12-03,35.58,36.00,35.26,35.35,3189300,35.35
2012-11-30,34.85,35.46,34.68,35.46,9376900,35.46
2012-11-29,33.96,34.62,33.89,34.58,2199900,34.58
2012-11-28,33.37,33.80,33.13,33.79,1833800,33.79
2012-11-27,33.38,33.74,33.15,33.52,2306900,33.52
2012-11-26,32.84,33.49,32.84,33.49,1232200,33.49
2012-11-23,32.94,33.32,32.89,33.32,480700,33.32
2012-11-21,32.78,32.92,32.61,32.89,979700,32.89
2012-11-20,32.44,32.82,32.24,32.81,1316100,32.81
2012-11-19,32.57,32.69,32.25,32.46,1134000,32.46
2012-11-16,32.22,32.43,32.01,32.32,1601800,32.32
2012-11-15,32.04,32.30,31.71,32.23,2631800,32.23
2012-11-14,32.41,32.50,31.83,32.07,2155100,32.07
2012-11-13,32.45,32.83,32.40,32.42,1418300,32.42
2012-11-12,33.17,33.32,32.59,32.60,1856800,32.60
2012-11-09,32.91,33.45,32.81,33.15,1091200,33.15
2012-11-08,33.35,33.46,32.96,32.96,1519800,32.96
2012-11-07,33.86,33.94,33.19,33.34,1672300,33.34
2012-11-06,33.92,34.25,33.89,34.03,1103200,34.03
2012-11-05,33.89,34.13,33.76,34.02,1375100,34.02
2012-11-02,34.55,34.57,34.13,34.14,1386900,34.14
2012-11-01,33.85,34.47,33.76,34.35,1767600,34.35
2012-10-31,34.84,34.84,33.62,33.71,1523200,33.71
2012-10-26,34.66,34.74,34.09,34.17,1362100,34.17
2012-10-25,34.38,34.75,34.38,34.62,1370900,34.62
2012-10-24,34.50,34.69,34.05,34.21,1176600,34.21
2012-10-23,34.58,34.69,34.02,34.32,1439500,34.32
2012-10-22,34.84,35.07,34.45,34.62,1073100,34.62
2012-10-19,35.21,35.54,34.90,34.90,1964100,34.90
2012-10-18,35.14,35.57,35.03,35.32,1594900,35.32
2012-10-17,37.34,37.34,35.15,35.30,2274200,35.30
