Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,57.77,58.38,57.72,58.35,973500,58.35
2013-07-11,59.07,59.13,57.25,57.52,1532700,57.52
2013-07-10,58.32,58.43,57.66,58.01,1341700,58.01
2013-07-09,57.29,58.39,57.21,58.16,1503900,58.16
2013-07-08,56.48,57.16,56.35,56.81,1803000,56.81
2013-07-05,56.28,56.74,56.08,56.34,990400,56.34
2013-07-03,56.31,56.55,55.37,55.85,949400,55.85
2013-07-02,55.75,56.56,55.62,56.41,2707800,56.41
2013-07-01,56.17,56.30,55.62,55.82,1454300,55.82
2013-06-28,56.05,56.48,55.53,55.68,1935600,55.68
2013-06-27,56.43,56.79,56.10,56.29,1574400,56.29
2013-06-26,56.21,56.33,55.31,55.84,1078700,55.84
2013-06-25,55.97,56.67,55.36,55.76,1809900,55.76
2013-06-24,54.40,55.63,53.17,55.10,1791400,55.10
2013-06-21,55.20,55.41,53.88,55.01,2035600,55.01
2013-06-20,55.84,55.86,54.46,54.66,2004200,54.66
2013-06-19,58.00,58.12,56.79,56.88,1069700,56.88
2013-06-18,57.83,58.34,57.76,57.98,1650600,57.98
2013-06-17,56.29,58.05,56.26,57.82,1812400,57.82
2013-06-14,56.12,56.40,55.54,55.62,878800,55.62
2013-06-13,54.69,56.08,54.50,55.97,1415800,55.97
2013-06-12,55.58,55.64,54.44,54.56,1283200,54.56
2013-06-11,54.75,55.57,54.58,55.01,1450100,55.01
2013-06-10,56.37,56.55,55.61,55.86,1491600,55.86
2013-06-07,56.03,56.36,55.73,56.22,1394200,56.22
2013-06-06,54.97,55.88,54.73,55.69,1429400,55.69
2013-06-05,55.34,55.76,54.82,54.87,925900,54.87
2013-06-04,56.44,57.00,55.13,55.65,965600,55.65
2013-06-03,55.93,56.57,55.42,56.57,1215700,56.57
2013-05-31,56.67,56.89,55.66,55.66,1352900,55.66
2013-05-30,56.94,57.50,56.45,57.02,1117800,57.02
2013-05-29,57.07,57.48,56.57,56.95,883200,56.95
2013-05-28,57.60,58.12,57.07,57.51,953000,57.51
2013-05-24,56.41,56.80,55.99,56.74,913800,56.74
2013-05-23,56.79,57.32,56.12,57.01,1297000,57.01
2013-05-22,58.49,59.13,57.20,57.46,1566500,57.46
2013-05-21,58.78,59.27,58.11,58.45,1065100,58.45
2013-05-20,57.39,58.78,57.33,58.73,1724500,58.73
2013-05-17,56.65,57.57,56.65,57.54,1539000,57.54
2013-05-16,56.35,56.88,56.04,56.18,1284700,56.18
2013-05-15,56.25,56.62,55.75,56.36,1161300,56.36
2013-05-14,56.09,56.82,56.09,56.55,975900,56.55
2013-05-13,55.91,56.31,55.62,56.07,1048400,56.07
2013-05-10,56.06,56.20,55.39,56.00,1174100,56.00
2013-05-09,56.08,56.78,56.00,56.28,1324300,56.28
2013-05-08,56.58,56.70,55.85,56.24,1470400,56.24
2013-05-07,55.92,56.82,55.89,56.63,1117000,56.63
2013-05-06,55.43,56.04,55.20,55.68,1189900,55.68
2013-05-03,54.56,56.00,54.56,55.41,1787700,55.41
2013-05-02,53.79,54.44,53.45,54.17,1249500,54.17
2013-05-01,53.74,54.10,53.18,53.76,1138800,53.76
2013-04-30,53.06,54.31,52.88,54.30,2268700,54.30
2013-04-29,53.29,53.58,52.74,53.12,1602300,53.12
2013-04-26,53.11,53.39,52.63,52.89,1362700,52.89
2013-04-25,53.33,54.07,52.58,53.41,2294500,53.41
2013-04-24,51.49,54.54,51.13,53.31,4150700,53.31
2013-04-23,50.59,51.71,50.40,51.70,3049100,51.70
2013-04-22,49.58,50.65,49.31,50.56,1606700,50.56
2013-04-19,49.57,49.87,48.51,49.22,1914900,49.22
2013-04-18,49.38,50.38,48.59,49.48,3703000,49.48
2013-04-17,49.62,49.72,47.92,48.50,2749500,48.50
2013-04-16,50.00,50.19,49.33,50.00,3371800,50.00
2013-04-15,52.48,52.52,49.45,49.45,3527300,49.45
2013-04-12,54.55,54.78,52.68,52.80,2172800,52.80
2013-04-11,54.61,55.49,54.17,55.05,2033100,55.05
2013-04-10,53.49,55.32,53.49,55.27,1886200,55.27
2013-04-09,53.05,53.69,52.80,53.46,1452100,53.46
2013-04-08,51.96,52.95,51.87,52.78,1484700,52.78
2013-04-05,51.33,52.37,50.98,51.68,1892600,51.68
2013-04-04,51.97,52.55,51.43,51.80,970500,51.80
2013-04-03,53.80,53.89,51.62,51.96,2010200,51.96
2013-04-02,54.14,54.31,53.59,53.82,1425500,53.82
2013-04-01,54.59,54.81,53.53,53.91,1526300,53.91
2013-03-28,54.09,54.52,53.87,54.39,1230500,54.39
2013-03-27,52.91,54.42,52.68,54.08,1751300,54.08
2013-03-26,52.70,53.66,52.69,53.59,920000,53.59
2013-03-25,52.70,53.20,52.40,52.57,1645300,52.57
2013-03-22,52.01,52.63,51.62,52.39,1330800,52.39
2013-03-21,52.15,52.32,51.47,51.95,2451000,51.95
2013-03-20,51.32,52.76,51.30,52.50,1977300,52.50
2013-03-19,51.77,51.84,50.25,51.00,1918800,51.00
2013-03-18,51.78,52.19,51.47,51.69,1528400,51.69
2013-03-15,52.24,52.84,52.07,52.59,2279800,52.59
2013-03-14,51.88,52.58,51.88,52.40,1570700,52.40
2013-03-13,51.71,52.00,51.32,51.86,1049500,51.86
2013-03-12,51.70,51.96,51.11,51.64,886000,51.64
2013-03-11,51.48,51.86,51.14,51.72,1214200,51.72
2013-03-08,51.11,51.68,50.91,51.55,1116300,51.55
2013-03-07,51.11,51.28,50.63,50.84,1318500,50.84
2013-03-06,51.50,51.56,50.57,50.96,1327400,50.96
2013-03-05,51.34,51.58,50.95,51.32,1751000,51.32
2013-03-04,51.24,51.85,50.53,50.80,2376000,50.80
2013-03-01,51.74,51.84,50.86,51.50,1830700,51.50
2013-02-28,52.00,52.30,51.45,51.91,1834400,51.91
2013-02-27,50.60,52.21,50.60,51.98,1792200,51.98
2013-02-26,50.81,51.31,50.38,50.93,2381500,50.93
2013-02-25,52.00,52.38,50.49,50.50,2395200,50.50
2013-02-22,51.57,52.03,51.43,51.87,2557400,51.87
2013-02-21,51.08,51.25,50.25,50.96,3161800,50.96
2013-02-20,52.94,53.12,51.35,51.45,2730700,51.45
2013-02-19,52.02,53.18,51.83,53.05,2834600,53.05
2013-02-15,52.01,52.26,50.86,51.80,2757300,51.80
2013-02-14,50.09,51.56,49.25,51.52,3298900,51.52
