Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,26.40,26.75,26.20,26.66,2313300,26.66
2013-07-11,26.48,26.58,26.18,26.42,2211900,26.42
2013-07-10,26.00,26.32,25.66,26.06,2242100,26.06
2013-07-09,26.36,26.45,25.94,25.96,3745600,25.96
2013-07-08,26.32,26.35,25.89,26.09,2222900,26.09
2013-07-05,25.87,26.08,25.34,26.06,2073500,26.06
2013-07-03,25.41,25.64,25.23,25.50,1578100,25.50
2013-07-02,25.05,25.77,24.95,25.60,4525500,25.60
2013-07-01,24.72,25.29,24.67,25.21,3601700,25.21
2013-06-28,24.53,24.57,24.10,24.46,4585800,24.46
2013-06-27,24.69,24.97,24.44,24.66,2480400,24.66
2013-06-26,24.08,24.69,24.01,24.59,2807300,24.59
2013-06-25,23.83,24.00,23.70,23.91,2311800,23.91
2013-06-24,23.59,23.93,23.36,23.58,2827800,23.58
2013-06-21,24.20,24.22,23.70,23.91,3378100,23.91
2013-06-20,24.18,24.79,23.81,23.87,3785600,23.87
2013-06-19,25.07,25.18,23.78,24.18,7447300,24.18
2013-06-18,25.02,25.18,24.63,24.96,4460700,24.96
2013-06-17,25.23,25.43,24.62,24.96,6387800,24.96
2013-06-14,26.36,26.36,24.12,24.99,13268600,24.99
2013-06-13,25.50,26.75,24.10,26.60,36109300,26.60
2013-06-12,20.37,20.45,19.82,19.85,1915800,19.85
2013-06-11,20.14,20.47,19.91,20.17,1925300,20.17
2013-06-10,20.81,20.83,20.37,20.43,1552600,20.43
2013-06-07,20.44,20.82,20.26,20.79,1755500,20.79
2013-06-06,19.81,20.32,19.72,20.32,2707800,20.32
2013-06-05,20.50,20.69,19.82,19.85,3383300,19.85
2013-06-04,21.11,21.71,20.61,20.78,4350500,20.58
2013-06-03,21.48,21.52,20.31,20.80,3911700,20.60
2013-05-31,21.53,22.20,21.50,21.50,2428000,21.29
2013-05-30,21.63,21.89,21.62,21.65,1539300,21.44
2013-05-29,21.42,21.62,21.25,21.56,1703800,21.35
2013-05-28,21.42,21.62,21.31,21.56,1904800,21.35
2013-05-24,21.02,21.23,20.87,21.16,1702900,20.96
2013-05-23,20.91,21.18,20.59,21.14,2422900,20.94
2013-05-22,21.40,21.75,21.03,21.15,2503200,20.95
2013-05-21,21.75,21.80,21.40,21.54,1216400,21.33
2013-05-20,21.55,21.90,21.55,21.75,2350600,21.54
2013-05-17,21.04,21.59,20.95,21.56,2928100,21.35
2013-05-16,21.49,21.49,20.81,20.83,3480900,20.63
2013-05-15,21.79,22.00,21.48,21.62,2188200,21.41
