Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,56.00,57.86,55.76,57.34,13267800,57.34
2013-07-11,56.03,56.25,55.39,55.85,11373200,55.85
2013-07-10,54.39,55.50,54.19,55.33,8768300,55.33
2013-07-09,54.02,54.80,53.35,54.38,8202100,54.38
2013-07-08,53.60,53.96,53.21,53.32,10022700,53.32
2013-07-05,52.40,53.49,52.27,53.32,6126900,53.32
2013-07-03,52.01,52.34,51.63,51.98,2786800,51.98
2013-07-02,51.70,52.67,51.42,52.23,8566000,52.23
2013-07-01,51.97,52.80,51.53,51.65,9472900,51.65
2013-06-28,50.95,51.61,50.62,51.27,9086200,51.27
2013-06-27,51.70,51.95,50.70,51.01,8249000,51.01
2013-06-26,50.42,51.63,50.30,51.31,9904400,51.31
2013-06-25,49.41,50.88,49.31,49.78,12879000,49.78
2013-06-24,48.20,49.71,46.70,48.93,11453100,48.93
2013-06-21,49.63,49.93,48.08,48.83,20298000,48.83
2013-06-20,50.19,50.45,49.02,49.35,11510700,49.35
2013-06-19,51.82,52.05,50.57,50.60,6406800,50.60
2013-06-18,50.87,52.05,50.87,51.94,6873600,51.94
2013-06-17,52.77,53.26,50.82,51.03,10079200,51.03
2013-06-14,51.89,52.79,51.85,52.23,6216700,52.23
2013-06-13,51.25,52.10,50.68,51.95,9292700,51.95
2013-06-12,52.83,53.06,51.14,51.17,9707600,51.17
2013-06-11,51.90,52.98,51.39,52.44,7277900,52.44
2013-06-10,53.55,53.56,52.11,52.44,8744200,52.44
2013-06-07,51.88,53.41,51.81,52.89,12883500,52.89
2013-06-06,50.38,51.68,49.66,51.35,14267400,51.35
2013-06-05,51.60,52.66,49.26,50.12,18605900,50.12
2013-06-04,53.13,53.69,51.92,52.32,11367200,52.32
2013-06-03,54.56,54.64,51.35,53.12,15319800,53.12
2013-05-31,56.21,56.21,54.48,54.48,11526200,54.48
2013-05-30,55.75,56.82,55.45,55.80,9719000,55.80
2013-05-29,55.94,56.19,54.85,55.63,9677700,55.63
2013-05-28,56.68,56.82,55.61,56.18,8669400,56.18
2013-05-24,55.30,56.35,54.90,55.81,8745700,55.81
2013-05-23,54.89,56.06,54.16,55.48,10768700,55.48
2013-05-22,57.00,58.06,55.62,55.93,12765800,55.93
2013-05-21,56.14,56.85,55.76,56.47,10085900,56.47
2013-05-20,56.09,56.78,55.21,55.74,9493700,55.74
2013-05-17,55.48,56.43,54.65,56.30,13909500,56.30
2013-05-16,56.60,56.64,54.20,54.96,15554100,54.96
2013-05-15,56.34,57.10,55.09,56.36,16779100,56.36
2013-05-14,54.49,56.27,54.40,56.25,16929400,56.25
2013-05-13,53.12,55.09,52.93,54.47,14485400,54.47
2013-05-10,52.77,53.15,52.19,52.88,12752600,52.88
2013-05-09,52.58,53.22,52.25,52.79,9815900,52.79
2013-05-08,53.13,53.41,51.99,52.38,12612500,52.38
2013-05-07,54.37,54.60,52.82,53.13,14096100,53.13
2013-05-06,55.18,55.70,54.12,54.43,13330700,54.43
2013-05-03,54.55,56.35,54.52,55.15,17089300,55.15
2013-05-02,52.75,53.21,51.95,52.18,16602700,52.18
2013-05-01,50.45,50.65,49.86,50.14,9679100,50.14
2013-04-30,50.75,50.89,49.43,50.64,13550600,50.64
2013-04-29,51.36,51.63,50.77,51.09,10806000,51.09
2013-04-26,51.49,52.25,51.29,51.38,9678600,51.38
2013-04-25,51.30,51.84,50.91,51.43,10862700,51.43
2013-04-24,53.18,53.52,50.43,50.57,18388700,50.57
2013-04-23,54.40,55.16,52.58,53.33,13828200,53.33
2013-04-22,54.12,54.24,53.29,54.05,15188600,54.05
2013-04-19,50.66,53.98,50.66,53.17,20436500,53.17
2013-04-18,51.88,52.06,50.53,50.86,9391500,50.86
2013-04-17,51.70,52.20,50.73,51.94,12453000,51.94
2013-04-16,51.27,52.05,51.06,52.01,13561900,52.01
2013-04-15,52.25,52.36,50.62,50.68,13210200,50.68
2013-04-12,51.66,52.43,51.39,51.93,10697000,51.93
2013-04-11,50.20,51.97,50.18,51.65,15567100,51.65
2013-04-10,48.52,49.85,48.50,49.73,10084900,49.73
2013-04-09,48.09,48.81,47.99,48.30,13126300,48.30
2013-04-08,47.25,47.61,46.85,47.20,9538000,47.20
2013-04-05,46.90,47.45,46.53,47.37,10958000,47.37
2013-04-04,47.91,48.35,47.56,47.74,10050300,47.74
2013-04-03,48.25,48.37,47.31,47.63,9168000,47.63
2013-04-02,48.33,48.38,47.97,48.20,15536500,48.20
2013-04-01,49.01,49.17,47.91,47.98,14403100,47.98
2013-03-28,47.86,49.48,47.85,48.94,18502100,48.94
2013-03-27,46.20,47.83,45.92,47.72,18418400,47.72
2013-03-26,45.15,45.89,45.11,45.76,7122900,45.76
2013-03-25,46.01,46.13,44.76,44.98,12174000,44.98
2013-03-22,45.13,45.56,44.84,45.51,8290600,45.51
2013-03-21,44.45,44.74,44.26,44.54,12615200,44.54
2013-03-20,44.81,44.82,44.29,44.52,7041300,44.52
2013-03-19,44.81,45.00,43.78,44.38,9059300,44.38
2013-03-18,44.74,45.01,44.10,44.80,9084200,44.80
2013-03-15,45.81,46.00,44.96,45.17,14207400,45.17
2013-03-14,45.90,46.14,45.68,45.88,8979700,45.88
2013-03-13,46.15,46.15,45.61,45.87,6112100,45.87
2013-03-12,45.97,46.37,45.53,46.18,9915900,46.18
2013-03-11,45.49,45.95,45.18,45.94,7298000,45.94
2013-03-08,45.24,45.55,44.51,45.43,6885100,45.43
2013-03-07,45.10,45.20,44.51,44.95,9176500,44.95
2013-03-06,45.23,45.45,44.64,45.40,8542200,45.40
2013-03-05,44.35,45.58,44.35,45.02,15086800,45.02
2013-03-04,43.53,43.88,43.18,43.87,8814000,43.87
2013-03-01,42.63,43.50,42.38,43.45,11294500,43.45
2013-02-28,43.03,43.18,42.71,42.72,10104200,42.72
2013-02-27,42.39,43.29,42.08,42.89,7986000,42.89
2013-02-26,42.14,42.42,41.69,42.25,7196000,42.25
2013-02-25,42.77,43.35,42.06,42.09,9560900,42.09
2013-02-22,41.66,42.49,41.60,42.45,6138700,42.45
2013-02-21,41.82,41.85,41.18,41.54,9769500,41.54
2013-02-20,42.51,42.84,41.88,41.88,9391800,41.88
2013-02-19,42.25,43.04,42.06,42.28,11548300,42.28
2013-02-15,41.45,41.71,41.30,41.60,8020500,41.60
2013-02-14,41.18,41.75,41.11,41.60,8687400,41.60
2013-02-13,40.96,41.51,40.83,41.40,7962700,41.40
2013-02-12,40.46,40.95,40.30,40.83,9791000,40.83
2013-02-11,40.90,41.01,40.16,40.40,11061800,40.40
2013-02-08,40.32,41.27,40.15,40.90,8968800,40.90
2013-02-07,39.78,40.46,39.48,40.36,11699400,40.36
2013-02-06,40.61,40.62,39.55,39.91,11644000,39.91
2013-02-05,40.15,41.34,40.15,40.54,11527200,40.54
2013-02-04,40.71,40.90,39.51,39.59,12765200,39.59
2013-02-01,40.17,41.14,39.94,40.56,13030400,40.56
2013-01-31,39.75,39.82,39.24,39.45,7956200,39.45
2013-01-30,39.97,40.39,39.65,39.85,7279700,39.85
2013-01-29,39.34,40.02,39.29,39.90,8439600,39.90
2013-01-28,40.06,40.19,39.21,39.44,5978900,39.44
2013-01-25,78.40,79.37,78.37,79.36,18244800,39.68
2013-01-24,77.30,78.75,77.09,78.40,11185800,39.20
2013-01-23,77.87,78.18,76.54,76.84,8987600,38.42
2013-01-22,78.58,78.68,77.49,77.91,8020800,38.96
2013-01-18,77.55,78.32,77.40,78.28,9848400,39.14
2013-01-17,77.39,78.10,76.61,77.53,8848400,38.76
2013-01-16,77.30,77.45,76.59,77.17,10416000,38.58
2013-01-15,77.41,78.35,77.08,77.36,9326800,38.68
2013-01-14,78.44,78.50,77.49,77.77,9162200,38.88
2013-01-11,78.09,78.47,77.36,78.08,8262400,39.04
2013-01-10,78.09,78.59,76.96,77.94,8277000,38.97
2013-01-09,77.46,77.88,76.92,77.87,8257400,38.94
2013-01-08,76.82,78.41,76.81,77.40,13371400,38.70
2013-01-07,76.89,77.08,76.20,76.88,7948400,38.44
2013-01-04,75.20,76.05,74.85,75.72,7126200,37.86
2013-01-03,75.11,75.85,74.74,74.95,5965400,37.47
2013-01-02,74.31,75.06,73.87,75.06,7941800,37.53
2012-12-31,72.25,73.72,71.71,73.45,8548000,36.72
2012-12-28,72.07,72.97,71.78,72.38,6763800,36.19
2012-12-27,72.48,73.35,71.36,72.60,8359200,36.30
2012-12-26,72.75,73.04,72.00,72.48,3927200,36.24
2012-12-24,72.54,72.98,72.44,72.66,2914400,36.33
2012-12-21,72.87,73.84,72.13,72.78,15813200,36.39
2012-12-20,74.96,75.05,73.49,73.66,9788800,36.83
2012-12-19,76.09,76.09,74.65,74.75,7224400,37.38
2012-12-18,75.77,76.62,75.16,75.85,8140600,37.92
2012-12-17,74.49,75.47,73.49,75.46,10991000,37.73
2012-12-14,74.70,74.70,73.46,74.24,9999400,37.12
2012-12-13,75.98,76.43,74.48,74.77,11188000,37.38
2012-12-12,76.37,77.12,76.07,76.23,11670200,38.12
2012-12-11,74.72,76.76,74.53,76.34,18427200,38.17
2012-12-10,74.25,74.71,73.98,74.25,8242000,37.12
2012-12-07,73.70,74.18,73.32,73.92,7619400,36.96
2012-12-06,74.83,74.90,73.67,73.81,12606000,36.90
2012-12-05,75.11,75.13,73.75,74.54,9700400,37.27
2012-12-04,75.26,75.85,74.11,74.16,10630800,37.08
2012-12-03,74.97,75.72,74.45,74.61,9308600,37.31
2012-11-30,75.38,75.57,74.61,75.00,8630200,37.50
2012-11-29,75.25,75.77,74.55,75.30,7691600,37.65
2012-11-28,74.55,74.95,73.02,74.88,10486400,37.44
2012-11-27,74.61,75.83,74.11,74.65,11027400,37.33
2012-11-26,75.64,75.85,74.68,75.47,10464400,37.74
2012-11-23,75.62,76.28,75.60,76.12,4055600,38.06
2012-11-21,75.74,75.99,74.78,75.55,8267400,37.78
2012-11-20,74.88,76.11,74.63,75.81,15283400,37.90
2012-11-19,74.72,75.24,73.76,74.82,18330000,37.41
2012-11-16,73.03,74.92,72.82,74.40,26510400,37.20
2012-11-15,72.05,73.07,71.11,72.89,16891800,36.44
2012-11-14,72.57,73.92,72.00,72.29,23384000,36.15
2012-11-13,74.27,75.48,72.55,72.69,37446600,36.35
