Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,50.99,51.40,50.66,51.09,3587300,51.09
2013-07-11,50.43,51.13,50.43,51.03,3838000,51.03
2013-07-10,49.58,50.00,49.51,49.91,3447900,49.91
2013-07-09,49.51,49.73,49.39,49.53,3030200,49.53
2013-07-08,48.98,49.52,48.79,49.30,3989300,49.30
2013-07-05,49.03,49.27,48.62,49.03,2432800,48.65
2013-07-03,49.12,49.21,48.78,48.95,2144900,48.57
2013-07-02,48.78,49.31,48.66,49.17,3222800,48.79
2013-07-01,48.54,49.13,48.53,48.79,2996800,48.41
2013-06-28,48.36,48.84,48.23,48.53,5136500,48.15
2013-06-27,48.39,48.75,48.29,48.34,4370600,47.97
2013-06-26,48.07,48.25,47.56,48.10,5121000,47.73
2013-06-25,48.72,49.02,48.18,48.33,3466600,47.96
2013-06-24,48.35,48.82,48.12,48.32,4339000,47.95
2013-06-21,48.58,48.84,48.35,48.64,4961100,48.26
2013-06-20,48.86,49.12,48.15,48.21,4301000,47.84
2013-06-19,49.70,50.02,49.11,49.18,3676400,48.80
2013-06-18,49.84,49.99,49.43,49.91,2256100,49.52
2013-06-17,49.52,49.97,49.37,49.80,3137000,49.41
2013-06-14,49.00,49.53,48.94,49.29,3097800,48.91
2013-06-13,48.45,49.07,48.10,49.02,2969800,48.64
2013-06-12,49.32,49.32,48.44,48.46,3372200,48.08
2013-06-11,48.11,48.73,47.79,48.33,3647300,47.96
2013-06-10,48.11,48.20,47.72,48.20,2954600,47.83
2013-06-07,47.64,48.13,47.51,48.08,3431900,47.71
2013-06-06,47.26,47.48,47.05,47.40,3970200,47.03
2013-06-05,47.78,47.79,47.17,47.19,3180400,46.82
2013-06-04,47.53,48.05,47.39,47.87,3966400,47.50
2013-06-03,47.14,47.50,46.18,47.50,6212600,47.13
2013-05-31,47.62,47.81,47.08,47.08,6859300,46.72
2013-05-30,47.93,48.28,47.62,47.84,3755400,47.47
2013-05-29,48.78,49.15,47.84,48.18,4187800,47.81
2013-05-28,49.44,49.49,48.87,49.11,2902500,48.73
2013-05-24,48.75,48.98,48.37,48.98,2725000,48.60
2013-05-23,48.80,48.97,48.24,48.85,3959800,48.47
2013-05-22,49.30,49.79,48.89,49.03,4708200,48.65
2013-05-21,49.13,49.52,48.87,49.36,4614300,48.98
2013-05-20,50.42,50.64,49.09,49.13,5327000,48.75
2013-05-17,50.41,50.53,49.86,50.36,3260500,49.97
2013-05-16,50.87,50.97,50.45,50.47,2616800,50.08
2013-05-15,50.52,50.97,50.16,50.93,2849500,50.54
2013-05-14,50.14,50.71,50.11,50.63,3625000,50.24
2013-05-13,49.87,50.30,49.43,50.09,3009000,49.70
2013-05-10,49.68,49.98,49.58,49.91,2728300,49.52
2013-05-09,50.03,50.13,49.50,49.63,3073300,49.25
2013-05-08,50.73,50.84,49.74,49.94,4217300,49.55
2013-05-07,49.73,50.76,49.64,50.76,4117400,50.37
2013-05-06,50.55,50.61,49.52,49.59,4080400,49.21
2013-05-03,50.69,50.87,50.43,50.72,2733100,50.33
2013-05-02,50.35,50.59,50.17,50.45,2626300,50.06
2013-05-01,50.45,50.75,50.34,50.40,3348400,50.01
2013-04-30,50.10,50.42,49.88,50.42,2827100,50.03
2013-04-29,49.70,50.30,49.70,50.21,2821800,49.82
2013-04-26,49.42,49.82,49.39,49.68,2366500,49.29
2013-04-25,49.42,49.68,49.22,49.39,3900700,49.01
2013-04-24,50.68,50.78,49.31,49.34,5661900,48.96
2013-04-23,50.53,50.90,50.20,50.68,3335800,50.29
2013-04-22,50.33,50.53,50.14,50.45,1877200,50.06
2013-04-19,49.97,50.52,49.90,50.34,4231600,49.95
2013-04-18,49.61,49.91,49.52,49.86,3724600,49.47
2013-04-17,49.74,49.85,49.42,49.54,3421200,49.16
2013-04-16,49.26,49.88,49.06,49.86,3186000,49.47
2013-04-15,49.17,49.48,48.97,49.06,4136300,48.68
2013-04-12,49.16,49.41,48.95,49.35,2314700,48.97
2013-04-11,49.20,49.58,49.05,49.25,3174100,48.87
2013-04-10,48.81,49.17,48.69,49.03,3526200,48.65
2013-04-09,48.79,48.95,48.34,48.69,2939000,48.31
2013-04-08,48.34,48.70,48.20,48.70,3088600,48.32
2013-04-05,48.75,48.85,48.41,48.74,3624400,48.03
2013-04-04,48.35,49.05,48.35,49.02,5303300,48.31
2013-04-03,48.80,48.80,48.13,48.27,4437000,47.57
2013-04-02,48.81,49.14,48.68,48.81,3659600,48.10
2013-04-01,48.25,48.98,48.21,48.68,4340200,47.98
2013-03-28,48.97,49.37,48.82,49.31,4746600,48.60
2013-03-27,48.58,48.95,48.55,48.79,3858500,48.08
2013-03-26,48.19,48.63,48.09,48.63,3557300,47.93
2013-03-25,48.17,48.64,47.85,48.08,3381800,47.38
2013-03-22,47.94,48.29,47.90,48.15,3324800,47.45
2013-03-21,47.55,48.31,47.30,47.86,7078500,47.17
2013-03-20,46.57,48.02,46.41,47.61,9057800,46.92
2013-03-19,46.38,46.50,46.17,46.42,4179600,45.75
2013-03-18,45.98,46.46,45.93,46.33,3547000,45.66
2013-03-15,46.21,46.40,46.02,46.24,5181400,45.57
2013-03-14,46.49,46.53,46.20,46.42,3569700,45.75
2013-03-13,46.32,46.50,46.17,46.48,3630000,45.81
2013-03-12,45.56,46.35,45.51,46.27,4696000,45.60
2013-03-11,46.06,46.20,45.56,45.70,6328800,45.04
2013-03-08,46.52,46.62,46.30,46.33,3265300,45.66
2013-03-07,46.45,46.69,46.40,46.46,3282000,45.79
2013-03-06,46.55,46.72,46.38,46.43,3459200,45.76
2013-03-05,46.50,46.69,46.39,46.49,4314000,45.82
2013-03-04,46.36,46.49,46.24,46.45,4240500,45.78
2013-03-01,46.22,46.53,45.81,46.39,5480000,45.72
2013-02-28,46.28,46.47,46.10,46.25,3379400,45.58
2013-02-27,46.00,46.37,45.82,46.28,2607700,45.61
2013-02-26,45.57,46.03,45.47,46.01,5022800,45.34
2013-02-25,45.74,46.01,45.42,45.42,4307400,44.76
2013-02-22,45.33,45.67,45.26,45.67,3040900,45.01
2013-02-21,45.39,45.45,45.18,45.33,3933800,44.67
2013-02-20,45.39,45.73,45.14,45.47,5389200,44.81
2013-02-19,44.67,45.44,44.50,45.43,6384900,44.77
2013-02-15,44.59,44.62,44.14,44.59,6661400,43.94
2013-02-14,43.20,44.52,43.02,44.31,11824000,43.67
2013-02-13,42.98,43.09,42.85,42.98,3084900,42.36
2013-02-12,42.61,42.99,42.60,42.97,3851700,42.35
2013-02-11,42.59,42.67,42.50,42.67,2359600,42.05
2013-02-08,42.45,42.66,42.41,42.60,2092000,41.98
2013-02-07,42.31,42.61,42.27,42.47,2790500,41.86
2013-02-06,42.00,42.36,41.96,42.36,3520700,41.75
2013-02-05,41.94,42.33,41.91,42.13,3319700,41.52
2013-02-04,41.97,42.12,41.72,41.75,2818000,41.15
2013-02-01,42.31,42.45,42.03,42.13,2771400,41.52
2013-01-31,42.04,42.24,41.94,41.94,3714700,41.33
2013-01-30,41.96,42.18,41.85,42.04,3014000,41.43
