Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,12.43,12.75,12.37,12.74,6190400,12.74
2013-07-11,12.64,12.66,12.30,12.40,8724200,12.40
2013-07-10,12.36,12.46,12.31,12.38,6208100,12.38
2013-07-09,12.39,12.49,12.22,12.40,7720100,12.40
2013-07-08,12.43,12.47,12.18,12.27,7378000,12.27
2013-07-05,12.07,12.32,12.07,12.32,5683800,12.32
2013-07-03,11.87,12.00,11.81,11.89,3768000,11.89
2013-07-02,11.88,12.26,11.84,11.98,11320500,11.98
2013-07-01,11.50,11.95,11.48,11.92,11649800,11.92
2013-06-28,11.34,11.47,11.19,11.41,8463200,11.41
2013-06-27,11.28,11.43,11.24,11.39,8617000,11.39
2013-06-26,11.00,11.22,10.99,11.16,13370900,11.16
2013-06-25,10.75,10.91,10.60,10.88,8989000,10.88
2013-06-24,10.81,10.91,10.36,10.61,18682100,10.61
2013-06-21,11.04,11.12,10.62,10.98,16183000,10.98
2013-06-20,11.12,11.28,10.90,10.95,9365500,10.95
2013-06-19,11.36,11.48,11.23,11.27,9195000,11.27
2013-06-18,11.21,11.39,11.18,11.39,7162500,11.39
2013-06-17,11.10,11.32,11.09,11.20,9113600,11.20
2013-06-14,11.06,11.06,10.79,11.00,12175600,11.00
2013-06-13,10.66,11.08,10.63,11.06,8105500,11.06
2013-06-12,11.00,11.03,10.68,10.70,5597100,10.70
2013-06-11,10.97,11.09,10.82,10.88,6782900,10.88
2013-06-10,10.99,11.21,10.86,11.14,7705900,11.14
2013-06-07,10.68,10.96,10.59,10.92,6180500,10.92
2013-06-06,10.34,10.58,10.26,10.57,5886300,10.57
2013-06-05,10.60,10.60,10.34,10.35,7107300,10.35
2013-06-04,10.82,10.96,10.49,10.64,12102400,10.64
2013-06-03,10.86,10.91,10.42,10.85,12065200,10.85
2013-05-31,10.99,11.09,10.80,10.81,7856200,10.81
2013-05-30,10.74,11.05,10.65,11.02,12113100,11.02
2013-05-29,10.57,10.76,10.52,10.70,8203800,10.70
2013-05-28,10.56,10.73,10.55,10.67,7788600,10.67
2013-05-24,10.41,10.41,10.20,10.35,5628600,10.35
2013-05-23,10.23,10.53,10.10,10.50,9727100,10.50
