Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,84.73,85.07,84.03,85.03,642300,85.03
2013-07-11,84.33,84.86,84.00,84.80,788000,84.80
2013-07-10,83.63,83.73,82.78,83.50,1025300,83.50
2013-07-09,84.16,84.64,83.30,83.63,1396300,83.63
2013-07-08,84.75,85.27,83.16,83.68,1419000,83.68
2013-07-05,83.57,83.81,82.14,83.74,1040200,83.74
2013-07-03,84.02,84.25,82.75,82.86,1203100,82.86
2013-07-02,82.57,84.00,81.02,83.23,5767000,83.23
2013-07-01,78.11,79.83,77.62,79.77,976800,79.77
2013-06-28,77.26,78.40,76.87,78.07,1044100,78.07
2013-06-27,77.11,77.65,76.86,77.35,465500,77.35
2013-06-26,77.97,78.00,76.61,76.70,798200,76.70
2013-06-25,76.67,77.45,76.18,77.30,400700,77.30
2013-06-24,75.57,76.80,75.14,75.96,608400,75.96
2013-06-21,77.08,77.48,75.58,76.31,851500,76.31
2013-06-20,77.94,78.00,76.33,76.47,752900,76.47
2013-06-19,79.64,79.78,78.51,78.51,351900,78.51
2013-06-18,79.12,79.69,78.51,79.64,430900,79.64
2013-06-17,79.04,79.49,78.56,78.97,373600,78.97
2013-06-14,78.46,79.11,78.01,78.64,398300,78.64
2013-06-13,77.57,78.69,77.30,78.62,411900,78.62
2013-06-12,79.14,79.14,77.26,77.44,569000,77.44
2013-06-11,76.97,77.80,76.93,77.31,341200,77.31
2013-06-10,77.77,78.12,77.30,77.93,606100,77.93
2013-06-07,76.79,77.56,76.27,77.47,618700,77.47
2013-06-06,75.56,76.00,75.12,75.90,653700,75.90
2013-06-05,76.41,76.70,75.14,75.34,680700,75.34
2013-06-04,77.54,78.08,76.50,76.81,875400,76.27
2013-06-03,78.13,78.13,76.57,77.50,1069000,76.96
2013-05-31,78.33,79.50,77.74,77.74,887600,77.20
2013-05-30,79.83,80.17,78.34,78.53,1098000,77.98
2013-05-29,81.44,81.62,79.39,79.59,1080900,79.03
2013-05-28,82.31,82.71,81.16,81.89,508000,81.32
2013-05-24,81.45,81.70,81.03,81.40,468600,80.83
2013-05-23,81.40,82.68,81.18,81.97,502500,81.40
2013-05-22,82.72,84.27,81.73,82.11,881700,81.54
2013-05-21,81.41,82.91,81.41,82.64,494600,82.06
2013-05-20,81.11,81.87,81.11,81.22,418800,80.65
2013-05-17,79.98,81.27,79.81,81.25,726300,80.68
2013-05-16,79.89,80.38,79.45,79.85,702900,79.29
2013-05-15,78.91,80.08,78.89,80.07,367800,79.51
2013-05-14,78.09,78.94,77.68,78.90,530300,78.35
2013-05-13,77.88,78.28,77.29,77.90,437100,77.36
2013-05-10,77.75,78.08,77.51,77.86,664700,77.32
2013-05-09,77.87,78.05,77.36,77.66,659000,77.12
2013-05-08,78.14,78.32,77.63,77.85,553100,77.31
2013-05-07,77.62,78.29,77.37,78.29,576200,77.74
2013-05-06,77.16,77.63,76.91,77.31,463300,76.77
2013-05-03,76.49,77.51,76.49,77.10,653100,76.56
2013-05-02,74.76,76.05,74.71,75.92,521000,75.39
2013-05-01,76.19,76.21,74.52,74.62,753900,74.10
2013-04-30,75.18,76.35,74.42,76.33,1389800,75.80
2013-04-29,75.36,75.52,74.93,75.18,405300,74.65
2013-04-26,75.55,75.73,74.85,75.04,446500,74.52
2013-04-25,74.55,76.15,74.20,75.52,771500,74.99
2013-04-24,74.37,74.74,73.75,74.20,810000,73.68
2013-04-23,73.25,74.35,73.25,74.16,910600,73.64
2013-04-22,73.88,73.91,72.12,72.91,1295200,72.40
2013-04-19,73.43,74.82,71.87,73.66,2965500,73.15
2013-04-18,75.61,76.24,74.52,75.30,1027900,74.77
2013-04-17,75.70,75.80,74.15,75.29,1145200,74.76
2013-04-16,75.91,76.15,75.50,76.02,1315700,75.49
2013-04-15,77.29,77.45,75.42,75.49,1059500,74.96
2013-04-12,77.68,78.06,77.27,77.74,794500,77.20
2013-04-11,78.04,78.24,77.68,78.00,1256300,77.45
2013-04-10,77.64,78.25,77.31,78.00,1020400,77.45
2013-04-09,78.00,78.00,76.84,77.45,764800,76.91
2013-04-08,77.05,77.88,77.04,77.88,461200,77.34
2013-04-05,76.73,77.40,76.52,77.06,611300,76.52
2013-04-04,76.83,77.53,76.70,77.50,372500,76.96
2013-04-03,78.23,78.27,76.25,76.62,898900,76.08
2013-04-02,77.68,78.22,77.29,78.01,751200,77.46
2013-04-01,77.37,77.63,76.65,77.12,527800,76.58
2013-03-28,77.34,78.12,77.10,78.00,556600,77.45
2013-03-27,76.83,77.42,76.78,77.36,491200,76.82
2013-03-26,76.54,77.41,76.18,77.30,1751100,76.76
2013-03-25,77.78,77.98,76.21,76.34,858900,75.81
2013-03-22,77.51,77.78,76.48,77.40,575500,76.86
2013-03-21,76.34,77.35,76.27,77.21,1002800,76.67
2013-03-20,76.16,76.74,76.12,76.65,487700,76.11
2013-03-19,75.75,76.00,74.90,75.70,699900,75.17
2013-03-18,75.19,76.14,75.10,75.72,570200,75.19
2013-03-15,76.12,76.60,75.72,75.86,1050100,75.33
2013-03-14,75.87,76.56,75.65,76.56,1070300,76.02
2013-03-13,75.63,75.81,75.25,75.75,869600,75.22
2013-03-12,75.09,75.50,75.00,75.44,670000,74.91
2013-03-11,73.69,75.36,73.58,75.11,1319900,74.58
2013-03-08,73.52,74.72,73.22,73.93,2032100,73.41
2013-03-07,73.26,73.34,72.47,73.21,1556200,72.70
2013-03-06,72.21,72.64,72.01,72.62,695500,72.11
2013-03-05,72.29,73.02,72.22,72.77,640100,71.73
2013-03-04,71.00,71.99,70.84,71.97,771600,70.94
2013-03-01,70.80,71.16,70.43,71.00,1134900,69.98
2013-02-28,70.58,71.47,70.37,71.03,1765900,70.01
2013-02-27,69.23,70.49,69.00,70.49,770900,69.48
2013-02-26,69.15,69.42,68.62,69.26,798100,68.27
2013-02-25,69.87,69.93,68.59,68.84,877600,67.85
2013-02-22,69.00,69.58,68.85,69.57,476100,68.57
2013-02-21,68.92,68.98,68.30,68.64,907500,67.66
2013-02-20,68.79,69.64,68.75,69.00,925300,68.01
2013-02-19,70.91,70.91,68.29,68.75,2307900,67.77
2013-02-15,70.92,71.44,70.84,71.44,837200,70.42
2013-02-14,70.55,70.87,70.36,70.79,581600,69.78
2013-02-13,70.20,70.62,69.89,70.54,600700,69.53
2013-02-12,69.87,70.23,69.84,70.19,659400,69.18
2013-02-11,69.92,70.11,69.47,69.89,417500,68.89
2013-02-08,69.57,69.99,69.57,69.92,533100,68.92
2013-02-07,69.70,70.07,69.17,69.50,802200,68.50
2013-02-06,69.20,69.41,68.86,69.41,485400,68.42
2013-02-05,68.89,69.47,68.64,69.20,601800,68.21
2013-02-04,68.53,68.76,68.40,68.60,1055400,67.62
2013-02-01,68.51,69.01,68.22,68.94,751200,67.95
2013-01-31,67.52,68.14,67.11,68.03,1093500,67.06
2013-01-30,68.30,68.42,67.53,67.60,659200,66.63
2013-01-29,67.03,68.42,66.85,68.24,1319500,67.26
2013-01-28,66.94,66.99,66.35,66.66,540000,65.71
2013-01-25,66.86,67.00,66.46,66.98,439400,66.02
2013-01-24,66.14,66.88,65.83,66.60,499300,65.65
2013-01-23,65.97,66.41,65.59,65.88,393100,64.94
2013-01-22,65.44,66.07,65.18,66.06,614200,65.11
2013-01-18,65.60,65.71,65.23,65.42,975000,64.48
2013-01-17,65.59,65.89,65.42,65.42,483600,64.48
2013-01-16,65.33,65.49,65.19,65.31,343000,64.37
2013-01-15,65.19,65.71,64.99,65.64,323500,64.70
2013-01-14,65.16,65.51,64.96,65.30,427500,64.36
2013-01-11,65.58,65.71,64.75,65.04,528600,64.11
2013-01-10,66.04,66.50,64.98,65.64,643700,64.70
2013-01-09,65.16,65.74,65.14,65.72,494200,64.78
2013-01-08,65.00,65.49,64.47,65.14,832300,64.21
2013-01-07,65.46,65.46,64.98,65.21,525500,64.28
2013-01-04,65.62,65.70,64.57,65.63,664300,64.69
2013-01-03,65.45,65.92,65.27,65.40,580900,64.46
2013-01-02,64.70,65.19,64.43,65.15,725700,64.22
2012-12-31,62.60,63.64,62.60,63.58,551700,62.67
2012-12-28,63.31,63.58,62.66,62.78,476300,61.88
2012-12-27,63.17,63.69,62.76,63.56,632200,62.65
2012-12-26,63.84,64.03,63.14,63.14,458900,62.24
2012-12-24,63.99,64.11,62.89,63.82,219600,62.91
2012-12-21,63.68,64.93,63.68,64.11,1391200,63.19
2012-12-20,64.00,64.69,63.68,64.67,584100,63.74
2012-12-19,63.73,64.23,63.58,64.00,531800,63.08
2012-12-18,63.39,63.84,63.27,63.66,967200,62.75
2012-12-17,62.99,63.60,62.63,63.32,827400,62.41
2012-12-14,62.87,63.22,62.46,62.51,891600,61.61
2012-12-13,63.19,63.60,62.90,63.00,632000,62.10
2012-12-12,63.79,64.22,62.99,63.15,771200,62.25
2012-12-11,64.04,64.04,63.35,63.48,609700,62.57
2012-12-10,63.95,64.24,63.49,63.65,618700,62.74
2012-12-07,64.04,64.22,63.66,64.05,531900,63.13
2012-12-06,64.21,64.29,63.68,63.99,459300,63.07
2012-12-05,64.52,64.60,63.52,64.23,829200,63.31
2012-12-04,64.30,64.88,64.06,64.64,1106900,63.23
2012-12-03,65.55,66.90,64.39,64.65,1227600,63.24
2012-11-30,64.47,65.15,64.29,65.09,1042500,63.67
2012-11-29,63.84,64.41,63.53,64.39,722500,62.98
2012-11-28,62.37,63.87,62.37,63.84,482900,62.44
2012-11-27,62.86,63.32,62.41,62.75,935300,61.38
2012-11-26,62.74,62.96,62.23,62.77,446200,61.40
2012-11-23,62.45,62.97,61.82,62.94,156400,61.56
2012-11-21,61.98,62.30,61.71,62.25,332800,60.89
2012-11-20,61.36,61.86,60.99,61.85,540600,60.50
2012-11-19,61.13,61.33,60.65,61.33,517300,59.99
2012-11-16,60.50,60.76,59.93,60.34,817100,59.02
2012-11-15,60.10,60.96,60.01,60.41,666400,59.09
2012-11-14,61.15,61.30,60.20,60.34,827700,59.02
2012-11-13,61.11,61.77,60.82,60.86,519900,59.53
2012-11-12,61.80,62.10,61.30,61.36,475200,60.02
2012-11-09,61.55,62.57,61.51,61.78,603800,60.43
2012-11-08,62.72,62.86,61.75,61.76,938100,60.41
2012-11-07,63.40,63.57,62.48,62.86,717600,61.49
2012-11-06,63.19,64.30,62.88,63.92,714500,62.52
2012-11-05,62.61,63.30,62.53,63.12,443600,61.74
2012-11-02,63.76,64.39,62.71,62.82,560200,61.45
2012-11-01,62.50,64.34,62.31,63.60,1519800,62.21
2012-10-31,61.25,62.66,60.97,62.58,682900,61.21
2012-10-26,60.78,61.54,60.53,61.24,692200,59.90
2012-10-25,61.05,61.46,60.62,60.88,758000,59.55
