Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,45.02,45.37,44.82,45.10,4386000,45.10
2013-07-11,44.66,44.96,44.62,44.76,4669100,44.76
2013-07-10,43.94,44.25,43.68,44.10,2768800,44.10
2013-07-09,43.91,44.10,43.67,43.94,3111300,43.94
2013-07-08,43.30,43.83,43.30,43.65,2347400,43.65
2013-07-05,43.10,43.39,42.77,43.30,1577700,43.15
2013-07-03,42.54,43.09,42.31,42.89,1714100,42.74
2013-07-02,42.80,43.36,42.53,42.87,3342700,42.72
2013-07-01,41.94,43.04,41.94,42.80,4118400,42.65
2013-06-28,41.85,42.17,41.62,41.73,3461500,41.59
2013-06-27,42.01,42.21,41.78,41.95,2961200,41.80
2013-06-26,41.46,41.79,41.29,41.62,2451000,41.48
2013-06-25,40.75,41.23,40.44,41.06,2704400,40.92
2013-06-24,40.89,41.11,40.00,40.37,3141200,40.23
2013-06-21,41.11,41.63,40.92,41.32,5459700,41.18
2013-06-20,41.46,41.66,40.63,40.74,2804300,40.60
2013-06-19,42.13,42.45,41.71,41.74,2679200,41.60
2013-06-18,41.89,42.39,41.79,42.34,2252900,42.19
2013-06-17,41.86,42.35,41.65,41.78,4196300,41.64
2013-06-14,41.40,41.63,40.98,41.48,3655500,41.34
2013-06-13,40.66,41.47,40.62,41.39,4718800,41.25
2013-06-12,41.33,41.56,40.36,40.63,2553200,40.49
2013-06-11,41.26,41.36,40.88,41.04,2664200,40.90
2013-06-10,42.18,42.40,41.44,41.57,2862500,41.43
2013-06-07,41.75,42.40,41.33,42.09,6423400,41.94
2013-06-06,40.26,41.02,39.99,40.98,3464600,40.84
2013-06-05,40.73,40.99,40.20,40.25,2720100,40.11
2013-06-04,40.49,41.07,40.39,40.93,3686400,40.79
2013-06-03,40.55,40.60,39.96,40.55,3637100,40.41
2013-05-31,40.01,41.31,39.96,40.55,3911700,40.41
2013-05-30,39.42,40.22,39.41,39.99,3387700,39.85
2013-05-29,40.18,40.27,39.24,39.37,5505800,39.23
2013-05-28,40.93,41.07,40.41,40.52,2580400,40.38
2013-05-24,40.11,40.94,40.09,40.64,3777600,40.50
2013-05-23,40.92,41.57,40.51,41.36,3948800,41.22
2013-05-22,41.56,41.81,40.85,41.04,3792300,40.90
2013-05-21,41.15,41.86,41.02,41.67,3559400,41.53
2013-05-20,40.83,41.25,40.82,41.06,2360300,40.92
2013-05-17,40.47,40.97,40.24,40.96,4154000,40.82
2013-05-16,40.90,41.21,40.44,40.59,3251600,40.45
2013-05-15,41.27,41.49,40.71,41.02,4367300,40.88
2013-05-14,40.19,40.93,40.01,40.88,4339300,40.74
2013-05-13,40.79,40.93,40.09,40.29,4739300,40.15
2013-05-10,40.10,41.43,39.90,40.99,9927400,40.85
2013-05-09,38.80,39.29,38.51,38.81,3764900,38.68
2013-05-08,39.03,39.20,38.67,38.76,3924200,38.63
2013-05-07,38.72,39.06,38.28,39.04,4202100,38.90
2013-05-06,38.71,39.09,38.31,38.45,3063000,38.32
2013-05-03,38.30,39.13,38.24,38.81,2930300,38.68
2013-05-02,37.57,38.00,37.56,37.97,2022000,37.84
2013-05-01,37.94,38.18,37.57,37.57,3092400,37.44
2013-04-30,37.51,38.01,37.09,37.99,5045600,37.86
2013-04-29,37.59,37.79,37.41,37.51,3978000,37.38
2013-04-26,37.49,37.66,37.19,37.49,2342400,37.36
2013-04-25,37.05,37.59,36.96,37.43,4133100,37.30
2013-04-24,36.86,37.14,36.44,36.87,2994600,36.74
2013-04-23,36.93,37.14,36.14,36.77,3603700,36.64
2013-04-22,37.11,37.17,36.23,36.66,3676500,36.53
2013-04-19,37.26,37.47,36.92,37.00,3995800,36.87
2013-04-18,37.31,37.70,36.76,37.20,4329100,37.07
2013-04-17,37.55,37.79,36.84,37.10,2706500,36.97
2013-04-16,37.36,37.89,37.07,37.78,3723100,37.65
2013-04-15,37.91,38.17,36.92,36.93,3325200,36.80
2013-04-12,37.66,38.23,37.60,38.18,4555900,38.05
2013-04-11,37.31,38.00,37.26,37.90,5140100,37.77
2013-04-10,36.86,37.31,36.78,37.19,3237400,37.06
2013-04-09,37.00,37.00,36.46,36.74,2523000,36.61
2013-04-08,36.65,36.93,36.19,36.85,3497400,36.72
2013-04-05,36.10,36.67,35.80,36.65,3826800,36.37
2013-04-04,36.05,36.66,35.87,36.65,4180300,36.37
2013-04-03,35.86,36.41,35.75,36.04,3393600,35.77
2013-04-02,35.59,35.96,35.17,35.74,3320700,35.47
2013-04-01,35.33,35.69,35.10,35.20,2094900,34.93
2013-03-28,35.25,35.48,35.01,35.40,2459700,35.13
2013-03-27,34.88,35.38,34.71,35.27,3974500,35.00
2013-03-26,35.94,36.08,34.86,35.03,6395200,34.77
2013-03-25,35.75,36.20,35.67,35.99,3905800,35.72
2013-03-22,35.60,35.81,35.45,35.66,2104800,35.39
2013-03-21,35.78,35.99,35.18,35.42,3237400,35.15
2013-03-20,36.13,36.25,35.64,35.96,2496500,35.69
2013-03-19,36.37,36.72,35.49,35.85,4409300,35.58
2013-03-18,35.80,36.87,35.80,36.45,4596500,36.18
