Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,35.98,36.31,35.65,36.31,1115300,36.31
2013-07-11,36.17,36.76,36.00,36.06,1661500,36.06
2013-07-10,35.18,35.82,35.13,35.78,1207300,35.78
2013-07-09,35.36,35.48,35.14,35.17,816500,35.17
2013-07-08,35.64,35.67,34.93,34.96,723100,34.96
2013-07-05,35.40,35.51,35.06,35.34,630700,35.34
2013-07-03,35.01,35.23,34.72,35.08,528400,35.08
2013-07-02,36.23,36.33,35.08,35.20,1116400,35.20
2013-07-01,36.18,36.63,36.13,36.30,689600,36.30
2013-06-28,36.01,36.80,36.00,36.17,2137400,36.17
2013-06-27,35.70,36.27,35.70,36.21,790300,36.21
2013-06-26,35.24,35.58,34.85,35.46,1031200,35.46
2013-06-25,34.93,35.09,34.37,34.95,724700,34.95
2013-06-24,34.52,34.93,34.18,34.56,931500,34.56
2013-06-21,34.41,34.87,34.25,34.69,1524800,34.69
2013-06-20,34.57,35.14,34.11,34.24,1117200,34.24
2013-06-19,35.82,36.00,34.87,34.96,1006800,34.96
2013-06-18,35.06,36.25,35.06,35.76,1494100,35.76
2013-06-17,33.88,35.31,33.88,34.94,1556300,34.94
2013-06-14,34.24,34.32,33.67,33.72,963000,33.72
2013-06-13,33.97,34.71,33.91,34.61,1160600,34.16
2013-06-12,34.59,34.59,33.96,34.09,1206400,33.65
2013-06-11,34.52,34.86,34.32,34.35,1047200,33.90
2013-06-10,35.04,35.32,34.85,34.90,1183500,34.45
2013-06-07,34.86,34.99,34.45,34.84,1808700,34.39
2013-06-06,34.07,34.33,33.80,34.33,755200,33.88
2013-06-05,34.75,34.78,33.86,33.95,1285500,33.51
2013-06-04,35.00,35.43,34.66,34.76,1424400,34.31
2013-06-03,35.00,35.30,34.73,34.95,885900,34.50
2013-05-31,35.42,35.70,34.92,34.93,868700,34.48
2013-05-30,35.15,35.89,35.13,35.62,868600,35.16
2013-05-29,35.41,35.42,34.90,35.11,734900,34.65
2013-05-28,35.65,35.94,35.10,35.50,696400,35.04
2013-05-24,35.08,35.25,34.66,35.12,881200,34.66
2013-05-23,35.49,35.54,35.20,35.35,1073300,34.89
2013-05-22,36.71,36.72,35.46,35.63,1229500,35.17
2013-05-21,36.59,36.84,36.51,36.67,657100,36.19
2013-05-20,36.82,36.99,36.42,36.66,960400,36.18
2013-05-17,36.68,36.88,36.26,36.88,1015600,36.40
2013-05-16,35.63,36.59,35.63,36.39,1388200,35.92
2013-05-15,35.42,35.88,34.93,35.88,845400,35.41
2013-05-14,35.45,35.91,35.30,35.50,830900,35.04
2013-05-13,36.12,36.25,35.42,35.47,732400,35.01
2013-05-10,35.37,36.13,35.34,36.12,873500,35.65
2013-05-09,35.75,35.99,35.23,35.33,1102300,34.87
2013-05-08,35.55,35.97,35.41,35.70,1036900,35.24
2013-05-07,35.51,35.86,35.30,35.54,1008800,35.08
2013-05-06,34.80,35.31,34.80,35.28,732500,34.82
2013-05-03,35.00,35.29,34.79,34.81,859700,34.36
2013-05-02,33.76,34.77,33.76,34.51,1225400,34.06
2013-05-01,34.89,34.97,33.12,33.68,2927400,33.24
2013-04-30,34.54,35.11,34.46,35.08,1489700,34.62
2013-04-29,34.94,35.29,34.72,35.24,739300,34.78
2013-04-26,35.29,35.40,34.59,34.72,550800,34.27
2013-04-25,34.45,36.00,34.36,35.31,1406900,34.85
2013-04-24,34.26,34.45,34.12,34.25,1542800,33.80
2013-04-23,32.98,33.63,32.83,33.59,804700,33.15
2013-04-22,33.12,33.12,32.52,32.68,916200,32.26
2013-04-19,33.26,33.37,32.87,32.97,818400,32.54
2013-04-18,33.34,33.79,33.07,33.40,1006700,32.97
2013-04-17,33.45,33.50,32.69,33.11,1229700,32.68
2013-04-16,33.72,33.97,33.36,33.70,698300,33.26
