Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,47.28,47.75,47.28,47.64,841200,47.64
2013-07-11,47.56,47.60,46.74,47.28,1065600,47.28
2013-07-10,47.06,47.23,46.54,46.95,1183500,46.95
2013-07-09,47.06,47.55,46.86,47.23,1008800,47.23
2013-07-08,46.70,47.21,46.65,46.71,1263500,46.71
2013-07-05,46.41,46.62,45.84,46.61,538400,46.61
2013-07-03,45.80,46.20,45.63,46.03,517200,46.03
2013-07-02,45.60,46.08,45.51,45.91,1274300,45.91
2013-07-01,44.95,45.76,44.77,45.73,1343100,45.73
2013-06-28,44.69,45.24,44.36,44.83,1353500,44.83
2013-06-27,44.25,44.74,44.16,44.63,772500,44.63
2013-06-26,44.45,44.59,43.80,44.13,1170700,44.13
2013-06-25,44.05,44.26,43.64,43.98,1236100,43.98
2013-06-24,44.17,44.21,43.69,43.85,951000,43.85
2013-06-21,44.14,44.54,43.85,44.34,1891200,44.34
2013-06-20,44.45,44.55,43.73,43.81,1117300,43.81
2013-06-19,44.58,45.33,44.58,44.88,1212600,44.88
2013-06-18,44.38,44.87,44.37,44.74,679100,44.74
2013-06-17,44.24,44.91,44.12,44.31,998400,44.31
2013-06-14,44.39,44.64,44.00,44.09,794200,44.09
2013-06-13,43.89,44.44,43.73,44.32,800900,44.32
2013-06-12,44.90,44.99,43.80,43.81,961000,43.81
2013-06-11,44.32,44.86,43.77,44.70,1204000,44.70
2013-06-10,44.99,45.12,44.51,44.59,1182500,44.59
2013-06-07,44.30,45.04,44.13,45.00,972600,45.00
2013-06-06,44.17,44.26,43.46,44.18,1231300,44.18
2013-06-05,44.45,44.63,44.06,44.10,649300,44.10
2013-06-04,44.78,44.98,44.14,44.66,1532100,44.66
2013-06-03,44.97,44.98,44.10,44.81,1067100,44.81
2013-05-31,44.46,45.02,44.44,44.48,1308700,44.48
2013-05-30,44.39,45.12,44.29,44.83,1239900,44.83
2013-05-29,46.45,46.69,44.22,44.45,4442700,44.45
2013-05-28,47.63,48.00,46.63,46.72,928300,46.72
2013-05-24,46.56,47.68,46.37,47.16,1320000,47.16
2013-05-23,47.06,47.21,46.50,46.97,1353700,46.97
2013-05-22,48.40,48.97,47.30,47.48,1499300,47.48
2013-05-21,47.90,48.72,47.79,48.46,1692200,48.46
2013-05-20,47.94,47.97,47.59,47.70,735900,47.70
2013-05-17,47.33,47.94,47.33,47.91,932600,47.91
2013-05-16,47.63,47.88,47.14,47.21,1060100,47.21
2013-05-15,47.55,47.78,47.37,47.61,1431600,47.61
2013-05-14,47.39,47.63,47.01,47.51,1875200,47.51
2013-05-13,47.48,47.74,47.22,47.46,1228000,47.46
2013-05-10,47.38,47.91,47.37,47.51,1183400,47.51
2013-05-09,47.70,47.89,47.42,47.59,1011500,47.59
2013-05-08,47.46,47.72,47.40,47.60,1119300,47.60
2013-05-07,47.04,47.52,47.00,47.46,1585700,47.46
2013-05-06,47.41,47.44,46.84,47.15,1218700,47.15
2013-05-03,47.10,47.39,46.96,47.22,1034400,47.22
2013-05-02,47.05,47.55,46.72,46.81,1240100,46.81
