Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,8.19,8.33,8.16,8.33,8727000,8.33
2013-07-11,8.38,8.40,8.11,8.18,11777100,8.18
2013-07-10,8.47,8.49,8.16,8.27,18709000,8.27
2013-07-09,8.52,8.55,8.34,8.46,9543800,8.46
2013-07-08,8.60,8.66,8.45,8.48,11212500,8.48
2013-07-05,8.31,8.50,8.28,8.50,11280400,8.50
2013-07-03,8.16,8.24,8.15,8.20,5710300,8.20
2013-07-02,8.06,8.25,8.05,8.22,19237800,8.22
2013-07-01,7.95,8.12,7.90,8.03,11313700,8.03
2013-06-28,7.85,7.91,7.80,7.87,8345700,7.87
2013-06-27,7.91,7.92,7.84,7.88,12628000,7.88
2013-06-26,7.93,7.96,7.81,7.86,12042500,7.86
2013-06-25,7.69,7.82,7.63,7.78,11143300,7.78
2013-06-24,7.63,7.70,7.56,7.61,12196300,7.61
2013-06-21,7.61,7.72,7.52,7.66,15523400,7.66
2013-06-20,7.40,7.65,7.38,7.51,17656900,7.51
2013-06-19,7.62,7.62,7.47,7.47,10601200,7.47
2013-06-18,7.55,7.64,7.53,7.62,6196600,7.62
2013-06-17,7.56,7.68,7.50,7.56,9004700,7.56
2013-06-14,7.72,7.74,7.53,7.53,9668000,7.53
2013-06-13,7.54,7.75,7.52,7.73,11088100,7.73
2013-06-12,7.73,7.77,7.59,7.59,12027900,7.54
2013-06-11,7.72,7.77,7.66,7.68,6278800,7.63
2013-06-10,7.70,7.82,7.69,7.81,7180100,7.76
2013-06-07,7.61,7.69,7.56,7.68,7544400,7.63
2013-06-06,7.48,7.58,7.44,7.55,8927200,7.50
2013-06-05,7.58,7.67,7.47,7.51,11802900,7.46
2013-06-04,7.74,7.78,7.60,7.62,8473300,7.57
2013-06-03,7.75,7.79,7.61,7.72,9069400,7.67
2013-05-31,7.88,7.91,7.75,7.75,9132800,7.70
2013-05-30,7.70,7.95,7.70,7.89,15903100,7.84
2013-05-29,7.53,7.74,7.53,7.71,11202200,7.66
2013-05-28,7.62,7.68,7.60,7.62,10122400,7.57
2013-05-24,7.44,7.55,7.44,7.54,5387900,7.49
2013-05-23,7.50,7.55,7.43,7.52,8727300,7.47
2013-05-22,7.69,7.81,7.52,7.56,12329900,7.51
2013-05-21,7.70,7.75,7.65,7.69,8932300,7.64
2013-05-20,7.70,7.78,7.69,7.73,6312900,7.68
2013-05-17,7.68,7.75,7.65,7.74,6756800,7.69
2013-05-16,7.68,7.69,7.57,7.59,12217500,7.54
2013-05-15,7.68,7.81,7.66,7.70,10673300,7.65
2013-05-14,7.48,7.70,7.48,7.69,10846300,7.64
2013-05-13,7.49,7.52,7.43,7.49,6254000,7.44
2013-05-10,7.49,7.50,7.43,7.49,6820300,7.44
2013-05-09,7.48,7.50,7.42,7.43,7159400,7.38
2013-05-08,7.45,7.48,7.38,7.46,6294400,7.41
2013-05-07,7.34,7.47,7.32,7.46,9494700,7.41
2013-05-06,7.29,7.35,7.26,7.33,7332400,7.28
2013-05-03,7.20,7.28,7.17,7.27,8021700,7.22
2013-05-02,7.07,7.17,7.05,7.12,5344200,7.07
2013-05-01,7.15,7.19,7.06,7.06,7256800,7.01
2013-04-30,7.14,7.18,7.10,7.17,7918100,7.12
2013-04-29,7.15,7.16,7.11,7.13,4769700,7.08
2013-04-26,7.12,7.15,7.05,7.11,5792700,7.06
2013-04-25,7.14,7.19,7.10,7.11,7702000,7.06
2013-04-24,7.07,7.10,7.02,7.10,12601400,7.05
2013-04-23,7.01,7.08,6.97,7.06,13094400,7.01
2013-04-22,7.00,7.03,6.93,6.98,7030700,6.93
2013-04-19,6.91,7.02,6.84,7.00,10057600,6.95
2013-04-18,6.95,6.99,6.82,6.86,15942300,6.81
2013-04-17,7.14,7.19,6.93,7.01,18631200,6.96
2013-04-16,7.26,7.27,7.15,7.22,13484200,7.17
2013-04-15,7.33,7.38,7.15,7.15,11352000,7.10
2013-04-12,7.43,7.47,7.35,7.39,8137100,7.34
2013-04-11,7.46,7.51,7.41,7.47,12434300,7.42
2013-04-10,7.43,7.50,7.43,7.45,8118900,7.40
2013-04-09,7.38,7.43,7.33,7.39,6412800,7.34
2013-04-08,7.23,7.38,7.18,7.35,8691800,7.30
2013-04-05,7.14,7.24,7.10,7.21,10482500,7.16
2013-04-04,7.19,7.26,7.15,7.25,6662600,7.20
2013-04-03,7.27,7.32,7.14,7.19,8478500,7.14
2013-04-02,7.33,7.36,7.26,7.27,6672300,7.22
2013-04-01,7.40,7.44,7.31,7.33,6307300,7.28
2013-03-28,7.42,7.46,7.36,7.37,6387300,7.32
2013-03-27,7.40,7.44,7.36,7.41,5233500,7.36
2013-03-26,7.41,7.48,7.36,7.47,9384400,7.42
2013-03-25,7.41,7.42,7.32,7.35,9011100,7.30
2013-03-22,7.45,7.48,7.34,7.38,22775200,7.33
2013-03-21,7.46,7.53,7.42,7.45,7950800,7.40
2013-03-20,7.50,7.53,7.46,7.50,8106800,7.45
2013-03-19,7.48,7.51,7.41,7.48,11007400,7.43
2013-03-18,7.38,7.49,7.29,7.43,7654200,7.38
2013-03-15,7.50,7.55,7.45,7.51,14791900,7.46
2013-03-14,7.46,7.50,7.43,7.50,12371000,7.45
2013-03-13,7.37,7.47,7.36,7.47,7831100,7.38
2013-03-12,7.38,7.43,7.34,7.38,8429700,7.29
2013-03-11,7.33,7.43,7.29,7.40,8650000,7.31
2013-03-08,7.42,7.46,7.32,7.36,8971800,7.27
2013-03-07,7.23,7.36,7.20,7.34,11209000,7.25
2013-03-06,7.22,7.25,7.19,7.22,8205300,7.13
2013-03-05,7.23,7.25,7.11,7.18,16411800,7.09
2013-03-04,7.03,7.23,7.02,7.21,10125000,7.12
2013-03-01,7.00,7.10,6.94,7.07,6962600,6.99
2013-02-28,7.02,7.09,6.99,7.03,11466100,6.95
2013-02-27,6.82,7.06,6.81,7.03,15476000,6.95
2013-02-26,6.81,6.89,6.75,6.80,12172000,6.72
2013-02-25,7.04,7.07,6.80,6.80,9527800,6.72
2013-02-22,6.92,6.98,6.90,6.98,12689100,6.90
2013-02-21,7.01,7.02,6.83,6.86,19455500,6.78
2013-02-20,7.13,7.17,7.00,7.01,14155900,6.93
2013-02-19,7.12,7.17,7.09,7.14,11956700,7.05
2013-02-15,7.12,7.18,7.09,7.10,12188700,7.02
2013-02-14,7.10,7.18,7.08,7.17,11092500,7.08
2013-02-13,7.23,7.24,7.10,7.13,9643200,7.05
2013-02-12,7.12,7.22,7.12,7.22,13159900,7.13
2013-02-11,7.19,7.19,7.11,7.12,6325900,7.04
2013-02-08,7.15,7.20,7.09,7.20,10740500,7.11
2013-02-07,7.13,7.15,7.05,7.14,8097500,7.05
2013-02-06,7.08,7.14,7.07,7.11,5287100,7.03
2013-02-05,7.08,7.15,7.05,7.12,10672500,7.04
2013-02-04,7.05,7.10,7.01,7.02,12837700,6.94
2013-02-01,7.02,7.11,6.96,7.08,9893900,7.00
2013-01-31,6.94,6.98,6.88,6.96,7149300,6.88
2013-01-30,6.90,7.00,6.86,6.97,10290700,6.89
2013-01-29,6.91,6.97,6.86,6.89,15664800,6.81
2013-01-28,6.96,6.98,6.90,6.94,8029600,6.86
2013-01-25,7.00,7.04,6.92,6.93,7989400,6.85
2013-01-24,7.05,7.08,6.95,6.99,8350500,6.91
2013-01-23,7.10,7.10,7.00,7.03,12819200,6.95
2013-01-22,7.05,7.09,7.03,7.08,13144800,7.00
2013-01-18,7.07,7.10,6.91,7.00,11525900,6.92
2013-01-17,6.86,7.03,6.80,7.00,35543800,6.92
2013-01-16,6.62,6.72,6.61,6.72,11739600,6.64
2013-01-15,6.54,6.66,6.54,6.64,10025900,6.56
2013-01-14,6.59,6.61,6.54,6.59,3947500,6.51
2013-01-11,6.68,6.70,6.56,6.59,10120400,6.51
2013-01-10,6.67,6.70,6.62,6.67,11404300,6.59
2013-01-09,6.64,6.73,6.56,6.58,10451100,6.50
2013-01-08,6.69,6.71,6.59,6.65,10895100,6.57
2013-01-07,6.70,6.71,6.63,6.70,9202200,6.62
2013-01-04,6.65,6.73,6.63,6.69,11162200,6.61
2013-01-03,6.58,6.67,6.53,6.65,10460000,6.57
2013-01-02,6.59,6.60,6.48,6.57,9507900,6.49
2012-12-31,6.25,6.40,6.25,6.39,6685600,6.31
2012-12-28,6.27,6.34,6.27,6.28,4408100,6.21
2012-12-27,6.34,6.36,6.24,6.34,6252000,6.26
2012-12-26,6.34,6.39,6.29,6.34,5133800,6.26
2012-12-24,6.38,6.38,6.29,6.33,2289100,6.25
2012-12-21,6.27,6.37,6.19,6.37,15105100,6.29
2012-12-20,6.39,6.44,6.33,6.39,9774200,6.31
2012-12-19,6.51,6.51,6.35,6.40,12364500,6.32
2012-12-18,6.33,6.42,6.30,6.40,12474200,6.32
2012-12-17,6.16,6.31,6.16,6.31,9162500,6.23
2012-12-14,6.13,6.21,6.12,6.16,11223100,6.09
2012-12-13,6.19,6.23,6.11,6.17,16847700,6.06
2012-12-12,6.28,6.35,6.22,6.25,15484500,6.14
2012-12-11,6.25,6.31,6.24,6.26,12646000,6.15
2012-12-10,6.17,6.30,6.14,6.24,9893800,6.13
2012-12-07,6.16,6.18,6.08,6.18,10350900,6.07
2012-12-06,6.09,6.16,6.05,6.16,7706600,6.05
2012-12-05,6.04,6.17,6.04,6.10,11408500,5.99
2012-12-04,6.11,6.16,5.99,6.01,17964700,5.90
2012-12-03,6.18,6.20,6.10,6.12,11172200,6.01
2012-11-30,6.18,6.19,6.13,6.17,9844500,6.06
2012-11-29,6.20,6.23,6.13,6.16,10295500,6.05
2012-11-28,6.18,6.23,6.13,6.16,10926300,6.05
2012-11-27,6.30,6.33,6.17,6.17,13773100,6.06
2012-11-26,6.17,6.32,6.13,6.31,20392200,6.19
2012-11-23,6.17,6.23,6.14,6.23,2794600,6.12
2012-11-21,6.14,6.16,6.05,6.11,6008900,6.00
2012-11-20,6.10,6.17,6.05,6.14,14332300,6.03
2012-11-19,6.10,6.17,6.08,6.11,11448000,6.00
2012-11-16,5.93,6.03,5.90,6.01,14063500,5.90
2012-11-15,5.90,5.97,5.81,5.90,17465900,5.79
2012-11-14,6.10,6.15,5.91,5.93,13083600,5.82
2012-11-13,6.13,6.23,6.06,6.09,9024800,5.98
2012-11-12,6.18,6.21,6.12,6.17,6226900,6.06
2012-11-09,6.14,6.25,6.10,6.16,8207700,6.05
2012-11-08,6.23,6.35,6.15,6.15,11774500,6.04
2012-11-07,6.45,6.45,6.21,6.21,15572300,6.10
2012-11-06,6.40,6.57,6.40,6.57,12993700,6.45
2012-11-05,6.31,6.40,6.28,6.37,9027900,6.25
2012-11-02,6.42,6.44,6.30,6.35,16601500,6.23
2012-11-01,6.39,6.42,6.34,6.37,14524700,6.25
2012-10-31,6.35,6.45,6.35,6.40,14098000,6.28
2012-10-26,6.41,6.41,6.28,6.33,15965900,6.21
2012-10-25,6.34,6.39,6.28,6.32,12056200,6.20
2012-10-24,6.44,6.45,6.27,6.28,17166000,6.16
2012-10-23,6.35,6.39,6.28,6.35,25569000,6.23
2012-10-22,6.53,6.58,6.41,6.46,13001600,6.34
2012-10-19,6.63,6.68,6.42,6.45,22917600,6.33
2012-10-18,6.97,6.99,6.53,6.61,40617500,6.49
2012-10-17,6.91,7.07,6.88,7.05,12299100,6.92
2012-10-16,7.01,7.06,6.87,6.90,9169100,6.77
2012-10-15,6.99,7.05,6.93,6.99,8273300,6.86
2012-10-12,7.06,7.08,6.88,6.93,14467500,6.80
2012-10-11,7.13,7.19,7.10,7.15,6977600,7.02
2012-10-10,7.12,7.15,7.05,7.08,6653500,6.95
2012-10-09,7.16,7.20,7.09,7.10,11664700,6.97
2012-10-08,7.16,7.19,7.12,7.15,4403600,7.02
2012-10-05,7.21,7.25,7.15,7.19,8385400,7.06
2012-10-04,7.05,7.21,7.03,7.20,13121100,7.07
2012-10-03,6.95,7.04,6.92,7.02,6662800,6.89
2012-10-02,6.98,7.00,6.88,6.91,5794400,6.78
2012-10-01,6.95,7.01,6.90,6.93,8564800,6.80
2012-09-28,6.86,6.93,6.82,6.90,6687100,6.77
2012-09-27,6.82,6.92,6.80,6.90,6586900,6.77
2012-09-26,6.82,6.87,6.77,6.81,6861600,6.69
2012-09-25,6.97,7.01,6.81,6.82,6894700,6.70
2012-09-24,6.91,7.02,6.86,6.97,8338700,6.84
2012-09-21,7.09,7.09,6.93,6.94,6878900,6.81
2012-09-20,6.99,7.00,6.91,6.98,7965300,6.85
2012-09-19,6.96,7.11,6.93,7.04,13542100,6.91
2012-09-18,7.05,7.12,6.92,7.05,8785600,6.92
2012-09-17,7.23,7.24,7.05,7.07,7704300,6.94
2012-09-14,7.06,7.23,7.06,7.20,16837100,7.07
2012-09-13,6.94,7.09,6.87,7.05,16675300,6.92
2012-09-12,6.88,7.03,6.86,6.95,19815700,6.78
2012-09-11,6.68,6.83,6.68,6.81,12599200,6.65
2012-09-10,6.67,6.77,6.67,6.69,8124600,6.53
2012-09-07,6.63,6.72,6.63,6.70,6390000,6.54
2012-09-06,6.54,6.64,6.54,6.61,10403700,6.45
2012-09-05,6.55,6.58,6.48,6.49,6158100,6.33
2012-09-04,6.58,6.61,6.53,6.57,5849300,6.41
2012-08-31,6.57,6.61,6.53,6.59,7857500,6.43
2012-08-30,6.57,6.63,6.51,6.54,6015900,6.38
2012-08-29,6.55,6.65,6.55,6.62,7200100,6.46
2012-08-28,6.50,6.59,6.50,6.55,6617800,6.39
2012-08-27,6.59,6.60,6.52,6.52,4577800,6.36
2012-08-24,6.49,6.58,6.49,6.55,6291300,6.39
2012-08-23,6.49,6.54,6.48,6.54,9326600,6.38
2012-08-22,6.45,6.57,6.45,6.51,8630500,6.35
2012-08-21,6.48,6.57,6.45,6.46,15032800,6.31
2012-08-20,6.49,6.55,6.47,6.48,6674900,6.32
2012-08-17,6.50,6.53,6.46,6.52,4224300,6.36
2012-08-16,6.47,6.52,6.43,6.47,11767500,6.31
