Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,9.66,9.73,9.60,9.73,2398200,9.73
2013-07-11,9.76,9.78,9.58,9.65,1398300,9.65
2013-07-10,9.74,9.75,9.60,9.70,2150800,9.70
2013-07-09,9.74,9.77,9.61,9.72,1753200,9.72
2013-07-08,9.55,9.67,9.55,9.66,3051900,9.66
2013-07-05,9.43,9.57,9.39,9.57,2505700,9.57
2013-07-03,9.31,9.37,9.27,9.35,714700,9.35
2013-07-02,9.26,9.38,9.26,9.36,2955800,9.36
2013-07-01,9.15,9.38,9.14,9.29,2241200,9.29
2013-06-28,9.15,9.20,9.10,9.18,2427300,9.18
2013-06-27,9.08,9.20,9.05,9.16,2278200,9.16
2013-06-26,8.94,9.04,8.85,9.00,2620400,9.00
2013-06-25,8.71,8.82,8.61,8.81,2733400,8.81
2013-06-24,8.59,8.65,8.49,8.62,3619300,8.62
2013-06-21,8.54,8.71,8.50,8.64,6630800,8.64
2013-06-20,8.38,8.57,8.31,8.50,3481200,8.50
2013-06-19,8.59,8.59,8.47,8.48,2496500,8.48
2013-06-18,8.39,8.62,8.31,8.57,13247000,8.57
2013-06-17,8.32,8.42,8.30,8.37,2600900,8.37
2013-06-14,8.42,8.47,8.28,8.29,3252800,8.29
2013-06-13,8.26,8.40,8.23,8.40,4430100,8.40
2013-06-12,8.38,8.41,8.27,8.27,8600600,8.27
2013-06-11,8.34,8.42,8.29,8.33,8200700,8.33
2013-06-10,8.41,8.47,8.38,8.42,7286000,8.42
2013-06-07,8.41,8.46,8.32,8.41,4139200,8.41
2013-06-06,8.29,8.34,8.18,8.34,8367400,8.34
2013-06-05,8.47,8.47,8.33,8.33,3452800,8.33
2013-06-04,8.62,8.62,8.46,8.51,2066000,8.51
2013-06-03,8.52,8.62,8.45,8.61,2780500,8.61
2013-05-31,8.62,8.65,8.49,8.50,4458900,8.50
2013-05-30,8.58,8.70,8.51,8.64,2000600,8.64
2013-05-29,8.62,8.70,8.55,8.58,4726100,8.58
2013-05-28,8.64,8.70,8.59,8.66,2033300,8.66
2013-05-24,8.46,8.54,8.43,8.52,4738700,8.52
2013-05-23,8.47,8.55,8.46,8.49,5091300,8.49
