Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,68.60,68.79,66.71,67.11,2301500,67.11
2013-07-11,66.62,68.67,66.47,68.60,2521600,68.60
2013-07-10,65.62,66.06,64.91,65.68,1809500,65.68
2013-07-09,65.15,65.82,64.93,65.72,1868700,65.72
2013-07-08,65.36,66.12,64.54,64.75,1974700,64.75
2013-07-05,66.36,66.50,63.25,65.22,2135200,65.22
2013-07-03,66.77,66.88,65.50,66.06,1448000,66.06
2013-07-02,66.44,67.45,66.35,66.87,2528300,66.87
2013-07-01,67.56,67.68,66.24,66.39,1603000,66.39
2013-06-28,67.25,67.63,66.51,67.03,2599800,67.03
2013-06-27,65.66,67.22,65.66,67.13,2075200,67.13
2013-06-26,64.87,65.63,64.81,65.49,2829600,65.49
2013-06-25,63.79,64.87,63.14,64.39,2342800,64.39
2013-06-24,62.94,64.60,61.86,63.27,2895300,63.27
2013-06-21,62.59,63.83,61.62,63.35,5343200,63.35
2013-06-20,65.07,65.07,61.85,62.10,3635300,62.10
2013-06-19,68.14,68.29,65.31,65.40,2490500,65.40
2013-06-18,67.64,68.59,67.64,68.15,1850100,68.15
2013-06-17,67.65,68.10,67.14,67.59,2075100,67.59
2013-06-14,66.90,68.10,66.73,67.37,2071800,67.37
2013-06-13,65.16,67.16,65.01,66.96,2985600,66.96
2013-06-12,67.20,67.30,65.31,65.50,1886100,65.50
2013-06-11,66.86,67.53,66.60,66.82,1507500,66.82
2013-06-10,68.28,68.44,67.01,67.32,1784200,67.32
2013-06-07,68.18,68.50,67.47,68.29,2241400,68.29
2013-06-06,67.00,67.95,66.47,67.93,2185600,67.93
2013-06-05,67.43,67.58,66.67,66.85,1564800,66.85
2013-06-04,68.77,68.94,67.58,67.60,1768400,67.60
2013-06-03,67.38,68.69,66.70,68.39,2433900,68.39
2013-05-31,69.00,69.74,67.99,68.03,4530600,68.03
2013-05-30,69.73,70.56,69.29,69.42,2272900,69.42
2013-05-29,71.20,71.20,69.25,69.74,4557100,69.74
2013-05-28,74.62,74.77,71.53,71.91,2906000,71.91
2013-05-24,73.96,74.24,72.84,74.04,3717700,74.04
2013-05-23,76.42,76.42,74.20,74.32,3814000,74.32
2013-05-22,79.14,80.07,76.83,77.29,3971400,77.29
2013-05-21,78.00,79.13,77.88,78.98,3068200,78.98
2013-05-20,77.95,78.05,77.37,77.74,1824800,77.74
2013-05-17,77.40,77.96,76.98,77.95,3777100,77.95
2013-05-16,77.05,77.40,76.69,77.02,2023600,77.02
2013-05-15,76.04,77.30,75.60,77.30,2039800,77.30
2013-05-14,75.90,76.42,75.65,76.00,2183600,76.00
2013-05-13,75.50,75.95,75.25,75.83,2100800,75.83
2013-05-10,75.25,75.48,74.75,75.48,2730300,75.48
2013-05-09,73.58,74.94,73.55,74.70,14181700,74.70
2013-05-08,74.97,75.12,73.90,74.15,2650300,74.15
2013-05-07,75.26,75.82,75.00,75.62,2007100,75.62
2013-05-06,74.85,75.43,74.67,75.12,1347500,75.12
2013-05-03,74.97,75.50,74.74,74.90,1773600,74.90
2013-05-02,75.15,76.00,75.08,75.58,1222100,74.82
2013-05-01,74.82,75.45,74.68,75.06,1515100,74.30
2013-04-30,74.34,74.98,74.01,74.97,1752900,74.21
2013-04-29,73.74,74.30,73.51,74.24,1210200,73.49
2013-04-26,73.47,73.90,73.34,73.47,1174200,72.73
2013-04-25,73.71,74.03,73.30,73.47,2314200,72.73
2013-04-24,73.60,73.88,73.25,73.86,1571900,73.11
2013-04-23,73.10,73.51,72.88,73.50,1612100,72.76
2013-04-22,72.60,72.88,72.09,72.75,1062700,72.01
2013-04-19,71.35,72.74,71.25,72.62,1762800,71.88
2013-04-18,71.45,71.50,70.84,71.11,1449100,70.39
2013-04-17,71.70,71.75,70.75,71.26,1427500,70.54
2013-04-16,70.70,71.91,70.15,71.86,1629400,71.13
2013-04-15,70.64,71.76,70.26,70.31,1910900,69.60
2013-04-12,70.85,71.22,70.70,71.11,1685000,70.39
2013-04-11,71.21,71.69,70.47,70.88,2020000,70.16
2013-04-10,70.65,71.29,70.51,71.29,1550500,70.57
2013-04-09,70.35,70.64,70.07,70.56,1546200,69.85
2013-04-08,69.77,70.26,69.17,70.21,1593400,69.50
2013-04-05,69.31,69.80,69.03,69.79,1835600,69.08
2013-04-04,69.04,70.02,68.95,69.96,1626100,69.25
2013-04-03,69.23,69.24,68.65,68.93,1496500,68.23
2013-04-02,68.86,69.11,68.45,68.97,1680300,68.27
2013-04-01,67.60,68.48,67.60,68.44,1546100,67.75
2013-03-28,67.31,67.92,66.97,67.91,1715800,67.22
2013-03-27,66.80,67.31,66.54,67.16,1459200,66.48
2013-03-26,66.38,66.93,66.32,66.93,3317300,66.25
2013-03-25,66.33,66.48,65.93,66.20,1520700,65.53
2013-03-22,65.95,66.19,65.79,66.07,1280800,65.40
2013-03-21,65.73,66.26,65.71,65.86,1591900,65.19
2013-03-20,65.60,65.82,65.43,65.82,1392200,65.15
2013-03-19,65.42,65.53,64.97,65.40,1387800,64.74
2013-03-18,65.30,65.59,65.27,65.51,1991100,64.85
2013-03-15,64.97,65.64,64.81,65.64,2763200,64.98
