Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,46.42,46.66,45.99,46.38,2302100,46.38
2013-07-11,45.62,46.78,45.62,46.55,3502800,46.55
2013-07-10,44.97,45.18,44.50,45.00,1648900,45.00
2013-07-09,44.81,45.19,44.62,45.08,2153100,45.08
2013-07-08,45.00,45.19,44.41,44.56,2285500,44.56
2013-07-05,45.01,45.24,43.05,44.45,2810800,44.45
2013-07-03,45.66,45.72,44.48,44.93,2158900,44.93
2013-07-02,45.03,46.28,44.92,46.00,4383300,46.00
2013-07-01,45.83,45.88,44.82,44.95,2042600,44.95
2013-06-28,45.60,45.84,45.15,45.44,3000000,45.44
2013-06-27,45.41,45.73,45.15,45.68,3064700,45.68
2013-06-26,44.39,45.24,44.38,45.20,4944100,45.20
2013-06-25,42.86,44.19,42.60,43.93,4295300,43.93
2013-06-24,42.54,43.49,41.50,42.39,5331900,42.39
2013-06-21,42.25,43.69,41.58,43.19,6691900,43.19
2013-06-20,43.82,43.96,41.54,41.89,5791500,41.89
2013-06-19,45.85,46.10,44.11,44.16,2806600,44.16
2013-06-18,45.80,46.26,45.51,45.98,2409000,45.98
2013-06-17,46.20,46.34,45.49,45.77,4223300,45.77
2013-06-14,46.00,46.67,45.75,45.95,6512900,45.95
2013-06-13,45.36,46.14,45.20,45.99,4439000,45.99
2013-06-12,46.27,46.45,45.28,45.36,2463100,45.36
2013-06-11,46.27,46.97,45.79,45.88,5005700,45.88
2013-06-10,47.64,47.72,46.48,46.64,2755200,46.64
2013-06-07,47.77,48.00,46.84,47.56,3049600,47.56
2013-06-06,46.32,47.77,46.32,47.74,3209400,47.74
2013-06-05,46.85,47.24,46.46,46.59,2036900,46.59
2013-06-04,48.00,48.23,46.99,47.01,3122500,47.01
2013-06-03,47.32,48.15,46.75,48.03,4386300,48.03
2013-05-31,47.75,48.41,47.21,47.38,6005400,47.38
2013-05-30,48.21,48.57,47.72,47.89,3149700,47.89
2013-05-29,49.22,49.23,47.77,47.87,5054500,47.87
2013-05-28,51.43,51.49,49.20,49.56,3913800,49.56
2013-05-24,51.54,51.60,50.44,50.83,3322100,50.83
2013-05-23,53.83,53.85,51.72,51.88,4194100,51.88
2013-05-22,55.30,56.06,53.87,54.18,3545400,54.18
2013-05-21,54.83,55.34,54.79,55.28,2632500,55.28
2013-05-20,54.39,54.81,54.31,54.71,1496000,54.71
2013-05-17,54.11,54.50,54.03,54.38,2674100,54.38
2013-05-16,54.18,54.55,53.83,54.15,2244300,54.15
2013-05-15,53.54,54.35,53.14,54.35,2464500,54.35
2013-05-14,52.25,53.49,52.22,53.46,2672000,53.46
2013-05-13,51.99,52.12,51.79,52.12,2480700,52.12
2013-05-10,51.93,52.11,51.63,51.96,2888000,51.96
2013-05-09,52.60,52.67,51.69,51.76,3707600,51.76
2013-05-08,53.65,53.71,52.42,52.53,3808100,52.53
2013-05-07,53.66,54.05,53.50,53.94,2372700,53.94
2013-05-06,53.43,53.66,53.35,53.63,2006100,53.63
2013-05-03,53.38,53.65,53.20,53.47,2734900,53.47
2013-05-02,52.75,53.24,52.59,53.06,2602100,53.06
2013-05-01,53.25,53.66,53.12,53.31,1841800,52.79
2013-04-30,53.02,53.96,52.90,53.30,1988900,52.78
2013-04-29,52.90,53.15,52.79,53.07,989600,52.55
2013-04-26,53.01,53.18,52.68,52.77,1443300,52.25
2013-04-25,53.28,53.30,52.68,52.91,2011700,52.39
2013-04-24,53.14,53.30,52.79,53.30,1515800,52.78
2013-04-23,52.91,53.21,52.64,53.05,1943500,52.53
