Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,79.92,80.75,79.92,80.54,5178300,80.54
2013-07-11,80.27,80.68,79.58,79.86,6845700,79.86
2013-07-10,79.67,79.70,78.61,79.40,5459400,79.40
2013-07-09,79.54,80.15,79.33,79.70,4986400,79.70
2013-07-08,78.56,79.54,78.54,79.22,6051200,79.22
2013-07-05,77.91,78.56,77.40,78.29,4991500,78.29
2013-07-03,76.99,77.99,76.92,77.73,3025600,77.73
2013-07-02,77.29,78.12,76.96,77.31,6886300,77.31
2013-07-01,77.63,77.81,76.63,76.87,7471000,76.87
2013-06-28,76.16,77.79,75.92,77.47,12475000,77.47
2013-06-27,75.99,76.82,75.80,76.27,6674500,76.27
2013-06-26,74.79,75.87,74.58,75.67,7390100,75.67
2013-06-25,74.07,74.72,73.80,74.14,8520800,74.14
2013-06-24,72.90,74.02,72.41,73.51,10214400,73.51
2013-06-21,74.49,74.69,73.02,73.82,15552500,73.82
2013-06-20,75.43,75.43,73.80,73.87,12373500,73.87
2013-06-19,77.07,77.27,75.92,75.93,8027600,75.93
2013-06-18,76.12,77.37,76.12,77.19,6421500,77.19
2013-06-17,77.08,77.48,75.69,76.14,9315500,76.14
2013-06-14,76.22,76.95,76.07,76.59,8613100,76.59
2013-06-13,76.35,76.83,76.08,76.53,9194600,76.53
2013-06-12,78.04,78.30,76.36,76.40,7360200,76.40
2013-06-11,77.23,78.53,76.96,77.61,5979700,77.61
2013-06-10,78.94,79.68,77.53,77.73,7627800,77.73
2013-06-07,77.73,78.97,77.59,78.74,6555900,78.74
2013-06-06,75.02,77.37,75.01,77.26,11515700,77.26
2013-06-05,76.11,76.85,74.90,75.10,8761500,75.10
2013-06-04,78.50,78.82,76.08,76.63,8791700,76.63
2013-06-03,78.65,79.08,78.05,79.08,6191400,78.69
2013-05-31,79.54,80.38,78.66,78.66,6905600,78.27
2013-05-30,79.55,80.10,79.13,79.44,5449100,79.05
2013-05-29,79.38,79.87,79.09,79.49,7127000,79.10
2013-05-28,79.94,80.63,79.49,79.82,7715800,79.43
2013-05-24,78.50,79.39,78.31,78.99,6188200,78.60
2013-05-23,78.89,79.25,77.79,78.91,9634900,78.52
2013-05-22,79.26,81.56,79.18,79.69,14832400,79.30
2013-05-21,79.33,79.47,78.06,78.71,14108500,78.32
2013-05-20,76.77,77.00,76.50,76.76,8867700,76.38
2013-05-17,76.34,77.15,76.20,76.86,8735000,76.48
