Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,70.80,71.34,70.73,71.17,2133400,71.17
2013-07-11,69.94,71.08,69.83,70.96,4169200,70.96
2013-07-10,68.56,69.04,68.42,68.73,1914700,68.73
2013-07-09,68.89,68.98,67.92,68.57,2106600,68.57
2013-07-08,68.50,68.71,68.13,68.53,2648600,68.53
2013-07-05,67.86,68.19,66.98,68.13,1341100,68.13
2013-07-03,67.05,67.29,66.23,67.20,1146200,67.20
2013-07-02,66.72,67.81,66.51,67.22,3090000,67.22
2013-07-01,66.82,67.47,66.50,66.71,2294300,66.71
2013-06-28,66.95,67.07,66.20,66.49,2595500,66.49
2013-06-27,66.26,67.50,66.21,67.05,3390500,67.05
2013-06-26,64.12,66.58,64.06,65.71,3792100,65.71
2013-06-25,63.68,64.26,62.98,63.65,2803200,63.65
2013-06-24,63.28,63.46,61.32,62.87,5068300,62.87
2013-06-21,64.26,64.44,62.63,64.02,5992300,64.02
2013-06-20,65.26,65.66,64.04,64.28,3407600,64.28
2013-06-19,67.33,68.08,66.25,66.38,2678600,66.38
2013-06-18,67.54,67.75,67.14,67.52,3253500,67.52
2013-06-17,66.59,68.00,66.59,67.51,2269400,67.51
2013-06-14,67.24,67.25,65.77,65.97,3066400,65.97
2013-06-13,66.67,67.11,66.00,66.85,3233400,66.85
2013-06-12,68.12,68.22,66.46,66.82,2370200,66.72
2013-06-11,67.72,68.03,67.11,67.29,1552700,67.19
2013-06-10,69.23,69.38,68.32,68.75,1392900,68.65
2013-06-07,68.63,69.34,68.01,69.18,2125700,69.08
2013-06-06,66.70,67.99,66.27,67.99,2241700,67.89
2013-06-05,67.97,68.19,66.56,66.76,2822000,66.66
2013-06-04,68.46,68.92,67.53,68.25,2339500,68.15
2013-06-03,67.58,69.17,67.51,68.79,2945500,68.69
2013-05-31,68.50,68.85,67.40,67.41,3888300,67.31
2013-05-30,68.26,69.16,67.87,68.74,2587900,68.64
2013-05-29,67.83,68.82,67.74,68.57,2056700,68.47
2013-05-28,68.66,69.17,67.93,68.52,3958900,68.42
2013-05-24,67.43,67.60,66.33,67.48,4042100,67.38
2013-05-23,67.55,68.24,66.75,68.04,3071900,67.94
2013-05-22,69.41,69.99,67.85,68.58,3882300,68.48
2013-05-21,69.66,70.19,69.16,69.61,3336900,69.51
2013-05-20,69.60,70.15,69.28,69.72,3352400,69.62
2013-05-17,69.58,69.95,69.27,69.68,3576600,69.58
2013-05-16,70.95,70.95,68.00,69.11,11770100,69.01
2013-05-15,71.69,72.42,70.55,70.60,3422900,70.49
2013-05-14,69.58,72.27,69.53,72.22,5844700,72.11
2013-05-13,69.25,69.77,68.77,69.39,3427800,69.29
2013-05-10,70.66,70.68,69.01,69.30,4846500,69.20
2013-05-09,71.86,71.98,70.70,70.96,2596300,70.85
2013-05-08,72.17,72.57,71.56,71.89,3420700,71.78
2013-05-07,72.69,73.09,71.94,72.26,2117300,72.15
2013-05-06,72.90,73.35,72.45,72.46,2827900,72.35
2013-05-03,73.00,73.91,72.91,73.00,4779700,72.89
2013-05-02,71.90,72.41,71.03,72.21,2234900,72.10
2013-05-01,71.62,71.62,70.42,70.71,2718100,70.60
2013-04-30,72.08,72.18,70.79,72.18,3309600,72.07
2013-04-29,71.64,72.50,71.38,72.20,1884300,72.09
2013-04-26,71.02,71.49,70.82,70.99,3405000,70.88
2013-04-25,70.27,72.26,70.06,71.16,3177500,71.05
