Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,31.80,32.23,31.76,32.21,3250000,32.21
2013-07-11,32.09,32.12,31.46,31.81,4407700,31.81
2013-07-10,31.51,31.82,31.37,31.77,5025300,31.77
2013-07-09,31.72,31.80,31.13,31.55,6455300,31.55
2013-07-08,31.53,31.68,31.27,31.44,4185100,31.44
2013-07-05,30.67,31.37,30.55,31.36,3056200,31.36
2013-07-03,30.69,30.70,29.96,30.29,6870800,30.29
2013-07-02,31.28,31.49,30.80,30.91,3711800,30.91
2013-07-01,31.20,31.48,31.04,31.20,4051500,31.20
2013-06-28,31.10,31.13,30.70,30.92,7188300,30.92
2013-06-27,30.27,31.35,30.27,31.23,7679100,31.23
2013-06-26,30.53,30.80,29.67,29.99,12080400,29.99
2013-06-25,28.93,29.57,28.78,29.18,9082500,29.18
2013-06-24,28.90,28.93,28.04,28.66,6103700,28.66
2013-06-21,29.90,29.99,29.08,29.37,9539900,29.37
2013-06-20,29.33,30.19,29.17,29.66,6975100,29.66
2013-06-19,30.13,30.28,29.57,29.69,6482200,29.69
2013-06-18,29.80,30.35,29.75,30.35,2875400,30.35
2013-06-17,29.56,29.98,29.52,29.72,4629700,29.72
2013-06-14,30.02,30.05,29.13,29.20,4196300,29.20
2013-06-13,29.38,30.06,29.05,30.05,4426500,30.05
2013-06-12,30.03,30.20,29.35,29.43,4274700,29.43
2013-06-11,30.26,30.53,29.74,29.76,4446900,29.76
2013-06-10,30.61,30.76,30.26,30.74,4685600,30.74
2013-06-07,29.68,30.50,29.60,30.50,5003600,30.50
2013-06-06,29.02,29.63,28.71,29.49,5998900,29.49
2013-06-05,29.66,29.72,28.93,28.99,5795900,28.99
2013-06-04,29.92,30.46,29.58,29.73,4218200,29.73
2013-06-03,30.80,30.82,29.21,29.92,9976400,29.92
2013-05-31,31.20,31.40,30.62,30.63,4959100,30.63
2013-05-30,30.81,31.53,30.66,31.43,5621000,31.43
2013-05-29,30.26,31.03,30.26,30.81,4444700,30.71
2013-05-28,30.72,31.13,30.41,30.63,3751100,30.53
2013-05-24,30.13,30.32,29.76,30.24,3632200,30.14
2013-05-23,29.92,30.60,29.53,30.38,5412600,30.28
2013-05-22,31.02,31.48,30.37,30.64,8433400,30.54
2013-05-21,31.11,31.32,30.83,31.02,6670900,30.92
2013-05-20,31.06,31.34,30.80,31.10,4150500,31.00
2013-05-17,30.98,31.51,30.86,31.16,5298200,31.06
2013-05-16,30.68,31.12,30.60,30.79,6442200,30.69
2013-05-15,30.44,30.86,30.14,30.83,5793500,30.73
2013-05-14,29.95,30.59,29.94,30.59,5758200,30.49
2013-05-13,29.96,29.99,29.55,29.89,3310400,29.79
2013-05-10,29.48,29.68,29.21,29.66,3006700,29.56
2013-05-09,29.70,29.91,29.33,29.47,4092800,29.37
2013-05-08,29.23,29.72,29.20,29.70,4989100,29.60
2013-05-07,29.23,29.30,29.09,29.29,5301700,29.19
2013-05-06,28.84,29.20,28.80,29.03,6595100,28.94
2013-05-03,28.81,29.28,28.71,28.80,7417700,28.71
2013-05-02,28.00,28.45,27.74,28.44,5783800,28.35
2013-05-01,27.81,28.27,27.72,27.76,5393500,27.67
2013-04-30,27.15,28.39,26.99,28.09,12137700,28.00
2013-04-29,27.22,27.38,27.07,27.21,5091800,27.12
2013-04-26,27.57,27.62,27.00,27.12,5777000,27.03
2013-04-25,27.91,27.97,27.47,27.56,7754700,27.47
2013-04-24,27.40,27.82,27.38,27.78,4166100,27.69
2013-04-23,26.90,27.47,26.78,27.40,7159100,27.31
2013-04-22,26.90,26.95,26.24,26.67,5092700,26.58
2013-04-19,26.71,26.93,26.20,26.84,6593800,26.75
2013-04-18,26.97,27.06,26.41,26.53,6095600,26.44
2013-04-17,27.01,27.10,26.68,26.99,8758000,26.90
2013-04-16,26.69,27.40,26.69,27.37,5750600,27.28
2013-04-15,27.41,27.42,26.16,26.31,7728400,26.22
2013-04-12,27.25,27.86,27.21,27.49,6777900,27.40
2013-04-11,27.40,28.12,27.23,27.38,15185800,27.29
2013-04-10,26.32,27.15,26.21,27.02,9697200,26.93
2013-04-09,26.15,26.37,26.04,26.16,6138600,26.08
2013-04-08,25.15,26.10,25.15,26.08,8198000,26.00
2013-04-05,25.22,25.42,24.67,25.17,10342200,25.09
2013-04-04,25.03,25.93,24.96,25.85,9603700,25.77
2013-04-03,25.51,25.54,24.74,24.82,6499400,24.74
2013-04-02,25.63,25.71,25.36,25.55,4826700,25.47
2013-04-01,25.84,26.07,25.48,25.58,3375600,25.50
2013-03-28,25.91,25.97,25.55,25.80,4818500,25.72
2013-03-27,26.01,26.08,25.68,25.95,3484100,25.87
2013-03-26,26.17,26.29,25.87,26.25,4451900,26.16
2013-03-25,26.60,26.69,25.81,26.01,9274400,25.93
2013-03-22,26.13,26.42,25.96,26.40,5297000,26.31
2013-03-21,25.99,26.23,25.92,26.00,6606000,25.92
2013-03-20,25.85,26.28,25.85,26.15,9929800,26.07
2013-03-19,26.01,26.08,25.38,25.52,7374400,25.44
2013-03-18,25.92,26.19,25.68,25.92,5262800,25.84
2013-03-15,26.45,26.60,26.16,26.30,5838200,26.21
2013-03-14,25.94,26.50,25.87,26.46,6739400,26.37
2013-03-13,25.74,25.88,25.57,25.75,4431700,25.67
2013-03-12,25.62,25.98,25.57,25.65,6816100,25.57
2013-03-11,25.44,25.83,25.16,25.62,6010600,25.54
2013-03-08,24.47,25.55,24.46,25.45,10335500,25.37
2013-03-07,24.22,24.42,24.03,24.35,5965000,24.27
2013-03-06,24.34,24.54,24.20,24.26,6982100,24.08
2013-03-05,23.87,24.36,23.80,24.15,7170900,23.97
2013-03-04,23.40,23.76,23.25,23.69,4919500,23.52
2013-03-01,23.38,23.75,23.11,23.68,5255600,23.51
2013-02-28,23.69,23.89,23.56,23.61,3818600,23.44
2013-02-27,23.30,23.82,23.17,23.73,4444100,23.56
2013-02-26,23.25,23.39,22.64,23.35,8921200,23.18
2013-02-25,24.29,24.35,23.02,23.05,8918000,22.88
2013-02-22,24.02,24.20,23.91,24.09,5103500,23.91
2013-02-21,24.20,24.29,23.58,23.70,7830000,23.53
2013-02-20,24.80,24.85,24.30,24.31,6051200,24.13
2013-02-19,24.42,24.80,24.28,24.76,6628500,24.58
2013-02-15,24.46,24.67,24.14,24.20,4463000,24.02
2013-02-14,24.31,24.56,24.21,24.49,5069700,24.31
2013-02-13,24.46,24.55,24.34,24.45,3636100,24.27
2013-02-12,24.35,24.51,24.21,24.40,5725500,24.22
2013-02-11,24.11,24.49,23.95,24.41,4127900,24.23
2013-02-08,24.26,24.35,24.04,24.17,4077800,23.99
2013-02-07,24.51,24.56,23.89,24.24,4743600,24.06
2013-02-06,24.22,24.58,24.04,24.47,10501200,24.29
2013-02-05,25.33,25.33,24.22,24.39,17253100,24.21
2013-02-04,24.96,24.98,24.55,24.70,7888900,24.52
2013-02-01,25.03,25.37,24.79,25.21,7584800,25.02
2013-01-31,24.54,24.84,24.25,24.80,5564300,24.62
2013-01-30,24.86,24.90,24.53,24.61,3941300,24.43
2013-01-29,24.72,25.00,24.62,24.89,4968900,24.71
2013-01-28,24.87,25.04,24.73,24.79,5303600,24.61
2013-01-25,24.52,24.82,24.34,24.82,4208700,24.64
