Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,54.90,56.03,54.77,55.96,1403500,55.96
2013-07-11,54.59,55.19,54.57,55.10,1260400,55.10
2013-07-10,54.21,54.35,53.35,53.99,1870100,53.99
2013-07-09,55.55,55.64,54.16,54.20,1948900,54.20
2013-07-08,55.77,55.81,55.00,55.17,797800,55.17
2013-07-05,55.20,55.57,54.96,55.25,692800,55.25
2013-07-03,54.57,55.05,54.31,54.67,418600,54.67
2013-07-02,55.66,56.13,54.68,54.87,1776200,54.87
2013-07-01,55.08,56.14,55.08,55.54,1842500,55.54
2013-06-28,53.61,55.50,53.56,54.82,4002800,54.82
2013-06-27,52.67,54.06,52.67,53.58,2116300,53.58
2013-06-26,52.17,52.54,51.56,52.39,1496400,52.39
2013-06-25,50.72,51.75,50.54,51.54,1573800,51.54
2013-06-24,50.03,50.68,49.15,50.15,1528600,50.15
2013-06-21,52.25,52.39,50.22,50.54,3062600,50.54
2013-06-20,52.90,52.99,51.70,52.04,1615000,52.04
2013-06-19,54.21,54.64,53.57,53.57,903000,53.57
2013-06-18,53.63,54.55,53.38,54.19,1079900,54.19
2013-06-17,53.52,54.18,53.06,53.52,1375900,53.52
2013-06-14,53.50,53.63,52.99,53.13,950400,53.13
2013-06-13,52.50,53.56,52.19,53.47,905400,53.47
2013-06-12,53.60,53.70,52.31,52.45,1102700,52.45
2013-06-11,53.36,53.72,52.75,53.05,1568800,53.05
2013-06-10,54.25,54.55,53.73,54.01,1174200,54.01
2013-06-07,54.26,54.40,52.97,53.92,1916600,53.92
2013-06-06,53.85,54.44,53.34,54.35,975500,54.35
2013-06-05,53.68,54.21,53.36,53.90,1476100,53.90
2013-06-04,54.72,55.03,53.68,54.07,1089600,54.07
2013-06-03,54.71,55.24,54.01,54.59,1671000,54.59
2013-05-31,54.65,55.89,54.45,54.54,1473800,54.54
2013-05-30,55.15,55.98,55.10,55.41,1224800,55.41
2013-05-29,55.87,55.87,55.00,55.47,1103300,55.47
2013-05-28,56.50,56.99,55.82,56.35,1046600,56.35
2013-05-24,56.25,56.41,54.88,55.44,1997700,55.23
2013-05-23,56.81,57.52,56.36,57.03,1148400,56.81
2013-05-22,59.12,59.56,57.31,57.61,1285300,57.39
2013-05-21,59.51,59.75,58.80,59.19,800900,58.97
2013-05-20,59.38,59.84,59.04,59.46,1057200,59.23
2013-05-17,58.19,59.48,58.10,59.48,1029700,59.25
2013-05-16,58.55,58.83,57.91,57.97,905800,57.75
2013-05-15,58.36,58.98,58.27,58.88,915200,58.66
2013-05-14,57.40,58.66,57.40,58.47,1367800,58.25
2013-05-13,57.10,57.54,56.59,57.43,846800,57.21
2013-05-10,57.28,57.97,56.87,57.37,1196200,57.15
2013-05-09,57.48,57.59,56.75,57.17,964100,56.95
2013-05-08,57.46,57.84,56.90,57.40,2074000,57.18
2013-05-07,55.38,57.54,55.31,57.54,2425400,57.32
2013-05-06,54.97,55.29,54.47,55.16,1698800,54.95
2013-05-03,54.62,54.98,54.12,54.35,1896100,54.14
2013-05-02,54.21,54.51,53.79,54.16,1327200,53.95
2013-05-01,54.60,54.60,53.80,54.01,1318000,53.81
2013-04-30,54.62,54.76,54.11,54.65,1665300,54.44
2013-04-29,54.14,54.91,54.03,54.76,1360400,54.55
2013-04-26,54.21,54.51,53.61,54.04,1573200,53.84
2013-04-25,53.25,55.68,53.25,54.31,4062400,54.10
2013-04-24,53.00,53.48,52.37,53.20,1770700,53.00
2013-04-23,51.88,52.90,51.64,52.86,1505100,52.66
2013-04-22,51.84,51.99,51.12,51.49,1669700,51.29
2013-04-19,51.25,52.05,51.23,51.83,2032700,51.63
2013-04-18,51.08,51.52,50.62,51.05,1547500,50.86
2013-04-17,51.28,51.47,50.59,51.15,1692300,50.96
2013-04-16,50.43,51.69,50.43,51.63,1454300,51.43
2013-04-15,51.55,52.04,49.92,49.95,2281300,49.76
2013-04-12,52.09,52.15,51.56,52.00,984600,51.80
2013-04-11,52.13,52.88,51.99,52.21,1764900,52.01
2013-04-10,51.38,52.52,51.29,52.21,1167800,52.01
2013-04-09,51.44,51.60,50.89,51.16,1496100,50.97
2013-04-08,50.66,51.42,50.66,51.39,1653500,51.20
2013-04-05,50.04,50.81,49.75,50.71,1608400,50.52
2013-04-04,50.57,51.06,50.41,50.84,1777400,50.65
2013-04-03,51.76,51.76,50.40,50.53,1704200,50.34
