Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,67.15,67.30,66.39,66.75,1468000,66.75
2013-07-11,67.73,67.99,67.12,67.30,1476600,67.30
2013-07-10,66.19,66.84,65.81,66.73,1263700,66.73
2013-07-09,65.49,66.56,65.28,66.19,1433500,66.19
2013-07-08,65.75,66.23,64.97,65.13,1540600,65.13
2013-07-05,63.57,65.55,63.29,65.40,1722000,65.40
2013-07-03,62.51,63.21,61.92,62.95,981200,62.95
2013-07-02,63.33,63.88,62.56,62.99,1552600,62.99
2013-07-01,63.89,64.31,63.28,63.77,1513600,63.77
2013-06-28,63.70,63.93,63.15,63.19,2768100,63.19
2013-06-27,63.72,64.33,63.50,63.77,2036200,63.77
2013-06-26,63.46,63.58,62.78,63.19,2052700,63.19
2013-06-25,62.24,63.10,62.09,62.83,1426900,62.83
2013-06-24,61.69,62.26,60.46,61.49,1944200,61.49
2013-06-21,63.56,63.72,61.19,62.49,3783500,62.49
2013-06-20,64.83,64.83,62.62,63.04,3240900,63.04
2013-06-19,66.70,67.16,65.72,65.80,1173500,65.80
2013-06-18,66.77,67.31,66.58,66.90,1249500,66.90
2013-06-17,66.95,67.38,66.30,66.63,1300000,66.63
2013-06-14,66.86,67.70,66.07,66.36,1159600,66.36
2013-06-13,66.10,67.05,65.28,66.94,2772600,66.94
2013-06-12,67.38,67.89,65.68,66.07,1824300,66.07
2013-06-11,67.76,67.81,66.71,66.87,2056600,66.87
2013-06-10,69.26,69.44,68.41,68.83,1955900,68.83
2013-06-07,67.67,69.25,67.35,69.17,3071900,69.17
2013-06-06,65.61,67.11,65.13,67.01,2297700,67.01
2013-06-05,66.87,67.19,65.29,65.77,2165800,65.77
2013-06-04,68.95,69.00,66.60,67.34,3006300,67.34
2013-06-03,68.77,69.34,68.00,69.00,2678600,69.00
2013-05-31,68.61,69.30,68.30,68.30,1811700,68.30
2013-05-30,69.32,69.44,68.46,68.93,1353300,68.93
2013-05-29,69.56,69.61,68.36,68.98,1673800,68.98
2013-05-28,69.38,70.16,69.21,69.78,2732900,69.78
2013-05-24,67.86,68.75,67.44,68.45,1853900,68.45
2013-05-23,67.84,69.27,67.35,68.46,3266700,68.46
2013-05-22,68.30,69.48,67.36,67.81,2613400,67.81
2013-05-21,67.74,68.63,67.46,68.35,1905600,68.35
2013-05-20,67.35,68.12,67.00,67.88,1311000,67.88
2013-05-17,66.72,67.61,66.63,67.49,2013400,67.49
2013-05-16,66.68,67.09,66.05,66.22,2376300,66.22
2013-05-15,67.80,67.91,66.80,66.93,1533100,66.93
2013-05-14,67.40,68.00,67.33,67.93,2066200,67.93
2013-05-13,67.50,67.74,67.04,67.28,1682400,67.28
2013-05-10,66.83,67.88,66.83,67.88,1554500,67.88
2013-05-09,66.24,67.03,65.81,66.72,1359900,66.72
2013-05-08,66.00,67.00,65.93,66.45,1483500,66.45
2013-05-07,65.88,67.00,65.53,66.40,2597300,66.40
2013-05-06,65.41,65.70,65.13,65.53,1913800,65.53
2013-05-03,65.24,66.08,64.92,65.21,1875000,65.21
2013-05-02,64.37,64.65,63.61,64.50,1438400,64.50
2013-05-01,64.11,64.54,63.50,64.13,2031900,64.13
2013-04-30,63.70,65.19,63.38,64.52,3432600,64.52
2013-04-29,62.30,62.61,61.64,62.46,2310000,62.46
2013-04-26,62.35,62.73,61.95,62.09,1222000,62.09
2013-04-25,62.23,62.85,62.09,62.60,1858200,62.60
2013-04-24,62.15,62.51,61.58,61.81,1317700,61.81
2013-04-23,61.44,62.16,61.24,61.99,1458900,61.99
2013-04-22,61.30,61.75,60.62,61.20,1136300,61.20
2013-04-19,60.71,61.49,60.67,61.23,1402900,61.23
2013-04-18,61.35,61.51,60.22,60.48,1553200,60.48
2013-04-17,61.56,61.95,60.51,61.19,2152600,61.19
