Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,26.39,26.50,26.10,26.19,11333800,26.19
2013-07-11,26.23,26.54,25.99,26.38,20139400,26.38
2013-07-10,26.08,26.71,25.70,25.93,33179700,25.93
2013-07-09,25.55,25.62,25.28,25.47,9828700,25.47
2013-07-08,25.71,25.87,25.11,25.17,11145500,25.17
2013-07-05,25.29,25.75,25.20,25.58,12804600,25.58
2013-07-03,24.88,25.27,24.76,25.18,7485900,25.18
2013-07-02,24.89,25.21,24.79,25.02,10293500,25.02
2013-07-01,24.95,25.10,24.80,24.93,9981400,24.93
2013-06-28,24.55,24.92,24.48,24.80,15881500,24.80
2013-06-27,24.11,24.77,24.09,24.77,15520900,24.77
2013-06-26,24.19,24.51,23.92,24.01,14482900,24.01
2013-06-25,23.72,24.28,23.71,23.85,14435200,23.85
2013-06-24,23.94,24.00,23.19,23.43,15995200,23.43
2013-06-21,24.94,25.05,24.11,24.15,23634800,24.15
2013-06-20,25.62,25.62,24.57,24.72,17810400,24.72
2013-06-19,25.41,25.87,25.30,25.43,17328200,25.43
2013-06-18,25.17,25.55,25.13,25.44,11493200,25.44
2013-06-17,24.88,25.33,24.85,25.16,13240100,25.16
2013-06-14,24.93,25.09,24.55,24.74,9749100,24.74
2013-06-13,24.78,25.28,24.60,24.93,13706100,24.93
2013-06-12,24.69,25.49,24.69,24.91,22191000,24.91
2013-06-11,24.27,24.62,24.09,24.24,12508900,24.24
2013-06-10,24.66,24.82,24.34,24.49,14162400,24.49
2013-06-07,24.33,24.81,24.26,24.81,12844300,24.66
2013-06-06,24.20,24.57,23.71,24.25,15147700,24.11
2013-06-05,24.55,24.66,24.12,24.19,15867900,24.05
2013-06-04,24.84,25.20,24.42,24.62,16972300,24.48
2013-06-03,24.46,25.06,24.37,24.90,20681700,24.75
2013-05-31,25.15,25.34,24.40,24.42,22355500,24.28
2013-05-30,25.18,25.47,25.05,25.26,23705900,25.11
2013-05-29,24.44,25.34,24.41,25.24,22508000,25.09
2013-05-28,24.40,24.70,24.21,24.65,19644900,24.51
2013-05-24,24.58,24.78,24.16,24.21,29311300,24.07
2013-05-23,23.21,24.95,22.90,24.86,87691400,24.71
2013-05-22,21.17,21.55,21.11,21.23,35159200,21.11
2013-05-21,21.23,21.37,21.04,21.11,10930300,20.99
2013-05-20,21.24,21.36,21.03,21.18,11266100,21.06
2013-05-17,21.39,21.49,21.06,21.27,14610200,21.15
2013-05-16,20.91,21.54,20.91,21.36,17389200,21.24
2013-05-15,21.43,21.44,20.77,20.97,21036900,20.85
2013-05-14,21.33,21.71,21.07,21.52,18495400,21.39
2013-05-13,21.45,21.53,21.20,21.35,8386000,21.23
2013-05-10,21.28,21.64,21.19,21.54,12733600,21.41
2013-05-09,21.04,21.68,21.00,21.18,15489000,21.06
2013-05-08,20.47,21.07,20.44,21.07,12844300,20.95
2013-05-07,20.73,20.86,20.46,20.50,13431300,20.38
2013-05-06,20.66,20.80,20.55,20.64,7597700,20.52
2013-05-03,20.63,20.95,20.58,20.63,10923400,20.51
2013-05-02,20.43,20.62,20.30,20.45,9394400,20.33
2013-05-01,20.48,20.58,20.15,20.35,15127000,20.23
2013-04-30,20.55,20.70,20.24,20.60,15061200,20.48
2013-04-29,20.04,20.61,19.92,20.50,15918700,20.38
2013-04-26,19.66,20.35,19.56,19.97,27192500,19.85
2013-04-25,19.92,20.00,19.58,19.59,22505200,19.48
2013-04-24,19.52,20.35,19.49,19.84,25780900,19.72
2013-04-23,19.75,20.00,19.55,19.65,20012200,19.54
2013-04-22,19.69,19.80,19.31,19.76,22852800,19.64
2013-04-19,19.59,19.93,19.07,19.56,28418900,19.45
2013-04-18,20.53,20.58,20.06,20.21,18681100,20.09
2013-04-17,20.87,20.90,20.43,20.49,15693400,20.37
2013-04-16,20.78,21.14,20.67,21.03,13923400,20.91
2013-04-15,20.77,21.15,20.68,20.68,15919800,20.56
2013-04-12,20.78,20.94,20.66,20.90,19558400,20.78
2013-04-11,20.99,21.27,20.61,20.88,47718300,20.76
2013-04-10,22.17,22.45,22.17,22.32,15936000,22.19
2013-04-09,21.98,22.32,21.89,22.22,16487500,22.09
2013-04-08,22.05,22.24,21.66,21.93,15245900,21.80
2013-04-05,21.99,22.09,21.79,21.97,18875100,21.84
2013-04-04,21.87,22.33,21.79,22.30,20597300,22.17
2013-04-03,21.91,22.44,21.84,21.91,30128500,21.78
2013-04-02,22.35,22.48,21.82,22.10,48510200,21.97
2013-04-01,23.73,24.05,23.26,23.31,25232300,23.17
2013-03-28,23.50,23.93,23.40,23.84,24375300,23.70
2013-03-27,23.42,23.77,23.32,23.58,23973900,23.44
2013-03-26,23.18,23.71,23.10,23.64,27329000,23.50
2013-03-25,23.08,23.44,22.91,23.10,29581000,22.96
2013-03-22,22.32,23.14,22.32,23.04,27924700,22.91
2013-03-21,22.74,23.05,22.27,22.32,36433300,22.19
2013-03-20,23.13,23.58,22.88,22.92,35526900,22.79
2013-03-19,22.81,23.14,22.63,23.11,33874300,22.97
2013-03-18,22.25,22.91,22.20,22.83,39305700,22.70
2013-03-15,21.96,22.18,21.74,22.18,31792500,22.05
2013-03-14,21.32,21.94,21.28,21.93,24266900,21.80
2013-03-13,21.38,21.39,21.06,21.32,13852600,21.20
2013-03-12,21.00,21.45,20.94,21.40,17673000,21.27
2013-03-11,20.81,21.05,20.77,21.03,14717800,20.91
2013-03-08,21.12,21.16,20.88,21.00,19330300,20.75
2013-03-07,20.93,21.12,20.76,20.85,17905900,20.60
2013-03-06,20.56,21.33,20.50,20.93,33708900,20.68
2013-03-05,20.08,20.59,20.06,20.37,18507800,20.12
2013-03-04,20.07,20.14,19.79,19.97,19191300,19.73
2013-03-01,20.05,20.36,19.86,20.15,20337300,19.91
2013-02-28,19.68,20.26,19.66,20.14,27175700,19.90
2013-02-27,19.83,19.85,19.61,19.77,29505000,19.53
2013-02-26,19.13,19.92,19.05,19.79,38953200,19.55
2013-02-25,19.21,19.45,19.03,19.07,41488900,18.84
2013-02-22,18.21,19.83,18.11,19.20,133253100,18.97
2013-02-21,16.61,17.19,16.57,17.10,37604300,16.89
2013-02-20,17.01,17.17,16.64,16.70,18007300,16.50
2013-02-19,16.85,17.15,16.75,16.89,17447200,16.69
2013-02-15,17.11,17.13,16.72,16.79,15321500,16.59
2013-02-14,17.03,17.12,16.78,17.03,14264400,16.82
2013-02-13,17.08,17.16,16.87,17.01,11493700,16.80
2013-02-12,16.84,17.22,16.74,17.10,14906400,16.89
2013-02-11,16.86,16.94,16.68,16.83,11133700,16.63
2013-02-08,16.45,16.89,16.42,16.87,14976900,16.67
2013-02-07,16.64,16.67,16.27,16.44,16287600,16.24
2013-02-06,17.01,17.06,16.60,16.69,23063900,16.49
2013-02-05,16.07,16.74,16.03,16.61,23299900,16.41
2013-02-04,16.31,16.70,16.15,16.18,16561800,15.98
2013-02-01,16.67,16.75,16.42,16.46,16749200,16.26
2013-01-31,16.38,16.67,16.16,16.51,20505300,16.31
2013-01-30,16.51,16.57,16.28,16.40,20502600,16.20
2013-01-29,16.87,16.92,16.30,16.48,31364300,16.28
2013-01-28,17.02,17.17,16.90,17.02,15429300,16.81
2013-01-25,17.09,17.23,16.94,16.99,15429300,16.78
2013-01-24,16.96,17.30,16.83,17.01,17059700,16.80
2013-01-23,17.33,17.44,16.91,17.01,20093000,16.80
2013-01-22,17.20,17.38,17.01,17.25,27868800,17.04
2013-01-18,16.86,17.17,16.86,17.11,23546400,16.90
2013-01-17,17.25,17.45,17.04,17.11,28715800,16.90
2013-01-16,16.50,17.32,16.49,17.21,46989100,17.00
2013-01-15,16.82,16.86,16.38,16.53,39179700,16.33
2013-01-14,16.45,17.32,16.37,16.95,62084500,16.75
2013-01-11,16.48,16.73,15.85,16.16,39137900,15.96
2013-01-10,16.01,16.34,15.70,16.28,36289100,16.08
2013-01-09,15.63,15.92,15.55,15.85,34370700,15.66
2013-01-08,15.24,15.46,14.84,15.39,32886700,15.20
2013-01-07,15.19,15.47,15.15,15.17,19190100,14.99
2013-01-04,15.26,15.38,15.07,15.14,22010200,14.96
2013-01-03,15.13,15.72,14.92,15.14,42879400,14.96
2013-01-02,14.83,15.49,14.74,15.02,49765700,14.84
2012-12-31,13.65,14.30,13.60,14.25,28442900,14.08
2012-12-28,13.90,13.93,13.63,13.68,18193400,13.51
2012-12-27,14.13,14.19,13.87,14.04,16079800,13.87
2012-12-26,14.08,14.33,14.05,14.12,15110400,13.95
2012-12-24,14.29,14.29,13.91,14.01,9455300,13.84
2012-12-21,14.22,14.34,14.05,14.34,26400300,14.17
2012-12-20,14.40,14.46,14.15,14.43,17390800,14.26
2012-12-19,14.58,14.64,14.27,14.38,23917700,14.21
2012-12-18,14.17,14.63,14.04,14.53,37836200,14.35
2012-12-17,14.72,14.83,14.10,14.21,30862300,14.04
2012-12-14,14.50,14.75,14.38,14.75,26071600,14.57
2012-12-13,14.57,14.81,14.36,14.50,26299700,14.32
2012-12-12,14.36,14.68,14.32,14.53,33299000,14.35
2012-12-11,14.30,14.47,14.10,14.26,31966200,14.09
2012-12-10,13.85,14.59,13.71,14.16,51315100,13.99
2012-12-07,13.90,14.05,13.72,13.94,25255900,13.64
2012-12-06,13.91,14.04,13.64,13.83,31090000,13.53
2012-12-05,13.51,14.20,13.45,13.82,55554700,13.52
2012-12-04,13.00,13.58,12.91,13.53,36572500,13.24
2012-12-03,13.17,13.34,12.82,12.87,25445800,12.59
2012-11-30,12.92,13.03,12.76,12.99,23615800,12.71
2012-11-29,12.78,13.09,12.78,12.89,31333500,12.61
2012-11-28,12.38,12.78,12.22,12.73,33204800,12.46
2012-11-27,12.75,12.82,12.32,12.36,31376900,12.09
2012-11-26,12.40,12.90,12.27,12.74,26257700,12.47
2012-11-23,12.01,12.49,12.01,12.44,26257700,12.17
2012-11-21,11.65,12.17,11.55,11.94,64837400,11.68
2012-11-20,11.64,12.06,11.35,11.71,154673600,11.46
2012-11-19,12.97,13.40,12.94,13.30,32628900,13.01
2012-11-16,13.08,13.10,12.36,12.85,34996800,12.57
2012-11-15,13.13,13.27,12.93,13.08,24570500,12.80
2012-11-14,13.16,13.36,13.08,13.14,25143500,12.86
2012-11-13,13.34,13.40,13.07,13.14,26404500,12.86
2012-11-12,13.65,13.72,13.31,13.41,18701600,13.12
2012-11-09,13.80,13.91,13.60,13.61,21066600,13.32
2012-11-08,13.78,13.89,13.72,13.82,19326100,13.52
2012-11-07,14.32,14.35,13.69,13.69,27039500,13.40
2012-11-06,14.02,14.48,14.02,14.40,22732200,14.09
2012-11-05,13.68,14.05,13.68,14.01,14326900,13.71
2012-11-02,14.12,14.20,13.68,13.76,32509100,13.46
2012-11-01,13.88,14.10,13.80,14.00,24996800,13.70
2012-10-31,14.18,14.23,13.80,13.85,19441900,13.55
2012-10-26,14.14,14.31,13.94,14.09,19270000,13.79
2012-10-25,14.15,14.38,14.06,14.19,21476200,13.89
2012-10-24,14.34,14.36,14.03,14.04,18311700,13.74
2012-10-23,14.45,14.48,14.25,14.26,19024900,13.95
2012-10-22,14.41,14.72,14.30,14.71,17489800,14.39
2012-10-19,14.78,14.80,14.46,14.48,20828200,14.17
2012-10-18,14.73,14.85,14.60,14.80,22172800,14.48
2012-10-17,14.60,14.73,14.33,14.72,17941500,14.40
2012-10-16,14.51,14.78,14.50,14.57,23833500,14.26
2012-10-15,14.44,14.50,14.25,14.47,26932300,14.16
2012-10-12,14.25,14.50,14.25,14.41,25354900,14.10
2012-10-11,14.22,14.45,14.14,14.25,36195300,13.94
2012-10-10,14.29,14.40,14.02,14.18,38774300,13.88
2012-10-09,14.40,14.49,14.16,14.37,29632900,14.06
2012-10-08,14.57,14.82,14.41,14.46,32807400,14.15
2012-10-05,14.91,15.12,14.67,14.73,40654500,14.41
2012-10-04,14.70,14.98,14.24,14.94,90421800,14.62
2012-10-03,17.23,17.35,14.85,14.91,141024800,14.59
2012-10-02,17.33,17.45,16.94,17.13,19555900,16.76
2012-10-01,17.20,17.62,17.15,17.21,21767200,16.84
2012-09-28,17.17,17.32,16.96,17.06,22710000,16.69
2012-09-27,16.81,17.31,16.75,17.23,28952200,16.86
2012-09-26,16.69,17.25,16.23,17.11,37145900,16.74
2012-09-25,17.22,17.27,16.70,16.71,28068900,16.35
2012-09-24,17.46,17.46,17.13,17.21,15916200,16.84
2012-09-21,17.92,17.94,17.45,17.59,20565800,17.21
2012-09-20,17.94,17.97,17.51,17.76,19588800,17.38
2012-09-19,18.42,18.46,18.03,18.10,19014000,17.71
2012-09-18,18.07,18.28,18.04,18.25,16884300,17.86
2012-09-17,18.24,18.31,18.03,18.21,16447300,17.82
2012-09-14,18.29,18.56,18.11,18.17,27927300,17.78
2012-09-13,18.03,18.33,17.84,18.24,21946100,17.85
2012-09-12,18.03,18.20,17.92,17.99,24021500,17.60
2012-09-11,17.54,17.97,17.50,17.95,18475300,17.57
2012-09-10,17.39,17.67,17.34,17.43,19540600,17.06
2012-09-07,17.31,17.49,17.12,17.42,16757100,16.92
2012-09-06,17.37,17.75,17.23,17.59,23129000,17.08
2012-09-05,16.93,17.33,16.84,17.27,20989600,16.77
2012-09-04,16.82,17.08,16.81,16.99,17062200,16.50
2012-08-31,16.88,17.10,16.80,16.88,19586800,16.39
2012-08-30,16.87,16.99,16.77,16.78,15821400,16.30
2012-08-29,16.86,17.09,16.82,16.94,23517800,16.45
2012-08-28,17.13,17.28,16.81,16.90,34268000,16.41
2012-08-27,17.65,17.74,17.16,17.21,27241500,16.71
2012-08-24,17.65,17.74,17.50,17.58,22115900,17.07
2012-08-23,18.05,18.22,17.56,17.64,72809500,17.13
2012-08-22,19.50,19.63,19.10,19.20,38201400,18.65
2012-08-21,20.22,20.26,19.76,19.93,21028800,19.35
2012-08-20,19.55,20.13,19.39,20.09,17912400,19.51
2012-08-17,19.52,19.53,19.26,19.52,14626800,18.96
2012-08-16,19.43,19.60,19.22,19.52,17835400,18.96
2012-08-15,19.29,19.40,19.18,19.29,10988200,18.73
2012-08-14,19.76,19.86,19.27,19.36,18077800,18.80
2012-08-13,19.69,20.07,19.48,19.62,13863900,19.05
2012-08-10,19.30,19.73,19.28,19.70,18170700,19.13
2012-08-09,19.40,19.56,19.06,19.41,20192600,18.85
2012-08-08,19.48,19.75,19.24,19.41,44990300,18.85
2012-08-07,18.56,19.05,18.51,18.96,19670100,18.41
2012-08-06,18.29,18.82,18.23,18.69,15318000,18.15
2012-08-03,17.83,18.33,17.72,18.26,18989200,17.73
2012-08-02,17.61,18.18,17.41,17.55,31160600,17.04
