Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,29.93,31.66,29.69,30.63,5796000,30.63
2013-07-11,30.00,30.00,29.66,29.94,1987600,29.94
2013-07-10,29.26,29.63,29.03,29.58,1646800,29.58
2013-07-09,29.05,29.27,28.75,29.21,1976400,29.21
2013-07-08,28.38,28.98,28.35,28.95,2355700,28.95
2013-07-05,28.20,28.30,27.95,28.30,885100,28.30
2013-07-03,27.73,28.19,27.51,27.92,970500,27.92
2013-07-02,28.14,28.37,27.83,28.01,1617000,28.01
2013-07-01,27.87,28.46,27.87,28.14,2329400,28.14
2013-06-28,28.13,28.23,27.72,27.75,3706900,27.75
2013-06-27,28.56,28.59,28.17,28.29,1960600,28.29
2013-06-26,28.18,28.56,28.00,28.36,1964800,28.36
2013-06-25,27.69,28.04,27.65,27.89,1983200,27.89
2013-06-24,28.06,28.11,27.24,27.48,2759800,27.48
2013-06-21,28.45,28.64,28.07,28.43,2611400,28.43
2013-06-20,28.80,28.83,28.14,28.23,1927300,28.23
2013-06-19,29.22,29.56,29.09,29.09,1776600,29.09
2013-06-18,28.90,29.36,28.85,29.22,1607800,29.22
2013-06-17,28.84,29.16,28.67,28.87,2647800,28.87
2013-06-14,28.80,28.92,28.51,28.63,2794300,28.63
2013-06-13,28.58,29.21,27.70,28.91,6569800,28.91
2013-06-12,29.52,29.52,28.78,28.83,2735700,28.63
2013-06-11,29.71,29.76,29.27,29.40,2306600,29.20
2013-06-10,29.90,30.05,29.59,29.90,1732300,29.69
2013-06-07,29.37,29.94,29.29,29.84,2070600,29.63
2013-06-06,28.23,29.13,28.15,29.13,1988400,28.93
2013-06-05,28.71,28.83,28.16,28.30,2094100,28.10
2013-06-04,28.94,29.04,28.23,28.80,2973700,28.60
2013-06-03,29.33,29.56,28.76,28.91,2731300,28.71
2013-05-31,29.62,30.19,29.27,29.27,2601700,29.07
2013-05-30,29.63,29.99,29.56,29.68,1524800,29.47
2013-05-29,29.51,29.78,29.44,29.59,1496500,29.38
2013-05-28,29.38,29.81,29.38,29.68,1844900,29.47
2013-05-24,28.92,29.22,28.69,29.19,1324200,28.99
2013-05-23,28.98,29.22,28.62,29.15,3108000,28.95
2013-05-22,29.58,30.00,29.05,29.19,3512000,28.99
2013-05-21,29.64,29.75,28.71,29.64,2164400,29.43
2013-05-20,29.62,30.23,29.54,29.61,3465000,29.40
2013-05-17,28.85,29.64,28.82,29.64,3693000,29.43
2013-05-16,28.62,29.20,28.60,28.83,3236400,28.63
2013-05-15,28.00,28.87,27.91,28.77,3918000,28.57
2013-05-14,27.53,27.99,27.48,27.93,1773600,27.74
2013-05-13,27.81,27.88,27.48,27.56,1552900,27.37
2013-05-10,27.65,27.83,27.33,27.82,2045500,27.63
2013-05-09,27.74,27.93,27.31,27.53,3702900,27.34
2013-05-08,27.85,27.86,27.28,27.70,4091300,27.51
2013-05-07,28.48,28.57,27.95,27.96,4319900,27.77
2013-05-06,28.56,28.62,28.32,28.46,1770200,28.26
2013-05-03,28.37,28.81,28.18,28.62,2690200,28.42
2013-05-02,27.95,28.43,27.87,28.15,2709100,27.95
2013-05-01,27.62,28.02,27.41,27.93,3062700,27.74
2013-04-30,27.86,28.21,27.71,27.74,2044300,27.55
2013-04-29,28.57,28.67,27.93,27.95,2506100,27.76
2013-04-26,26.95,28.96,26.95,28.66,6067800,28.46
2013-04-25,28.17,28.37,27.87,28.03,3867000,27.84
2013-04-24,28.41,28.56,28.00,28.22,2506500,28.02
2013-04-23,27.92,28.42,27.85,28.35,2244900,28.15
2013-04-22,27.75,27.75,27.26,27.72,1993300,27.53
2013-04-19,26.93,27.82,26.87,27.74,3514300,27.55
2013-04-18,26.74,27.17,26.58,26.90,5374700,26.71
2013-04-17,27.43,27.49,26.67,26.70,5905600,26.51
2013-04-16,27.54,27.72,27.30,27.65,2659700,27.46
2013-04-15,28.37,28.50,27.38,27.38,2613200,27.19
2013-04-12,28.67,28.89,28.51,28.58,1574200,28.38
2013-04-11,28.85,29.10,28.73,28.76,2391500,28.56
2013-04-10,28.54,29.05,28.44,28.95,3055900,28.75
2013-04-09,28.34,28.50,28.16,28.30,2096000,28.10
2013-04-08,28.27,28.37,28.14,28.33,2400800,28.13
2013-04-05,28.18,28.32,27.82,28.28,3038000,28.08
2013-04-04,28.74,28.90,28.36,28.43,4646200,28.23
2013-04-03,29.35,29.39,28.71,28.73,3578300,28.53
2013-04-02,29.42,29.50,29.20,29.24,3119500,29.04
2013-04-01,29.46,29.68,29.17,29.27,2971900,29.07
2013-03-28,29.15,29.43,28.98,29.42,2348600,29.22
2013-03-27,28.81,29.18,28.74,29.16,3606600,28.96
2013-03-26,28.52,28.93,28.52,28.91,3085900,28.71
2013-03-25,28.36,28.67,28.29,28.46,3196900,28.26
2013-03-22,27.90,28.34,27.74,28.32,5515100,28.12
2013-03-21,27.78,28.09,27.78,27.90,4451400,27.71
2013-03-20,27.71,27.94,27.56,27.83,4316800,27.64
2013-03-19,27.68,27.84,27.44,27.60,3339900,27.41
2013-03-18,27.33,27.77,27.17,27.62,3894200,27.43
2013-03-15,27.82,27.88,27.42,27.51,4472100,27.32
2013-03-14,27.92,28.09,27.72,27.93,4324900,27.74
2013-03-13,27.59,28.27,27.44,28.19,7217500,27.80
2013-03-12,27.42,27.71,27.26,27.71,5361600,27.32
2013-03-11,27.13,27.39,27.02,27.34,5300100,26.96
2013-03-08,26.85,27.50,26.53,27.28,15677900,26.90
2013-03-07,25.34,25.59,24.83,24.98,7001400,24.63
2013-03-06,25.21,25.31,24.98,25.26,3478300,24.91
2013-03-05,25.48,25.50,25.01,25.12,4054500,24.77
2013-03-04,24.74,25.50,24.66,25.44,4512300,25.08
2013-03-01,24.83,24.95,24.57,24.78,4195100,24.43
2013-02-28,24.90,25.00,24.79,24.86,2681000,24.51
2013-02-27,24.57,24.97,24.57,24.88,3366900,24.53
2013-02-26,24.41,24.70,24.33,24.61,3918300,24.27
2013-02-25,24.70,24.83,24.27,24.27,3962900,23.93
2013-02-22,24.64,24.85,24.44,24.66,3401500,24.32
2013-02-21,24.50,24.66,24.17,24.54,4899000,24.20
2013-02-20,25.00,25.06,24.44,24.45,3699500,24.11
2013-02-19,25.07,25.07,23.96,25.00,8838200,24.65
2013-02-15,24.90,25.23,24.87,25.10,3879100,24.75
2013-02-14,24.77,24.93,24.73,24.86,2320300,24.51
2013-02-13,24.84,25.04,24.72,24.84,3523600,24.49
2013-02-12,24.45,24.84,24.40,24.74,3952400,24.39
2013-02-11,24.40,24.48,24.26,24.45,3472300,24.11
2013-02-08,24.07,24.43,24.03,24.40,2391900,24.06
2013-02-07,24.00,24.10,23.66,24.09,3287100,23.75
2013-02-06,23.66,24.05,23.46,24.00,4020600,23.66
2013-02-05,23.77,23.79,23.42,23.74,5792800,23.41
2013-02-04,22.81,23.96,22.77,23.82,7012600,23.49
2013-02-01,22.98,23.27,22.86,22.86,5349500,22.54
2013-01-31,22.98,23.12,22.75,22.77,5029400,22.45
2013-01-30,22.96,23.19,22.67,23.07,5516100,22.75
2013-01-29,22.66,22.94,22.49,22.92,6334800,22.60
2013-01-28,22.25,22.71,22.15,22.66,6758700,22.34
2013-01-25,21.81,22.34,21.71,22.33,8532400,22.02
2013-01-24,21.28,21.73,21.27,21.72,6885500,21.42
2013-01-23,20.86,21.34,20.76,21.26,12080200,20.96
2013-01-22,20.60,20.91,20.47,20.89,5151700,20.60
2013-01-18,20.30,20.60,20.15,20.56,4109300,20.27
2013-01-17,19.50,20.57,19.38,20.34,8763700,20.06
2013-01-16,19.19,19.40,19.19,19.39,1818300,19.12
2013-01-15,19.30,19.39,19.26,19.28,3273400,19.01
2013-01-14,19.82,19.82,19.18,19.41,4692300,19.14
2013-01-11,19.82,20.06,19.68,19.98,4589100,19.70
2013-01-10,19.51,19.88,19.50,19.80,4806300,19.52
2013-01-09,19.11,19.59,19.07,19.46,2400600,19.19
2013-01-08,19.11,19.25,19.05,19.06,3883000,18.79
