Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,51.20,51.76,51.04,51.76,521500,51.76
2013-07-11,50.73,51.21,50.67,51.06,617600,51.06
2013-07-10,49.50,50.34,49.50,50.17,735900,50.17
2013-07-09,49.82,50.35,49.75,49.90,842800,49.90
2013-07-08,49.68,49.94,49.42,49.70,682900,49.70
2013-07-05,49.36,49.56,49.03,49.56,372200,49.56
2013-07-03,49.05,49.30,48.75,49.08,370400,49.08
2013-07-02,49.79,50.27,49.11,49.32,538100,49.32
2013-07-01,49.68,50.11,49.40,49.96,782800,49.96
2013-06-28,49.32,49.44,48.89,49.25,1162200,49.25
2013-06-27,49.08,49.67,49.05,49.46,432800,49.46
2013-06-26,48.47,49.01,48.07,48.85,721600,48.85
2013-06-25,48.28,48.40,47.75,48.12,511300,48.12
2013-06-24,48.20,48.66,47.69,47.82,548500,47.82
2013-06-21,48.88,49.06,48.03,48.58,1305600,48.58
2013-06-20,49.53,49.56,48.43,48.45,691400,48.45
2013-06-19,50.23,50.70,49.80,49.85,869000,49.85
2013-06-18,49.95,50.22,49.71,50.09,559600,50.09
2013-06-17,50.03,50.36,49.56,49.85,707300,49.85
2013-06-14,49.84,50.42,49.64,49.82,540000,49.82
2013-06-13,49.09,50.13,48.88,49.99,388800,49.99
2013-06-12,50.07,50.18,48.99,49.05,408800,49.05
2013-06-11,49.91,50.33,49.66,49.80,315700,49.80
2013-06-10,50.45,50.53,50.16,50.35,342100,50.35
2013-06-07,50.32,50.44,49.81,50.35,494400,50.35
2013-06-06,49.66,50.36,49.59,50.11,821500,50.11
2013-06-05,50.02,50.23,49.50,49.53,573500,49.53
2013-06-04,50.49,50.70,49.97,50.08,800600,50.08
2013-06-03,50.23,50.48,49.34,50.46,904800,50.46
2013-05-31,50.95,51.29,50.07,50.13,910700,50.13
2013-05-30,51.06,51.35,50.88,51.03,721000,51.03
2013-05-29,50.57,51.46,50.36,51.16,1462100,51.16
2013-05-28,50.81,51.40,50.74,51.23,1001800,50.86
2013-05-24,49.88,50.38,49.49,50.37,561400,50.01
2013-05-23,49.43,50.30,49.37,50.10,597700,49.74
2013-05-22,50.41,50.65,49.68,49.90,722500,49.54
2013-05-21,50.55,50.83,50.14,50.17,689700,49.81
2013-05-20,50.30,50.94,50.06,50.36,679800,50.00
2013-05-17,49.31,50.68,49.31,50.46,983700,50.10
2013-05-16,49.71,50.49,49.37,49.43,1086700,49.07
2013-05-15,49.27,49.84,49.16,49.82,696400,49.46
2013-05-14,48.87,49.69,48.87,49.29,986000,48.93
2013-05-13,49.04,49.37,48.58,48.99,884000,48.64
2013-05-10,48.57,48.98,48.32,48.79,715300,48.44
2013-05-09,48.26,48.96,48.11,48.52,963700,48.17
2013-05-08,47.06,48.45,47.01,48.29,962300,47.94
2013-05-07,46.68,47.31,46.49,47.20,644800,46.86
2013-05-06,46.42,46.79,46.18,46.60,603000,46.26
2013-05-03,46.39,46.65,46.26,46.47,690200,46.13
2013-05-02,45.41,46.07,45.30,45.90,900300,45.57
2013-05-01,45.92,45.92,45.20,45.22,984000,44.89
2013-04-30,44.99,46.51,43.95,46.20,1602600,45.87
2013-04-29,44.18,44.62,43.95,44.59,804400,44.27
2013-04-26,44.18,44.30,43.72,43.93,872700,43.61
2013-04-25,43.78,44.33,43.64,44.26,841500,43.94
2013-04-24,43.12,43.76,42.92,43.58,792100,43.27
2013-04-23,42.99,43.22,42.72,43.10,1234700,42.79
2013-04-22,42.04,43.04,41.80,42.74,1221000,42.43
2013-04-19,41.75,42.08,41.62,41.98,933100,41.68
2013-04-18,41.63,41.83,41.08,41.66,1269300,41.36
2013-04-17,42.21,42.45,41.29,41.71,1755100,41.41
2013-04-16,42.97,43.10,42.15,42.36,1827900,42.05
2013-04-15,43.78,43.93,42.56,42.80,2146800,42.49
2013-04-12,44.80,45.75,43.85,44.06,2521800,43.74
2013-04-11,45.68,46.58,45.56,46.56,1024300,46.22
2013-04-10,45.15,45.85,45.08,45.81,705100,45.48
2013-04-09,44.67,45.38,44.48,44.95,802500,44.63
2013-04-08,44.67,44.74,44.33,44.74,508700,44.42
2013-04-05,44.76,44.88,44.37,44.52,616100,44.20
2013-04-04,45.64,45.79,45.10,45.27,597400,44.94
2013-04-03,46.32,46.66,45.59,45.80,773500,45.47
2013-04-02,46.36,46.50,45.93,46.25,778200,45.92
2013-04-01,46.29,46.29,45.75,46.04,1050100,45.71
2013-03-28,45.35,46.58,45.01,46.34,1314800,46.01
2013-03-27,44.66,45.38,44.32,45.29,849300,44.96
2013-03-26,44.82,45.04,44.67,44.90,924800,44.58
2013-03-25,44.05,44.71,44.03,44.63,1092400,44.31
2013-03-22,44.26,44.31,43.70,43.99,952300,43.67
2013-03-21,44.58,44.91,44.13,44.13,963400,43.81
2013-03-20,44.89,45.16,44.70,44.98,763400,44.66
2013-03-19,44.47,46.11,44.11,44.61,1140600,44.29
2013-03-18,43.92,44.61,43.75,44.30,811500,43.98
2013-03-15,44.74,44.93,44.22,44.36,1579100,44.04
2013-03-14,45.44,45.50,44.77,44.89,854300,44.57
2013-03-13,44.94,45.43,44.66,45.26,878700,44.93
2013-03-12,44.80,44.95,44.47,44.93,1218700,44.61
2013-03-11,45.38,45.45,44.59,44.82,1315200,44.50
2013-03-08,45.94,46.00,45.08,45.42,1025800,45.09
2013-03-07,45.75,46.23,45.48,45.74,785900,45.41
2013-03-06,46.79,46.80,45.39,45.73,1751900,45.40
2013-03-05,47.33,47.51,47.02,47.23,620900,46.89
2013-03-04,47.51,47.73,47.05,47.33,489700,46.62
2013-03-01,47.85,48.17,47.33,47.71,684100,47.00
2013-02-28,47.92,48.44,47.92,48.07,816200,47.35
2013-02-27,47.34,48.49,47.34,48.06,923800,47.34
2013-02-26,47.09,47.46,46.90,47.31,775600,46.60
2013-02-25,48.26,48.37,47.10,47.10,978500,46.39
2013-02-22,47.13,48.20,47.13,47.98,858300,47.26
2013-02-21,47.21,47.21,46.68,47.00,878400,46.30
2013-02-20,47.18,47.88,47.18,47.46,847200,46.75
2013-02-19,47.57,48.06,47.30,47.65,967900,46.94
2013-02-15,47.94,47.97,47.45,47.61,900100,46.90
2013-02-14,46.96,47.87,46.87,47.74,932900,47.02
2013-02-13,46.84,47.18,46.63,47.10,639000,46.39
2013-02-12,46.59,46.89,46.37,46.75,661900,46.05
2013-02-11,46.53,46.86,46.27,46.54,813000,45.84
2013-02-08,46.69,47.03,46.49,46.62,811500,45.92
2013-02-07,46.56,46.88,46.21,46.53,879900,45.83
2013-02-06,46.10,46.70,45.97,46.50,648000,45.80
2013-02-05,45.82,46.39,45.73,46.31,730200,45.62
2013-02-04,46.01,46.25,45.65,45.68,746800,45.00
2013-02-01,46.04,46.50,45.61,46.28,1387600,45.59
2013-01-31,46.86,47.05,46.15,46.20,1315100,45.51
2013-01-30,46.78,47.49,46.72,46.90,984400,46.20
2013-01-29,48.82,48.84,46.72,47.09,1678100,46.38
2013-01-28,49.72,49.72,49.11,49.25,686200,48.51
2013-01-25,49.50,49.64,49.19,49.49,812500,48.75
2013-01-24,49.59,49.85,49.24,49.48,764600,48.74
2013-01-23,49.95,50.06,49.42,49.55,543300,48.81
2013-01-22,50.03,50.13,49.48,49.85,619300,49.10
2013-01-18,49.75,50.09,49.05,49.94,860700,49.19
2013-01-17,49.86,50.02,49.66,49.73,627800,48.98
2013-01-16,49.56,49.63,49.31,49.49,365700,48.75
2013-01-15,48.95,49.70,48.90,49.65,634800,48.91
2013-01-14,49.67,49.67,48.87,49.19,616100,48.45
2013-01-11,50.29,50.29,49.71,49.75,596400,49.00
2013-01-10,50.28,50.53,49.81,50.04,495800,49.29
2013-01-09,49.12,50.01,49.05,50.00,1139000,49.25
2013-01-08,49.37,49.52,48.83,48.91,858400,48.18
2013-01-07,49.59,50.21,49.34,50.07,764600,49.32
2013-01-04,49.58,50.24,49.25,49.88,711000,49.13
2013-01-03,50.21,50.46,49.42,49.44,774000,48.70
2013-01-02,49.87,50.45,49.84,50.21,977000,49.46
2012-12-31,48.25,48.98,48.11,48.96,526800,48.23
2012-12-28,48.83,48.91,48.30,48.31,438400,47.59
2012-12-27,49.40,49.48,48.50,49.12,465900,48.38
2012-12-26,49.51,49.89,49.11,49.39,478700,48.65
2012-12-24,49.35,49.69,49.28,49.54,278500,48.80
2012-12-21,49.37,50.04,49.36,49.67,1164600,48.93
2012-12-20,50.00,50.20,49.69,49.90,1169000,49.15
2012-12-19,49.71,50.35,49.48,50.10,1259700,49.35
2012-12-18,48.70,49.72,48.45,49.70,1028300,48.96
2012-12-17,48.44,48.74,48.15,48.64,727000,47.91
2012-12-14,48.51,48.60,48.09,48.17,648600,47.45
2012-12-13,48.92,49.38,48.51,48.80,790100,48.07
2012-12-12,49.50,49.74,48.95,49.06,1220600,48.32
2012-12-11,49.01,49.59,48.97,49.31,764000,48.57
2012-12-10,48.16,49.15,48.11,49.02,974800,48.29
2012-12-07,48.05,48.52,47.82,48.49,629600,47.76
2012-12-06,47.02,48.05,46.25,48.03,1130600,47.31
2012-12-05,47.56,48.07,47.18,47.98,713500,47.26
2012-12-04,46.47,47.69,46.40,47.61,958200,46.90
2012-12-03,47.17,47.59,46.40,46.42,627500,45.72
2012-11-30,47.30,47.47,46.86,47.13,634300,46.42
2012-11-29,47.02,47.58,46.78,47.24,622200,46.53
2012-11-28,46.50,47.05,46.17,47.00,585900,46.30
2012-11-27,46.57,47.06,46.46,46.65,900300,45.95
2012-11-26,46.82,47.06,46.50,46.57,648500,45.87
2012-11-23,46.51,46.83,46.46,46.83,375500,46.13
2012-11-21,46.38,46.42,46.09,46.26,773500,45.57
2012-11-20,46.44,46.44,45.94,46.27,1252200,45.58
2012-11-19,46.82,46.93,46.39,46.59,952100,45.53
2012-11-16,46.30,46.55,45.74,46.42,1619800,45.36
2012-11-15,46.91,47.20,46.03,46.30,1453900,45.24
2012-11-14,48.20,48.34,46.69,46.86,1180800,45.79
2012-11-13,47.72,48.44,47.55,47.94,1194000,46.85
2012-11-12,48.46,49.04,47.79,48.14,537100,47.04
2012-11-09,47.86,49.05,47.83,48.65,1037600,47.54
2012-11-08,48.35,48.82,47.89,47.96,760300,46.87
2012-11-07,48.93,48.93,48.02,48.25,1220100,47.15
2012-11-06,48.45,49.47,48.23,49.25,929500,48.13
2012-11-05,47.20,48.48,47.18,48.38,804800,47.28
2012-11-02,47.96,48.00,47.01,47.46,695200,46.38
2012-11-01,45.79,47.71,45.75,47.66,877000,46.57
2012-10-31,46.74,46.87,45.73,45.78,1002800,44.74
2012-10-26,47.17,47.32,46.97,47.14,970800,46.06
2012-10-25,46.82,47.26,46.70,47.06,719800,45.99
2012-10-24,46.49,46.83,45.94,46.65,1255000,45.59
2012-10-23,45.87,46.38,45.62,46.17,851500,45.12
2012-10-22,46.48,46.53,45.85,46.32,631400,45.26
2012-10-19,46.90,46.94,46.12,46.33,785200,45.27
2012-10-18,47.16,47.25,46.68,46.95,1132800,45.88
2012-10-17,46.97,47.46,46.81,47.14,797200,46.06
2012-10-16,46.79,47.14,46.73,46.96,1899900,45.89
2012-10-15,47.84,48.30,46.54,46.86,3029700,45.79
2012-10-12,50.74,50.74,48.69,48.84,1634900,47.73
2012-10-11,51.35,51.57,50.79,50.85,418100,49.69
2012-10-10,51.18,51.27,50.80,50.86,426500,49.70
2012-10-09,51.65,51.94,50.97,51.10,646000,49.93
2012-10-08,51.67,51.99,51.46,51.69,504400,50.51
2012-10-05,51.48,52.23,51.27,51.97,1209600,50.78
2012-10-04,51.67,51.79,50.99,51.12,1425400,49.95
2012-10-03,51.54,51.93,51.31,51.56,957100,50.38
2012-10-02,51.25,51.47,51.01,51.39,972500,50.22
2012-10-01,51.27,51.27,50.50,50.88,1052200,49.72
2012-09-28,51.16,51.36,50.54,51.22,1113300,50.05
2012-09-27,50.97,51.47,50.85,51.34,971200,50.17
2012-09-26,51.14,51.23,50.29,50.80,544100,49.64
2012-09-25,51.23,51.68,51.00,51.04,1091500,49.88
2012-09-24,50.78,51.40,50.52,51.22,582500,50.05
2012-09-21,51.07,51.35,51.03,51.16,1112200,49.99
2012-09-20,50.43,51.04,50.43,50.70,1028600,49.54
2012-09-19,50.44,50.92,50.35,50.60,937600,49.45
2012-09-18,50.10,50.40,49.99,50.31,650500,49.16
2012-09-17,50.53,50.77,49.97,50.20,760400,49.06
2012-09-14,49.51,50.52,49.48,50.52,1574500,49.37
2012-09-13,48.75,49.95,48.37,49.54,1368600,48.41
2012-09-12,47.98,48.82,47.91,48.81,1180900,47.70
2012-09-11,46.91,47.85,46.72,47.77,1060200,46.68
2012-09-10,47.10,47.14,46.77,46.79,577000,45.72
2012-09-07,46.74,47.36,46.44,47.10,747700,46.03
2012-09-06,46.50,47.28,46.37,46.95,976400,45.88
2012-09-05,46.52,46.84,46.07,46.10,862800,45.05
2012-09-04,46.99,47.02,46.09,46.80,928300,45.37
2012-08-31,47.26,47.55,46.82,47.03,754400,45.59
2012-08-30,47.04,47.36,46.76,47.09,923000,45.65
2012-08-29,47.15,47.60,47.15,47.55,1443200,46.10
2012-08-28,46.73,47.40,46.61,47.28,1149200,45.84
2012-08-27,46.48,47.13,46.46,47.02,634200,45.58
2012-08-24,46.30,46.53,45.80,46.53,784300,45.11
2012-08-23,46.15,46.64,45.91,46.64,913800,45.22
2012-08-22,46.33,46.42,45.87,46.17,808100,44.76
2012-08-21,46.34,46.68,46.26,46.49,544500,45.07
2012-08-20,46.22,46.47,45.80,46.45,558300,45.03
2012-08-17,46.01,46.43,46.00,46.35,543800,44.93
2012-08-16,45.97,46.30,45.88,46.00,893300,44.60
2012-08-15,45.64,45.99,45.37,45.87,709600,44.47
2012-08-14,45.83,45.91,45.44,45.58,535400,44.19
2012-08-13,45.63,45.88,45.24,45.72,623100,44.32
2012-08-10,45.39,45.68,45.13,45.64,489800,44.25
2012-08-09,45.07,45.92,44.94,45.56,705400,44.17
2012-08-08,44.75,45.32,44.72,45.14,569500,43.76
2012-08-07,44.17,45.04,44.08,44.93,942800,43.56
2012-08-06,43.34,44.10,43.34,44.06,632600,42.71
2012-08-03,43.09,43.35,42.84,43.27,479600,41.95
2012-08-02,41.95,42.70,41.68,42.39,927900,41.10
2012-08-01,41.65,42.98,41.20,42.31,1102900,41.02
2012-07-31,41.91,42.50,41.51,41.65,1113700,40.38
2012-07-30,42.21,42.85,42.12,42.16,2489300,40.87
2012-07-27,41.49,42.56,41.22,42.51,644000,41.21
2012-07-26,41.18,41.46,40.83,41.25,418600,39.99
2012-07-25,40.10,40.62,39.88,40.34,419800,39.11
2012-07-24,40.75,40.81,39.67,39.95,496500,38.73
2012-07-23,40.19,40.92,39.02,40.74,307800,39.50
2012-07-20,41.50,41.69,41.15,41.25,314000,39.99
2012-07-19,41.50,42.01,41.27,41.77,554400,40.49
2012-07-18,40.42,41.46,40.42,41.35,499500,40.09
2012-07-17,40.49,40.67,39.85,40.45,472600,39.21
2012-07-16,40.74,40.79,40.21,40.40,455500,39.17
2012-07-13,40.43,40.96,40.34,40.85,591900,39.60
2012-07-12,40.18,40.43,39.98,40.25,510500,39.02
2012-07-11,40.73,40.96,40.22,40.52,661200,39.28
2012-07-10,41.50,41.75,40.48,40.64,732900,39.40
2012-07-09,41.66,41.93,41.05,41.30,858100,40.04
