Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,86.55,87.25,85.41,85.53,1005700,85.53
2013-07-11,85.71,86.50,85.00,86.20,668700,86.20
2013-07-10,85.18,85.64,84.57,84.93,872900,84.93
2013-07-09,84.94,86.29,84.85,85.18,1439400,85.18
2013-07-08,84.29,84.77,83.89,84.27,866700,84.27
2013-07-05,83.54,83.74,82.61,83.68,554000,83.68
2013-07-03,82.70,83.55,82.14,83.05,784900,83.05
2013-07-02,85.00,85.22,82.33,82.93,1219700,82.93
2013-07-01,84.85,86.30,84.84,85.19,1171600,85.19
2013-06-28,85.08,85.10,84.09,84.38,1477200,84.38
2013-06-27,84.25,85.56,84.11,85.17,1281500,85.17
2013-06-26,84.71,85.48,83.91,84.16,1304400,84.16
2013-06-25,85.02,85.27,84.04,84.41,1390400,84.14
2013-06-24,84.44,85.90,84.00,84.60,1782200,84.33
2013-06-21,84.23,84.96,84.02,84.91,2001900,84.64
2013-06-20,83.51,84.79,83.15,83.63,1895200,83.36
2013-06-19,83.60,85.36,83.38,84.16,2217900,83.89
2013-06-18,82.09,83.71,82.03,83.60,949900,83.33
2013-06-17,81.26,82.44,81.15,82.24,997900,81.98
2013-06-14,81.32,82.05,80.80,80.93,816900,80.67
2013-06-13,80.90,81.87,80.15,81.46,867100,81.20
2013-06-12,81.78,82.00,80.76,80.91,569500,80.65
2013-06-11,81.01,82.29,80.36,81.39,781700,81.13
2013-06-10,81.06,82.11,81.04,81.77,740000,81.51
2013-06-07,80.44,81.19,79.82,81.02,901400,80.76
2013-06-06,79.20,80.03,78.79,79.98,776200,79.72
2013-06-05,80.00,80.37,78.55,79.20,1002300,78.95
2013-06-04,80.46,81.25,80.00,80.18,1211400,79.92
2013-06-03,81.17,81.17,79.33,80.63,1253500,80.37
2013-05-31,82.75,82.91,80.66,80.78,1774200,80.52
2013-05-30,81.25,83.40,80.72,83.03,1457000,82.76
2013-05-29,80.31,81.44,80.15,81.22,1239800,80.96
2013-05-28,79.39,80.98,79.34,80.55,1150100,80.29
2013-05-24,79.42,79.65,78.23,78.93,1091700,78.68
2013-05-23,78.46,80.01,77.98,79.84,1193100,79.58
2013-05-22,79.40,80.55,78.65,79.17,1229600,78.92
2013-05-21,79.52,80.05,78.84,79.52,934300,79.27
2013-05-20,80.34,80.34,79.46,79.62,867300,79.37
2013-05-17,79.37,81.39,79.05,80.45,1619000,80.19
2013-05-16,79.18,80.00,78.85,79.35,1532800,79.10
2013-05-15,79.12,79.89,78.54,79.50,1409400,79.25
2013-05-14,79.63,80.21,79.13,79.49,1114700,79.24
2013-05-13,79.82,80.17,78.79,79.77,2484000,79.51
2013-05-10,78.12,80.27,77.98,80.09,3276800,79.83
2013-05-09,78.44,79.01,76.88,78.06,2639500,77.81
2013-05-08,76.79,78.82,76.69,78.73,3045300,78.48
2013-05-07,75.50,77.32,74.81,76.88,2558100,76.63
2013-05-06,75.90,77.12,75.45,75.49,2432400,75.25
2013-05-03,75.47,76.00,73.63,73.93,2341000,73.69
2013-05-02,77.62,77.94,74.92,75.31,2831400,75.07
2013-05-01,76.18,79.88,76.09,77.56,5256400,77.31
2013-04-30,73.15,74.15,72.13,74.11,2046800,73.87
2013-04-29,73.56,74.00,73.09,73.12,1261100,72.89
2013-04-26,72.86,74.00,72.86,73.49,1247400,73.25
2013-04-25,72.39,73.07,72.19,73.05,1882800,72.82
2013-04-24,73.40,73.71,71.95,72.10,2288900,71.87
2013-04-23,72.54,73.72,72.23,72.88,1934800,72.65
2013-04-22,72.99,73.36,72.12,72.32,1652900,72.09
2013-04-19,72.51,73.45,71.65,73.05,2335400,72.82
2013-04-18,72.88,72.88,70.58,72.21,4850100,71.98
2013-04-17,75.81,76.14,74.40,74.55,2890100,74.31
2013-04-16,76.44,77.34,75.58,76.25,1906800,76.01
2013-04-15,77.24,78.42,75.90,75.94,1912900,75.70
2013-04-12,78.55,78.74,77.25,77.56,2260800,77.31
2013-04-11,79.00,79.19,78.43,78.82,1798600,78.57
2013-04-10,78.49,79.35,78.41,78.83,2073200,78.58
2013-04-09,77.91,78.61,77.49,78.03,1967500,77.78
2013-04-08,78.35,78.35,77.04,77.67,2135300,77.42
2013-04-05,78.50,79.58,77.60,78.27,1868100,78.02
2013-04-04,79.79,81.28,79.02,79.60,3219500,79.35
2013-04-03,79.18,81.41,78.83,79.81,4236000,79.55
2013-04-02,82.47,82.47,78.66,79.11,12176600,78.86
2013-04-01,69.34,75.67,69.07,75.02,7861600,74.78
2013-03-28,68.63,69.45,68.05,69.11,2543800,68.89
2013-03-27,66.85,69.80,66.80,68.72,4089400,68.50
2013-03-26,66.70,67.48,66.44,66.70,1401000,66.49
2013-03-25,67.25,67.31,66.17,66.70,2731800,66.23
2013-03-22,67.56,68.07,65.88,67.10,4092700,66.62
2013-03-21,69.07,69.66,67.86,68.36,3304400,67.88
2013-03-20,70.72,71.18,69.31,69.45,2034500,68.96
2013-03-19,70.49,71.07,70.04,70.27,1658900,69.77
2013-03-18,69.35,71.37,68.99,70.36,2332700,69.86
2013-03-15,69.31,69.79,69.06,69.79,1932500,69.30
2013-03-14,68.90,69.27,68.41,69.23,2224000,68.74
2013-03-13,68.49,68.89,67.95,68.84,1586100,68.35
2013-03-12,68.26,68.54,67.61,68.54,1880500,68.05
2013-03-11,67.74,68.49,67.74,68.33,1443300,67.85
2013-03-08,67.47,68.60,67.23,68.03,1873100,67.55
2013-03-07,67.09,67.71,67.01,67.39,1928200,66.91
2013-03-06,67.46,67.77,66.68,67.00,2933300,66.53
2013-03-05,66.95,67.78,66.88,67.44,2007500,66.96
2013-03-04,67.55,67.78,66.65,66.85,2970500,66.38
2013-03-01,68.05,68.26,67.52,67.88,2884600,67.40
2013-02-28,69.14,69.50,68.01,68.26,2933900,67.78
2013-02-27,68.91,69.36,68.09,69.21,2069000,68.72
2013-02-26,69.71,69.81,67.82,68.96,2808100,68.47
2013-02-25,70.78,71.21,69.66,69.66,3033200,69.17
2013-02-22,72.64,72.94,70.27,70.61,3795300,70.11
2013-02-21,72.74,73.72,71.82,72.65,2666600,72.14
2013-02-20,73.25,73.42,72.26,72.60,3045800,72.09
2013-02-19,69.97,73.34,69.78,73.01,14907100,72.49
2013-02-15,77.87,78.82,77.53,77.99,2340600,77.44
2013-02-14,78.08,78.17,77.73,77.83,1744400,77.28
2013-02-13,79.48,79.48,77.70,78.09,2255500,77.54
2013-02-12,80.40,80.63,78.82,79.20,2498500,78.64
2013-02-11,81.16,81.20,79.96,80.18,3285100,79.61
2013-02-08,81.87,81.87,81.19,81.35,2647000,80.77
2013-02-07,81.20,81.63,80.47,81.52,1873400,80.94
2013-02-06,80.53,81.32,80.11,81.24,1814700,80.66
2013-02-05,79.25,80.70,78.93,80.63,2453900,80.06
2013-02-04,75.45,79.96,75.02,78.86,5674400,78.30
2013-02-01,74.77,75.39,73.98,75.35,2642100,74.82
2013-01-31,74.10,74.60,73.33,74.36,2131000,73.83
2013-01-30,74.29,74.90,74.03,74.37,1871900,73.84
2013-01-29,74.54,74.82,74.01,74.52,1316400,73.99
2013-01-28,75.13,75.26,74.57,74.76,1577400,74.23
2013-01-25,74.00,74.97,73.52,74.93,1687300,74.40
2013-01-24,72.61,73.95,72.48,73.86,1871800,73.34
2013-01-23,71.93,72.58,71.52,72.58,1192400,72.07
2013-01-22,71.26,71.99,70.70,71.93,2264100,71.42
2013-01-18,71.66,71.74,71.20,71.40,2084300,70.89
2013-01-17,70.76,71.70,70.62,71.51,1320400,71.00
2013-01-16,71.40,71.57,70.62,70.76,1429500,70.26
2013-01-15,69.87,71.75,69.78,71.58,1990400,71.07
2013-01-14,69.60,70.36,69.40,70.24,1267000,69.74
2013-01-11,69.67,69.77,68.75,69.56,1865700,69.07
2013-01-10,67.34,69.48,67.25,69.24,2057200,68.75
2013-01-09,66.21,67.09,66.20,66.91,1646100,66.44
2013-01-08,67.25,67.78,65.99,66.01,1989000,65.54
2013-01-07,67.14,67.80,66.65,67.28,1415700,66.80
2013-01-04,66.83,67.75,66.45,67.47,1874400,66.99
2013-01-03,68.26,68.28,66.07,66.25,2831900,65.78
2013-01-02,69.74,70.10,68.10,68.44,2206700,67.96
2012-12-31,67.26,68.75,66.76,68.63,1486000,68.14
2012-12-28,67.63,68.17,67.30,67.51,1146200,67.03
2012-12-27,68.37,68.60,67.53,68.00,968800,67.52
2012-12-26,68.22,68.76,67.84,68.40,879700,67.66
2012-12-24,68.42,68.60,67.76,68.12,398500,67.38
2012-12-21,67.69,68.42,67.31,68.39,2058300,67.65
2012-12-20,67.91,68.61,67.68,68.23,1285100,67.49
2012-12-19,68.49,68.49,67.81,67.81,1563300,67.07
2012-12-18,67.05,68.51,66.79,68.33,1735200,67.59
2012-12-17,66.12,67.42,66.07,66.80,1600300,66.07
2012-12-14,65.85,66.79,65.78,66.11,1330100,65.39
2012-12-13,67.50,68.19,66.78,66.87,1272000,66.14
2012-12-12,67.85,68.67,67.49,67.60,1594600,66.87
2012-12-11,67.15,68.15,66.68,67.81,1571600,67.07
2012-12-10,66.37,67.36,66.12,67.00,1983400,66.27
2012-12-07,65.49,66.72,65.48,66.65,2064000,65.93
2012-12-06,65.05,65.21,64.56,65.19,1093800,64.48
2012-12-05,65.35,65.82,64.46,65.06,1778800,64.35
2012-12-04,65.16,66.13,65.07,65.14,1709400,64.43
2012-12-03,65.75,66.36,64.85,65.06,1458500,64.35
2012-11-30,65.69,65.80,65.14,65.41,1691500,64.70
2012-11-29,65.15,65.97,65.15,65.73,1308900,65.02
2012-11-28,64.20,65.25,63.93,65.14,1520500,64.43
2012-11-27,65.78,66.30,64.38,64.39,2810100,63.69
2012-11-26,66.20,66.48,65.40,66.12,1304900,65.40
2012-11-23,66.49,67.18,66.18,66.69,718900,65.97
2012-11-21,66.65,66.70,65.89,66.56,1239100,65.84
2012-11-20,66.78,66.97,65.99,66.66,1599500,65.94
2012-11-19,65.89,66.97,65.89,66.95,1558600,66.22
2012-11-16,66.38,66.80,65.17,65.50,3402900,64.79
2012-11-15,66.48,67.28,65.75,66.11,3204800,65.39
2012-11-14,68.48,68.94,66.48,66.62,2784300,65.90
2012-11-13,68.80,69.03,68.13,68.29,4380100,67.55
2012-11-12,68.81,69.30,68.48,69.16,2635200,68.41
2012-11-09,68.52,69.51,68.33,68.77,3607400,68.02
2012-11-08,70.17,70.78,68.46,69.13,4601700,68.38
2012-11-07,70.83,71.84,68.07,70.16,9893700,69.40
2012-11-06,75.52,77.02,74.57,76.16,2920700,75.33
2012-11-05,75.88,76.77,72.88,75.52,4222400,74.70
2012-11-02,76.10,76.53,75.20,75.21,2031400,74.39
2012-11-01,74.39,76.20,74.39,75.94,1940100,75.12
2012-10-31,74.46,75.19,73.71,74.27,2470100,73.46
2012-10-26,75.54,75.81,74.06,74.47,1383600,73.66
2012-10-25,76.65,76.99,74.95,75.55,1490100,74.73
2012-10-24,75.10,75.57,74.72,75.35,1524500,74.53
2012-10-23,75.52,75.52,73.92,74.70,1140100,73.89
2012-10-22,74.76,76.32,74.75,76.20,1463400,75.37
2012-10-19,75.27,75.29,74.51,74.98,1245900,74.17
2012-10-18,74.76,75.87,74.76,75.72,1521400,74.90
2012-10-17,75.61,75.78,74.21,74.81,1181900,74.00
2012-10-16,74.57,75.49,74.02,75.11,2019200,74.29
2012-10-15,74.88,75.49,73.89,74.73,1557100,73.92
2012-10-12,75.59,76.27,74.39,74.82,1416300,74.01
2012-10-11,74.79,75.63,74.79,75.33,1451700,74.51
2012-10-10,74.83,75.49,74.43,74.55,1559400,73.74
2012-10-09,74.05,75.05,73.72,74.79,1425300,73.98
2012-10-08,74.07,75.02,73.73,74.22,987900,73.41
2012-10-05,75.23,75.40,73.56,74.05,1300400,73.25
2012-10-04,74.85,76.84,74.85,74.85,2682100,74.04
2012-10-03,73.01,74.16,72.86,74.08,2402000,73.28
2012-10-02,71.89,72.78,71.58,72.71,1123800,71.92
2012-10-01,70.55,71.73,70.28,71.32,1159300,70.55
2012-09-28,70.10,70.66,69.67,70.15,1229600,69.39
2012-09-27,69.98,70.72,69.47,70.40,744100,69.64
2012-09-26,70.44,71.12,69.40,69.67,1420800,68.91
2012-09-25,70.17,71.20,70.12,70.77,1423200,69.74
2012-09-24,70.03,70.41,69.41,70.30,1143400,69.28
2012-09-21,70.12,70.30,69.48,70.28,1362800,69.26
2012-09-20,69.40,70.02,69.00,69.92,1048500,68.91
2012-09-19,69.94,70.41,69.77,69.81,1108400,68.80
2012-09-18,70.71,71.27,69.76,69.83,1248700,68.82
2012-09-17,70.95,71.25,70.16,70.63,1068000,69.61
2012-09-14,69.76,71.44,69.75,71.12,2665800,70.09
2012-09-13,68.85,69.52,67.97,69.41,2172000,68.40
2012-09-12,70.36,70.51,68.81,68.84,2047000,67.84
2012-09-11,70.26,71.00,70.04,70.10,1522300,69.08
2012-09-10,72.26,72.44,70.06,70.10,1957300,69.08
2012-09-07,71.69,72.24,71.40,72.23,1271000,71.18
2012-09-06,70.83,71.75,70.71,71.67,1325900,70.63
2012-09-05,70.37,71.18,69.94,70.42,1758100,69.40
2012-09-04,70.92,71.30,69.35,69.72,1399400,68.71
2012-08-31,69.26,70.25,69.26,70.08,1548000,69.06
2012-08-30,70.19,70.19,68.82,68.94,1827900,67.94
2012-08-29,69.73,70.95,69.60,70.73,2607900,69.70
2012-08-28,69.81,70.23,69.52,69.91,1830100,68.90
2012-08-27,69.89,70.07,68.84,70.02,2004600,69.01
2012-08-24,69.10,70.06,68.82,69.95,2145300,68.94
2012-08-23,68.75,69.56,68.35,69.23,1237300,68.23
2012-08-22,68.10,69.00,67.66,68.89,1557600,67.89
2012-08-21,68.22,68.62,67.92,68.24,2150100,67.25
2012-08-20,68.13,69.39,67.92,68.24,2661400,67.25
2012-08-17,67.89,68.00,67.29,67.80,1241600,66.82
2012-08-16,67.76,67.99,67.12,67.93,1944300,66.95
2012-08-15,67.10,68.04,66.45,67.72,2019200,66.74
2012-08-14,67.15,67.50,66.40,66.69,1096600,65.72
2012-08-13,67.81,67.85,66.11,66.95,1939500,65.98
2012-08-10,66.76,67.78,66.53,67.62,1540800,66.64
2012-08-09,67.69,68.29,66.47,66.84,2547600,65.87
2012-08-08,64.33,67.70,63.90,67.64,4323400,66.66
2012-08-07,63.25,64.70,63.23,64.67,3032300,63.73
2012-08-06,62.98,63.48,62.42,63.25,2537700,62.33
2012-08-03,63.33,63.80,62.33,62.70,4307400,61.79
2012-08-02,63.90,63.90,62.00,62.88,3450000,61.97
2012-08-01,61.29,66.51,60.95,63.91,10358300,62.98
2012-07-31,64.12,66.28,59.92,61.60,11740000,60.71
2012-07-30,70.53,70.88,69.65,70.55,1248600,69.53
