Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,179.35,181.11,178.66,180.67,519300,180.67
2013-07-11,180.74,181.45,177.01,179.23,894500,179.23
2013-07-10,175.56,179.49,175.19,179.27,782100,179.27
2013-07-09,179.00,179.72,173.54,175.35,929700,175.35
2013-07-08,177.45,179.58,176.98,177.38,454900,177.38
2013-07-05,176.35,177.35,174.87,177.03,652100,177.03
2013-07-03,174.37,175.97,173.62,174.90,723400,174.90
2013-07-02,177.52,178.85,173.63,174.50,1417400,174.50
2013-07-01,179.60,181.25,177.93,178.02,728100,178.02
2013-06-28,179.10,180.13,177.76,177.76,808100,177.76
2013-06-27,179.81,181.43,178.22,179.66,738900,179.66
2013-06-26,176.96,180.72,174.45,179.90,1126300,179.90
2013-06-25,173.28,177.15,172.68,175.12,901800,175.12
2013-06-24,170.41,173.96,168.70,171.94,940700,171.94
2013-06-21,174.06,175.32,170.34,172.56,851900,172.56
2013-06-20,176.84,178.18,172.34,173.47,941400,173.47
2013-06-19,183.00,183.00,178.46,178.85,636600,178.85
2013-06-18,180.00,184.12,179.76,183.07,1062500,183.07
2013-06-17,174.37,179.60,173.62,178.87,943600,178.87
2013-06-14,175.00,175.22,173.02,173.15,489900,173.15
2013-06-13,171.60,175.50,170.54,175.39,567000,175.39
2013-06-12,171.26,173.03,171.00,172.06,548600,172.06
2013-06-11,172.17,173.09,170.48,171.14,548600,171.14
2013-06-10,175.00,175.86,173.01,175.08,507100,175.08
2013-06-07,169.86,174.87,166.87,174.70,701800,174.70
2013-06-06,163.93,169.36,163.93,169.20,652600,169.20
2013-06-05,163.51,166.18,162.95,164.84,720000,164.84
2013-06-04,168.99,169.11,163.25,164.76,843800,164.76
2013-06-03,171.42,171.55,166.69,169.20,656200,169.20
2013-05-31,176.72,176.96,171.21,171.21,977800,171.21
2013-05-30,171.30,177.87,170.75,177.44,779200,177.44
2013-05-29,168.33,171.92,168.33,171.21,580900,171.21
2013-05-28,169.53,171.56,168.85,169.51,720800,169.51
2013-05-24,167.71,168.50,166.18,167.66,721600,167.66
2013-05-23,168.09,169.45,166.35,168.29,652600,168.29
2013-05-22,173.27,174.38,168.01,169.52,1644500,169.52
2013-05-21,178.40,179.10,173.39,173.49,1075900,173.49
2013-05-20,176.55,178.82,175.32,176.06,615100,176.06
2013-05-17,174.89,178.18,174.26,177.41,719700,177.41
2013-05-16,174.34,175.96,173.96,174.02,499700,174.02
2013-05-15,174.47,177.70,173.73,174.81,644300,174.81
2013-05-14,172.48,176.15,172.18,175.91,394700,175.91
2013-05-13,171.59,173.70,170.84,172.26,311400,172.26
2013-05-10,171.23,172.35,170.76,172.10,338200,172.10
2013-05-09,171.82,172.34,170.53,171.21,332600,171.21
2013-05-08,170.85,172.04,169.66,171.66,447600,171.66
2013-05-07,171.94,172.61,170.01,171.12,633800,171.12
2013-05-06,171.31,172.54,171.26,171.68,494400,171.68
2013-05-03,172.63,174.25,171.93,172.02,688300,172.02
2013-05-02,166.65,171.73,166.09,171.56,842300,171.56
2013-05-01,159.50,170.73,158.45,166.56,2003500,166.56
2013-04-30,161.12,163.52,160.99,162.93,1913200,162.93
2013-04-29,159.51,162.14,159.34,161.89,649300,161.89
2013-04-26,159.32,160.38,158.00,159.51,385800,159.51
2013-04-25,158.59,160.13,157.83,159.59,531900,159.59
2013-04-24,157.84,159.00,156.84,158.39,544300,158.39
2013-04-23,155.64,157.90,155.64,157.39,460100,157.39
2013-04-22,154.44,156.15,152.86,155.27,411900,155.27
2013-04-19,152.85,154.52,152.56,154.38,404600,154.38
2013-04-18,154.17,155.64,152.08,152.41,431600,152.41
2013-04-17,153.85,154.72,153.02,153.97,583600,153.97
2013-04-16,155.07,155.69,153.32,155.51,500000,155.51
2013-04-15,158.00,159.54,154.14,154.16,488700,154.16
2013-04-12,158.10,158.43,156.83,158.20,301600,158.20
2013-04-11,158.09,159.26,156.97,158.32,453400,158.32
2013-04-10,155.49,158.23,155.49,157.76,414700,157.76
2013-04-09,155.91,156.42,154.17,155.05,322500,155.05
2013-04-08,154.91,156.12,153.95,155.97,383800,155.97
2013-04-05,155.33,155.48,150.12,155.06,1477500,155.06
2013-04-04,157.33,159.11,156.09,157.10,550500,157.10
2013-04-03,161.90,162.07,156.66,156.83,738600,156.83
2013-04-02,161.41,163.31,160.30,161.48,931900,161.48
2013-04-01,162.47,163.21,159.63,160.09,513500,160.09
2013-03-28,159.60,163.18,158.65,163.07,657800,163.07
2013-03-27,160.50,161.00,158.58,159.81,648400,159.81
2013-03-26,162.61,163.19,159.38,161.57,503000,161.57
2013-03-25,163.49,163.81,161.20,162.00,483800,162.00
2013-03-22,161.63,162.86,161.11,162.31,562000,162.31
2013-03-21,161.98,162.94,160.29,161.44,656100,161.44
2013-03-20,159.81,162.38,159.41,161.60,544400,161.60
2013-03-19,160.25,160.96,156.12,159.61,719100,159.61
2013-03-18,158.66,160.99,158.43,159.85,399800,159.85
2013-03-15,162.41,162.79,159.75,160.98,652500,160.98
2013-03-14,158.95,162.62,158.69,162.34,841300,162.34
2013-03-13,158.09,159.86,157.74,159.41,442600,159.41
2013-03-12,158.68,159.17,158.16,158.50,547200,158.50
2013-03-11,158.19,159.26,156.67,159.24,578600,159.24
2013-03-08,159.65,160.08,157.92,158.60,604200,158.60
2013-03-07,160.35,160.49,157.79,158.74,700600,158.74
2013-03-06,160.15,162.29,159.77,160.35,663100,160.35
2013-03-05,157.08,159.77,157.08,158.53,841700,158.53
2013-03-04,153.81,156.74,152.91,156.57,553600,156.57
2013-03-01,154.33,154.33,152.31,154.00,666200,154.00
2013-02-28,155.15,156.23,153.85,154.82,678800,154.82
2013-02-27,152.63,155.30,151.30,155.09,604600,155.09
2013-02-26,152.00,153.08,150.61,152.83,768600,152.83
2013-02-25,156.19,156.59,150.35,150.52,1277900,150.52
2013-02-22,153.82,156.15,153.74,155.98,866100,155.98
2013-02-21,154.70,154.89,152.75,153.03,871400,153.03
2013-02-20,155.39,156.61,154.54,154.72,1101700,154.72
2013-02-19,156.66,157.49,155.15,155.75,1367500,155.75
2013-02-15,155.50,158.47,154.85,156.46,1729300,156.46
2013-02-14,151.45,156.13,150.87,155.52,1679400,155.52
2013-02-13,150.50,151.87,149.13,151.81,932500,151.81
2013-02-12,150.00,151.88,149.80,150.71,1569400,150.71
2013-02-11,149.05,149.95,148.08,149.83,757900,149.83
2013-02-08,149.17,149.66,147.92,149.00,1136500,149.00
2013-02-07,145.01,149.16,143.66,148.95,1710000,148.95
2013-02-06,142.37,145.59,141.06,145.22,2743800,145.22
2013-02-05,141.33,143.60,140.57,143.54,2218000,143.54
2013-02-04,139.60,141.40,138.56,141.33,1667500,141.33
2013-02-01,139.85,142.44,139.15,140.88,1785800,140.88
2013-01-31,137.96,139.44,137.57,138.75,1478800,138.75
2013-01-30,136.97,139.72,136.89,138.90,2314500,138.90
2013-01-29,135.48,136.93,134.87,136.71,1397400,136.71
2013-01-28,134.90,135.85,133.30,135.21,2136200,135.21
2013-01-25,134.28,135.01,133.44,134.82,1038400,134.82
2013-01-24,133.73,135.57,133.53,134.28,1289000,134.28
