Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,17.74,17.81,17.64,17.66,1285800,17.66
2013-07-11,17.51,17.76,17.44,17.74,3261100,17.74
2013-07-10,17.17,17.26,17.09,17.26,1404900,17.26
2013-07-09,17.19,17.23,16.93,17.21,3958000,17.21
2013-07-08,16.89,17.17,16.80,17.17,5921000,17.17
2013-07-05,16.78,16.85,16.64,16.75,1149500,16.75
2013-07-03,16.65,16.78,16.55,16.57,1168600,16.57
2013-07-02,16.99,17.08,16.66,16.69,2218500,16.69
2013-07-01,16.70,17.02,16.70,17.00,3965000,17.00
2013-06-28,16.73,16.80,16.59,16.71,4466900,16.71
2013-06-27,16.52,16.77,16.47,16.74,2313500,16.74
2013-06-26,16.54,16.57,16.37,16.40,1947100,16.40
2013-06-25,16.02,16.42,15.96,16.41,3357900,16.41
2013-06-24,16.00,16.05,15.64,15.83,3432700,15.83
2013-06-21,16.47,16.52,16.07,16.24,4100000,16.24
2013-06-20,16.77,16.79,16.28,16.31,4971900,16.31
2013-06-19,17.13,17.27,16.93,16.96,2195600,16.96
2013-06-18,17.33,17.36,17.09,17.14,2969000,17.14
2013-06-17,17.41,17.61,17.26,17.38,3621800,17.29
2013-06-14,17.46,17.62,17.21,17.25,2450600,17.16
2013-06-13,17.25,17.50,17.12,17.45,2444500,17.36
2013-06-12,17.73,17.73,17.27,17.27,2135700,17.18
2013-06-11,17.45,17.78,17.35,17.55,3870600,17.46
2013-06-10,17.48,17.67,17.38,17.65,3276700,17.56
2013-06-07,17.51,17.62,17.37,17.45,1969500,17.36
2013-06-06,17.13,17.39,17.02,17.38,2658700,17.29
2013-06-05,17.46,17.52,17.12,17.13,2696100,17.04
2013-06-04,17.50,17.67,17.41,17.51,3113400,17.42
2013-06-03,17.88,17.90,17.36,17.46,5539100,17.37
2013-05-31,18.17,18.31,17.87,17.88,3523200,17.79
2013-05-30,18.27,18.40,18.12,18.21,3450100,18.12
2013-05-29,18.65,18.78,18.24,18.24,3321300,18.15
2013-05-28,18.46,18.81,18.37,18.81,3115800,18.71
2013-05-24,17.86,18.25,17.79,18.25,1806500,18.16
2013-05-23,17.93,18.08,17.74,18.00,2187300,17.91
2013-05-22,18.47,18.62,18.12,18.16,5012000,18.07
2013-05-21,18.41,18.64,18.41,18.54,2672900,18.44
2013-05-20,18.24,18.49,18.05,18.44,3783600,18.34
2013-05-17,17.55,18.31,17.51,18.24,4528500,18.15
2013-05-16,17.96,17.96,17.44,17.49,3260900,17.40
2013-05-15,17.99,18.18,17.81,18.02,3367900,17.93
2013-05-14,18.07,18.14,17.90,17.99,3880500,17.90
2013-05-13,18.09,18.13,17.72,18.08,3019300,17.99
2013-05-10,17.62,18.18,17.57,18.14,5401700,18.05
2013-05-09,17.28,17.78,17.25,17.54,3563400,17.45
2013-05-08,17.31,17.47,17.20,17.34,1924000,17.25
2013-05-07,17.40,17.49,17.19,17.37,2113300,17.28
2013-05-06,17.42,17.46,17.28,17.35,1325400,17.26
2013-05-03,17.41,17.58,17.36,17.45,1961200,17.36
2013-05-02,17.14,17.31,17.10,17.27,2326900,17.18
2013-05-01,16.88,17.10,16.71,17.06,4043500,16.97
2013-04-30,17.04,17.07,16.88,16.95,3181300,16.86
2013-04-29,17.02,17.05,16.89,16.95,4860700,16.86
2013-04-26,17.50,17.53,16.46,16.96,7894200,16.87
2013-04-25,16.90,17.50,16.82,17.30,4800600,17.21
2013-04-24,16.76,16.92,16.66,16.71,3525900,16.62
2013-04-23,16.34,16.73,16.31,16.72,4466600,16.63
2013-04-22,16.05,16.27,15.78,16.23,2610300,16.15
2013-04-19,15.97,16.20,15.94,16.07,2932800,15.99
2013-04-18,16.21,16.25,15.86,15.93,3821800,15.85
2013-04-17,16.33,16.41,16.09,16.21,4067100,16.13
2013-04-16,16.57,16.72,16.16,16.45,5212400,16.36
2013-04-15,16.81,16.96,16.43,16.43,3435100,16.34
2013-04-12,16.83,17.04,16.46,16.94,3962300,16.85
2013-04-11,16.65,17.04,16.63,16.98,3016500,16.89
2013-04-10,16.38,16.69,16.30,16.65,2295600,16.56
2013-04-09,16.23,16.33,16.02,16.29,2693500,16.21
2013-04-08,16.06,16.27,15.95,16.22,1481500,16.14
2013-04-05,15.99,16.11,15.66,16.11,3096600,16.03
2013-04-04,15.98,16.29,15.86,16.25,2855600,16.17
2013-04-03,16.45,16.58,15.96,16.00,4629800,15.92
2013-04-02,16.53,16.61,16.33,16.47,5118300,16.38
2013-04-01,16.50,16.61,16.41,16.45,2330100,16.36
2013-03-28,16.51,16.63,16.38,16.50,2813700,16.41
2013-03-27,16.60,16.61,16.43,16.50,2134900,16.41
2013-03-26,16.74,16.76,16.61,16.72,1857000,16.63
2013-03-25,16.50,16.78,16.44,16.66,3258000,16.57
2013-03-22,16.83,17.00,16.58,16.67,3664700,16.58
2013-03-21,16.94,17.03,16.77,16.78,2091600,16.69
2013-03-20,17.03,17.19,16.91,16.93,1907600,16.84
2013-03-19,17.38,17.49,16.82,16.98,2599800,16.89
2013-03-18,16.76,17.31,16.71,17.26,2788100,17.09
2013-03-15,17.25,17.34,16.93,17.02,3896000,16.85
2013-03-14,17.10,17.37,17.07,17.31,3970900,17.14
2013-03-13,17.08,17.22,17.04,17.09,2554500,16.92
2013-03-12,17.24,17.38,17.04,17.10,3402200,16.93
2013-03-11,16.95,17.37,16.93,17.23,3368300,17.06
2013-03-08,16.99,17.05,16.85,17.00,2733800,16.83
2013-03-07,16.82,17.00,16.67,16.89,2799800,16.72
2013-03-06,16.88,16.98,16.77,16.84,2960900,16.68
2013-03-05,16.55,16.94,16.51,16.86,4205300,16.69
2013-03-04,16.25,16.52,16.12,16.51,3102300,16.35
2013-03-01,15.83,16.24,15.66,16.24,3542900,16.08
2013-02-28,16.02,16.11,15.91,15.94,2445200,15.78
2013-02-27,15.84,16.10,15.75,16.06,2249100,15.90
2013-02-26,15.74,15.90,15.56,15.89,3408400,15.73
2013-02-25,16.00,16.09,15.68,15.68,2873800,15.53
2013-02-22,15.91,16.00,15.66,15.89,2897700,15.73
2013-02-21,16.15,16.24,15.76,15.83,5299600,15.68
2013-02-20,16.54,16.56,16.20,16.21,3930000,16.05
2013-02-19,16.27,16.61,16.17,16.60,3727100,16.44
2013-02-15,16.47,16.47,16.25,16.27,3211700,16.11
2013-02-14,16.35,16.50,16.20,16.48,3321000,16.32
2013-02-13,16.51,16.62,16.38,16.42,3653800,16.26
2013-02-12,16.63,16.77,16.46,16.46,4768700,16.30
2013-02-11,16.76,16.82,16.48,16.59,3690300,16.43
2013-02-08,16.46,16.83,16.45,16.79,8249300,16.63
2013-02-07,16.15,16.37,15.95,16.27,6848100,16.11
2013-02-06,15.48,15.95,15.47,15.94,4624000,15.78
2013-02-05,15.32,15.65,15.25,15.64,2994800,15.49
2013-02-04,15.45,15.54,15.14,15.24,3064900,15.09
2013-02-01,15.43,15.58,15.34,15.55,4236600,15.40
2013-01-31,15.68,16.04,15.10,15.37,7780700,15.22
2013-01-30,15.00,15.13,14.93,15.03,3311900,14.88
2013-01-29,15.20,15.26,14.95,14.99,3931000,14.84
2013-01-28,15.15,15.28,15.06,15.27,2921800,15.12
2013-01-25,15.19,15.24,15.01,15.12,3152900,14.97
2013-01-24,14.86,15.16,14.75,15.16,3993800,15.01
2013-01-23,15.54,15.85,14.77,14.86,10535300,14.71
2013-01-22,15.09,15.43,15.01,15.22,6913200,15.07
2013-01-18,15.14,15.16,14.80,15.01,2828800,14.86
2013-01-17,15.01,15.20,14.97,15.19,2490200,15.04
2013-01-16,15.09,15.11,14.80,14.99,1773600,14.84
2013-01-15,14.82,15.24,14.75,15.17,6091200,15.02
2013-01-14,15.00,15.18,14.83,14.89,3684100,14.74
2013-01-11,14.99,15.01,14.78,14.98,1886600,14.83
2013-01-10,14.85,15.00,14.72,14.97,3212600,14.82
2013-01-09,14.86,14.94,14.69,14.74,1654400,14.60
2013-01-08,14.67,14.97,14.67,14.79,2942000,14.65
2013-01-07,14.88,14.97,14.65,14.68,2044700,14.54
2013-01-04,14.71,14.96,14.68,14.93,3482800,14.78
2013-01-03,14.59,14.90,14.54,14.70,2563200,14.56
2013-01-02,14.48,14.60,14.28,14.60,4490800,14.46
2012-12-31,13.59,14.20,13.58,14.17,3111200,14.03
2012-12-28,13.67,13.78,13.61,13.65,2364000,13.52
2012-12-27,13.78,13.81,13.58,13.73,2791800,13.60
2012-12-26,13.99,14.08,13.72,13.75,2199200,13.62
2012-12-24,14.13,14.17,13.92,13.96,1075800,13.82
2012-12-21,14.12,14.31,14.08,14.17,3036400,14.03
2012-12-20,14.21,14.27,14.08,14.25,2381900,14.11
2012-12-19,14.59,14.60,14.20,14.24,4327500,14.10
2012-12-18,14.37,14.58,14.36,14.58,3061500,14.44
2012-12-17,14.45,14.52,14.21,14.36,4222600,14.22
2012-12-14,14.46,14.65,14.40,14.43,3470700,14.22
2012-12-13,14.40,14.64,14.33,14.52,4000100,14.31
