Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,64.46,64.85,64.22,64.72,1884200,64.72
2013-07-11,63.68,64.42,63.64,64.38,1871100,64.38
2013-07-10,63.27,63.50,63.06,63.36,1564900,63.36
2013-07-09,63.28,63.56,63.10,63.24,1639900,63.24
2013-07-08,62.72,63.34,62.29,62.97,2538400,62.97
2013-07-05,61.59,62.70,61.59,62.55,1589600,62.38
2013-07-03,62.02,62.70,61.89,62.38,1615300,62.21
2013-07-02,62.88,63.05,61.53,62.37,3928800,62.20
2013-07-01,62.10,63.83,61.90,63.15,4443200,62.98
2013-06-28,60.30,61.37,60.19,61.04,3500300,60.87
2013-06-27,59.88,61.37,59.88,60.79,2831700,60.62
2013-06-26,59.20,59.76,58.75,59.45,3122700,59.29
2013-06-25,57.82,59.04,57.57,58.81,3350800,58.65
2013-06-24,57.78,58.00,56.74,57.51,1952200,57.35
2013-06-21,58.05,58.22,57.17,57.86,2572100,57.70
2013-06-20,58.00,58.58,57.75,57.85,2199600,57.69
2013-06-19,58.52,59.08,58.35,58.44,2079600,58.28
2013-06-18,57.93,58.79,57.93,58.70,2710400,58.54
2013-06-17,57.78,58.15,57.19,58.03,2262300,57.87
2013-06-14,57.89,58.22,57.29,57.50,1456400,57.34
2013-06-13,57.59,58.09,57.17,57.97,2423500,57.81
2013-06-12,58.21,58.21,57.50,57.78,1327800,57.62
2013-06-11,58.31,58.63,57.63,57.73,2427500,57.57
2013-06-10,59.44,59.62,58.61,58.97,2112100,58.81
2013-06-07,58.83,59.71,58.54,59.46,2852300,59.30
2013-06-06,57.79,58.46,57.48,58.45,2485400,58.29
2013-06-05,57.01,57.87,57.01,57.57,3088800,57.41
2013-06-04,58.05,58.53,57.57,57.78,2138900,57.62
2013-06-03,58.45,58.69,57.60,58.07,2645100,57.91
2013-05-31,58.98,59.50,58.30,58.44,2534700,58.28
2013-05-30,58.82,59.62,58.82,59.33,2261100,59.17
2013-05-29,58.69,59.62,58.29,59.25,3255000,59.09
2013-05-28,58.41,59.31,58.00,59.11,2773600,58.95
2013-05-24,58.14,58.43,57.39,57.90,4359400,57.74
2013-05-23,58.12,59.21,57.33,58.76,4314700,58.60
2013-05-22,58.94,60.95,58.05,58.59,7938200,58.43
2013-05-21,59.64,60.00,57.78,57.89,5136400,57.73
2013-05-20,60.34,60.75,59.52,59.64,1727000,59.48
2013-05-17,59.96,60.83,59.47,60.63,2247700,60.47
2013-05-16,60.41,60.90,59.84,59.85,2417400,59.69
2013-05-15,59.14,60.86,59.01,60.59,3318100,60.43
2013-05-14,59.14,59.57,58.87,59.11,2114100,58.95
2013-05-13,59.89,59.97,58.93,58.99,2206000,58.83
2013-05-10,59.54,60.22,59.28,60.20,2401400,60.04
2013-05-09,59.65,60.26,58.88,59.00,3915200,58.84
2013-05-08,60.29,60.55,60.02,60.49,2067300,60.33
2013-05-07,60.58,60.70,60.17,60.56,1543400,60.40
2013-05-06,60.76,60.98,60.13,60.75,2033500,60.58
2013-05-03,60.67,60.75,60.11,60.26,2367400,60.10
2013-05-02,59.91,60.64,59.33,60.07,2343800,59.91
2013-05-01,59.51,60.47,59.25,59.97,2485000,59.81
2013-04-30,60.82,60.82,59.11,59.64,5255700,59.48
2013-04-29,59.50,61.10,59.38,60.94,4182700,60.77
2013-04-26,57.00,59.80,56.81,59.35,9119200,59.19
2013-04-25,55.75,57.97,55.54,57.09,15922300,56.93
2013-04-24,64.29,64.60,63.69,64.19,1525800,64.02
2013-04-23,63.32,64.25,63.13,63.98,1687500,63.81
2013-04-22,63.09,63.24,62.11,62.86,1601200,62.69
2013-04-19,62.08,63.17,61.85,62.97,2824400,62.80
2013-04-18,63.31,63.31,62.19,62.51,2059400,62.34
2013-04-17,63.79,63.88,62.54,63.04,2050700,62.87
2013-04-16,63.16,64.24,63.07,64.22,1989600,64.05
2013-04-15,64.54,64.61,63.02,63.08,1769300,62.91
2013-04-12,65.15,65.17,64.27,64.70,1368600,64.52
2013-04-11,64.95,65.30,64.72,64.93,1568500,64.75
2013-04-10,64.00,65.00,63.76,64.82,1090000,64.64
2013-04-09,64.14,64.14,63.18,63.80,2261800,63.63
2013-04-08,64.52,64.52,63.52,63.84,1106000,63.67
2013-04-05,63.68,64.56,63.00,64.46,1490200,64.12
2013-04-04,64.67,64.86,64.14,64.71,906300,64.36
2013-04-03,65.28,65.38,64.42,64.59,1333800,64.24
2013-04-02,65.50,66.11,65.18,65.38,1705900,65.03
2013-04-01,65.66,65.94,64.86,65.10,1443700,64.75
2013-03-28,65.19,65.70,65.10,65.66,1911200,65.31
2013-03-27,66.21,66.22,64.99,65.47,1083000,65.12
2013-03-26,65.28,65.93,65.00,65.73,1987800,65.38
2013-03-25,65.60,65.75,64.74,64.84,2343000,64.49
2013-03-22,65.31,65.89,64.91,65.54,1339200,65.19
2013-03-21,64.75,65.53,64.31,65.30,2608100,64.95
2013-03-20,65.76,65.97,65.08,65.17,1688300,64.82
2013-03-19,65.37,65.63,64.67,65.29,1851600,64.94
2013-03-18,64.88,65.64,64.60,65.41,1259400,65.06
2013-03-15,65.98,66.34,65.42,65.43,2502600,65.08
2013-03-14,66.60,66.70,66.00,66.18,2778000,65.83
2013-03-13,66.61,66.81,66.21,66.25,1685500,65.90
2013-03-12,66.52,66.82,66.20,66.36,1555000,66.01
2013-03-11,66.80,67.23,66.10,66.56,3188200,66.20
2013-03-08,67.92,68.27,67.29,67.75,1882300,67.39
2013-03-07,67.99,68.20,67.63,67.93,1496000,67.57
2013-03-06,67.99,68.41,67.77,67.99,2242000,67.63
2013-03-05,66.57,67.91,66.43,67.88,2678200,67.52
2013-03-04,64.87,66.29,64.76,66.27,2519400,65.92
2013-03-01,64.04,65.11,63.78,65.04,2307300,64.69
2013-02-28,63.76,64.66,63.70,64.47,2473600,64.13
2013-02-27,62.78,64.18,62.26,63.76,2097100,63.42
2013-02-26,62.01,62.76,61.87,62.64,2054700,62.31
2013-02-25,62.93,63.24,62.01,62.02,2495500,61.69
2013-02-22,62.00,63.07,61.05,62.78,3073900,62.44
2013-02-21,60.76,61.62,60.76,61.30,1941300,60.97
2013-02-20,62.38,62.50,61.37,61.42,2107800,61.09
2013-02-19,62.10,62.56,61.98,62.21,1421800,61.88
2013-02-15,60.96,62.11,60.76,62.07,2139900,61.74
2013-02-14,61.22,61.39,60.60,60.76,2988200,60.44
