Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,47.33,48.25,47.19,48.13,4313600,48.13
2013-07-11,47.10,47.64,46.92,47.56,4023700,47.56
2013-07-10,46.73,46.77,46.18,46.44,3330500,46.44
2013-07-09,46.87,47.05,46.64,46.89,2937200,46.89
2013-07-08,46.55,46.85,46.44,46.57,2615100,46.57
2013-07-05,46.17,46.38,45.83,46.32,1525800,46.32
2013-07-03,45.39,45.85,45.29,45.77,1989300,45.77
2013-07-02,45.11,45.83,45.05,45.75,4884900,45.75
2013-07-01,44.55,45.21,44.55,45.13,4085400,45.13
2013-06-28,43.65,44.53,43.14,44.31,9660300,44.31
2013-06-27,44.36,44.63,43.87,43.90,3259900,43.90
2013-06-26,43.70,44.21,43.27,44.13,3485500,44.13
2013-06-25,43.34,43.59,42.88,43.31,3730700,43.31
2013-06-24,42.86,43.21,42.36,42.89,4927300,42.89
2013-06-21,44.90,44.90,42.50,43.60,5942000,43.60
2013-06-20,45.09,45.37,44.09,44.26,3177200,44.26
2013-06-19,45.92,46.55,45.77,45.77,2800000,45.77
2013-06-18,46.30,46.49,45.64,45.97,2709800,45.97
2013-06-17,45.78,46.70,45.75,46.26,2805000,46.26
2013-06-14,45.62,45.84,45.25,45.35,2100900,45.35
2013-06-13,44.60,45.70,44.07,45.61,3655600,45.61
2013-06-12,45.79,45.90,44.02,44.03,3147200,44.03
2013-06-11,45.01,45.58,44.83,45.31,2191100,45.31
2013-06-10,45.62,45.88,45.22,45.56,3339000,45.56
2013-06-07,45.33,45.69,45.17,45.62,4184200,45.62
2013-06-06,44.31,45.02,44.28,45.02,3370000,45.02
2013-06-05,45.35,45.48,44.31,44.32,4586400,44.32
2013-06-04,46.04,46.36,45.12,45.51,3619500,45.51
2013-06-03,46.22,46.28,44.97,45.93,3413700,45.93
2013-05-31,46.54,47.21,46.15,46.15,2394900,46.15
2013-05-30,46.88,47.27,46.61,46.83,2184500,46.83
2013-05-29,47.43,47.52,46.56,46.86,3617900,46.86
2013-05-28,47.74,48.45,47.67,47.84,2781800,47.84
2013-05-24,46.99,47.30,46.60,47.05,2160600,47.05
2013-05-23,45.77,47.41,45.71,47.18,4161500,47.18
2013-05-22,47.54,47.98,46.26,46.50,3499600,46.50
2013-05-21,47.60,48.01,47.26,47.75,2658700,47.45
2013-05-20,48.06,48.51,47.42,47.51,3114500,47.21
2013-05-17,47.71,48.27,47.66,48.18,3057900,47.88
2013-05-16,48.59,48.91,47.22,47.42,4602800,47.12
2013-05-15,48.05,48.94,47.80,48.68,3443900,48.37
2013-05-14,47.63,48.35,47.60,48.27,3749300,47.97
2013-05-13,46.44,47.62,46.41,47.53,4142100,47.23
2013-05-10,46.84,46.97,46.08,46.50,2925000,46.21
2013-05-09,46.92,47.19,46.62,46.92,2295400,46.63
2013-05-08,46.40,47.10,46.27,46.91,2686700,46.62
2013-05-07,45.89,46.59,45.85,46.52,3564400,46.23
2013-05-06,45.61,46.11,45.30,45.89,2896800,45.60
2013-05-03,45.01,46.10,44.83,45.62,4477200,45.33
2013-05-02,43.87,44.75,43.19,44.27,11165100,43.99
2013-05-01,46.76,46.88,45.66,45.89,5005900,45.60
2013-04-30,47.26,47.30,46.75,46.98,3258100,46.68
2013-04-29,46.91,47.43,46.86,47.20,2701500,46.90
2013-04-26,47.61,47.85,46.31,46.41,4535700,46.12
2013-04-25,48.56,48.75,47.48,47.58,3942600,47.28
2013-04-24,47.83,48.71,47.83,48.50,3522600,48.20
2013-04-23,47.34,47.74,46.64,47.69,3280100,47.39
2013-04-22,46.68,47.31,46.31,47.15,6430000,46.85
2013-04-19,45.35,46.31,45.16,45.67,3516600,45.38
2013-04-18,46.22,46.26,44.72,44.95,3327400,44.67
2013-04-17,46.75,46.75,45.35,46.01,4059600,45.72
2013-04-16,46.63,47.73,46.46,47.47,4420600,47.17
2013-04-15,47.77,47.81,45.17,45.34,6304400,45.06
2013-04-12,48.01,48.83,47.55,48.20,3030300,47.90
2013-04-11,48.00,49.10,47.95,48.23,4976100,47.93
2013-04-10,47.35,47.86,47.29,47.73,3244900,47.43
2013-04-09,47.39,47.54,47.10,47.32,2892000,47.02
