Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,59.06,59.41,58.89,59.09,1281100,59.09
2013-07-11,58.94,59.49,58.85,59.02,1874100,59.02
2013-07-10,57.98,58.41,57.71,57.99,986100,57.99
2013-07-09,57.67,58.37,57.34,58.03,992300,58.03
2013-07-08,57.94,58.06,57.18,57.23,1751000,57.23
2013-07-05,56.74,57.93,56.62,57.75,1969500,57.75
2013-07-03,55.32,56.21,55.32,55.97,635800,55.97
2013-07-02,56.12,56.33,55.51,55.69,2275200,55.69
2013-07-01,55.89,56.70,55.65,56.23,2404100,56.23
2013-06-28,55.42,55.71,55.01,55.52,2740100,55.52
2013-06-27,55.13,55.70,55.00,55.49,2110700,55.49
2013-06-26,54.67,55.05,54.37,54.63,2308700,54.63
2013-06-25,54.09,54.85,53.95,54.11,1933100,54.11
2013-06-24,54.53,54.64,53.39,53.46,2638000,53.46
2013-06-21,55.45,55.93,54.73,55.04,2312800,55.04
2013-06-20,56.29,56.34,54.93,55.07,2253100,55.07
2013-06-19,57.69,57.84,56.57,56.57,1809600,56.57
2013-06-18,56.68,57.93,56.50,57.61,2376100,57.61
2013-06-17,57.06,57.12,56.24,56.60,1803600,56.60
2013-06-14,56.20,56.99,56.03,56.43,1868300,56.43
2013-06-13,55.84,56.36,55.70,56.25,2256700,56.25
2013-06-12,57.16,57.22,55.79,55.90,1845400,55.90
2013-06-11,57.04,57.31,56.60,56.65,1466500,56.44
2013-06-10,58.30,58.41,57.61,57.68,1936800,57.47
2013-06-07,57.21,58.07,57.07,58.04,3557200,57.82
2013-06-06,55.90,56.78,55.78,56.64,3294000,56.43
2013-06-05,56.75,57.29,55.75,55.83,2427500,55.62
2013-06-04,58.35,58.89,56.80,57.06,2236100,56.85
2013-06-03,57.70,58.55,57.18,58.52,2109300,58.30
2013-05-31,57.53,58.54,57.48,57.53,1543000,57.32
2013-05-30,57.32,58.36,57.13,57.82,1429600,57.61
2013-05-29,57.12,57.59,56.76,57.23,1097900,57.02
2013-05-28,57.60,58.55,57.25,57.71,1317800,57.50
2013-05-24,56.84,57.42,56.25,57.15,1168000,56.94
2013-05-23,56.62,57.71,56.41,57.17,1257600,56.96
2013-05-22,58.13,58.92,56.84,57.16,1779100,56.95
2013-05-21,58.01,58.59,57.88,58.14,1001200,57.92
2013-05-20,57.74,58.58,57.74,57.99,2036500,57.78
2013-05-17,57.20,58.28,57.03,58.04,2199800,57.82
2013-05-16,56.64,57.33,56.50,56.85,1632800,56.64
2013-05-15,57.00,57.25,56.58,56.90,1855800,56.69
2013-05-14,56.13,57.57,56.12,57.23,2399400,57.02
2013-05-13,56.09,56.23,55.57,56.03,1569900,55.82
2013-05-10,55.90,56.46,55.78,56.39,1880300,56.18
2013-05-09,55.19,56.04,55.18,55.87,2454800,55.66
2013-05-08,55.26,55.68,55.16,55.52,1223600,55.31
2013-05-07,54.67,55.49,54.60,55.35,1640700,55.14
